,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,42.5,42.78,42.32,42.54,5138389,ABT,42.408573
1009,2017-02-10,42.74,42.8,42.48,42.74,3692381,ABT,42.585976
1010,2017-02-13,43.0,43.22,42.86,43.22,5672370,ABT,42.743332
1011,2017-02-14,43.01,43.73,42.9583,43.65,8458818,ABT,43.169693
1012,2017-02-15,43.5,44.08,43.42,44.0,7946389,ABT,43.534878
1013,2017-02-16,44.0,44.21,43.74,44.2,8975535,ABT,43.841736
1014,2017-02-17,44.17,44.7,44.09,44.69,9632008,ABT,44.017284
1015,2017-02-21,44.65,45.15,44.54,45.01,11387762,ABT,44.464287
1016,2017-02-22,44.88,45.1101,44.81,45.01,7534641,ABT,44.730106
1017,2017-02-23,45.02,45.51,44.85,45.4,9459424,ABT,44.724564
1018,2017-02-24,45.29,45.68,45.23,45.68,7608646,ABT,45.093807
1019,2017-02-27,45.51,45.56,45.185,45.46,6142610,ABT,45.32393
1020,2017-02-28,45.41,45.43,44.83,45.08,14211439,ABT,45.11574
1021,2017-03-01,45.37,45.7,45.185,45.59,8886276,ABT,44.797913
1022,2017-03-02,45.5,45.835,45.35,45.69,11164608,ABT,45.29021
1023,2017-03-03,45.42,45.56,45.11,45.25,6790781,ABT,45.333218
1024,2017-03-06,44.99,45.3758,44.86,45.13,6001280,ABT,44.938404
1025,2017-03-07,44.81,45.16,44.67,45.0,6476612,ABT,44.8696
1026,2017-03-08,45.03,45.455,44.92,45.36,6398621,ABT,44.750698
1027,2017-03-09,45.36,45.74,45.345,45.63,5691017,ABT,45.085045
1028,2017-03-10,45.77,45.84,45.51,45.72,6105876,ABT,45.300026
1029,2017-03-13,45.65,45.78,45.23,45.53,7040547,ABT,45.37187
1030,2017-03-14,45.19,45.25,44.77,44.8,7504525,ABT,45.20143
1031,2017-03-15,44.96,45.4,44.86,45.32,6844368,ABT,44.55484
1032,2017-03-16,45.17,45.37,44.615,44.98,6704220,ABT,45.08134
1033,2017-03-17,45.1,45.27,44.77,45.19,12277435,ABT,44.709614
1034,2017-03-20,45.19,45.23,44.87,44.98,3521597,ABT,44.938427
1035,2017-03-21,45.15,45.38,44.6,44.8,5567081,ABT,44.72256
1036,2017-03-22,44.94,45.07,44.59,44.81,5198940,ABT,44.579803
1037,2017-03-23,44.71,44.99,44.59,44.77,3953148,ABT,44.597103
1038,2017-03-24,44.76,45.15,44.6,44.73,4753163,ABT,44.55367
1039,2017-03-27,44.53,44.8,44.3899,44.7,6914657,ABT,44.519115
1040,2017-03-28,44.74,44.78,44.26,44.7,5377379,ABT,44.492996
1041,2017-03-29,44.67,44.835,44.37,44.67,4186949,ABT,44.493473
1042,2017-03-30,44.63,44.66,44.36,44.55,4411647,ABT,44.464565
1043,2017-03-31,44.33,44.82,44.33,44.41,7146506,ABT,44.356842
1044,2017-04-03,44.42,44.61,44.08,44.47,7955821,ABT,44.236927
1045,2017-04-04,44.53,44.55,44.01,44.18,5399161,ABT,44.297764
1046,2017-04-05,44.17,44.54,43.7,43.8,7762250,ABT,44.02386
1047,2017-04-06,43.81,43.81,43.35,43.67,6067344,ABT,43.70027
1048,2017-04-07,43.62,43.95,43.57,43.83,5327817,ABT,43.600815
1049,2017-04-10,43.83,43.96,43.54,43.59,4321303,ABT,43.741806
1050,2017-04-11,43.22,43.595,43.15,43.58,4871886,ABT,43.504818
1051,2017-04-12,43.32,43.5899,43.19,43.48,4778945,ABT,43.516506
1052,2017-04-13,42.4,42.96,42.39,42.67,11426957,ABT,43.41833
1053,2017-04-17,42.67,43.38,42.31,43.31,8068503,ABT,42.688347
1054,2017-04-18,43.09,43.59,42.96,43.43,10131161,ABT,43.32294
1055,2017-04-19,43.78,44.0,43.12,43.59,13454621,ABT,43.35657
1056,2017-04-20,43.69,44.15,43.5216,43.98,5871911,ABT,43.50967
1057,2017-04-21,43.94,43.98,43.43,43.53,7519813,ABT,43.85688
1058,2017-04-24,44.07,44.26,43.84,44.13,6727012,ABT,43.426075
1059,2017-04-25,44.21,44.3854,43.76,43.76,6793106,ABT,44.016872
1060,2017-04-26,43.93,44.15,43.71,43.8,5591151,ABT,43.623882
1061,2017-04-27,43.96,44.01,43.595,43.65,7487495,ABT,43.704487
1062,2017-04-28,43.67,43.75,43.5,43.64,6014062,ABT,43.55515
1063,2017-05-01,43.57,43.66,43.32,43.48,5119107,ABT,43.557392
1064,2017-05-02,43.66,43.77,43.405,43.6,6166080,ABT,43.407623
1065,2017-05-03,43.61,43.75,43.49,43.72,4579737,ABT,43.527397
1066,2017-05-04,43.75,44.59,43.72,44.59,6551398,ABT,43.622368
1067,2017-05-05,44.58,44.69,44.48,44.64,5893207,ABT,44.407593
1068,2017-05-08,44.7,44.9,44.63,44.68,6320137,ABT,44.39449
1069,2017-05-09,44.65,44.77,44.56,44.67,4943052,ABT,44.4553
1070,2017-05-10,44.7,44.7,44.37,44.5,5253297,ABT,44.44949
1071,2017-05-11,44.39,44.39,43.775,43.86,7071583,ABT,44.298637
1072,2017-05-12,43.9,44.17,43.87,43.96,5775769,ABT,43.7292
1073,2017-05-15,43.92,44.23,43.9,44.04,4223510,ABT,43.863277
1074,2017-05-16,44.59,44.59,43.41,43.69,7159346,ABT,43.908092
1075,2017-05-17,43.4,43.61,43.05,43.08,5989323,ABT,43.58443
1076,2017-05-18,43.17,43.28,42.88,42.98,5225119,ABT,43.05861
1077,2017-05-19,43.15,43.32,43.01,43.16,5882979,ABT,43.00221
1078,2017-05-22,43.27,43.87,43.1,43.73,5802308,ABT,43.15094
1079,2017-05-23,43.71,44.17,43.62,43.68,4673163,ABT,43.648098
1080,2017-05-24,43.79,43.79,43.395,43.53,4590820,ABT,43.565933
1081,2017-05-25,43.78,44.0,43.44,43.95,4473908,ABT,43.452236
1082,2017-05-26,43.92,44.85,43.83,44.71,8624069,ABT,43.845387
1083,2017-05-30,44.46,45.1,44.21,45.0,8119697,ABT,44.50085
1084,2017-05-31,45.2,45.75,45.18,45.66,10449789,ABT,44.721424
1085,2017-06-01,45.52,46.1,45.47,46.1,7385462,ABT,45.325527
1086,2017-06-02,46.33,46.55,46.15,46.5,6885739,ABT,45.69013
1087,2017-06-05,46.57,46.75,46.38,46.62,7810647,ABT,46.04326
1088,2017-06-06,46.58,46.7,46.32,46.36,6048344,ABT,46.13829
1089,2017-06-07,46.38,46.6,46.23,46.56,4358394,ABT,45.905888
1090,2017-06-08,46.05,46.98,45.92,46.72,8364417,ABT,46.11634
1091,2017-06-09,46.81,47.31,46.66,47.29,9117724,ABT,46.24308
1092,2017-06-12,47.29,47.72,46.8301,47.17,7365566,ABT,46.757736
1093,2017-06-13,47.24,47.67,47.2,47.46,7163673,ABT,46.609833
1094,2017-06-14,47.46,47.87,47.45,47.64,6076858,ABT,46.9021
1095,2017-06-15,47.58,48.34,47.37,48.12,9366730,ABT,47.04597
1096,2017-06-16,48.18,48.38,47.8,48.21,9902210,ABT,47.479786
1097,2017-06-19,48.34,49.17,48.15,48.89,7409522,ABT,47.530537
1098,2017-06-20,48.89,49.3,48.75,48.77,8500670,ABT,48.159374
1099,2017-06-21,48.79,48.93,48.29,48.57,8271765,ABT,47.999477
1100,2017-06-22,48.6,49.59,48.51,49.27,8714052,ABT,47.842754
1101,2017-06-23,49.18,49.36,48.965,49.08,9343863,ABT,48.503666
1102,2017-06-26,49.21,49.45,48.89,48.91,5302582,ABT,48.26818
1103,2017-06-27,48.95,49.13,48.65,48.67,3893241,ABT,48.142803
1104,2017-06-28,48.93,49.02,48.35,48.48,8366287,ABT,47.938248
1105,2017-06-29,48.73,49.2,48.5001,48.73,6048500,ABT,47.782234
1106,2017-06-30,48.78,49.045,48.61,48.61,4723320,ABT,48.0233
1107,2017-07-03,48.73,49.04,48.655,48.71,2454764,ABT,47.888275
1108,2017-07-05,48.72,49.1,48.66,49.0,5637209,ABT,47.995445
1109,2017-07-06,48.83,48.86,47.9,47.94,5665313,ABT,48.25251
1110,2017-07-07,48.17,48.48,47.975,48.44,4354311,ABT,47.258003
1111,2017-07-10,48.42,48.53,48.135,48.23,3480466,ABT,47.813538
1112,2017-07-11,48.2,48.43,48.0352,48.15,4084438,ABT,47.557842
1113,2017-07-12,48.17,48.69,48.0,48.43,3906900,ABT,47.50812
1114,2017-07-13,48.43,48.53,47.83,48.08,7016610,ABT,47.76842
1115,2017-07-14,48.2,49.105,48.15,48.91,4111007,ABT,47.421772
1116,2017-07-17,48.91,49.025,48.72,48.76,3358448,ABT,48.217014
1117,2017-07-18,48.69,48.85,48.28,48.74,4163584,ABT,48.003906
1118,2017-07-19,48.8,49.47,48.76,49.43,6484975,ABT,48.013615
1119,2017-07-20,49.68,51.13,49.35,50.85,12331181,ABT,48.648037
1120,2017-07-21,50.73,50.93,50.49,50.84,7980288,ABT,49.889427
1121,2017-07-24,50.81,50.99,50.465,50.8,8584349,ABT,49.77288
1122,2017-07-25,50.98,51.0,50.615,50.83,5692843,ABT,49.76427
1123,2017-07-26,50.74,50.81,50.27,50.4,6057053,ABT,49.802956
1124,2017-07-27,50.32,50.36,49.91,50.11,7370923,ABT,49.40617
1125,2017-07-28,50.16,50.2,49.51,49.61,5688266,ABT,49.179134
1126,2017-07-31,49.76,49.84,49.16,49.18,6036176,ABT,48.739517
1127,2017-08-01,49.24,49.36,49.09,49.26,3236155,ABT,48.38304
1128,2017-08-02,49.14,49.26,48.79,49.23,4841891,ABT,48.485096
1129,2017-08-03,49.26,49.29,48.93,49.16,4365652,ABT,48.441483
1130,2017-08-04,49.24,49.36,49.09,49.26,3334712,ABT,48.380417
1131,2017-08-07,49.26,49.38,49.1,49.3,2898337,ABT,48.47868
1132,2017-08-08,49.24,49.24,48.81,48.88,3390714,ABT,48.50578
1133,2017-08-09,48.76,48.87,48.43,48.77,4102919,ABT,48.118397
1134,2017-08-10,48.74,48.85,48.05,48.06,4652197,ABT,48.05429
1135,2017-08-11,48.24,48.77,48.06,48.54,3978902,ABT,47.403133
1136,2017-08-14,48.74,49.25,48.7,49.08,3248436,ABT,47.898922
1137,2017-08-15,49.06,49.205,48.81,48.82,2922105,ABT,48.336617
1138,2017-08-16,49.04,49.86,48.965,49.81,6492136,ABT,48.058693
1139,2017-08-17,49.63,50.15,49.25,49.29,6633105,ABT,49.000027
1140,2017-08-18,49.1,49.17,48.68,48.74,4810807,ABT,48.436657
1141,2017-08-21,48.78,48.985,48.58,48.88,4281998,ABT,47.993874
1142,2017-08-22,48.95,49.85,48.88,49.71,4018805,ABT,48.16352
1143,2017-08-23,49.55,49.76,49.38,49.64,4558959,ABT,48.899105
1144,2017-08-24,49.74,49.84,49.33,49.38,3871755,ABT,48.76399
1145,2017-08-25,49.59,49.8,49.35,49.35,4852442,ABT,48.54736
1146,2017-08-28,49.54,50.35,49.52,50.26,6126858,ABT,48.545395
1147,2017-08-29,49.91,50.28,49.4943,50.15,4117441,ABT,49.37802
1148,2017-08-30,50.02,50.21,49.87,50.11,2926346,ABT,49.19755
1149,2017-08-31,50.3,51.05,50.11,50.94,6207801,ABT,49.186455
1150,2017-09-01,51.03,51.41,50.81,51.18,4599498,ABT,49.953976
1151,2017-09-05,50.84,51.18,50.64,51.03,4167559,ABT,50.10165
1152,2017-09-06,51.2,51.415,51.06,51.19,7719487,ABT,49.956493
1153,2017-09-07,51.4,51.62,51.13,51.49,4631738,ABT,50.12508
1154,2017-09-08,51.29,52.15,51.29,52.02,6221827,ABT,50.386116
1155,2017-09-11,52.35,52.6,52.01,52.45,3668836,ABT,50.848045
1156,2017-09-12,52.49,52.54,51.88,52.25,3759614,ABT,51.200817
1157,2017-09-13,52.24,52.33,51.89,52.0,4214137,ABT,50.988438
1158,2017-09-14,51.93,52.1,51.57,51.69,5568305,ABT,50.78691
1159,2017-09-15,51.75,51.88,51.49,51.76,6699659,ABT,50.526134
1160,2017-09-18,51.89,52.09,51.6,52.08,3371140,ABT,50.615883
1161,2017-09-19,52.15,52.24,51.37,51.41,3790880,ABT,50.898827
1162,2017-09-20,51.39,51.915,51.39,51.89,4967024,ABT,50.254887
1163,2017-09-21,51.88,51.98,51.38,51.43,5737550,ABT,50.76316
1164,2017-09-22,51.51,52.58,51.5,52.51,7978960,ABT,50.29023
1165,2017-09-25,52.46,52.78,52.3144,52.61,9778116,ABT,51.3274
1166,2017-09-26,52.62,53.3,52.59,52.85,6960683,ABT,51.31774
1167,2017-09-27,52.85,53.08,51.55,52.15,8025594,ABT,51.54095
1168,2017-09-28,54.75,54.8,53.61,53.64,14861129,ABT,50.882954
1169,2017-09-29,53.64,53.79,53.29,53.36,8458956,ABT,52.317318
1170,2017-10-02,53.64,53.7,53.195,53.68,8681945,ABT,51.91685
1171,2017-10-03,53.75,53.995,53.7,53.75,4464895,ABT,52.24938
1172,2017-10-04,53.67,54.34,53.611,54.34,5629687,ABT,52.288467
1173,2017-10-05,54.37,55.11,54.35,54.92,5143121,ABT,52.8251
1174,2017-10-06,54.9,55.0596,54.51,55.0,4302126,ABT,53.30318
1175,2017-10-09,55.05,55.05,54.61,54.66,3985799,ABT,53.327923
1176,2017-10-10,54.77,55.43,54.53,55.4,4943124,ABT,53.017673
1177,2017-10-11,55.26,55.35,54.32,54.44,6940043,ABT,53.732563
1178,2017-10-12,54.24,54.73,54.11,54.71,4404962,ABT,52.780293
1179,2017-10-13,54.64,54.79,54.45,54.65,4951775,ABT,53.12688
1180,2017-10-16,54.62,54.91,54.5223,54.63,3725850,ABT,53.042816
1181,2017-10-17,54.59,55.23,54.4,55.06,5432973,ABT,53.029118
1182,2017-10-18,55.18,56.6,54.92,55.77,9044529,ABT,53.427124
1183,2017-10-19,55.9,56.18,55.41,56.0,4865319,ABT,54.035664
1184,2017-10-20,56.17,56.44,55.94,56.32,5528681,ABT,54.18153
1185,2017-10-23,56.21,56.685,56.07,56.08,4709045,ABT,54.459114
1186,2017-10-24,56.0,56.07,55.18,55.38,7200991,ABT,54.214046
1187,2017-10-25,55.38,55.88,55.19,55.5,4705052,ABT,53.600166
1188,2017-10-26,55.34,55.69,55.08,55.48,5033437,ABT,53.78037
1189,2017-10-27,55.49,55.62,55.18,55.37,4724503,ABT,53.744473
1190,2017-10-30,55.18,55.3069,54.055,54.29,7542616,ABT,53.643574
1191,2017-10-31,54.48,54.54,54.03,54.23,7676194,ABT,52.66482
1192,2017-11-01,53.89,54.57,53.6101,54.0,7641899,ABT,52.71698
1193,2017-11-02,54.05,54.65,53.96,54.37,6953162,ABT,52.502316
1194,2017-11-03,54.57,55.5,54.47,55.47,4567065,ABT,52.858444
1195,2017-11-06,55.32,55.4,55.01,55.01,3134181,ABT,53.826958
1196,2017-11-07,55.15,55.26,54.67,55.16,4843996,ABT,53.30299
1197,2017-11-08,54.98,55.35,54.72,55.25,3712978,ABT,53.49521
1198,2017-11-09,55.06,55.5,54.91,55.45,3299772,ABT,53.564564
1199,2017-11-10,55.23,55.32,54.37,54.8,5033162,ABT,53.73666
1200,2017-11-13,54.69,55.37,54.56,55.3,3854524,ABT,53.121986
1201,2017-11-14,55.05,55.21,54.76,55.01,6180407,ABT,53.64524
1202,2017-11-15,54.78,55.08,54.54,54.83,4999782,ABT,53.32662
1203,2017-11-16,55.11,55.84,54.86,55.54,6866883,ABT,53.19051
1204,2017-11-17,55.29,55.71,55.22,55.56,6284213,ABT,53.858532
1205,2017-11-20,55.66,55.6784,55.13,55.29,3699402,ABT,53.805412
1206,2017-11-21,55.45,56.32,55.44,56.12,4612991,ABT,53.56067
1207,2017-11-22,56.03,56.15,55.57,55.8,3552077,ABT,54.35012
1208,2017-11-24,55.85,56.19,55.74,56.13,2148282,ABT,53.974945
1209,2017-11-27,56.17,56.52,56.01,56.15,4518295,ABT,54.31201
1210,2017-11-28,56.3,56.3,55.575,56.02,6841715,ABT,54.300304
1211,2017-11-29,56.09,56.3,55.38,55.58,7277873,ABT,54.179855
1212,2017-11-30,55.67,56.46,55.31,56.37,10086259,ABT,53.792072
1213,2017-12-01,56.3,56.68,55.27,55.98,5322310,ABT,54.557804
1214,2017-12-04,56.14,56.2,54.69,54.71,4589081,ABT,54.120342
1215,2017-12-05,54.64,55.32,54.34,54.79,4321075,ABT,52.997242
1216,2017-12-06,54.87,55.112,54.32,54.66,7828595,ABT,53.2004
1217,2017-12-07,54.76,54.94,54.35,54.69,4421939,ABT,53.06155
1218,2017-12-08,54.66,54.85,54.325,54.64,5103892,ABT,53.09628
1219,2017-12-11,54.77,55.12,54.48,54.94,4273000,ABT,53.04721
1220,2017-12-12,55.45,55.87,55.155,55.7,9860720,ABT,53.32688
1221,2017-12-13,55.67,55.76,54.8,55.06,9962307,ABT,53.992615
1222,2017-12-14,55.03,55.22,54.63,54.73,5935190,ABT,53.33488
1223,2017-12-15,55.01,55.56,54.84,55.5,14655482,ABT,53.101612
1224,2017-12-18,55.59,56.52,55.42,56.4,6053871,ABT,53.837036
1225,2017-12-19,56.65,56.945,56.45,56.8,7116846,ABT,54.57757
1226,2017-12-20,56.73,57.3,56.395,57.02,11948355,ABT,54.858017
1227,2017-12-21,57.15,57.27,56.74,56.93,6154694,ABT,55.028248
1228,2017-12-22,57.1,57.3243,56.76,56.93,5449333,ABT,54.931053
1229,2017-12-26,57.01,57.245,56.9,57.0,3187912,ABT,54.943077
1230,2017-12-27,57.09,57.6,57.05,57.47,5243921,ABT,55.007725
1231,2017-12-28,57.44,57.69,57.37,57.46,3387664,ABT,55.429127
1232,2017-12-29,57.6,57.765,57.07,57.07,3995189,ABT,55.37397
1233,2018-01-02,58.2,59.2,57.817,58.79,10113305,ABT,55.022255
1234,2018-01-03,58.99,59.015,58.31,58.92,5684407,ABT,56.629448
1235,2018-01-04,59.5,59.6,58.76,58.82,6239956,ABT,56.575893
1236,2018-01-05,59.04,59.09,58.635,58.99,5836945,ABT,56.47377
1237,2018-01-08,58.85,58.98,58.525,58.82,5411995,ABT,56.64967
1238,2018-01-09,59.1,59.1,58.375,58.92,7467672,ABT,56.478703
1239,2018-01-10,58.75,58.91,58.29,58.83,4340836,ABT,56.58749
1240,2018-01-11,58.65,58.96,58.29,58.95,4240938,ABT,56.496895
1241,2018-01-12,58.96,59.24,58.79,58.84,6321142,ABT,56.615643
1242,2018-01-16,58.891,59.14,58.23,58.44,7175001,ABT,56.50492
1243,2018-01-17,58.76,59.1,58.625,58.99,5037504,ABT,56.15309
1244,2018-01-18,58.78,59.265,58.53,59.07,5658579,ABT,56.696655
1245,2018-01-19,59.23,59.68,58.96,59.31,7363008,ABT,56.712105
1246,2018-01-22,58.88,59.57,58.45,59.57,6841939,ABT,56.921
1247,2018-01-23,59.52,59.5661,58.975,59.23,8122077,ABT,57.135963
1248,2018-01-24,61.0,64.16,60.74,61.72,11704949,ABT,56.801132
1249,2018-01-25,63.18,64.6,62.32,63.22,15261885,ABT,59.08322
1250,2018-01-26,63.15,63.435,62.67,63.42,10242797,ABT,60.174618
1251,2018-01-29,63.09,63.465,62.85,63.31,8638541,ABT,60.189426
1252,2018-01-30,62.44,63.115,62.2901,62.44,6497641,ABT,60.079086
1253,2018-01-31,62.66,62.76,61.85,62.16,7804362,ABT,59.317543
1254,2018-02-01,61.75,62.54,61.66,62.18,8101584,ABT,59.162197
1255,2018-02-02,62.2,62.42,61.64,61.69,12346542,ABT,59.21386
1256,2018-02-05,61.6,61.87,58.55,58.73,11548229,ABT,58.76684
1257,2018-02-06,57.92,59.2606,57.33,58.86,15214679,ABT,56.125957
1258,2018-02-07,58.6,59.85,58.5,58.67,6872663,ABT,56.57955
