,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,165.75,167.79,165.5,167.47,4281382,AMGN,167.34232
1009,2017-02-10,167.8,168.31,167.03,167.89,2931238,AMGN,166.66235
1010,2017-02-13,167.72,168.26,166.68,167.66,3602846,AMGN,167.01183
1011,2017-02-14,167.07,168.07,165.57,168.05,3116698,AMGN,166.75343
1012,2017-02-15,167.32,172.0,167.0,171.79,4058811,AMGN,167.11716
1013,2017-02-16,171.56,172.17,170.3001,172.11,2660644,AMGN,170.7242
1014,2017-02-17,171.35,173.36,168.89,173.29,4154875,AMGN,171.0924
1015,2017-02-21,172.85,173.5,171.86,173.14,3941221,AMGN,172.30759
1016,2017-02-22,172.33,174.7,171.8901,172.61,2579797,AMGN,172.15442
1017,2017-02-23,172.75,174.01,171.89,174.01,2191424,AMGN,171.63051
1018,2017-02-24,173.29,174.72,172.48,174.56,2677307,AMGN,172.94707
1019,2017-02-27,174.21,176.27,173.71,176.13,2850737,AMGN,173.45102
1020,2017-02-28,175.46,178.25,175.42,176.53,3370380,AMGN,174.991
1021,2017-03-01,178.0,179.68,175.76,178.24,3532349,AMGN,175.37384
1022,2017-03-02,177.72,178.86,176.82,178.07,3493003,AMGN,177.05154
1023,2017-03-03,178.46,180.53,177.55,180.2,2900888,AMGN,176.85146
1024,2017-03-06,179.55,180.34,178.16,179.46,3280087,AMGN,178.93854
1025,2017-03-07,177.4,178.59,176.28,177.38,3328877,AMGN,178.14447
1026,2017-03-08,177.25,178.76,177.14,177.78,2320991,AMGN,176.13945
1027,2017-03-09,178.05,179.12,177.07,178.92,2505311,AMGN,176.50792
1028,2017-03-10,179.47,181.93,179.11,181.44,4589257,AMGN,177.56564
1029,2017-03-13,181.93,182.0,180.32,181.05,2530960,AMGN,180.03821
1030,2017-03-14,180.42,181.56,179.63,180.12,2746605,AMGN,179.6466
1031,2017-03-15,180.31,184.21,180.31,182.6,4197296,AMGN,178.79552
1032,2017-03-16,181.6,181.84,178.02,180.11,6014375,AMGN,181.21552
1033,2017-03-17,167.37,171.59,165.95,168.61,23936848,AMGN,178.68097
1034,2017-03-20,169.63,169.71,167.76,169.24,5831538,AMGN,167.68417
1035,2017-03-21,170.05,170.21,166.49,166.85,4922665,AMGN,168.17575
1036,2017-03-22,167.93,167.98,166.59,167.45,5070374,AMGN,165.76416
1037,2017-03-23,167.48,168.02,165.57,166.04,4432154,AMGN,166.42618
1038,2017-03-24,166.69,166.925,165.08,165.74,3175587,AMGN,165.19794
1039,2017-03-27,164.77,166.61,163.0,164.91,4733979,AMGN,165.01706
1040,2017-03-28,164.11,166.26,163.73,164.71,6526446,AMGN,164.2844
1041,2017-03-29,164.47,165.22,162.94,163.06,4070780,AMGN,164.1217
1042,2017-03-30,164.07,164.8,163.21,164.38,2262328,AMGN,162.56607
1043,2017-03-31,164.32,165.48,163.85,164.07,2811836,AMGN,163.77985
1044,2017-04-03,164.63,165.02,163.52,163.89,3047953,AMGN,163.50104
1045,2017-04-04,163.78,164.49,163.12,164.36,2239434,AMGN,163.34373
1046,2017-04-05,163.27,164.76,161.68,162.24,3542256,AMGN,163.77296
1047,2017-04-06,162.2,163.45,161.61,162.25,3024172,AMGN,161.76083
1048,2017-04-07,162.91,164.24,162.25,163.38,2202242,AMGN,161.6931
1049,2017-04-10,163.85,164.24,162.62,162.79,1772029,AMGN,162.71796
1050,2017-04-11,162.89,163.4,161.56,163.11,1990300,AMGN,162.1935
1051,2017-04-12,164.08,164.1,162.16,163.05,2248673,AMGN,162.50009
1052,2017-04-13,163.28,163.63,161.33,161.61,2568793,AMGN,162.44281
1053,2017-04-17,161.34,162.52,161.26,162.11,2364877,AMGN,161.07881
1054,2017-04-18,161.93,161.93,160.28,161.25,2532118,AMGN,161.49338
1055,2017-04-19,162.1,162.64,161.13,161.26,2344063,AMGN,160.67194
1056,2017-04-20,161.05,162.77,161.01,162.04,2070152,AMGN,160.66098
1057,2017-04-21,162.15,162.73,160.25,160.41,2906923,AMGN,161.39252
1058,2017-04-24,162.5,163.6,161.9,163.14,3498403,AMGN,159.89243
1059,2017-04-25,163.52,165.3,163.4,164.7,3529408,AMGN,162.4323
1060,2017-04-26,165.61,165.61,164.3397,164.61,4175536,AMGN,163.98499
1061,2017-04-27,160.13,163.4327,160.0,162.72,5699193,AMGN,163.99017
1062,2017-04-28,162.39,163.48,161.53,163.32,2942158,AMGN,162.20776
1063,2017-05-01,163.68,164.44,162.45,162.6,2522034,AMGN,162.68323
1064,2017-05-02,163.91,163.94,162.41,163.49,3737839,AMGN,161.96123
1065,2017-05-03,163.82,164.08,163.0,163.81,2855073,AMGN,162.77919
1066,2017-05-04,164.17,164.82,163.52,164.29,2543448,AMGN,163.10223
1067,2017-05-05,164.81,164.81,162.42,163.81,2970385,AMGN,163.58975
1068,2017-05-08,163.73,163.81,162.47,163.03,2291872,AMGN,163.15814
1069,2017-05-09,163.17,164.08,162.83,163.22,2305526,AMGN,162.41005
1070,2017-05-10,163.25,163.48,159.7001,160.51,5201025,AMGN,162.55196
1071,2017-05-11,159.86,160.52,158.29,160.08,3510153,AMGN,159.98523
1072,2017-05-12,160.49,160.62,159.46,160.22,2706045,AMGN,159.48795
1073,2017-05-15,158.88,160.15,158.71,159.97,3318715,AMGN,159.57422
1074,2017-05-16,160.21,160.49,159.4575,159.99,2281173,AMGN,159.36371
1075,2017-05-17,158.77,159.285,156.93,157.06,3073212,AMGN,159.40775
1076,2017-05-18,157.37,158.79,156.29,157.96,2163252,AMGN,156.68658
1077,2017-05-19,157.59,158.58,156.35,156.51,2577270,AMGN,157.40935
1078,2017-05-22,153.59,154.605,152.45,153.02,6911699,AMGN,156.06454
1079,2017-05-23,152.65,154.57,152.16,154.07,3581999,AMGN,152.78337
1080,2017-05-24,154.77,154.99,153.79,154.6,2669558,AMGN,153.55385
1081,2017-05-25,155.19,156.04,154.62,155.43,2965848,AMGN,154.07533
1082,2017-05-26,155.6,156.13,154.79,155.01,2731557,AMGN,154.92441
1083,2017-05-30,155.01,155.365,153.56,153.85,2716816,AMGN,154.6173
1084,2017-05-31,153.67,155.37,153.67,155.24,3891263,AMGN,153.53992
1085,2017-06-01,155.4,156.77,155.24,156.24,3005265,AMGN,154.75038
1086,2017-06-02,157.27,159.62,157.0,159.15,3320771,AMGN,155.72815
1087,2017-06-05,160.29,161.12,158.27,160.22,4611127,AMGN,158.51941
1088,2017-06-06,160.13,160.919,159.24,159.53,3002487,AMGN,159.66672
1089,2017-06-07,159.82,162.05,159.75,161.66,3571518,AMGN,159.0858
1090,2017-06-08,161.98,163.165,161.41,162.65,3555137,AMGN,161.0397
1091,2017-06-09,162.75,166.1369,162.63,164.06,4086842,AMGN,161.99779
1092,2017-06-12,165.0,167.23,163.28,164.88,4344480,AMGN,163.3622
1093,2017-06-13,164.47,165.09,163.77,164.43,2568170,AMGN,164.1657
1094,2017-06-14,164.36,165.88,163.97,165.1,2594842,AMGN,163.74811
1095,2017-06-15,164.24,164.9,162.55,164.11,3585036,AMGN,164.3502
1096,2017-06-16,163.84,164.1,161.13,162.42,5887244,AMGN,163.39142
1097,2017-06-19,163.1,165.22,162.69,165.09,3043884,AMGN,161.75627
1098,2017-06-20,165.43,168.7,164.79,166.29,3857863,AMGN,164.21834
1099,2017-06-21,167.2,171.76,166.36,171.35,5490814,AMGN,165.42406
1100,2017-06-22,172.44,175.45,172.1,173.82,5745765,AMGN,170.38142
1101,2017-06-23,173.24,174.13,170.96,172.5,14368474,AMGN,172.8656
1102,2017-06-26,173.39,174.72,172.41,173.67,3037563,AMGN,171.67133
1103,2017-06-27,173.02,173.92,170.77,170.85,2941462,AMGN,172.77502
1104,2017-06-28,171.42,174.5394,170.83,174.07,2890490,AMGN,169.95245
1105,2017-06-29,174.49,174.72,171.02,172.59,2491761,AMGN,172.99971
1106,2017-06-30,173.61,174.25,172.01,172.23,2695516,AMGN,171.49585
1107,2017-07-03,172.63,174.33,172.63,172.8,1395060,AMGN,171.19638
