,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,821.6,825.0,819.71,821.36,2484948,AMZN,819.62244
1009,2017-02-10,823.82,828.0,822.85,827.46,2429609,AMZN,819.37115
1010,2017-02-13,831.62,842.9999,828.55,836.53,4172618,AMZN,826.06006
1011,2017-02-14,837.0,838.31,831.4522,836.39,2792442,AMZN,834.81085
1012,2017-02-15,834.0,842.81,832.82,842.7,2968853,AMZN,832.53015
1013,2017-02-16,841.84,845.0,839.375,844.14,2714667,AMZN,840.4317
1014,2017-02-17,842.0,847.27,840.73,845.07,3112275,AMZN,840.54333
1015,2017-02-21,848.84,857.98,847.25,856.44,3507742,AMZN,841.8061
1016,2017-02-22,856.95,858.43,852.18,855.61,2616971,AMZN,854.8781
1017,2017-02-23,857.57,860.86,848.0,852.19,3461984,AMZN,850.98193
1018,2017-02-24,844.69,845.81,837.7501,845.24,3687963,AMZN,848.1097
1019,2017-02-27,842.38,852.5,839.67,848.64,2713627,AMZN,841.28204
1020,2017-02-28,851.45,854.09,842.05,845.04,2793709,AMZN,847.19244
1021,2017-03-01,853.05,854.83,849.01,853.08,2760083,AMZN,841.826
1022,2017-03-02,853.08,854.82,847.28,848.91,2132098,AMZN,852.2244
1023,2017-03-03,847.2,851.985,846.27,849.88,1951575,AMZN,844.90564
1024,2017-03-06,845.23,848.49,841.12,846.61,2610370,AMZN,847.6163
1025,2017-03-07,845.48,848.46,843.75,846.02,2247554,AMZN,843.36566
1026,2017-03-08,848.0,853.07,846.79,850.5,2288317,AMZN,843.7217
1027,2017-03-09,851.0,856.3999,850.31,853.0,2048187,AMZN,848.83453
1028,2017-03-10,857.0,857.35,851.72,852.46,2436434,AMZN,850.3845
1029,2017-03-13,851.77,855.69,851.71,854.59,1909672,AMZN,849.2613
1030,2017-03-14,853.55,853.75,847.55,852.53,2130586,AMZN,852.00287
1031,2017-03-15,854.33,854.45,847.11,852.97,2562176,AMZN,849.0802
1032,2017-03-16,855.3,855.5,850.51,853.42,1842296,AMZN,850.357
1033,2017-03-17,853.49,853.83,850.64,852.31,3384403,AMZN,850.6887
1034,2017-03-20,851.51,857.8,851.01,856.97,2282727,AMZN,849.3561
1035,2017-03-21,858.84,862.795,841.31,843.2,4382852,AMZN,855.0467
1036,2017-03-22,840.43,849.37,839.05,848.06,2658669,AMZN,837.90137
1037,2017-03-23,848.2,850.89,844.8,847.38,1952964,AMZN,847.61865
1038,2017-03-24,851.68,851.8,843.53,845.61,2138269,AMZN,844.7191
1039,2017-03-27,838.07,850.3,833.5,846.82,2755775,AMZN,843.0995
1040,2017-03-28,851.75,858.46,850.1,856.0,3041633,AMZN,844.8055
1041,2017-03-29,859.05,876.438,859.02,874.32,4485770,AMZN,854.85187
1042,2017-03-30,874.95,877.06,871.66,876.34,2762730,AMZN,873.28534
1043,2017-03-31,877.0,890.35,876.65,886.54,3957612,AMZN,870.8481
1044,2017-04-03,888.0,893.49,885.42,891.51,3422328,AMZN,883.1301
1045,2017-04-04,891.5,908.5384,890.28,906.83,4984656,AMZN,886.31525
1046,2017-04-05,910.82,923.72,905.62,909.28,7508370,AMZN,903.5015
1047,2017-04-06,913.8,917.1899,894.4927,898.28,6344065,AMZN,902.49524
1048,2017-04-07,899.65,900.09,889.31,894.88,3707367,AMZN,890.4849
1049,2017-04-10,899.63,908.51,899.0,907.04,3184301,AMZN,890.3745
1050,2017-04-11,907.04,911.24,897.5,902.36,3012743,AMZN,905.14246
1051,2017-04-12,903.09,904.09,895.2501,896.23,2456140,AMZN,896.20605
1052,2017-04-13,891.45,894.97,884.49,884.67,3174583,AMZN,891.2765
1053,2017-04-17,887.5,902.38,887.5,901.99,2854673,AMZN,879.5666
1054,2017-04-18,900.99,909.61,900.78,903.78,2999238,AMZN,902.59644
1055,2017-04-19,907.84,910.5,897.369,899.2,2870242,AMZN,898.84094
1056,2017-04-20,899.7,905.32,896.29,902.06,2814441,AMZN,893.9405
1057,2017-04-21,902.67,903.65,896.77,898.53,2420494,AMZN,898.5748
1058,2017-04-24,908.68,909.99,903.82,907.41,3122893,AMZN,893.5535
1059,2017-04-25,907.04,909.48,903.0,907.62,3380639,AMZN,905.0369
1060,2017-04-26,910.3,915.749,907.56,909.29,2608948,AMZN,902.4704
1061,2017-04-27,914.39,921.86,912.11,918.38,5305543,AMZN,904.89825
1062,2017-04-28,948.83,949.59,924.3335,924.99,7364681,AMZN,914.9101
1063,2017-05-01,927.8,954.4,927.8,948.23,5466544,AMZN,920.05237
1064,2017-05-02,946.645,950.1,941.413,946.94,3848835,AMZN,945.498
1065,2017-05-03,946.0,946.0,935.9,941.03,3582686,AMZN,937.5741
1066,2017-05-04,944.75,945.0,934.215,937.53,2418381,AMZN,932.9234
1067,2017-05-05,940.52,940.79,930.3,934.15,2866397,AMZN,930.99506
1068,2017-05-08,940.95,949.05,939.21,949.04,3415731,AMZN,928.30865
1069,2017-05-09,952.8,957.89,950.2,952.82,3262113,AMZN,946.5059
1070,2017-05-10,953.5,953.7499,945.0,948.95,2096512,AMZN,946.2031
1071,2017-05-11,945.11,950.29,940.775,947.62,2194070,AMZN,941.5532
1072,2017-05-12,954.5,962.79,951.53,961.35,3625857,AMZN,941.48914
1073,2017-05-15,958.73,963.15,956.055,957.97,4270625,AMZN,957.694
1074,2017-05-16,961.0,970.06,960.91,966.07,3126051,AMZN,949.67944
1075,2017-05-17,954.7,960.3957,944.12,944.76,5145578,AMZN,960.99664
1076,2017-05-18,944.8,962.75,944.76,958.49,3939347,AMZN,933.8901
1077,2017-05-19,962.84,968.92,959.72,959.84,3972089,AMZN,956.9271
1078,2017-05-22,964.0,971.38,962.9,970.67,2642217,AMZN,953.03326
1079,2017-05-23,975.02,975.2,966.85,971.54,2415594,AMZN,966.0572
1080,2017-05-24,976.0,981.0,970.23,980.35,2463052,AMZN,963.6661
1081,2017-05-25,984.85,999.0,982.11,993.38,4822032,AMZN,974.3825
1082,2017-05-26,995.0,998.65,989.2491,995.78,3469154,AMZN,986.863
1083,2017-05-30,996.51,1001.2,995.52,996.7,3263069,AMZN,986.3988
1084,2017-05-31,1000.0,1000.12,982.16,994.62,3913115,AMZN,987.8068
1085,2017-06-01,998.59,998.99,991.37,995.95,2454841,AMZN,985.6106
1086,2017-06-02,998.99,1008.48,995.67,1006.73,3752328,AMZN,988.2386
1087,2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859,AMZN,1000.3811
