,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,50.04,50.33,49.48,49.81,6356981,COP,50.964413
1009,2017-02-10,50.03,50.54,49.815,50.14,5996045,COP,51.137886
1010,2017-02-13,50.04,50.04,49.22,49.7,6164249,COP,51.438057
1011,2017-02-14,50.0,50.18,49.33,50.14,6063387,COP,50.979816
1012,2017-02-15,49.83,50.29,49.31,49.36,7461768,COP,51.460426
1013,2017-02-16,49.59,49.65,48.27,48.34,9689101,COP,50.647423
1014,2017-02-17,48.22,48.24,47.1,47.51,10694026,COP,49.732788
1015,2017-02-21,48.13,48.52,47.82,48.13,9577221,COP,48.9979
1016,2017-02-22,47.8,47.94,47.03,47.1,8007744,COP,49.642063
1017,2017-02-23,47.79,47.86,47.03,47.3,7846378,COP,48.5355
1018,2017-02-24,47.01,47.49,46.71,47.04,6749541,COP,48.836365
1019,2017-02-27,47.23,47.64,46.965,47.36,6208296,COP,48.531498
1020,2017-02-28,47.17,47.67,47.0,47.57,6710562,COP,48.869896
1021,2017-03-01,48.0,49.23,47.86,49.05,9194533,COP,49.035484
1022,2017-03-02,48.62,48.82,47.91,48.21,5955304,COP,50.4717
1023,2017-03-03,48.19,48.44,47.64,47.82,5316706,COP,49.522335
1024,2017-03-06,47.78,48.4652,47.34,48.32,6078519,COP,49.27647
1025,2017-03-07,48.45,48.51,47.595,47.72,5652837,COP,49.792103
1026,2017-03-08,47.41,47.66,45.805,45.91,9435487,COP,49.14312
1027,2017-03-09,45.61,46.63,45.48,46.48,7235876,COP,47.446785
1028,2017-03-10,46.88,46.88,45.48,45.67,8455360,COP,48.158344
1029,2017-03-13,45.68,46.165,45.54,45.84,6333786,COP,47.241253
1030,2017-03-14,45.15,45.2,44.19,44.94,10538326,COP,47.484623
1031,2017-03-15,45.47,46.12,44.85,45.84,7573389,COP,46.558884
1032,2017-03-16,45.95,46.13,45.51,45.84,6393734,COP,47.525585
1033,2017-03-17,45.97,46.36,45.64,45.69,8359693,COP,47.40015
1034,2017-03-20,45.4,45.98,45.05,45.86,5754178,COP,47.283188
1035,2017-03-21,46.04,46.17,44.88,45.18,6504187,COP,47.47197
1036,2017-03-22,45.03,45.32,44.63,44.65,7852167,COP,46.79454
1037,2017-03-23,44.65,45.0,44.35,44.48,9149363,COP,46.355835
1038,2017-03-24,44.64,44.88,43.97,44.1,8797147,COP,46.219852
1039,2017-03-27,43.49,44.44,43.26,44.29,6231896,COP,45.840145
1040,2017-03-28,44.41,45.49,44.2,45.38,7034758,COP,46.046917
1041,2017-03-29,45.33,46.06,45.005,45.95,6040817,COP,47.064587
1042,2017-03-30,49.33,50.41,48.61,50.0,40059849,COP,47.509026
1043,2017-03-31,49.64,50.05,49.021,49.87,13410488,COP,51.451088
1044,2017-04-03,49.9,49.93,48.8,49.45,7711956,COP,50.96449
1045,2017-04-04,49.43,49.79,49.045,49.73,6175883,COP,50.719208
1046,2017-04-05,50.01,50.405,48.95,49.11,7490852,COP,51.07504
1047,2017-04-06,49.39,49.97,49.16,49.81,6823848,COP,50.446194
1048,2017-04-07,49.85,49.995,49.38,49.54,5856340,COP,51.189075
1049,2017-04-10,49.79,50.47,49.7296,50.15,6737361,COP,50.832867
1050,2017-04-11,50.15,50.24,49.57,50.15,7395200,COP,51.461296
1051,2017-04-12,50.14,50.62,49.295,49.44,7622973,COP,51.396088
1052,2017-04-13,49.6,49.785,48.535,48.62,8807145,COP,50.71791
1053,2017-04-17,48.59,49.02,48.46,48.95,5286622,COP,49.9888
1054,2017-04-18,48.61,49.265,48.43,48.69,6046632,COP,50.369793
1055,2017-04-19,48.76,49.07,47.82,48.0,6165247,COP,50.052586
1056,2017-04-20,48.02,48.68,47.89,47.95,6278788,COP,49.40315
1057,2017-04-21,47.86,48.13,47.3,47.74,6056267,COP,49.412506
1058,2017-04-24,48.0,48.19,47.71,47.91,5750672,COP,49.190205
1059,2017-04-25,47.97,48.895,47.8,48.79,7023235,COP,49.369156
1060,2017-04-26,48.27,49.53,48.24,48.34,6536870,COP,50.203606
1061,2017-04-27,47.83,48.14,46.8599,47.86,7302663,COP,49.685608
1062,2017-04-28,48.15,48.32,47.74,47.91,6428976,COP,49.292923
1063,2017-05-01,47.9,48.03,47.46,47.48,5795444,COP,49.385384
1064,2017-05-02,47.56,47.62,46.27,46.7,10390497,COP,48.94588
1065,2017-05-03,46.25,47.44,46.25,47.08,5757217,COP,48.222713
1066,2017-05-04,46.78,46.85,45.69,45.92,9998760,COP,48.65115
1067,2017-05-05,45.95,46.85,45.89,46.77,7894377,COP,47.451347
1068,2017-05-08,46.8,47.23,46.52,47.13,5861196,COP,48.396366
1069,2017-05-09,47.18,47.21,46.06,46.27,6157396,COP,48.619663
1070,2017-05-10,46.71,47.8601,46.53,47.61,7950279,COP,47.768154
1071,2017-05-11,47.01,47.81,47.01,47.42,8569905,COP,49.177635
1072,2017-05-12,47.4,47.67,46.585,46.97,9151938,COP,48.837463
1073,2017-05-15,48.09,48.33,47.26,47.44,7675589,COP,48.46045
1074,2017-05-16,47.67,47.72,46.675,47.13,5288175,COP,48.966988
1075,2017-05-17,47.01,47.4,46.33,46.41,7512809,COP,48.60621
1076,2017-05-18,46.0,46.96,45.82,46.42,6543458,COP,47.94649
1077,2017-05-19,46.89,47.6857,46.62,47.48,7206164,COP,48.0171
1078,2017-05-22,47.83,47.9,46.87,46.93,7967925,COP,49.01964
1079,2017-05-23,46.86,47.325,46.67,46.76,7436714,COP,48.369656
1080,2017-05-24,46.64,46.75,46.14,46.67,7848103,COP,48.29139
1081,2017-05-25,46.47,46.97,44.68,45.05,12772241,COP,48.211903
1082,2017-05-26,45.33,45.4,44.68,45.35,10758924,COP,46.6403
1083,2017-05-30,44.93,45.09,44.53,44.79,9280928,COP,47.087635
1084,2017-05-31,44.32,44.86,44.09,44.69,8770777,COP,46.44908
1085,2017-06-01,44.8,45.32,44.39,44.86,7946842,COP,46.40235
1086,2017-06-02,44.58,44.62,44.02,44.26,8000880,COP,46.550823
1087,2017-06-05,44.06,44.53,44.0,44.02,5731336,COP,45.942413
1088,2017-06-06,43.95,44.51,43.8,44.48,8584006,COP,45.77713
1089,2017-06-07,44.2,44.43,43.24,43.56,13140900,COP,46.227985
1090,2017-06-08,43.26,43.85,43.02,43.07,9179469,COP,45.275204
1091,2017-06-09,43.1,44.94,43.07,44.82,10412891,COP,44.911335
1092,2017-06-12,45.25,46.04,45.25,45.72,13550427,COP,46.627804
1093,2017-06-13,45.72,46.66,45.605,46.43,8600990,COP,47.290894
1094,2017-06-14,46.06,46.11,45.19,45.42,7069584,COP,47.953888
1095,2017-06-15,45.36,45.85,44.9,45.39,9672482,COP,46.952015
1096,2017-06-16,45.82,46.67,45.61,46.53,11639633,COP,47.069736
1097,2017-06-19,46.54,46.715,46.22,46.36,6029930,COP,48.156868
