,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,80.5,81.98,80.49,81.03,5148175,CRM,80.589325
1009,2017-02-10,81.41,82.0,80.54,80.64,3061931,CRM,80.89503
1010,2017-02-13,81.18,81.3,80.461,80.91,4327751,CRM,80.614784
1011,2017-02-14,80.95,81.3,80.56,80.92,4809545,CRM,80.8905
1012,2017-02-15,81.23,82.83,80.89,81.67,5271923,CRM,80.89124
1013,2017-02-16,81.52,81.715,80.5,80.82,5234718,CRM,81.53663
1014,2017-02-17,80.57,81.47,80.25,81.47,3674149,CRM,80.82684
1015,2017-02-21,81.68,82.42,81.291,82.18,4324955,CRM,81.43264
1016,2017-02-22,82.0,82.39,81.71,82.08,2741390,CRM,81.99024
1017,2017-02-23,82.33,83.125,81.825,82.07,5595150,CRM,81.9357
1018,2017-02-24,81.41,81.82,80.97,81.78,4434187,CRM,81.99379
1019,2017-02-27,81.63,81.92,80.9,81.54,3289270,CRM,81.776726
1020,2017-02-28,81.5,81.83,80.6881,81.35,10532997,CRM,81.58835
1021,2017-03-01,82.87,84.4,82.11,83.81,14319226,CRM,81.41251
1022,2017-03-02,83.56,83.7,82.35,82.67,5884825,CRM,83.44409
1023,2017-03-03,82.0,82.59,81.65,82.22,6223579,CRM,82.459145
1024,2017-03-06,81.76,82.72,81.62,82.5,5328540,CRM,82.24911
1025,2017-03-07,83.36,84.39,82.81,82.97,5431814,CRM,82.48366
1026,2017-03-08,82.96,83.84,82.9364,83.48,3734027,CRM,82.84573
1027,2017-03-09,83.19,83.58,82.81,83.28,3646871,CRM,83.27436
1028,2017-03-10,83.56,83.95,83.24,83.51,3929955,CRM,83.14179
1029,2017-03-13,83.47,83.74,83.08,83.61,3463682,CRM,83.38802
1030,2017-03-14,83.42,83.62,82.73,83.51,2933549,CRM,83.48481
1031,2017-03-15,83.56,83.77,82.995,83.48,3074122,CRM,83.425095
1032,2017-03-16,83.95,84.0,83.27,83.52,3762071,CRM,83.41811
1033,2017-03-17,83.94,83.98,83.02,83.03,7828206,CRM,83.45228
1034,2017-03-20,83.03,83.63,82.81,82.9,3428659,CRM,83.040504
1035,2017-03-21,83.0,83.18,81.37,81.55,4206223,CRM,82.93139
1036,2017-03-22,81.69,81.97,81.14,81.88,3057020,CRM,81.76423
1037,2017-03-23,82.0,82.4,81.46,81.52,3056723,CRM,82.01115
1038,2017-03-24,81.88,82.25,81.29,81.61,3701775,CRM,81.59143
1039,2017-03-27,81.0,81.79,80.5,81.61,3403008,CRM,81.63126
1040,2017-03-28,81.44,82.35,81.3,82.14,3216035,CRM,81.58411
1041,2017-03-29,82.04,82.44,81.66,82.38,2873958,CRM,82.01296
1042,2017-03-30,82.25,82.59,82.015,82.56,3483003,CRM,82.20677
1043,2017-03-31,82.27,82.93,82.19,82.49,3174023,CRM,82.39613
1044,2017-04-03,82.61,82.98,81.55,82.31,4224445,CRM,82.37751
1045,2017-04-04,82.74,83.125,82.53,82.97,4441524,CRM,82.26341
1046,2017-04-05,83.19,86.42,83.01,85.34,13289314,CRM,82.83071
1047,2017-04-06,85.42,85.45,84.37,85.0,5014395,CRM,84.799835
1048,2017-04-07,84.7,84.85,83.82,84.38,4876378,CRM,84.56581
1049,2017-04-10,84.13,84.61,83.86,84.24,3401299,CRM,84.24777
1050,2017-04-11,84.07,84.27,83.3,83.86,2536159,CRM,84.20757
1051,2017-04-12,83.83,84.08,83.2,83.37,3098350,CRM,83.88754
1052,2017-04-13,83.2,84.06,83.13,83.13,2594688,CRM,83.46347
1053,2017-04-17,83.25,84.23,83.0,84.2,2960969,CRM,83.2224
1054,2017-04-18,84.0,84.4,83.53,83.71,2498628,CRM,84.05365
1055,2017-04-19,84.08,84.21,83.35,83.5,2840595,CRM,83.59479
1056,2017-04-20,83.95,84.36,83.46,84.05,4012985,CRM,83.46887
1057,2017-04-21,84.01,84.4,83.65,83.79,2946068,CRM,83.91625
1058,2017-04-24,84.51,84.65,83.75,84.17,3193845,CRM,83.68083
1059,2017-04-25,84.57,85.13,84.35,84.75,3016545,CRM,84.02697
1060,2017-04-26,84.75,85.12,84.39,84.95,2164991,CRM,84.50626
1061,2017-04-27,85.38,86.32,85.29,85.85,2944547,CRM,84.70024
1062,2017-04-28,85.78,86.22,85.28,86.12,2919180,CRM,85.50301
1063,2017-05-01,86.25,86.88,86.25,86.66,3290001,CRM,85.77347
1064,2017-05-02,86.79,87.2,86.11,87.09,3503224,CRM,86.30899
1065,2017-05-03,86.97,87.0562,86.19,86.55,2786697,CRM,86.73134
1066,2017-05-04,86.75,87.13,86.29,86.52,2140147,CRM,86.36108
1067,2017-05-05,86.44,86.98,86.22,86.97,2595773,CRM,86.40023
1068,2017-05-08,86.93,87.17,86.62,86.86,2168352,CRM,86.76566
1069,2017-05-09,87.03,87.62,86.9,87.13,2886964,CRM,86.6694
1070,2017-05-10,87.38,87.62,86.895,87.31,2920685,CRM,86.91522
1071,2017-05-11,87.38,87.9501,86.57,87.71,2731557,CRM,87.06733
1072,2017-05-12,87.97,89.28,87.57,89.04,5586570,CRM,87.41569
1073,2017-05-15,89.27,89.94,89.05,89.8,4053894,CRM,88.52936
1074,2017-05-16,90.01,90.28,89.41,89.75,6422269,CRM,89.19739
1075,2017-05-17,89.06,89.33,87.57,87.84,5619238,CRM,89.27552
1076,2017-05-18,87.88,88.4,87.17,87.75,10179959,CRM,87.82762
1077,2017-05-19,90.95,91.0,86.44,87.4,15733470,CRM,87.79209
1078,2017-05-22,87.54,89.049,86.87,88.94,6058449,CRM,87.39859
1079,2017-05-23,88.73,89.25,88.16,88.49,4344595,CRM,88.59037
1080,2017-05-24,88.43,89.72,88.33,89.6,4708897,CRM,88.16822
1081,2017-05-25,89.97,91.81,89.91,91.27,7407085,CRM,89.14286
1082,2017-05-26,90.93,91.1,90.46,90.83,5284470,CRM,90.51774
1083,2017-05-30,90.5,91.07,90.47,90.86,4626480,CRM,90.25842
1084,2017-05-31,90.69,90.97,89.48,89.64,6030140,CRM,90.43761
1085,2017-06-01,90.0,90.64,89.32,90.05,4890550,CRM,89.50413
1086,2017-06-02,90.24,91.09,89.83,90.86,4969197,CRM,89.855194
1087,2017-06-05,91.0,91.88,90.75,91.38,5537311,CRM,90.4474
1088,2017-06-06,91.0,91.95,90.8,91.1,4296651,CRM,90.862465
1089,2017-06-07,91.45,91.99,90.62,91.39,3483979,CRM,90.68675
1090,2017-06-08,91.34,91.62,90.59,91.25,3804860,CRM,90.97734
1091,2017-06-09,91.09,91.22,85.226,87.27,11672199,CRM,90.87997
1092,2017-06-12,86.12,86.84,83.5501,86.18,9281571,CRM,87.663574
1093,2017-06-13,87.83,88.31,86.8,87.27,5308031,CRM,86.726
1094,2017-06-14,87.69,88.09,86.06,87.17,3554832,CRM,87.34017
1095,2017-06-15,85.99,86.38,84.895,86.27,6661553,CRM,87.032455
1096,2017-06-16,86.08,86.98,85.86,86.0,8004954,CRM,86.24109
1097,2017-06-19,86.69,87.71,86.62,87.54,4835493,CRM,85.981766
1098,2017-06-20,87.63,87.79,86.79,86.92,3095522,CRM,87.1753
1099,2017-06-21,87.5,87.8,86.43,87.56,3794665,CRM,86.61828
1100,2017-06-22,87.87,89.0,87.24,88.47,4412955,CRM,87.22689
1101,2017-06-23,88.29,88.86,87.51,88.62,4890939,CRM,87.98403
1102,2017-06-26,88.8,89.8,87.7,88.11,4866474,CRM,88.16605
1103,2017-06-27,88.0,89.28,87.11,87.68,5371649,CRM,87.84477
1104,2017-06-28,88.28,88.47,86.69,88.09,4257793,CRM,87.55165
1105,2017-06-29,87.65,87.67,85.83,86.8,5215563,CRM,87.88402
1106,2017-06-30,86.8,87.25,86.3,86.6,3943500,CRM,86.795334
1107,2017-07-03,87.01,87.1,85.12,86.1,2741255,CRM,86.6313
1108,2017-07-05,86.28,87.51,86.1001,87.5,4719788,CRM,86.1304
1109,2017-07-06,86.62,87.47,86.34,86.85,3275044,CRM,87.2196
1110,2017-07-07,87.2,88.45,87.185,87.92,2454250,CRM,86.622215
1111,2017-07-10,87.86,88.64,87.47,88.5,2332666,CRM,87.56138
1112,2017-07-11,88.26,88.65,87.67,88.35,2414692,CRM,88.03259
1113,2017-07-12,89.22,90.41,88.85,90.4,4273512,CRM,87.98564
1114,2017-07-13,90.56,90.77,89.5,89.57,3211121,CRM,89.73958
1115,2017-07-14,89.79,90.17,89.54,90.0,1978030,CRM,89.11419
1116,2017-07-17,89.98,90.26,89.27,89.29,2485712,CRM,89.61664
1117,2017-07-18,89.0,89.4,88.62,89.27,3813143,CRM,89.071304
1118,2017-07-19,89.35,90.13,88.8,89.56,4463030,CRM,89.09053
1119,2017-07-20,89.71,90.63,89.42,90.54,3481042,CRM,89.298004
