,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,111.91,112.63,111.69,112.26,4607757,CVX,111.15085
1009,2017-02-10,112.75,113.45,112.37,113.05,6194334,CVX,111.80176
1010,2017-02-13,113.36,113.99,113.05,113.91,4858511,CVX,112.49682
1011,2017-02-14,112.68,113.07,111.78,112.52,5811158,CVX,113.261314
1012,2017-02-15,112.21,113.24,112.21,112.57,7048099,CVX,111.69104
1013,2017-02-16,112.99,112.99,110.43,110.68,9478223,CVX,112.00749
1014,2017-02-17,110.42,110.57,109.27,110.33,8111023,CVX,110.02718
1015,2017-02-21,110.73,112.31,110.6,111.72,6619107,CVX,109.978424
1016,2017-02-22,111.19,111.78,110.31,110.38,5732048,CVX,111.43447
1017,2017-02-23,111.34,111.83,110.75,111.02,8659712,CVX,109.76469
1018,2017-02-24,110.9,111.02,109.47,110.12,6189419,CVX,110.652176
1019,2017-02-27,110.65,112.2697,110.37,111.75,7276445,CVX,109.57243
1020,2017-02-28,111.66,112.76,111.49,112.5,7030223,CVX,111.4194
1021,2017-03-01,112.92,114.3932,112.88,113.88,7353829,CVX,111.89687
1022,2017-03-02,113.67,114.27,113.31,113.36,5892485,CVX,113.23699
1023,2017-03-03,113.76,113.89,113.21,113.55,4909979,CVX,112.496284
1024,2017-03-06,113.25,113.5,112.67,113.17,4731940,CVX,112.8405
1025,2017-03-07,113.54,113.88,111.69,111.81,6660335,CVX,112.44213
1026,2017-03-08,111.68,111.92,109.4,109.61,9071579,CVX,111.118774
1027,2017-03-09,109.31,110.17,108.51,110.04,7247427,CVX,109.063675
1028,2017-03-10,111.4,111.4099,109.44,110.61,6560329,CVX,109.85242
1029,2017-03-13,110.51,110.81,109.31,109.35,6369288,CVX,110.30052
1030,2017-03-14,108.47,108.5737,107.12,107.36,9935732,CVX,108.8508
1031,2017-03-15,108.08,108.98,107.54,108.88,9472102,CVX,106.97157
1032,2017-03-16,108.81,108.88,107.44,107.86,8894699,CVX,108.84095
1033,2017-03-17,108.0,108.42,107.68,107.68,14353407,CVX,107.44581
1034,2017-03-20,107.27,107.85,107.02,107.66,5301890,CVX,107.41772
1035,2017-03-21,108.06,108.23,107.4,108.04,7406294,CVX,107.382126
1036,2017-03-22,107.65,108.85,107.52,108.39,8106844,CVX,107.753914
1037,2017-03-23,108.29,108.86,107.75,107.87,5451228,CVX,108.03161
1038,2017-03-24,107.93,108.42,107.7,107.99,6339900,CVX,107.42898
1039,2017-03-27,107.0,107.35,105.82,106.28,6479407,CVX,107.64915
1040,2017-03-28,106.28,107.74,106.12,107.17,6331533,CVX,105.84842
1041,2017-03-29,106.95,108.0799,106.88,108.07,4919884,CVX,107.06349
1042,2017-03-30,108.15,108.68,107.2,107.78,6797658,CVX,107.79759
1043,2017-03-31,107.7,108.14,107.05,107.37,6158992,CVX,107.33819
1044,2017-04-03,107.22,107.97,106.38,107.8,5800883,CVX,106.97387
1045,2017-04-04,107.88,108.72,107.01,108.66,4687432,CVX,107.49296
1046,2017-04-05,109.65,110.67,108.56,108.64,6398830,CVX,108.308716
1047,2017-04-06,109.12,109.65,108.75,109.29,3934462,CVX,108.14987
1048,2017-04-07,109.38,109.58,108.665,108.86,4889412,CVX,108.85531
1049,2017-04-10,109.12,110.2,108.97,109.43,4812093,CVX,108.314964
1050,2017-04-11,109.53,109.54,108.06,108.97,3956487,CVX,109.01288
1051,2017-04-12,109.36,109.36,108.45,108.97,5053297,CVX,108.44676
1052,2017-04-13,108.64,108.735,105.93,106.1,6894792,CVX,108.54843
1053,2017-04-17,106.17,106.4837,105.65,106.17,5278826,CVX,105.572266
1054,2017-04-18,105.81,106.68,105.321,105.68,4252670,CVX,106.132675
1055,2017-04-19,105.89,106.14,103.83,104.23,6667880,CVX,105.539925
1056,2017-04-20,104.4,105.69,104.36,104.88,4988080,CVX,104.07761
1057,2017-04-21,104.8,105.43,104.29,104.89,5432604,CVX,104.940285
1058,2017-04-24,105.79,106.41,105.37,105.93,4538203,CVX,104.75978
1059,2017-04-25,106.3,106.97,106.18,106.73,4618984,CVX,105.8012
1060,2017-04-26,106.4,107.48,105.97,106.08,6687389,CVX,106.422386
1061,2017-04-27,105.96,105.98,104.67,105.47,5781839,CVX,105.62798
1062,2017-04-28,107.05,107.6,105.99,106.7,6848413,CVX,105.139824
1063,2017-05-01,106.26,106.73,105.76,105.92,4955462,CVX,106.527954
1064,2017-05-02,106.11,106.53,105.09,105.36,5112150,CVX,105.50151
1065,2017-05-03,105.36,107.26,105.13,106.72,5662953,CVX,105.08372
1066,2017-05-04,106.24,106.33,104.14,104.81,8039858,CVX,106.581505
1067,2017-05-05,104.92,105.885,104.7,105.79,5060047,CVX,104.35498
1068,2017-05-08,105.93,106.72,105.82,106.68,5175129,CVX,105.72134
1069,2017-05-09,106.51,106.75,104.815,105.08,5023973,CVX,106.43306
1070,2017-05-10,105.819,106.83,105.54,106.5,5582820,CVX,104.63322
