,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,119.69,120.97,119.64,120.66,2184755,HON,118.433945
1009,2017-02-10,120.785,122.0,120.74,121.85,3590330,HON,119.3495
1010,2017-02-13,122.23,123.81,122.1,123.62,4425520,HON,120.40179
1011,2017-02-14,123.5,123.96,123.14,123.62,3111347,HON,122.00113
1012,2017-02-15,123.36,124.47,123.17,124.28,3220467,HON,121.779396
1013,2017-02-16,124.3,124.44,123.3,124.16,4309055,HON,122.45907
1014,2017-02-17,123.92,124.56,123.32,124.56,2718803,HON,122.25988
1015,2017-02-21,124.8,125.0,124.2,124.71,2369206,HON,122.700035
1016,2017-02-22,124.01,125.0725,123.52,125.04,3201035,HON,122.812836
1017,2017-02-23,125.0,125.42,124.045,124.82,2992204,HON,123.14896
1018,2017-02-24,124.24,125.03,123.62,125.03,2524108,HON,122.911446
1019,2017-02-27,124.6,125.1,124.24,124.89,4086604,HON,123.17974
1020,2017-02-28,125.0,125.72,124.25,124.5,2902921,HON,123.03036
1021,2017-03-01,125.36,127.41,125.36,127.25,3969890,HON,122.68957
1022,2017-03-02,126.76,127.35,125.82,126.33,3015215,HON,125.483536
1023,2017-03-03,126.29,126.63,125.71,126.21,1953415,HON,124.171005
1024,2017-03-06,125.11,126.56,125.02,126.08,3023018,HON,124.24554
1025,2017-03-07,125.97,126.4075,125.58,126.26,2052846,HON,124.12575
1026,2017-03-08,126.41,127.21,126.02,126.59,3120125,HON,124.336075
1027,2017-03-09,126.54,127.23,125.74,126.19,2479484,HON,124.64728
1028,2017-03-10,127.12,127.36,126.49,127.04,2686511,HON,124.216515
1029,2017-03-13,127.12,127.35,126.49,126.73,3118116,HON,125.134224
1030,2017-03-14,125.04,126.59,124.12,125.71,1978016,HON,124.70025
1031,2017-03-15,126.33,127.52,126.0,126.97,3601263,HON,123.75941
1032,2017-03-16,127.48,127.48,126.22,126.36,2742746,HON,125.16178
1033,2017-03-17,126.85,127.32,126.3,127.16,3839754,HON,124.358696
1034,2017-03-20,127.0,127.17,126.31,126.5,2030784,HON,125.27155
1035,2017-03-21,127.06,127.3,125.41,125.66,2364198,HON,124.48699
1036,2017-03-22,125.87,125.94,124.53,125.5,2101627,HON,123.77255
1037,2017-03-23,125.61,125.98,125.13,125.52,1770321,HON,123.73145
1038,2017-03-24,125.59,126.03,124.2828,124.77,2222343,HON,123.767746
1039,2017-03-27,123.77,124.83,123.05,124.5,3328324,HON,123.024414
1040,2017-03-28,124.21,125.8,123.54,125.28,1973829,HON,122.86836
1041,2017-03-29,124.96,125.48,124.77,125.3,1541348,HON,123.666534
1042,2017-03-30,125.13,125.723,124.99,125.41,1781085,HON,123.56461
1043,2017-03-31,125.11,125.55,124.7,124.87,2668599,HON,123.67514
1044,2017-04-03,124.73,125.23,123.29,124.33,2905336,HON,123.11505
1045,2017-04-04,124.47,124.74,123.85,124.18,1777676,HON,122.654465
1046,2017-04-05,124.53,125.1199,123.5,123.57,2585632,HON,122.57106
1047,2017-04-06,123.74,124.33,123.34,123.83,2076723,HON,121.97982
1048,2017-04-07,123.97,124.47,123.59,124.27,1863698,HON,122.31877
1049,2017-04-10,124.26,125.17,124.23,124.46,2268070,HON,122.70363
1050,2017-04-11,124.43,124.79,123.61,124.54,1907241,HON,122.82623
1051,2017-04-12,124.66,124.76,122.97,123.15,2720524,HON,122.875175
1052,2017-04-13,122.93,123.48,122.49,122.5,1677698,HON,121.485435
1053,2017-04-17,123.0,123.43,122.402,123.43,1857408,HON,121.03565
1054,2017-04-18,123.2,123.69,122.69,123.08,1666135,HON,122.02153
1055,2017-04-19,123.8,123.8,122.64,122.74,1839833,HON,121.53719
1056,2017-04-20,123.45,124.6,123.03,123.77,3977938,HON,121.259445
1057,2017-04-21,127.08,128.3,126.1,127.08,6281886,HON,122.30949
1058,2017-04-24,128.35,130.74,128.35,129.79,5641035,HON,125.42622
1059,2017-04-25,129.96,131.34,128.69,129.3,6467846,HON,127.626305
1060,2017-04-26,129.35,130.83,129.14,130.1,4690873,HON,126.757324
1061,2017-04-27,130.34,130.51,129.43,129.88,3435269,HON,127.66331
1062,2017-04-28,134.75,135.0,130.94,131.14,5979521,HON,127.309456
1063,2017-05-01,131.03,131.89,130.5,130.9,3164456,HON,128.63141
1064,2017-05-02,130.73,131.57,130.71,131.19,3948779,HON,128.20879
1065,2017-05-03,130.51,131.53,130.13,131.07,4496921,HON,128.59264
1066,2017-05-04,131.29,131.4197,130.65,131.2,2827321,HON,128.45093
1067,2017-05-05,131.28,131.75,130.75,131.41,4433586,HON,128.63948
1068,2017-05-08,131.47,131.47,130.82,131.13,2340294,HON,128.85489
1069,2017-05-09,131.21,132.11,130.99,131.91,2916974,HON,128.57184
1070,2017-05-10,131.72,132.06,131.21,131.74,2426367,HON,129.42342
1071,2017-05-11,131.88,132.5,130.78,131.9,2079203,HON,129.13701
1072,2017-05-12,131.71,131.78,131.27,131.49,2167407,HON,129.35837
1073,2017-05-15,131.58,132.07,131.36,131.98,2310463,HON,128.93155
1074,2017-05-16,131.98,132.25,131.4,132.01,1881383,HON,129.50534
1075,2017-05-17,130.73,131.05,129.86,129.94,3136760,HON,129.45442
1076,2017-05-18,129.8,131.18,129.0,130.42,2417397,HON,127.408745
1077,2017-05-19,131.37,132.01,130.7,131.4,2498310,HON,128.23846
1078,2017-05-22,132.3,132.38,131.473,131.84,2186066,HON,129.104
1079,2017-05-23,131.73,132.38,131.35,131.85,2291033,HON,129.39641
1080,2017-05-24,132.26,132.67,131.735,132.14,2172656,HON,129.34944
1081,2017-05-25,132.89,133.93,132.16,133.75,2502253,HON,129.64026
1082,2017-05-26,133.7,134.12,132.84,133.25,2692322,HON,131.19258
1083,2017-05-30,132.7,133.22,132.63,132.93,2698630,HON,130.4197
1084,2017-05-31,133.47,133.48,132.96,132.99,2177493,HON,130.22278
1085,2017-06-01,133.56,133.8575,132.82,133.45,2296931,HON,130.32733
1086,2017-06-02,133.63,134.6,133.385,134.03,2632519,HON,130.7787
1087,2017-06-05,133.93,134.15,133.47,133.49,2484641,HON,131.28848
1088,2017-06-06,133.44,133.67,132.69,132.74,1979682,HON,130.66692
1089,2017-06-07,132.86,133.34,132.5365,132.72,2075674,HON,130.034
1090,2017-06-08,132.33,133.59,132.15,133.55,2578094,HON,130.1404
1091,2017-06-09,133.58,134.08,132.95,133.79,2322359,HON,130.96706
1092,2017-06-12,133.33,134.24,132.601,133.26,2230807,HON,131.07008
1093,2017-06-13,133.76,134.42,133.36,134.39,2694677,HON,130.52164
1094,2017-06-14,134.46,134.85,133.83,134.24,2089548,HON,131.74747
1095,2017-06-15,133.35,134.61,133.35,134.47,2818082,HON,131.38805
1096,2017-06-16,134.66,135.33,134.24,134.63,3480126,HON,131.6735
1097,2017-06-19,135.25,135.9,135.01,135.84,2825554,HON,131.78827
1098,2017-06-20,135.24,135.44,134.74,134.91,1930099,HON,132.97733
1099,2017-06-21,135.04,135.18,133.91,134.25,2532628,HON,131.83849
1100,2017-06-22,134.61,134.61,133.7,134.07,1879414,HON,131.38184
1101,2017-06-23,134.04,134.26,133.65,133.99,6316465,HON,131.3031
1102,2017-06-26,134.4,135.01,134.06,134.26,1255712,HON,131.25308
1103,2017-06-27,134.38,134.5,132.8601,132.93,1944347,HON,131.54305
1104,2017-06-28,134.21,134.38,133.5,133.97,2410574,HON,130.1723
1105,2017-06-29,133.97,134.15,131.42,132.32,1833794,HON,131.45389
1106,2017-06-30,133.42,133.87,132.69,133.29,1767954,HON,129.59554
1107,2017-07-03,133.93,134.44,133.53,133.71,904012,HON,130.87733
1108,2017-07-05,133.6,134.01,133.25,133.8,1871238,HON,131.08574
1109,2017-07-06,133.32,134.11,133.2,133.37,1430570,HON,131.1225
1110,2017-07-07,133.7,134.64,133.51,134.12,1730510,HON,130.67688
1111,2017-07-10,134.08,135.53,133.82,134.69,2051422,HON,131.49551
1112,2017-07-11,134.9,134.9,133.49,134.22,1942201,HON,131.9172
1113,2017-07-12,134.92,135.24,134.5,134.77,1692427,HON,131.3612
1114,2017-07-13,134.84,135.54,134.65,135.33,2445544,HON,132.00233
1115,2017-07-14,135.51,135.93,135.13,135.83,1794589,HON,132.45096
1116,2017-07-17,135.92,135.92,135.0,135.26,1428714,HON,132.8651
1117,2017-07-18,135.1,135.34,134.76,135.19,1700786,HON,132.22015
1118,2017-07-19,135.5,136.17,135.3,136.15,2204476,HON,132.26897
1119,2017-07-20,136.18,136.41,134.86,134.95,2943764,HON,133.23273
1120,2017-07-21,133.7,137.42,133.7,136.35,3548102,HON,131.86858
1121,2017-07-24,136.8,137.93,136.74,137.71,3879936,HON,133.51553
1122,2017-07-25,138.0,138.0,136.52,137.25,3073882,HON,134.59332
1123,2017-07-26,137.32,138.69,136.86,138.49,2680240,HON,133.92516
1124,2017-07-27,138.35,138.7,136.35,136.98,3670422,HON,135.28406
1125,2017-07-28,136.98,137.28,136.19,136.79,1846783,HON,133.53485
1126,2017-07-31,137.42,138.1,136.02,136.12,3858925,HON,133.67268
1127,2017-08-01,139.56,140.07,139.12,140.04,3494708,HON,133.01018
1128,2017-08-02,137.36,138.89,136.86,138.72,4827345,HON,137.06616
1129,2017-08-03,138.58,139.56,138.015,139.56,2555286,HON,134.99127
1130,2017-08-04,139.56,140.07,139.12,140.04,3494708,HON,136.20058
1131,2017-08-07,140.21,140.21,137.94,138.96,3542142,HON,136.4742
1132,2017-08-08,138.84,139.64,138.5,138.67,2067757,HON,135.34236
1133,2017-08-09,138.89,139.31,138.2,139.0,1957614,HON,135.28322
1134,2017-08-10,138.33,138.485,137.04,137.24,3064117,HON,135.65286
1135,2017-08-11,136.83,137.57,136.57,136.59,2347107,HON,133.84251
1136,2017-08-14,137.15,138.68,137.0,138.27,2321050,HON,133.54918
1137,2017-08-15,138.42,138.64,137.27,137.42,1731489,HON,135.31511
1138,2017-08-16,137.31,138.55,137.18,138.08,2001842,HON,134.14146
1139,2017-08-17,137.64,137.88,135.85,135.85,3072369,HON,135.00807
1140,2017-08-18,135.73,135.9,134.84,134.95,2977551,HON,132.6234
1141,2017-08-21,134.94,135.77,134.5,135.57,1512552,HON,132.15569
1142,2017-08-22,136.23,137.72,136.02,137.63,1699449,HON,132.8801
1143,2017-08-23,136.45,137.02,136.16,136.41,1249167,HON,134.80681
1144,2017-08-24,136.63,137.05,136.185,136.54,1920444,HON,133.21014
1145,2017-08-25,137.32,137.665,136.8,136.82,1996454,HON,133.60524
1146,2017-08-28,137.14,137.47,136.58,136.87,1515963,HON,133.81172
1147,2017-08-29,136.23,137.72,136.02,137.63,1699449,HON,133.80858
1148,2017-08-30,137.63,138.13,137.08,138.04,1784080,HON,134.5579
1149,2017-08-31,138.41,138.56,137.59,138.27,2985305,HON,134.81995
1150,2017-09-01,138.29,138.53,137.63,137.63,1759337,HON,134.98827
1151,2017-09-05,137.39,137.61,136.17,136.51,2850861,HON,134.3128
1152,2017-09-06,137.23,137.23,136.17,136.55,2439743,HON,133.32242
1153,2017-09-07,136.42,137.42,136.32,137.08,2460484,HON,133.55989
1154,2017-09-08,136.83,138.09,136.67,137.57,2929927,HON,134.06334
1155,2017-09-11,138.42,139.79,138.42,139.0,2333290,HON,134.4632
1156,2017-09-12,138.94,139.07,138.3515,138.68,1602284,HON,135.81364
1157,2017-09-13,138.56,138.78,137.765,137.9,2043564,HON,135.23035
1158,2017-09-14,137.76,137.76,136.86,137.21,3422475,HON,134.5485
1159,2017-09-15,137.87,139.4939,137.62,138.95,4594069,HON,133.99536
1160,2017-09-18,139.3,139.34,137.29,137.67,2879676,HON,135.85054
1161,2017-09-19,137.88,138.08,137.18,137.75,3421514,HON,134.23048
1162,2017-09-20,138.06,138.82,137.82,138.69,3644382,HON,134.60744
1163,2017-09-21,138.88,141.335,138.81,140.86,3914594,HON,135.49602
1164,2017-09-22,140.61,142.06,140.51,141.75,2917230,HON,137.49341
1165,2017-09-25,141.75,141.91,140.48,140.81,2943608,HON,137.98146
1166,2017-09-26,141.06,141.41,140.15,140.24,2361761,HON,136.92699
1167,2017-09-27,140.55,140.583,139.48,139.57,3040245,HON,136.56624
1168,2017-09-28,139.52,140.58,139.29,140.58,2082563,HON,135.99063
1169,2017-09-29,139.77,141.77,139.2,141.74,3673617,HON,137.13364
1170,2017-10-02,141.81,142.6697,141.74,142.66,2522096,HON,138.09113
1171,2017-10-03,142.7,143.15,142.23,142.67,2240867,HON,138.82053
1172,2017-10-04,142.87,143.06,142.09,142.55,1787426,HON,138.68361
1173,2017-10-05,142.95,143.75,142.42,143.07,2245549,HON,138.59428
1174,2017-10-06,142.81,143.66,142.65,143.62,2165613,HON,139.14499
