,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,113.47,114.65,113.4,114.08,5854606,JNJ,113.842606
1009,2017-02-10,114.32,115.99,114.23,115.24,6438536,JNJ,114.47271
1010,2017-02-13,115.28,116.12,115.22,115.88,5710779,JNJ,115.65063
1011,2017-02-14,115.44,116.4,115.32,116.36,5539136,JNJ,116.36884
1012,2017-02-15,115.9,117.46,115.59,117.2,5979679,JNJ,116.83117
1013,2017-02-16,117.0,118.28,116.995,118.08,7119291,JNJ,117.60306
1014,2017-02-17,118.19,118.9,118.05,118.86,8691397,JNJ,118.46088
1015,2017-02-21,118.4,119.89,118.32,119.66,8595110,JNJ,119.22325
1016,2017-02-22,119.28,119.77,119.25,119.52,5103903,JNJ,119.985565
1017,2017-02-23,119.52,121.9,119.48,121.7,9980945,JNJ,119.849266
1018,2017-02-24,121.5,122.74,120.9,122.73,10834986,JNJ,121.836716
1019,2017-02-27,122.13,122.88,122.1033,122.4,5946157,JNJ,123.00837
1020,2017-02-28,122.01,122.65,121.94,122.21,8885513,JNJ,122.69055
1021,2017-03-01,122.49,124.45,122.42,123.86,9393869,JNJ,122.35025
1022,2017-03-02,123.75,124.36,123.02,123.63,6950220,JNJ,123.85606
1023,2017-03-03,123.41,123.93,123.23,123.79,5593811,JNJ,123.786705
1024,2017-03-06,123.01,124.4268,122.6,123.71,6670681,JNJ,123.85478
1025,2017-03-07,122.58,124.46,122.39,123.83,6643988,JNJ,123.75487
1026,2017-03-08,123.75,124.68,123.5,124.1,7909858,JNJ,123.84343
1027,2017-03-09,124.58,126.21,124.17,125.95,8571147,JNJ,124.11496
1028,2017-03-10,126.04,126.49,125.54,126.21,7395375,JNJ,125.93539
1029,2017-03-13,125.83,126.95,125.79,126.68,7162476,JNJ,126.36348
1030,2017-03-14,126.86,127.75,126.77,127.05,7679707,JNJ,126.76448
1031,2017-03-15,127.05,129.0,126.6,128.96,8360637,JNJ,127.093315
1032,2017-03-16,128.44,128.7,127.77,128.46,7610720,JNJ,128.92386
1033,2017-03-17,128.45,128.94,127.95,128.06,13300756,JNJ,128.56476
1034,2017-03-20,128.04,128.42,127.97,128.07,5827497,JNJ,128.02077
1035,2017-03-21,128.38,128.45,127.14,127.25,7578634,JNJ,127.938385
1036,2017-03-22,127.05,127.65,126.21,126.26,10272668,JNJ,127.14092
1037,2017-03-23,126.1,127.002,125.66,125.9,8508073,JNJ,126.11461
1038,2017-03-24,125.86,126.36,125.13,125.48,6490304,JNJ,125.7199
1039,2017-03-27,125.16,126.14,125.15,125.8,5004285,JNJ,125.363
1040,2017-03-28,125.62,125.78,124.78,125.66,5287559,JNJ,125.71209
1041,2017-03-29,125.05,125.33,124.36,124.92,3971828,JNJ,125.67606
1042,2017-03-30,124.74,125.43,124.28,124.66,4711693,JNJ,124.974174
1043,2017-03-31,124.11,124.825,124.03,124.55,5657560,JNJ,124.66603
1044,2017-04-03,124.73,125.31,124.2829,124.69,4956532,JNJ,124.5727
1045,2017-04-04,124.51,124.765,124.22,124.68,5358474,JNJ,124.73715
1046,2017-04-05,124.72,125.6016,124.41,124.8,5646251,JNJ,124.76965
1047,2017-04-06,124.85,125.46,124.5,125.05,4324385,JNJ,124.89341
1048,2017-04-07,125.12,125.47,124.83,124.92,3615126,JNJ,125.14755
1049,2017-04-10,124.87,124.95,124.23,124.34,4594234,JNJ,125.038025
1050,2017-04-11,124.26,124.79,123.95,124.22,4161540,JNJ,124.44474
1051,2017-04-12,124.54,125.46,124.36,125.4,5556604,JNJ,124.261024
1052,2017-04-13,125.13,125.65,124.96,124.99,5396539,JNJ,125.411026
1053,2017-04-17,125.02,125.81,124.93,125.72,5367465,JNJ,125.15235
1054,2017-04-18,123.18,123.37,120.95,121.82,13485682,JNJ,125.784134
1055,2017-04-19,122.1,122.28,121.11,121.37,6993098,JNJ,122.07005
1056,2017-04-20,121.86,122.15,121.35,121.87,6330136,JNJ,121.205376
1057,2017-04-21,121.78,122.04,121.54,121.76,6021721,JNJ,121.770546
1058,2017-04-24,122.52,123.21,122.15,122.89,5679021,JNJ,121.86083
1059,2017-04-25,123.34,123.745,123.01,123.43,5089987,JNJ,123.01014
1060,2017-04-26,123.79,124.26,123.48,123.51,5021839,JNJ,123.68005
1061,2017-04-27,123.58,124.3057,123.4,123.74,4225165,JNJ,123.77766
1062,2017-04-28,123.85,123.9,123.13,123.47,4381766,JNJ,123.9451
1063,2017-05-01,123.4,123.775,123.0,123.34,4556360,JNJ,123.65591
1064,2017-05-02,123.52,123.74,122.89,123.7,4881641,JNJ,123.46135
1065,2017-05-03,123.59,123.7,123.04,123.33,3736531,JNJ,123.78054
1066,2017-05-04,123.69,123.95,123.23,123.95,3753201,JNJ,123.460495
1067,2017-05-05,123.8,123.8,122.86,123.51,4139755,JNJ,124.011086
1068,2017-05-08,123.53,123.8,123.02,123.25,3609058,JNJ,123.65359
1069,2017-05-09,123.23,123.47,122.88,123.21,3762488,JNJ,123.34076
1070,2017-05-10,122.91,123.055,122.38,122.81,4237412,JNJ,123.27706
1071,2017-05-11,122.5,123.21,122.34,123.2,4095893,JNJ,122.90418
1072,2017-05-12,123.11,124.1,123.01,123.64,4097060,JNJ,123.255844
1073,2017-05-15,124.41,127.36,124.33,126.99,9854621,JNJ,123.74696
1074,2017-05-16,127.34,128.37,127.06,127.77,7233801,JNJ,127.04274
1075,2017-05-17,126.6,127.89,126.45,126.67,6480802,JNJ,128.10367
1076,2017-05-18,126.46,127.87,125.96,126.97,6571254,JNJ,126.946014
1077,2017-05-19,127.03,127.39,126.44,127.0,6957196,JNJ,126.96661
1078,2017-05-22,126.63,127.65,126.63,127.26,4858199,JNJ,126.96856
1079,2017-05-23,127.31,128.15,127.31,127.52,3973025,JNJ,127.19956
1080,2017-05-24,127.79,128.0,127.29,127.51,3968185,JNJ,127.46747
1081,2017-05-25,126.74,127.62,126.33,127.53,5294263,JNJ,127.47185
