,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,125.7,126.1631,124.18,124.65,1606450,NEE,125.06177
1009,2017-02-10,124.5,125.55,124.25,125.47,1205957,NEE,123.34885
1010,2017-02-13,125.5,126.12,125.14,126.0,886113,NEE,124.39622
1011,2017-02-14,125.02,126.09,124.52,126.0,1612753,NEE,124.76567
1012,2017-02-15,125.05,125.95,124.56,125.29,1765539,NEE,124.76628
1013,2017-02-16,125.5,126.21,125.2435,126.19,1247494,NEE,124.12773
1014,2017-02-17,126.69,126.97,125.96,126.86,2338604,NEE,125.06259
1015,2017-02-21,126.42,128.49,126.0,128.26,1576658,NEE,125.586426
1016,2017-02-22,127.98,128.68,127.44,128.44,2136064,NEE,126.90397
1017,2017-02-23,128.75,129.65,128.2,129.17,1901591,NEE,126.98561
1018,2017-02-24,128.85,130.96,128.5,130.96,2567943,NEE,127.75854
1019,2017-02-27,131.07,131.07,129.18,129.87,1833239,NEE,129.42336
1020,2017-02-28,129.96,131.48,129.55,131.0,2248580,NEE,128.26753
1021,2017-03-01,129.56,130.2577,128.61,129.41,2268000,NEE,129.57782
1022,2017-03-02,129.31,131.64,129.0,130.94,1530144,NEE,127.91689
1023,2017-03-03,130.7,131.0,129.81,130.8,1322085,NEE,129.61252
1024,2017-03-06,130.5,130.99,129.76,130.64,2052050,NEE,129.23975
1025,2017-03-07,130.37,131.12,130.235,130.65,1991144,NEE,129.19188
1026,2017-03-08,129.57,130.12,128.88,129.44,1582549,NEE,129.21817
1027,2017-03-09,129.66,130.18,128.71,128.75,1261067,NEE,128.06906
1028,2017-03-10,129.8,130.17,129.01,130.06,1481280,NEE,127.53925
1029,2017-03-13,130.09,130.67,129.45,130.46,1459315,NEE,128.78616
1030,2017-03-14,130.33,130.97,130.03,130.57,1342431,NEE,128.98181
1031,2017-03-15,130.84,132.625,130.37,131.9,2030305,NEE,129.10785
1032,2017-03-16,131.61,131.77,129.58,129.9,2610669,NEE,130.38876
1033,2017-03-17,130.12,131.78,130.09,130.23,4662097,NEE,128.36848
1034,2017-03-20,130.72,131.18,129.54,129.89,1891696,NEE,128.97404
1035,2017-03-21,130.22,132.34,129.59,131.85,2384128,NEE,128.51517
1036,2017-03-22,132.01,133.2,131.78,132.41,1383759,NEE,130.42757
1037,2017-03-23,132.49,133.12,131.77,132.09,1550231,NEE,130.72365
1038,2017-03-24,131.97,133.28,131.72,132.8,1431984,NEE,130.47566
1039,2017-03-27,133.05,133.105,130.64,131.1,2040078,NEE,131.23363
1040,2017-03-28,130.75,131.56,130.5101,131.26,1377774,NEE,129.54498
1041,2017-03-29,130.55,131.03,130.22,130.55,1106697,NEE,129.92763
1042,2017-03-30,130.04,130.58,127.78,128.13,3398074,NEE,129.14342
1043,2017-03-31,128.06,129.28,127.815,128.37,2336537,NEE,126.919556
1044,2017-04-03,128.5,128.77,127.09,128.72,1742541,NEE,127.33616
1045,2017-04-04,128.93,129.92,128.41,129.54,1359940,NEE,127.49575
1046,2017-04-05,129.41,130.84,129.0,130.64,1786559,NEE,128.22276
1047,2017-04-06,130.06,130.4485,129.395,129.76,1529468,NEE,129.18546
1048,2017-04-07,130.03,130.35,128.77,128.93,1766833,NEE,128.28035
1049,2017-04-10,128.95,129.64,128.57,129.43,1051939,NEE,127.65219
1050,2017-04-11,129.13,129.57,128.31,129.32,1053550,NEE,128.17462
1051,2017-04-12,128.61,130.54,128.5001,130.51,1468731,NEE,127.97252
1052,2017-04-13,130.09,131.5,130.0119,130.77,1936626,NEE,129.13284
1053,2017-04-17,130.67,131.27,130.4703,130.91,1127058,NEE,129.24736
1054,2017-04-18,130.9,132.07,130.45,131.94,1955610,NEE,129.42386
1055,2017-04-19,131.93,131.99,130.86,131.5,2080008,NEE,130.41422
1056,2017-04-20,131.08,131.44,129.22,130.87,2013662,NEE,129.90791
1057,2017-04-21,131.26,134.33,131.26,133.02,2620162,NEE,129.42625
1058,2017-04-24,132.62,133.11,131.43,132.75,2436145,NEE,131.52469
1059,2017-04-25,132.61,133.0,131.86,132.92,1291835,NEE,131.00403
1060,2017-04-26,133.0,133.83,132.65,132.83,1491774,NEE,131.32399
1061,2017-04-27,132.66,134.2,132.63,133.52,1406236,NEE,131.21965
1062,2017-04-28,133.35,134.12,133.07,133.56,1663159,NEE,131.91081
1063,2017-05-01,134.14,134.32,132.78,133.04,1801060,NEE,131.8746
1064,2017-05-02,133.24,134.04,133.07,134.02,1714711,NEE,131.42444
1065,2017-05-03,133.86,134.25,133.17,133.36,1644186,NEE,132.4238
1066,2017-05-04,133.11,134.5,133.1,134.34,1753293,NEE,131.66455
1067,2017-05-05,134.78,135.21,134.2294,134.33,1828089,NEE,132.72992
1068,2017-05-08,134.5,135.16,134.17,134.95,1451193,NEE,132.57664
1069,2017-05-09,134.44,134.93,133.49,133.77,1547471,NEE,133.23143
1070,2017-05-10,133.82,134.46,133.42,134.17,1874727,NEE,132.0484
1071,2017-05-11,134.08,134.66,133.59,134.64,895342,NEE,132.60783
1072,2017-05-12,134.73,135.83,134.66,135.55,1528757,NEE,132.9446
1073,2017-05-15,135.24,136.64,135.05,136.13,1928131,NEE,133.77835
1074,2017-05-16,136.13,136.81,135.79,135.9,1359511,NEE,134.25134
1075,2017-05-17,136.12,137.17,136.1,136.45,1871176,NEE,134.03043
1076,2017-05-18,136.63,137.73,135.717,136.94,2219500,NEE,134.62898
1077,2017-05-19,137.03,137.6,135.6,137.29,1728715,NEE,135.02966
1078,2017-05-22,137.36,138.58,137.0,138.35,2137382,NEE,135.34766
1079,2017-05-23,138.52,140.06,138.38,138.96,1947171,NEE,136.35078
1080,2017-05-24,139.18,140.43,139.02,140.15,1564123,NEE,136.8344
1081,2017-05-25,139.73,140.87,139.24,140.7,1191314,NEE,137.96872
1082,2017-05-26,140.79,141.06,140.365,140.71,1107508,NEE,138.39684
1083,2017-05-30,140.53,141.05,140.24,140.65,2750130,NEE,138.43625
1084,2017-05-31,140.72,141.83,140.72,141.44,3316913,NEE,138.43628
1085,2017-06-01,141.35,141.9,140.72,141.9,1611592,NEE,139.21358
1086,2017-06-02,142.77,142.93,141.73,142.71,1834873,NEE,139.55661
1087,2017-06-05,142.4,142.64,141.79,141.85,1081418,NEE,140.32584
1088,2017-06-06,142.51,142.64,141.72,141.92,2055946,NEE,139.44853
1089,2017-06-07,141.93,142.98,141.44,142.58,1428756,NEE,139.69745
1090,2017-06-08,142.58,142.58,140.63,141.45,1694077,NEE,140.26788
1091,2017-06-09,141.1,141.74,139.95,140.24,1793257,NEE,139.12532
1092,2017-06-12,140.59,140.86,138.15,139.42,2236564,NEE,138.17207
1093,2017-06-13,139.42,140.35,138.96,139.95,1736212,NEE,137.47742
1094,2017-06-14,141.15,142.19,140.6,141.15,1422783,NEE,138.00052
1095,2017-06-15,141.21,142.11,140.66,141.87,2766392,NEE,139.00087
1096,2017-06-16,142.19,143.17,141.92,142.84,2602217,NEE,139.54756
1097,2017-06-19,143.05,143.1899,142.13,142.39,2317059,NEE,140.44717
1098,2017-06-20,142.44,142.83,141.92,141.96,2153230,NEE,139.95183
1099,2017-06-21,142.12,142.36,140.42,141.06,1630163,NEE,139.68625
1100,2017-06-22,140.89,142.21,140.68,141.59,1921405,NEE,138.87445
1101,2017-06-23,141.59,144.33,141.37,143.14,2751863,NEE,139.47197
1102,2017-06-26,143.39,144.87,143.12,144.23,1977814,NEE,140.80664
1103,2017-06-27,143.57,144.35,142.02,142.27,2415829,NEE,141.66087
1104,2017-06-28,142.92,143.23,140.75,141.02,2090891,NEE,139.76906
1105,2017-06-29,140.19,140.38,138.96,139.97,2895955,NEE,138.93163
1106,2017-06-30,140.23,141.62,140.07,140.13,2132892,NEE,137.98228
1107,2017-07-03,140.85,141.8,139.62,139.62,1030279,NEE,138.1839
1108,2017-07-05,139.58,139.79,138.25,138.82,1926448,NEE,137.59027
1109,2017-07-06,138.54,139.81,138.0,139.57,1741127,NEE,136.88655
1110,2017-07-07,139.66,141.16,139.38,140.48,1378549,NEE,137.64882
1111,2017-07-10,140.63,141.81,140.271,141.03,1687601,NEE,138.35477
1112,2017-07-11,141.52,141.52,139.53,140.75,1899159,NEE,138.79823
1113,2017-07-12,141.86,142.24,140.66,140.78,1692862,NEE,138.51987
1114,2017-07-13,141.22,141.33,140.19,140.58,1389257,NEE,138.62894
1115,2017-07-14,141.65,142.13,141.32,141.66,1263237,NEE,138.42688
1116,2017-07-17,141.41,141.73,140.75,140.97,2811140,NEE,139.48212
1117,2017-07-18,141.27,142.12,140.99,141.49,1367858,NEE,138.6761
1118,2017-07-19,141.94,142.06,141.3301,141.8,943410,NEE,139.33098
1119,2017-07-20,142.32,143.865,142.0,143.48,1570007,NEE,139.51465
1120,2017-07-21,143.16,144.43,142.57,144.37,1353415,NEE,141.10536
1121,2017-07-24,144.41,144.41,143.12,143.15,2102584,NEE,141.74524
1122,2017-07-25,143.37,143.45,142.12,143.11,1350344,NEE,140.60004
1123,2017-07-26,142.62,145.58,142.29,145.49,1760391,NEE,140.80223
1124,2017-07-27,144.95,145.35,143.96,144.65,1420002,NEE,142.99512
1125,2017-07-28,144.6,145.76,144.45,145.12,1156288,NEE,141.88074
1126,2017-07-31,145.33,146.88,145.26,146.09,1695142,NEE,142.60948
1127,2017-08-01,146.95,147.33,146.08,146.75,1478948,NEE,143.41296
1128,2017-08-02,146.16,146.98,145.38,146.74,1671958,NEE,143.95332
1129,2017-08-03,146.55,147.84,146.34,147.54,1418606,NEE,143.92659
1130,2017-08-04,146.95,147.33,146.08,146.75,1478948,NEE,144.7441
1131,2017-08-07,146.83,147.49,146.49,147.09,1204847,NEE,143.9001
1132,2017-08-08,147.0,147.584,146.7,147.35,1188502,NEE,144.4046
1133,2017-08-09,147.88,148.19,146.95,147.24,2760485,NEE,144.55263
1134,2017-08-10,146.87,148.3,146.82,147.72,1341867,NEE,144.44543
1135,2017-08-11,147.64,148.05,146.65,147.18,1271479,NEE,144.93353
1136,2017-08-14,147.61,148.37,147.38,148.06,976969,NEE,144.35318
1137,2017-08-15,147.49,149.34,147.49,149.05,1194270,NEE,145.30116
1138,2017-08-16,148.99,150.18,148.7848,149.98,1353793,NEE,146.07135
1139,2017-08-17,149.43,150.32,148.34,148.61,1362692,NEE,146.87396
1140,2017-08-18,148.5,150.6,148.0501,149.93,1438701,NEE,145.5245
1141,2017-08-21,150.0,150.84,149.68,150.45,974480,NEE,147.05223
1142,2017-08-22,150.57,151.19,150.02,150.84,1350588,NEE,147.2573
1143,2017-08-23,149.63,150.35,148.75,149.64,1445328,NEE,147.65846
1144,2017-08-24,150.0,150.0045,148.94,149.31,1291115,NEE,146.50928
1145,2017-08-25,149.66,150.45,149.0,150.1,1259107,NEE,146.41988
1146,2017-08-28,150.3,150.9,150.035,150.88,874935,NEE,147.13127
1147,2017-08-29,151.03,151.28,150.14,150.72,1399251,NEE,147.72731
1148,2017-08-30,150.42,150.84,150.17,150.62,1061563,NEE,147.51353
1149,2017-08-31,151.0,151.02,150.205,150.51,1706515,NEE,147.50323
1150,2017-09-01,151.0,151.3,149.66,150.16,1071762,NEE,147.4109
1151,2017-09-05,150.18,150.45,149.3,150.26,1075172,NEE,147.09908
1152,2017-09-06,150.6,150.71,148.25,148.25,2284585,NEE,147.2392
1153,2017-09-07,148.45,150.9,148.44,149.49,1935563,NEE,145.30536
1154,2017-09-08,149.21,149.48,147.06,148.26,2949171,NEE,146.77486
1155,2017-09-11,148.26,151.6,148.01,151.4,2279450,NEE,145.27797
1156,2017-09-12,151.08,151.35,147.93,149.13,1929268,NEE,148.50774
1157,2017-09-13,149.05,149.19,148.05,148.18,1456189,NEE,145.79298
1158,2017-09-14,156.61,156.99,154.04,154.1,1564857,NEE,145.47617
1159,2017-09-15,150.11,150.38,149.2,150.09,2266371,NEE,151.027
1160,2017-09-18,150.0,150.0,147.38,148.3,1640494,NEE,146.29387
1161,2017-09-19,148.46,148.93,147.72,147.92,1756703,NEE,145.65826
1162,2017-09-20,148.41,148.61,145.9,146.74,1372432,NEE,145.25981
1163,2017-09-21,146.74,147.8323,146.47,146.78,1411862,NEE,144.1007
1164,2017-09-22,147.04,147.26,146.2,146.36,1226178,NEE,144.24948
1165,2017-09-25,146.21,147.31,145.83,146.82,1506247,NEE,143.73894
1166,2017-09-26,146.91,148.235,146.91,147.7,1390542,NEE,144.21895
1167,2017-09-27,146.85,147.4,145.71,146.25,1722179,NEE,144.93741
1168,2017-09-28,145.49,147.38,144.7,146.99,1349647,NEE,143.47052
1169,2017-09-29,146.95,147.235,146.33,146.55,1316760,NEE,144.43283
1170,2017-10-02,147.37,147.68,146.355,146.74,1145332,NEE,143.80902
1171,2017-10-03,146.37,146.97,145.62,146.89,1002528,NEE,144.10498
1172,2017-10-04,147.0,148.61,146.6,148.57,1098166,NEE,144.1782
1173,2017-10-05,148.54,148.57,147.06,147.76,1704396,NEE,145.75679
1174,2017-10-06,147.2,147.67,146.27,147.47,1278028,NEE,144.75789
1175,2017-10-09,147.96,148.39,147.69,147.9,1099464,NEE,144.7279
1176,2017-10-10,147.9,149.135,147.44,149.03,877966,NEE,145.12141
1177,2017-10-11,148.63,150.75,148.63,149.87,1329854,NEE,146.1152
1178,2017-10-12,150.11,150.94,149.396,150.7,1305370,NEE,146.77069
1179,2017-10-13,151.39,152.27,150.44,150.55,1115805,NEE,147.51442
1180,2017-10-16,151.24,151.8,149.9001,151.52,1349063,NEE,147.32166
1181,2017-10-17,151.5,152.86,151.03,152.67,1291075,NEE,148.33623
1182,2017-10-18,152.23,152.78,151.67,152.54,1074661,NEE,149.27406
1183,2017-10-19,152.67,153.95,152.2,153.87,1312436,NEE,149.06511
1184,2017-10-20,153.74,154.24,152.98,154.16,1437737,NEE,150.43425
1185,2017-10-23,153.98,154.7,153.33,154.38,1218286,NEE,150.50385
1186,2017-10-24,154.12,154.4,153.19,154.22,1429554,NEE,150.78899
1187,2017-10-25,153.94,154.19,151.36,153.86,1649007,NEE,150.63655
1188,2017-10-26,154.8,156.0,153.36,153.39,1473478,NEE,150.35983
1189,2017-10-27,153.39,156.8,153.38,155.84,1451836,NEE,149.97256
1190,2017-10-30,155.31,156.19,154.89,155.36,1353974,NEE,152.32791
1191,2017-10-31,155.09,155.56,154.31,155.07,1327652,NEE,151.44989
1192,2017-11-01,155.67,155.72,153.09,153.38,1436898,NEE,151.45667
1193,2017-11-02,153.49,154.75,148.37,149.86,3979313,NEE,149.87788
1194,2017-11-03,149.74,153.15,149.5,152.65,3085051,NEE,146.83218
1195,2017-11-06,152.9,153.13,151.65,151.86,1407880,NEE,149.86256
1196,2017-11-07,152.33,155.82,151.92,155.49,1968036,NEE,148.41032
1197,2017-11-08,154.99,155.74,153.91,154.92,1992742,NEE,152.14682
1198,2017-11-09,154.34,155.61,154.1003,155.25,1193377,NEE,150.94104
1199,2017-11-10,154.58,155.42,153.85,155.16,1285824,NEE,151.6524
1200,2017-11-13,155.34,157.0,154.84,156.78,1000007,NEE,151.4665
1201,2017-11-14,156.51,158.55,156.25,158.4,1513750,NEE,153.06032
1202,2017-11-15,158.85,159.28,157.03,157.36,1330019,NEE,154.30994
1203,2017-11-16,157.4,157.71,156.35,157.29,1364736,NEE,153.21309
1204,2017-11-17,157.0,157.285,155.8917,156.04,1077979,NEE,153.45773
1205,2017-11-20,156.21,156.67,155.31,155.92,1447429,NEE,152.22902
1206,2017-11-21,156.49,156.89,155.76,156.21,1332134,NEE,152.33427
1207,2017-11-22,155.23,155.95,154.56,155.18,1943421,NEE,152.52106
1208,2017-11-24,155.6,156.4,155.48,156.03,636127,NEE,151.49982
1209,2017-11-27,156.25,157.56,155.91,157.0,1517672,NEE,152.477
1210,2017-11-28,157.5,158.395,157.07,157.79,1237271,NEE,153.1619
1211,2017-11-29,157.3,158.29,156.5,157.77,2088575,NEE,153.81532
1212,2017-11-30,158.09,158.88,157.37,158.04,3403680,NEE,153.73958
1213,2017-12-01,158.39,159.19,156.43,157.47,1428100,NEE,154.06886
1214,2017-12-04,157.65,157.96,155.52,155.97,1400931,NEE,153.4993
1215,2017-12-05,156.43,156.83,154.45,155.64,1702522,NEE,152.22173
1216,2017-12-06,156.52,158.37,155.79,157.78,1983880,NEE,152.11153
1217,2017-12-07,157.35,158.18,157.01,158.18,1452106,NEE,154.05338
1218,2017-12-08,157.79,159.03,157.39,159.03,1311953,NEE,154.04286
1219,2017-12-11,159.04,159.35,157.44,159.25,1608884,NEE,154.93924
1220,2017-12-12,158.84,159.4,156.82,157.07,1988733,NEE,155.03014
1221,2017-12-13,157.63,158.04,155.8001,156.47,3603005,NEE,153.04536
1222,2017-12-14,156.815,159.24,155.57,157.98,2226969,NEE,152.86742
1223,2017-12-15,157.96,159.04,157.23,158.43,3493009,NEE,154.21146
1224,2017-12-18,158.81,159.165,156.11,156.35,1940796,NEE,154.33757
1225,2017-12-19,156.61,156.99,154.04,154.1,1564969,NEE,152.42708
1226,2017-12-20,154.17,155.34,153.49,153.64,2210488,NEE,150.68347
1227,2017-12-21,153.4,155.27,152.68,154.48,1787163,NEE,150.44768
1228,2017-12-22,154.96,155.37,154.3,154.54,1078767,NEE,151.13118
1229,2017-12-26,154.7,155.35,153.99,154.0,723501,NEE,150.99641
1230,2017-12-27,154.63,155.35,154.12,155.29,1076323,NEE,150.52213
1231,2017-12-28,155.2,156.42,155.15,156.35,856725,NEE,151.81126
1232,2017-12-29,156.85,157.28,156.01,156.19,1186595,NEE,152.5559
1233,2018-01-02,156.43,156.67,154.42,155.09,1191639,NEE,152.3388
1234,2018-01-03,154.09,155.83,151.78,151.8,2752031,NEE,151.41591
1235,2018-01-04,151.51,153.03,150.63,151.02,3407328,NEE,148.49994
1236,2018-01-05,151.38,151.94,150.6,151.71,2579542,NEE,148.19312
1237,2018-01-08,151.71,153.24,151.51,152.96,1806263,NEE,148.70238
1238,2018-01-09,153.55,153.55,151.305,151.84,1631894,NEE,149.6942
1239,2018-01-10,150.89,151.61,150.16,150.59,1760655,NEE,148.46797
1240,2018-01-11,150.5,151.1,149.77,150.5,1887647,NEE,147.54544
1241,2018-01-12,150.13,151.47,149.26,150.32,1596577,NEE,147.56088
1242,2018-01-16,150.44,151.08,149.07,150.54,1867888,NEE,147.31226
1243,2018-01-17,150.95,152.75,150.58,151.88,2326148,NEE,147.52621
1244,2018-01-18,152.06,152.06,150.22,150.78,1987784,NEE,148.72563
1245,2018-01-19,151.08,151.27,149.94,150.16,2246974,NEE,147.49657
1246,2018-01-22,150.46,151.3,149.6,150.02,1859700,NEE,147.17747
1247,2018-01-23,150.0,153.1,150.0,152.72,2648089,NEE,147.05449
1248,2018-01-24,151.93,152.23,150.08,150.85,1968550,NEE,149.57773
1249,2018-01-25,150.83,153.35,150.0,153.09,2461258,NEE,147.38618
1250,2018-01-26,154.86,159.23,154.7,157.69,3646819,NEE,149.9828
1251,2018-01-29,157.2,157.3,155.49,155.68,2514275,NEE,153.80956
1252,2018-01-30,155.5,156.48,154.29,155.1,1955829,NEE,151.38507
1253,2018-01-31,155.23,158.78,154.62,158.42,3232685,NEE,151.53862
1254,2018-02-01,158.61,159.64,155.67,156.34,2212008,NEE,154.6057
1255,2018-02-02,155.48,157.42,155.079,155.92,2322781,NEE,152.11183
1256,2018-02-05,156.04,158.28,153.85,154.29,3653099,NEE,152.33284
1257,2018-02-06,151.83,153.36,147.15,149.56,4235330,NEE,150.70158
1258,2018-02-07,149.61,150.68,147.89,148.09,2878725,NEE,146.51239
