,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,105.42,106.49,105.02,105.97,4012387,PEP,104.74447
1009,2017-02-10,105.83,106.345,105.5868,106.1,2475506,PEP,105.01436
1010,2017-02-13,106.5,106.69,105.88,106.52,3464318,PEP,105.11074
1011,2017-02-14,106.17,107.0,105.67,106.92,5665028,PEP,105.54397
1012,2017-02-15,105.35,107.25,104.77,106.73,7617151,PEP,105.91827
1013,2017-02-16,107.15,108.18,106.32,108.12,5559903,PEP,105.6492
1014,2017-02-17,107.29,108.3,107.21,108.15,5498432,PEP,107.18169
1015,2017-02-21,108.07,109.5,107.95,109.36,5370662,PEP,107.01085
1016,2017-02-22,109.37,109.78,109.165,109.41,3815267,PEP,108.300545
1017,2017-02-23,109.12,110.0,109.12,109.54,3382733,PEP,108.15773
1018,2017-02-24,109.5,109.92,109.33,109.83,3991764,PEP,108.27095
1019,2017-02-27,109.69,109.88,109.23,109.27,3475121,PEP,108.567055
1020,2017-02-28,109.05,110.6,109.05,110.38,4684747,PEP,107.91462
1021,2017-03-01,109.6,110.32,109.17,109.73,4750734,PEP,109.226395
1022,2017-03-02,109.81,110.32,109.43,110.11,3880791,PEP,108.35132
1023,2017-03-03,110.1,110.67,109.65,110.56,4130942,PEP,108.8658
1024,2017-03-06,109.8,110.19,109.43,109.63,4491045,PEP,109.31094
1025,2017-03-07,109.16,109.77,109.0,109.32,4361109,PEP,108.21965
1026,2017-03-08,109.17,109.33,108.47,109.3,5244494,PEP,108.03207
1027,2017-03-09,109.56,109.61,108.91,109.02,4066952,PEP,108.08502
1028,2017-03-10,109.58,109.71,109.28,109.59,3488905,PEP,107.80143
1029,2017-03-13,109.32,109.7951,109.03,109.41,3131237,PEP,108.4781
1030,2017-03-14,109.28,109.73,109.12,109.34,3630038,PEP,108.1955
1031,2017-03-15,109.56,111.23,109.5,111.11,4973393,PEP,108.1378
1032,2017-03-16,111.09,111.2,110.53,111.14,4580674,PEP,110.089485
1033,2017-03-17,111.479,111.52,110.93,111.39,6444384,PEP,109.81894
1034,2017-03-20,111.15,111.44,110.81,111.15,3382089,PEP,110.05137
1035,2017-03-21,111.54,112.31,111.47,111.77,5587739,PEP,109.731316
1036,2017-03-22,112.31,112.38,111.57,112.02,3882237,PEP,110.451355
1037,2017-03-23,111.95,112.33,111.67,111.78,3208362,PEP,110.62468
1038,2017-03-24,111.98,112.245,111.79,112.12,3913223,PEP,110.3111
1039,2017-03-27,111.87,112.29,111.57,111.83,3514557,PEP,110.72603
1040,2017-03-28,111.81,112.76,111.64,112.45,3945393,PEP,110.35414
1041,2017-03-29,112.06,112.535,111.97,112.43,2683678,PEP,111.090645
1042,2017-03-30,112.29,112.55,112.0,112.18,2104918,PEP,110.96464
1043,2017-03-31,112.31,112.47,111.83,111.86,3744389,PEP,110.68772
1044,2017-04-03,111.95,112.36,111.4599,111.86,3587129,PEP,110.38211
1045,2017-04-04,111.99,112.22,111.63,112.08,2360663,PEP,110.4491
1046,2017-04-05,112.04,112.59,111.69,111.94,2991960,PEP,110.703766
1047,2017-04-06,112.12,112.28,111.42,111.58,2740631,PEP,110.51538
1048,2017-04-07,111.7,111.96,111.4409,111.61,2799610,PEP,110.142654
1049,2017-04-10,111.7,112.145,111.4101,112.02,2873249,PEP,110.242744
1050,2017-04-11,111.71,112.08,111.35,111.73,3031468,PEP,110.69748
1051,2017-04-12,112.05,113.765,111.9,113.61,6260257,PEP,110.30627
1052,2017-04-13,113.25,113.38,112.65,112.68,3257297,PEP,112.42592
1053,2017-04-17,112.74,113.32,112.68,113.32,2917688,PEP,111.04877
1054,2017-04-18,113.44,114.605,113.4047,114.28,4574200,PEP,111.89675
1055,2017-04-19,114.42,114.49,113.48,113.62,3044737,PEP,112.84311
1056,2017-04-20,113.52,113.97,113.39,113.59,2972962,PEP,111.92336
1057,2017-04-21,113.55,113.8,113.27,113.43,3885269,PEP,112.001495
1058,2017-04-24,114.36,114.48,113.91,114.32,3221543,PEP,111.84018
1059,2017-04-25,114.21,114.57,114.0,114.16,3643622,PEP,112.8661
1060,2017-04-26,111.75,113.76,111.34,113.33,5343923,PEP,112.52534
1061,2017-04-27,113.1,113.44,112.51,112.64,4096239,PEP,111.62964
1062,2017-04-28,112.34,113.43,112.1908,113.28,4872033,PEP,111.02768
1063,2017-05-01,112.93,113.11,112.27,112.28,4074291,PEP,111.883965
1064,2017-05-02,112.75,112.89,112.07,112.29,3082363,PEP,110.68228
1065,2017-05-03,112.39,112.71,111.7023,111.79,3342585,PEP,110.87531
1066,2017-05-04,112.17,113.0,111.81,112.96,3488798,PEP,110.33763
1067,2017-05-05,113.04,113.28,112.7375,113.22,3046064,PEP,111.72471
1068,2017-05-08,113.2,113.43,112.78,113.22,3097181,PEP,111.80138
1069,2017-05-09,113.24,113.41,112.55,112.72,2708153,PEP,111.72978
1070,2017-05-10,112.7,112.87,112.48,112.84,2160149,PEP,111.16132
1071,2017-05-11,112.64,113.09,112.53,113.04,2277166,PEP,111.38208
1072,2017-05-12,112.93,113.3,112.72,112.91,2383496,PEP,111.58919
1073,2017-05-15,112.9,114.0,112.77,113.94,3500274,PEP,111.409966
1074,2017-05-16,114.06,114.66,113.59,113.79,2444255,PEP,112.5699
1075,2017-05-17,113.46,114.29,113.32,113.74,2999270,PEP,112.20706
1076,2017-05-18,113.78,114.28,113.288,114.03,3439503,PEP,112.16349
1077,2017-05-19,114.17,114.5,113.455,113.69,5750075,PEP,112.490395
1078,2017-05-22,113.69,115.0,113.69,114.7,3323959,PEP,112.06106
1079,2017-05-23,114.71,115.44,114.71,115.05,3261263,PEP,113.244095
1080,2017-05-24,115.31,116.33,115.12,116.06,2863357,PEP,113.4404
1081,2017-05-25,116.36,117.68,116.15,117.53,3596188,PEP,114.48011
1082,2017-05-26,117.25,118.0045,117.2,117.91,3104759,PEP,115.90019
1083,2017-05-30,117.74,118.12,117.5,118.01,3231598,PEP,115.99664
1084,2017-05-31,116.91,117.94,116.87,116.87,5232886,PEP,116.0052
1085,2017-06-01,116.8,117.26,116.06,117.23,4404853,PEP,114.70655
1086,2017-06-02,117.46,117.7,117.04,117.67,3162869,PEP,115.358
1087,2017-06-05,117.39,117.97,117.05,117.88,2969490,PEP,115.7995
1088,2017-06-06,117.78,117.94,117.46,117.7,2643156,PEP,115.95357
1089,2017-06-07,117.17,117.57,116.82,117.05,3681102,PEP,115.70957
1090,2017-06-08,116.86,117.08,115.59,115.89,3956710,PEP,115.0256
1091,2017-06-09,115.66,116.13,115.36,115.94,3197723,PEP,113.88094
1092,2017-06-12,116.23,116.62,115.92,116.23,3492098,PEP,114.19556
1093,2017-06-13,115.47,116.59,115.47,116.32,2760749,PEP,114.53468
1094,2017-06-14,116.91,118.06,116.83,117.37,3597242,PEP,114.58429
1095,2017-06-15,117.0,117.48,116.51,117.21,3372664,PEP,115.731766
1096,2017-06-16,117.369,117.4,116.3,116.86,5156209,PEP,115.322235
1097,2017-06-19,117.02,117.29,116.23,117.29,2436611,PEP,114.949135
1098,2017-06-20,117.29,118.1353,117.18,117.95,3703498,PEP,115.496506
1099,2017-06-21,117.78,118.24,117.24,117.42,3767106,PEP,116.145805
1100,2017-06-22,117.33,117.41,116.05,116.15,3288149,PEP,115.40881
1101,2017-06-23,116.21,117.37,116.09,116.96,3453406,PEP,114.10061
1102,2017-06-26,117.42,117.83,117.06,117.12,2704461,PEP,115.27637
1103,2017-06-27,117.24,117.38,115.94,115.94,2884276,PEP,115.30636
1104,2017-06-28,116.52,116.87,116.2,116.38,3110592,PEP,113.95864
1105,2017-06-29,116.07,116.2,114.8901,115.18,3474360,PEP,114.6903
1106,2017-06-30,115.53,116.1134,115.3,115.49,3313250,PEP,113.278656
1107,2017-07-03,115.55,116.0,115.34,115.44,2250824,PEP,113.87084
1108,2017-07-05,115.5,115.55,114.88,115.3,4023052,PEP,113.766495
1109,2017-07-06,114.97,115.42,114.85,115.13,4006999,PEP,113.62129
1110,2017-07-07,115.41,115.6599,114.83,115.51,3972488,PEP,113.456436
1111,2017-07-10,115.92,116.0,114.2,114.27,5771230,PEP,113.91062
1112,2017-07-11,113.34,113.98,112.25,113.74,6368474,PEP,112.456604
1113,2017-07-12,114.49,114.98,114.28,114.77,3885229,PEP,112.108345
1114,2017-07-13,114.95,115.04,113.92,114.02,3089432,PEP,113.3692
1115,2017-07-14,114.26,115.115,114.25,114.93,2956439,PEP,112.34724
1116,2017-07-17,114.94,115.16,114.8383,114.93,2481948,PEP,113.48807
1117,2017-07-18,114.85,115.15,114.39,115.01,2694840,PEP,113.30663
1118,2017-07-19,115.01,115.35,114.63,115.34,2578212,PEP,113.37958
1119,2017-07-20,115.34,116.055,115.11,115.51,3518141,PEP,113.71996
1120,2017-07-21,115.78,116.67,115.38,116.63,3476448,PEP,113.83712
1121,2017-07-24,116.5,116.67,116.09,116.13,3681323,PEP,115.041595
1122,2017-07-25,116.63,116.78,116.14,116.45,3075078,PEP,114.24693
1123,2017-07-26,116.3,117.42,116.15,117.19,3305595,PEP,114.6912
1124,2017-07-27,117.33,118.06,116.62,117.34,2954845,PEP,115.45052
1125,2017-07-28,117.31,117.47,116.2,116.61,3276278,PEP,115.46186
1126,2017-07-31,116.53,116.86,116.18,116.61,3098647,PEP,114.60984
1127,2017-08-01,115.73,115.979,115.14,115.61,2619119,PEP,114.76268
1128,2017-08-02,115.73,115.979,115.14,115.61,2626447,PEP,113.66482
1129,2017-08-03,115.73,116.66,115.68,116.3,2986158,PEP,113.88286
1130,2017-08-04,116.32,116.49,115.865,116.37,2955165,PEP,114.67136
1131,2017-08-07,116.45,117.22,116.38,116.96,2569552,PEP,114.61463
1132,2017-08-08,116.8,116.95,116.37,116.71,2412582,PEP,115.24817
1133,2017-08-09,116.49,116.7,115.96,116.63,2513820,PEP,114.837395
1134,2017-08-10,116.35,116.84,116.08,116.38,2236003,PEP,114.791275
1135,2017-08-11,116.75,117.25,116.35,116.51,2759739,PEP,114.52942
1136,2017-08-14,117.36,118.18,117.014,117.84,3191713,PEP,114.73066
1137,2017-08-15,117.88,119.15,117.85,118.97,2749754,PEP,116.19334
1138,2017-08-16,118.96,119.3645,118.82,119.1,2373919,PEP,117.16949
1139,2017-08-17,119.0,119.39,118.25,118.39,3096948,PEP,117.0466
1140,2017-08-18,118.29,118.43,117.4,117.6,3776515,PEP,116.20411
1141,2017-08-21,117.8,118.46,117.545,118.26,2119494,PEP,115.47377
1142,2017-08-22,118.25,118.7,117.65,117.92,2313692,PEP,116.397354
1143,2017-08-23,117.9,118.12,117.23,117.29,2616268,PEP,115.894394
1144,2017-08-24,117.26,117.3,116.03,116.22,4760021,PEP,115.27087
1145,2017-08-25,116.74,116.9,115.8,115.85,3443198,PEP,114.22001
1146,2017-08-28,116.12,116.29,115.08,115.54,2932692,PEP,114.047516
1147,2017-08-29,115.55,116.1,115.51,115.84,2348661,PEP,113.801186
1148,2017-08-30,115.13,115.42,114.91,115.15,2491784,PEP,114.21196
1149,2017-08-31,115.24,115.84,114.93,115.73,4709458,PEP,113.38769
1150,2017-09-01,115.38,116.0925,115.15,115.84,2591863,PEP,114.16641
1151,2017-09-05,115.95,116.06,115.41,115.87,2711444,PEP,114.17131
1152,2017-09-06,116.17,116.47,115.64,116.35,2617480,PEP,114.17093
1153,2017-09-07,116.65,117.29,116.39,116.99,2623792,PEP,114.6876
1154,2017-09-08,116.4,116.48,114.57,115.04,4818344,PEP,115.29319
1155,2017-09-11,115.08,115.89,114.76,115.69,3247937,PEP,112.98017
1156,2017-09-12,115.69,115.95,114.86,115.0,2998543,PEP,114.08977
1157,2017-09-13,114.87,115.17,114.0,114.45,5141488,PEP,113.215195
1158,2017-09-14,114.44,114.55,113.7,114.19,3456869,PEP,112.748474
1159,2017-09-15,114.74,114.98,114.11,114.85,5543002,PEP,112.577736
1160,2017-09-18,115.17,115.23,114.68,114.99,2441253,PEP,113.37284
1161,2017-09-19,115.06,115.12,114.36,114.49,2568270,PEP,113.401375
1162,2017-09-20,114.34,114.65,112.735,113.58,4059794,PEP,112.805435
1163,2017-09-21,113.21,113.82,112.54,112.8,3630921,PEP,111.88557
1164,2017-09-22,112.56,112.87,111.81,111.85,3746257,PEP,111.20274
1165,2017-09-25,112.04,112.14,111.42,111.94,3884965,PEP,110.31914
1166,2017-09-26,112.23,112.3,111.73,111.81,2953814,PEP,110.6124
1167,2017-09-27,111.72,111.875,110.34,111.1,4016154,PEP,110.47302
1168,2017-09-28,111.37,112.73,111.19,111.64,11581059,PEP,109.713974
1169,2017-09-29,111.87,112.03,111.21,111.43,5122348,PEP,110.429214
1170,2017-10-02,109.91,110.52,108.96,109.12,8306410,PEP,110.10569
1171,2017-10-03,109.42,109.65,108.89,109.13,6064370,PEP,107.59689
1172,2017-10-04,106.94,110.16,106.19,109.34,9092379,PEP,107.99116
1173,2017-10-05,109.66,110.99,109.55,110.45,5670385,PEP,108.263756
1174,2017-10-06,110.17,110.67,109.92,110.4,3240259,PEP,109.45475
1175,2017-10-09,110.59,110.93,109.79,110.01,1977771,PEP,109.19732
1176,2017-10-10,110.28,110.86,110.28,110.78,3032284,PEP,108.74125
1177,2017-10-11,110.9,111.81,110.77,111.51,4051052,PEP,109.63402
1178,2017-10-12,111.51,112.51,111.38,112.45,3287194,PEP,110.30255
1179,2017-10-13,112.73,112.98,112.18,112.62,3090451,PEP,111.18963
1180,2017-10-16,112.93,113.63,112.69,113.57,2675935,PEP,111.1826
1181,2017-10-17,113.22,113.56,111.66,112.19,3825150,PEP,112.17467
1182,2017-10-18,111.95,112.44,111.78,111.95,2590474,PEP,110.4664
1183,2017-10-19,111.62,112.79,111.6,112.67,2673739,PEP,110.442825
1184,2017-10-20,113.01,113.02,111.38,111.61,3772276,PEP,111.30798
1185,2017-10-23,111.64,112.45,111.4,111.69,2263178,PEP,110.03003
1186,2017-10-24,111.84,111.8658,110.28,110.75,3351128,PEP,110.306206
1187,2017-10-25,110.43,110.529,109.18,110.08,3109974,PEP,109.27976
1188,2017-10-26,110.67,111.24,110.41,110.73,2864970,PEP,108.71831
1189,2017-10-27,110.41,110.8475,109.93,110.6,3343218,PEP,109.56867
1190,2017-10-30,110.36,110.37,109.36,109.65,2206123,PEP,109.33369
1191,2017-10-31,110.24,110.765,109.95,110.23,4379361,PEP,108.30439
1192,2017-11-01,109.76,110.68,109.61,110.13,2822423,PEP,109.09501
1193,2017-11-02,109.91,110.18,109.54,110.05,2169838,PEP,108.90244
1194,2017-11-03,110.14,110.65,110.0,110.22,1725671,PEP,108.82125
1195,2017-11-06,109.97,110.0,109.19,109.26,3331780,PEP,109.01494
1196,2017-11-07,109.15,110.58,109.15,110.47,3882026,PEP,107.93263
1197,2017-11-08,110.57,112.04,110.5,112.0,3685289,PEP,109.41207
1198,2017-11-09,111.35,112.44,111.02,111.48,2825031,PEP,110.90501
