,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,102.33,102.91,101.73,102.77,3125812,PM,104.71567
1009,2017-02-10,102.32,102.84,101.785,102.63,3412676,PM,104.8587
1010,2017-02-13,102.81,103.13,102.2,102.73,2886517,PM,104.744576
1011,2017-02-14,102.67,102.89,101.79,102.58,3311851,PM,104.90182
1012,2017-02-15,102.29,103.04,101.7672,102.93,3395970,PM,104.74386
1013,2017-02-16,102.9,103.13,102.315,102.99,4888558,PM,105.17229
1014,2017-02-17,102.93,103.73,102.77,103.66,5092977,PM,105.21827
1015,2017-02-21,103.37,104.75,103.05,104.56,4570234,PM,105.988625
1016,2017-02-22,104.49,104.87,103.8,104.53,3660478,PM,106.95488
1017,2017-02-23,104.95,106.67,104.76,106.52,4286136,PM,106.86403
1018,2017-02-24,106.44,107.77,105.8,107.72,5549728,PM,109.158966
1019,2017-02-27,107.53,108.9,107.23,108.7,5557339,PM,110.337074
1020,2017-02-28,108.31,109.99,108.3,109.35,7336639,PM,111.40618
1021,2017-03-01,109.0,110.3,108.681,110.22,5140681,PM,112.10094
1022,2017-03-02,110.0,110.3,109.52,109.8,4419458,PM,113.07994
1023,2017-03-03,109.61,110.25,109.27,110.21,3725014,PM,112.55031
1024,2017-03-06,109.81,110.17,109.46,109.73,7192096,PM,113.119705
1025,2017-03-07,109.52,110.64,109.5,110.55,3929137,PM,112.53524
1026,2017-03-08,110.19,110.4999,109.39,109.72,3681918,PM,113.5583
1027,2017-03-09,109.94,110.5,109.71,110.28,3465860,PM,112.51724
1028,2017-03-10,110.5,110.71,110.1,110.54,5141633,PM,113.28789
1029,2017-03-13,110.67,111.1,110.39,111.02,3166315,PM,113.50495
1030,2017-03-14,110.72,111.38,110.42,110.77,3518645,PM,114.04921
1031,2017-03-15,111.0,112.76,110.96,112.42,3665596,PM,113.72215
1032,2017-03-16,112.8,112.945,112.03,112.7,4002047,PM,115.659225
1033,2017-03-17,113.2,114.46,112.73,113.0,8830954,PM,115.78504
1034,2017-03-20,113.04,114.11,113.0,114.01,5682566,PM,116.16017
1035,2017-03-21,113.3,114.65,113.19,113.49,6947199,PM,117.2997
1036,2017-03-22,113.9,114.1,112.85,113.0,5343115,PM,116.604965
1037,2017-03-23,112.82,113.81,112.68,112.95,4522071,PM,116.15531
