,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,85.37,85.77,84.88,85.58,6554731,V,83.25598
1009,2017-02-10,85.8,86.14,85.23,85.9,10431983,V,83.84063
1010,2017-02-13,86.2,86.7,86.0,86.44,6046310,V,84.12802
1011,2017-02-14,86.52,86.97,86.26,86.85,5952016,V,84.630684
1012,2017-02-15,87.02,87.54,86.7,87.54,8049742,V,84.98707
1013,2017-02-16,87.55,87.68,86.7902,87.41,8680571,V,85.63287
1014,2017-02-17,87.27,87.68,86.98,87.46,5887160,V,85.464066
1015,2017-02-21,87.51,88.04,87.17,87.92,9301250,V,85.556175
1016,2017-02-22,87.61,88.15,87.51,87.8,8389934,V,86.0229
1017,2017-02-23,88.23,88.49,87.87,88.18,6040523,V,85.88022
1018,2017-02-24,87.36,88.43,87.3,88.43,5151311,V,86.278244
1019,2017-02-27,88.32,88.38,87.91,88.0,6131649,V,86.49629
1020,2017-02-28,88.16,88.3811,87.755,87.94,8565269,V,86.06984
1021,2017-03-01,88.74,89.14,88.42,88.99,11131368,V,86.071785
1022,2017-03-02,89.0,89.13,88.1,88.53,10544171,V,87.1042
1023,2017-03-03,88.31,88.91,88.18,88.79,5713897,V,86.55312
1024,2017-03-06,88.53,89.27,88.27,88.94,7347648,V,86.86752
1025,2017-03-07,88.99,89.3,88.85,89.06,5688364,V,86.99892
1026,2017-03-08,89.17,89.3,88.87,88.96,5866775,V,87.11245
1027,2017-03-09,89.02,89.5,88.71,89.11,5953875,V,87.014854
1028,2017-03-10,89.5,89.86,89.1002,89.73,12247187,V,87.18245
1029,2017-03-13,89.8,90.31,89.61,90.11,8944143,V,87.77632
1030,2017-03-14,89.93,90.03,89.24,89.55,6009803,V,88.08657
1031,2017-03-15,89.75,90.1,89.41,89.92,6350706,V,87.517715
1032,2017-03-16,90.31,90.33,89.47,90.04,9174440,V,87.95834
1033,2017-03-17,90.25,90.63,90.17,90.24,8613377,V,88.04631
1034,2017-03-20,90.29,92.05,88.965,89.18,9438042,V,88.23711
1035,2017-03-21,89.49,89.71,88.0,88.06,11092126,V,87.19569
1036,2017-03-22,87.85,89.035,87.85,88.52,7828563,V,86.2331
1037,2017-03-23,88.47,89.39,88.42,88.86,7710654,V,86.787575
1038,2017-03-24,89.06,89.605,88.97,89.19,7597620,V,87.040764
1039,2017-03-27,88.31,88.99,88.07,88.95,5230008,V,87.29989
1040,2017-03-28,89.12,89.42,88.49,89.12,7045509,V,87.0217
1041,2017-03-29,88.99,89.39,88.56,89.18,4737996,V,87.21619
1042,2017-03-30,89.08,89.095,88.6046,89.01,6227073,V,87.26234
1043,2017-03-31,88.98,89.35,88.87,88.87,6429764,V,87.09787
1044,2017-04-03,89.14,89.46,88.4,89.36,9125775,V,86.98594
1045,2017-04-04,89.01,89.33,88.66,88.78,4859944,V,87.47802
1046,2017-04-05,89.13,90.2,88.95,89.03,7251617,V,86.86159
1047,2017-04-06,89.0,89.26,88.78,89.09,8473909,V,87.16801
1048,2017-04-07,88.97,89.24,88.52,88.74,5439513,V,87.196846
1049,2017-04-10,88.62,89.25,88.52,88.86,5999394,V,86.84937
1050,2017-04-11,88.6,88.85,88.13,88.85,7058509,V,87.00181
1051,2017-04-12,88.7,89.21,88.56,88.68,5912460,V,86.97536
1052,2017-04-13,88.47,89.775,88.43,88.87,7242743,V,86.80786
1053,2017-04-17,89.09,89.9,88.75,89.81,6122795,V,87.00696
1054,2017-04-18,89.64,89.92,89.24,89.73,6823460,V,87.8956
1055,2017-04-19,90.09,90.62,89.6,89.75,7301338,V,87.71727
1056,2017-04-20,90.14,91.5,89.9047,91.15,12178320,V,87.760216
1057,2017-04-21,92.77,92.8,91.02,91.15,19442584,V,89.13576
1058,2017-04-24,92.15,92.5,91.01,91.85,11705374,V,88.9959
1059,2017-04-25,91.99,92.35,91.58,92.11,7769203,V,89.70761
1060,2017-04-26,92.02,92.48,91.75,91.82,11295240,V,89.91163
1061,2017-04-27,91.95,92.0,91.28,91.6,5856781,V,89.635
1062,2017-04-28,91.39,91.55,90.98,91.22,6888471,V,89.485435
1063,2017-05-01,91.29,91.67,91.14,91.26,9042079,V,89.15878
1064,2017-05-02,91.62,92.75,91.53,92.54,11627705,V,89.245605
1065,2017-05-03,92.4,92.545,91.975,92.44,4908954,V,90.480484
1066,2017-05-04,92.7,92.85,92.25,92.62,5257030,V,90.22668
1067,2017-05-05,92.9,92.98,91.76,92.09,8844524,V,90.42979
1068,2017-05-08,92.05,92.16,91.52,91.92,5223617,V,89.91238
1069,2017-05-09,91.9,92.14,91.8343,92.0,3969471,V,89.82956
1070,2017-05-10,91.7,92.41,91.68,92.25,6747589,V,89.93339
1071,2017-05-11,92.12,92.31,91.62,92.1,7052203,V,90.165306
1072,2017-05-12,92.19,92.78,91.98,92.73,5898827,V,89.986725
1073,2017-05-15,92.73,93.4199,92.72,93.23,7040087,V,90.620255
1074,2017-05-16,93.35,93.7249,92.97,93.15,5497361,V,91.03539
1075,2017-05-17,92.48,92.76,91.71,91.76,8240166,V,90.910995
1076,2017-05-18,91.36,92.48,91.36,91.71,8239825,V,89.58946
1077,2017-05-19,91.98,92.81,91.71,92.48,9361292,V,89.72136
1078,2017-05-22,92.53,93.6,92.43,93.31,9186208,V,90.46691
1079,2017-05-23,93.56,94.07,93.47,93.86,7616088,V,91.16723
1080,2017-05-24,94.02,94.99,94.02,94.81,6916568,V,91.59985
1081,2017-05-25,95.09,95.38,94.89,95.04,7262356,V,92.47782
1082,2017-05-26,95.0,95.12,94.39,94.67,4133942,V,92.61613
1083,2017-05-30,94.66,94.88,94.34,94.72,6292726,V,92.27219
1084,2017-05-31,95.08,95.53,94.46,95.23,9865986,V,92.40892
1085,2017-06-01,95.4,95.45,94.61,95.4,8911894,V,92.92397
1086,2017-06-02,95.41,96.19,95.41,96.15,8570164,V,93.03784
1087,2017-06-05,96.32,96.59,96.11,96.55,14510542,V,93.764084
1088,2017-06-06,96.27,96.6,95.56,95.79,7030305,V,94.07305
