,date,open,high,low,close,volume,Name,Predictions
1008,2017-02-09,55.98,56.77,55.67,56.73,15907818,WFC,55.45928
1009,2017-02-10,57.02,57.04,56.66,56.86,12268103,WFC,56.572247
1010,2017-02-13,57.07,57.511,56.89,57.08,15325274,WFC,56.710533
1011,2017-02-14,57.13,58.0,56.99,57.98,16382857,WFC,56.917652
1012,2017-02-15,58.1,59.005,57.89,58.55,25350371,WFC,57.783176
1013,2017-02-16,58.36,58.36,57.51,58.12,14694501,WFC,58.315273
1014,2017-02-17,57.58,58.1,57.45,58.09,15783230,WFC,57.85486
1015,2017-02-21,58.25,58.63,57.9,58.25,16916750,WFC,57.82367
1016,2017-02-22,58.0,58.59,58.0,58.36,12344234,WFC,57.99499
1017,2017-02-23,58.43,58.59,58.06,58.49,13841369,WFC,58.123802
1018,2017-02-24,57.7,57.91,57.32,57.81,16379051,WFC,58.262722
1019,2017-02-27,57.81,58.25,57.71,58.06,10101035,WFC,57.587284
1020,2017-02-28,57.99,58.32,57.73,57.88,15558884,WFC,57.85933
1021,2017-03-01,59.11,59.99,59.09,59.73,25912728,WFC,57.6867
1022,2017-03-02,59.78,59.79,58.565,58.71,17578616,WFC,59.55254
1023,2017-03-03,58.85,59.24,58.67,58.89,14753743,WFC,58.455406
1024,2017-03-06,58.54,58.88,58.18,58.61,13225468,WFC,58.649384
1025,2017-03-07,58.43,58.52,58.015,58.3,13099877,WFC,58.34945
1026,2017-03-08,58.95,59.13,58.165,58.21,14711295,WFC,58.070942
1027,2017-03-09,58.45,58.87,58.2,58.7,15721476,WFC,58.005783
1028,2017-03-10,58.98,59.18,58.52,58.85,15120176,WFC,58.513126
1029,2017-03-13,58.83,59.03,58.5151,58.7,14063472,WFC,58.651543
1030,2017-03-14,58.49,58.8054,58.245,58.76,10885031,WFC,58.48707
1031,2017-03-15,58.9,59.31,58.36,58.71,17777338,WFC,58.538452
1032,2017-03-16,58.86,59.41,58.76,59.32,18468200,WFC,58.48423
1033,2017-03-17,59.37,59.41,58.52,58.67,20985674,WFC,59.09888
1034,2017-03-20,58.47,58.47,57.62,57.63,17663194,WFC,58.427464
1035,2017-03-21,57.93,57.96,55.63,55.85,31766385,WFC,57.414135
1036,2017-03-22,55.53,55.57,54.85,55.33,27740860,WFC,55.689
1037,2017-03-23,55.23,55.99,54.98,55.25,18999983,WFC,55.2374
1038,2017-03-24,55.5,56.05,55.22,55.83,21127464,WFC,55.21974
1039,2017-03-27,54.63,55.58,54.24,55.39,16854761,WFC,55.8271
1040,2017-03-28,55.35,56.25,55.24,55.96,14878890,WFC,55.375725
1041,2017-03-29,55.94,56.09,55.55,55.67,10329113,WFC,55.897133
1042,2017-03-30,55.68,56.43,55.61,56.24,12106538,WFC,55.57457
1043,2017-03-31,56.02,56.175,55.62,55.66,11864615,WFC,56.113132
1044,2017-04-03,55.7,55.82,54.79,55.49,14550739,WFC,55.52176
1045,2017-04-04,55.3,55.33,54.98,55.2,11937360,WFC,55.345955
1046,2017-04-05,55.79,56.2,54.93,54.98,17411708,WFC,55.06399
1047,2017-04-06,54.95,55.65,54.705,55.37,10387536,WFC,54.862797
1048,2017-04-07,54.94,55.31,54.61,54.84,15848631,WFC,55.25816
1049,2017-04-10,54.99,55.2499,54.32,54.54,14607683,WFC,54.743675
1050,2017-04-11,54.23,54.26,53.265,54.16,28086812,WFC,54.43894
1051,2017-04-12,53.95,54.02,53.05,53.12,25601266,WFC,54.063892
1052,2017-04-13,51.8,52.75,51.35,51.35,47981952,WFC,53.0566
1053,2017-04-17,51.64,52.76,51.255,52.72,31959061,WFC,51.33763
1054,2017-04-18,52.36,52.665,52.09,52.45,22257525,WFC,52.643574
