,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,36.13,36.18,35.75,6031957.0,35.85,35.85885050302568
5,2013-02-15,36.93,37.81,36.93,13296586.0,37.58,37.562992150492484
8,2013-02-21,38.49,39.025,38.19,7261136.0,38.78,38.6779547095171
10,2013-02-25,38.54,38.61,37.37,4665671.0,37.37,37.815044811506574
14,2013-03-01,36.8,38.07,36.551,8929379.0,37.81,37.65002400335103
15,2013-03-04,37.53,38.25,37.53,5420719.0,38.24,38.072883690016106
18,2013-03-07,37.65,38.01,37.44,4442420.0,37.49,37.759037164043335
27,2013-03-20,38.5,39.19,38.41,7073266.0,39.06,38.95064903398844
31,2013-03-26,39.57,40.52,39.57,7249496.0,40.21,40.298519155170524
34,2013-04-01,39.96,41.14,39.96,5739918.0,41.12,40.89765867861234
39,2013-04-08,41.27,41.87,41.07,16449213.0,41.77,41.51262055633701
44,2013-04-15,42.87,43.03,41.41,7153137.0,41.44,42.02655134396171
45,2013-04-16,41.67,42.53,41.13,6999109.0,42.45,41.99314707278907
49,2013-04-22,43.0,43.28,42.31,2925579.0,42.59,42.75199327687346
49,2013-04-22,43.0,44.83,42.88,8531644.0,44.2,44.408829188594254
52,2013-04-25,44.75,44.7899,43.76,5236806.0,44.24,44.09502113153005
55,2013-04-30,45.05,46.23,45.01,6792922.0,46.05,45.94966343373282
55,2013-04-30,45.05,45.365,44.485,2953450.0,44.71,44.90476286034635
58,2013-05-03,44.31,44.77,43.83,4643020.0,44.68,44.33251859118576
60,2013-05-07,44.5,45.0,44.4201,3745563.0,44.91,44.80405444499793
64,2013-05-13,44.79,44.79,44.17,3738818.0,44.54,44.33290492899482
70,2013-05-21,46.19,46.96,46.17,4710269.0,46.54,46.75659453344647
75,2013-05-29,44.89,45.18,43.79,6908441.0,43.88,44.375482727023595
82,2013-06-07,43.72,44.27,43.5,5463841.0,44.0,43.97326481698555
85,2013-06-12,43.91,44.0,42.72,3742538.0,42.77,43.18865099618676
92,2013-06-21,41.66,42.71,41.2,9823959.0,42.62,42.17880872016616
103,2013-07-09,44.0,44.23,43.25,3808460.0,43.32,43.665289912658906
108,2013-07-16,44.54,44.77,43.7,3714496.0,43.81,44.15084178538364
113,2013-07-23,44.92,45.09,44.23,3535542.0,44.31,44.56970401230407
122,2013-08-05,45.05,46.23,45.01,6792922.0,46.05,45.94966343373282
122,2013-08-05,45.05,45.365,44.485,2953450.0,44.71,44.90476286034635
124,2013-08-07,44.7,44.86,44.22,3303385.0,44.57,44.46944239593258
140,2013-08-29,42.32,43.09,42.26,2788872.0,42.62,42.88012370326367
141,2013-08-30,42.76,43.03,42.3,3170663.0,42.61,42.64079559789161
142,2013-09-03,43.0,43.28,42.31,2925579.0,42.59,42.75199327687346
142,2013-09-03,43.0,44.83,42.88,8531644.0,44.2,44.408829188594254
152,2013-09-17,45.92,47.695,45.86,7294962.0,47.6,47.320880187096336
156,2013-09-23,47.56,47.56,46.93,3179469.0,47.1,47.09650736721843
159,2013-09-26,45.33,45.6192,44.81,5033923.0,45.0,45.17586504182921
161,2013-09-30,44.52,44.95,44.03,5818407.0,44.73,44.50263389326255
175,2013-10-18,48.38,49.18,48.31,4732347.0,48.6,48.939306144447315
184,2013-10-31,48.68,49.0,48.44,4563677.0,48.45,48.71978675888791
186,2013-11-04,49.19,49.19,48.0,4095606.0,48.76,48.380644951937576
187,2013-11-05,48.59,48.76,48.025,4095359.0,48.17,48.306358381825085
192,2013-11-12,48.45,48.48,47.275,5351110.0,47.48,47.668876799435864
194,2013-11-14,47.99,48.47,47.688,3411754.0,48.04,48.13988528898313
198,2013-11-20,48.42,48.54,47.83,3120295.0,47.95,48.08420103361042
202,2013-11-26,48.38,49.18,48.31,4732347.0,48.6,48.939306144447315
204,2013-11-29,48.43,48.93,48.07,4044343.0,48.45,48.557671842180945
211,2013-12-10,51.245,54.13,50.72,14907618.0,52.14,53.2754019713604
213,2013-12-12,52.56,54.59,52.25,17954637.0,54.41,53.95497930866562
214,2013-12-13,52.3,53.12,51.8162,8551125.0,52.18,52.59737682112815
215,2013-12-16,53.42,55.31,53.42,17768683.0,54.9,54.880101692789076
218,2013-12-19,53.21,54.9995,52.88,18698975.0,53.52,54.378025453544375
220,2013-12-23,52.73,53.03,52.6,2898886.0,53.01,52.823564960660065
224,2013-12-30,52.73,53.03,52.6,2898886.0,53.01,52.823564960660065
227,2014-01-03,52.25,52.5,51.01,5860736.0,51.46,51.612488151169
231,2014-01-09,50.59,51.65,49.87,6960524.0,51.22,50.96624044058001
233,2014-01-13,50.66,50.74,49.64,7055356.0,49.83,50.00193308102106
240,2014-01-23,48.74,49.06,48.39,7270503.0,48.87,48.69619106285704
241,2014-01-24,48.42,48.54,47.83,3120295.0,47.95,48.08420103361042
247,2014-02-03,49.4,49.49,47.06,10315368.0,47.35,47.93561578996796
249,2014-02-05,47.76,48.07,47.155,6987085.0,47.73,47.5568761539157
251,2014-02-07,48.0,49.025,47.66,7003884.0,48.89,48.578359250530504
254,2014-02-12,49.63,50.93,49.59,6534491.0,50.56,50.6292397503762
263,2014-02-26,49.95,50.97,49.93,5710741.0,50.74,50.72245447989527
268,2014-03-05,51.68,52.12,51.3,5251165.0,51.7,51.731159039428555
269,2014-03-06,52.04,52.77,51.97,6529013.0,52.04,52.52183483986643
270,2014-03-07,52.25,52.5,51.01,5860736.0,51.46,51.612488151169
271,2014-03-10,51.9,51.9,50.86,3086027.0,51.66,51.18368733645375
272,2014-03-11,51.68,52.12,51.3,5251165.0,51.7,51.731159039428555
274,2014-03-13,51.89,52.095,51.41,4279836.0,51.61,51.6822436219793
282,2014-03-25,51.68,52.12,51.3,5251165.0,51.7,51.731159039428555
283,2014-03-26,52.0,52.34,51.46,5684946.0,51.5,51.864448900177514
291,2014-04-07,51.68,52.12,51.3,5251165.0,51.7,51.731159039428555
295,2014-04-11,46.58,47.21,45.5,11465788.0,46.46,46.342077767383785
298,2014-04-16,48.58,48.84,47.62,7150999.0,48.12,48.1170656761697
299,2014-04-17,47.92,48.78,47.72,6196807.0,48.55,48.44446640987305
302,2014-04-23,50.14,50.26,49.39,6578335.0,50.14,49.683339299886974
303,2014-04-24,50.13,50.13,49.0,6628778.0,49.32,49.33943814749555
308,2014-05-01,51.89,52.095,51.41,4279836.0,51.61,51.6822436219793
310,2014-05-05,50.99,51.37,50.31,2580340.0,51.36,50.82593180239835
311,2014-05-06,51.2,51.3,50.83,3353162.0,50.91,50.974081790892214
317,2014-05-14,52.23,53.0,52.08,4878350.0,52.87,52.70858831571719
319,2014-05-16,52.65,52.97,52.41,5826232.0,52.93,52.67616991349459
320,2014-05-19,52.84,54.21,52.71,6010486.0,54.11,53.844651488183295
322,2014-05-21,53.5,53.84,53.0998,4088023.0,53.27,53.4567741801341
328,2014-05-30,53.98,54.43,53.89,4024988.0,54.33,54.21929240131606
332,2014-06-05,54.55,54.62,50.98,10432227.0,51.18,52.31835511507964
333,2014-06-06,55.32,55.4,54.89,3450130.0,55.1,55.03405663589643
342,2014-06-19,54.14,54.81,53.92,3960078.0,54.19,54.492487732915535
349,2014-06-30,56.51,56.89,56.1001,6477174.0,56.44,56.47632117232426
351,2014-07-02,57.46,58.11,56.92,6199669.0,58.11,57.58319186987893
356,2014-07-10,54.5,55.0,53.98,8532544.0,54.29,54.494130244835695
358,2014-07-14,53.89,55.05,53.72,30823346.0,54.85,54.52895849434652
359,2014-07-15,54.52,54.69,53.39,16796769.0,53.44,53.806659483272625
