,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,73.09,73.27,72.1,1880055.0,73.07,72.41542407140408
5,2013-02-15,73.08,74.16,73.0,3221961.0,74.16,73.91657951222442
8,2013-02-21,74.69,74.75,73.45,2647515.0,73.85,73.74048897621923
10,2013-02-25,75.17,75.52,73.91,2836095.0,73.91,74.42722884900168
12,2013-02-27,74.0,74.73,73.84,2040600.0,74.54,74.4638635751528
14,2013-03-01,74.13,74.95,73.62,1678154.0,74.82,74.34374297319674
15,2013-03-04,74.53,75.28,74.25,1825682.0,75.24,74.89754079856908
18,2013-03-07,77.29,77.835,76.87,2565710.0,77.57,77.41591054026573
21,2013-03-12,78.26,79.98,78.08,2967313.0,79.92,79.4870043908839
22,2013-03-13,78.0,79.66,77.88,3472781.0,79.33,79.25274766224975
27,2013-03-20,76.34,76.8,76.13,2487340.0,76.49,76.580210918891
31,2013-03-26,74.0,74.73,73.84,2040600.0,74.54,74.4638635751528
34,2013-04-01,76.07,76.45,75.55,2017406.0,75.85,75.96334473430538
39,2013-04-08,76.14,76.62,75.9,1950747.0,76.55,76.34868116376803
44,2013-04-15,76.93,77.06,75.23,2930740.0,75.24,75.64796184087636
45,2013-04-16,76.0,77.56,75.605,3439799.0,77.49,76.93443007111435
49,2013-04-22,75.0,75.13,74.19,2324161.0,74.94,74.46459469600386
52,2013-04-25,78.0,79.66,77.88,3472781.0,79.33,79.25274766224975
55,2013-04-30,80.92,81.44,80.03,3334321.0,81.44,80.65458388725678
58,2013-05-03,80.08,80.29,79.24,3486056.0,79.5,79.63100669795467
60,2013-05-07,78.87,79.35,78.74,2567784.0,79.05,79.20231891475308
64,2013-05-13,80.06,80.69,79.85,1739587.0,79.92,80.40599862277784
70,2013-05-21,82.65,83.33,82.12,2675999.0,82.9,82.79515255160086
75,2013-05-29,82.52,83.37,82.35,2457826.0,82.95,83.09611576034965
79,2013-06-04,82.0,84.215,81.66,4386544.0,82.87,83.51697680248007
82,2013-06-07,80.84,81.0,79.65,1462595.0,79.71,79.9757515488455
82,2013-06-07,80.84,81.84,80.84,2489254.0,81.21,81.67358961776422
82,2013-06-07,80.84,80.95,80.06,2916634.0,80.9,80.34874867422728
84,2013-06-11,80.64,80.84,79.645,4365705.0,79.93,80.08280717545034
85,2013-06-12,80.84,81.0,79.65,1462595.0,79.71,79.9757515488455
85,2013-06-12,80.84,81.84,80.84,2489254.0,81.21,81.67358961776422
85,2013-06-12,80.84,80.95,80.06,2916634.0,80.9,80.34874867422728
92,2013-06-21,79.69,79.92,78.78,4555053.0,79.4,79.23426979924093
103,2013-07-09,74.86,74.98,73.84,4339977.0,74.1,74.2097011847867
105,2013-07-11,75.0,75.13,74.19,2324161.0,74.94,74.46459469600386
108,2013-07-16,75.98,76.62,74.68,3676703.0,75.29,75.45153626861264
113,2013-07-23,75.14,75.19,74.23,2494974.0,74.25,74.46475348506799
122,2013-08-05,74.39,74.78,74.1,2556028.0,74.23,74.50747705806279
124,2013-08-07,73.07,73.4,72.57,2584245.0,73.0,72.95897537553411
140,2013-08-29,72.32,73.22,72.14,1828073.0,72.72,72.88215421508626
141,2013-08-30,72.77,72.8675,71.77,2709871.0,72.25,72.05559300401913
142,2013-09-03,72.72,73.535,72.67,3186029.0,73.08,73.38307699086964
143,2013-09-04,73.08,74.16,73.0,3221961.0,74.16,73.91657951222442
147,2013-09-10,74.0,74.73,73.84,2040600.0,74.54,74.4638635751528
152,2013-09-17,76.27,76.878,75.98,2549122.0,76.61,76.55323841015262
156,2013-09-23,77.1,77.5,76.29,2870589.0,76.36,76.79016756210812
