,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,38.99,39.05,38.534,2333712.0,38.64,38.66792041043138
5,2013-02-15,38.51,38.76,38.38,2367880.0,38.635,38.6182089031558
8,2013-02-21,38.82,38.82,38.3,2872613.0,38.34,38.37561241193723
10,2013-02-25,38.66,39.085,38.1,2738642.0,38.11,38.56761912229854
14,2013-03-01,39.3,39.88,38.96,2328199.0,39.83,39.536276151027
15,2013-03-04,39.74,40.47,39.45,2423523.0,40.46,40.147716409889064
18,2013-03-07,41.4,41.59,41.2,2678444.0,41.5,41.38999344818669
27,2013-03-20,42.7,43.23,41.995,10733242.0,42.46,42.3322321316718
31,2013-03-26,42.66,42.95,42.4565,2125366.0,42.75,42.75488999162713
34,2013-04-01,43.36,43.78,43.23,3397904.0,43.38,43.589915179755565
39,2013-04-08,43.27,43.8,43.135,2814037.0,43.79,43.612810550066996
44,2013-04-15,44.81,45.46,44.59,3552652.0,44.6,45.169095471264086
45,2013-04-16,44.77,45.35,44.77,2226459.0,45.28,45.28545205333144
49,2013-04-22,45.0,45.2,44.33,2026324.0,44.53,44.6442360151235
52,2013-04-25,44.75,45.205,44.56,2131886.0,45.05,45.00414050984617
55,2013-04-30,44.76,45.15,44.55,4313153.0,45.08,44.87041109343937
58,2013-05-03,46.0,47.17,45.82,4226406.0,47.01,46.83522775670393
60,2013-05-07,46.46,46.68,45.29,6862931.0,45.602,45.56713956778966
64,2013-05-13,43.98,44.008,43.49,2767935.0,43.61,43.590817930112216
70,2013-05-21,44.21,44.48,43.89,1828187.0,44.02,44.20376344822021
72,2013-05-23,42.66,42.95,42.4565,2125366.0,42.75,42.75488999162713
75,2013-05-29,42.75,42.87,42.3901,3280897.0,42.6,42.53051985326728
82,2013-06-07,43.86,44.41,43.66,2895226.0,44.12,44.16621957337849
85,2013-06-12,43.31,43.46,42.61,2124415.0,42.72,42.88141958277078
92,2013-06-21,44.92,45.0,44.23,6294691.0,44.77,44.30472697773111
99,2013-07-02,46.0,47.17,45.82,4226406.0,47.01,46.83522775670393
103,2013-07-09,46.76,47.31,46.73,2578615.0,47.26,47.21437050574489
106,2013-07-12,48.35,48.45,47.95,1708528.0,48.07,48.1335668659559
108,2013-07-16,48.05,48.13,47.36,2473018.0,47.485,47.558275744184705
113,2013-07-23,48.35,48.45,47.95,1708528.0,48.07,48.1335668659559
122,2013-08-05,47.45,47.84,47.3501,2172212.0,47.63,47.7185331977436
124,2013-08-07,47.17,47.48,46.83,2397741.0,47.1,47.16687289661083
133,2013-08-20,44.77,45.35,44.77,2226459.0,45.28,45.28545205333144
140,2013-08-29,45.5,46.14,45.35,1738910.0,45.93,45.96457799916185
141,2013-08-30,45.88,46.11,45.57,2211503.0,45.75,45.83469815577883
142,2013-09-03,46.21,46.5655,45.7,1955490.0,45.88,46.12463223071698
152,2013-09-17,48.19,48.49,47.92,6826894.0,48.14,48.093428629257275
156,2013-09-23,52.07,52.47,51.615,3183405.0,51.8,52.0325359396695
159,2013-09-26,52.0,52.38,51.81,2902916.0,52.1,52.16636009009801
161,2013-09-30,51.5,52.15,51.202,2748601.0,51.94,51.82566454603815
184,2013-10-31,54.01,54.56,53.9,3509466.0,54.22,54.37430096154248
186,2013-11-04,55.01,55.42,54.66,3433601.0,55.39,55.05937584463612
187,2013-11-05,55.24,55.28,54.67,3616606.0,54.79,54.77623081303569
192,2013-11-12,55.84,56.34,55.6,2929235.0,56.24,56.074690929581365
194,2013-11-14,57.56,57.99,56.91,4571882.0,57.17,57.35140905032013
198,2013-11-20,55.98,56.32,55.8,2931259.0,55.94,56.11984501667959
202,2013-11-26,56.87,56.89,56.2,2840970.0,56.7,56.33365561752203
204,2013-11-29,57.12,57.15,56.6225,965238.0,56.78,56.79106816848013
211,2013-12-10,55.38,55.39,54.65,3787264.0,55.32,54.755563121561934
224,2013-12-30,59.67,59.8,59.24,1329125.0,59.55,59.47441980681664
231,2014-01-09,58.99,59.53,58.72,2427430.0,59.09,59.25403993243625
233,2014-01-13,59.28,59.44,58.41,2928748.0,58.6,58.7066947285365
240,2014-01-23,61.18,61.43,60.32,2671273.0,60.88,60.70440504002153
247,2014-02-03,59.08,59.255,57.32,6649084.0,58.09,57.68667539408597
249,2014-02-05,59.54,61.02,59.271,5122619.0,61.0,60.559515054977894
251,2014-02-07,61.58,63.24,61.3,4823760.0,62.88,62.76221439571805
254,2014-02-12,64.21,65.15,64.09,3137832.0,65.14,64.93220104688554
263,2014-02-26,67.73,68.95,67.65,3068166.0,67.82,68.73872888417014
268,2014-03-05,68.79,69.03,68.52,3070141.0,68.9,68.77056455598498
269,2014-03-06,69.14,69.42,68.85,3059167.0,68.92,69.1407997451867
270,2014-03-07,69.21,69.31,67.97,2500313.0,68.52,68.3048936109007
271,2014-03-10,68.68,68.68,67.31,3032829.0,68.04,67.563840610531
282,2014-03-25,65.75,65.75,64.17,2444139.0,64.54,64.48242609840578
283,2014-03-26,66.1,66.39,63.88,4714001.0,63.9,64.50555222996076
291,2014-04-07,61.2,61.98,60.88,2070172.0,61.44,61.651013656322164
295,2014-04-11,60.89,61.75,60.022,5930687.0,60.5,60.849199921633264
296,2014-04-14,61.18,61.43,60.32,2671273.0,60.88,60.70440504002153
298,2014-04-16,62.27,63.14,62.25,3370603.0,63.04,63.001466966978796
299,2014-04-17,62.96,64.23,62.53,3746019.0,64.04,63.70822041863921
302,2014-04-23,64.23,64.58,63.78,2863697.0,64.39,64.16851910623437
303,2014-04-24,64.89,65.0,62.93,3961243.0,63.22,63.36678072372182
308,2014-05-01,61.69,63.1045,61.31,2839294.0,62.59,62.63579188134449
310,2014-05-05,61.2,61.98,60.88,2070172.0,61.44,61.651013656322164
311,2014-05-06,61.15,61.35,59.34,3913160.0,59.44,59.82723201279714
317,2014-05-14,59.95,61.35,59.95,2497810.0,60.88,61.197934700886655
319,2014-05-16,60.65,61.69,59.93,3651241.0,61.64,60.96152939210945
320,2014-05-19,61.27,62.84,61.26,2817642.0,62.2,62.652382483039396
322,2014-05-21,61.73,62.66,61.53,1414109.0,62.47,62.43267561416652
328,2014-05-30,65.75,65.75,64.17,2444139.0,64.54,64.48242609840578
333,2014-06-06,65.99,67.32,65.69,3630237.0,66.91,66.90155398314079
337,2014-06-12,67.23,68.61,67.23,1896316.0,68.57,68.48311226087297
342,2014-06-19,73.17,73.57,72.2401,4413446.0,72.95,72.72318904441028
349,2014-06-30,72.43,72.74,71.955,2771273.0,72.36,72.31999610344712
349,2014-06-30,72.43,73.3577,72.12,2965546.0,72.97,72.9985035712268
351,2014-07-02,72.65,73.24,72.6,2682086.0,72.76,73.13454604477676
358,2014-07-14,72.55,73.26,72.46,1862544.0,72.88,73.13578709060945
359,2014-07-15,72.8,73.11,71.87,2752669.0,72.29,72.32542070520236
360,2014-07-16,72.55,73.26,72.46,1862544.0,72.88,73.13578709060945
361,2014-07-17,72.11,72.47,71.31,2032437.0,71.39,71.80711254861656
364,2014-07-22,72.13,72.83,71.91,1769531.0,72.26,72.605200109621
369,2014-07-29,72.7,73.2031,71.89,2356405.0,72.34,72.5069920590753
381,2014-08-14,69.89,70.25,69.27,2949402.0,70.12,69.70122705485204
381,2014-08-14,69.89,70.07,69.59,1318652.0,70.05,69.84928097420573
386,2014-08-21,71.07,71.9,70.83,1886928.0,71.73,71.6410486380285
389,2014-08-26,71.79,72.62,71.78,2165414.0,72.28,72.53724041959114
389,2014-08-26,71.79,71.99,70.58,1612038.0,71.49,71.02808341247797
390,2014-08-27,71.53,72.09,71.37,1705551.0,71.55,71.92994496330094
393,2014-09-02,72.06,72.59,71.84,2161445.0,72.1,72.37068800396767
394,2014-09-03,72.55,73.26,72.46,1862544.0,72.88,73.13578709060945
397,2014-09-08,72.87,73.55,72.81,1378365.0,73.39,73.46866991609703
397,2014-09-08,72.87,73.8,72.31,4057067.0,72.32,73.2052320234724
401,2014-09-12,72.4,72.78,71.6,1639677.0,72.05,72.12767250813866
402,2014-09-15,70.63,70.96,69.37,3867962.0,70.27,69.87158541981748
406,2014-09-19,68.12,68.2,66.35,6790056.0,66.94,66.634032172404
408,2014-09-23,67.11,68.07,66.85,4414139.0,67.79,67.69849869610385
412,2014-09-29,67.69,69.49,67.55,3379570.0,69.22,69.15910130432198
415,2014-10-02,67.83,67.96,65.48,3376811.0,65.66,66.03169319756601
416,2014-10-03,67.59,68.67,67.59,2874110.0,68.4,68.54392700608983
418,2014-10-07,67.4,67.63,65.93,3308165.0,65.96,66.39969233594847
420,2014-10-09,67.83,67.96,65.48,3376811.0,65.66,66.03169319756601
427,2014-10-20,64.25,64.73,63.7,4266231.0,64.68,64.1797158047979
431,2014-10-24,66.26,67.085,65.5,1391572.0,67.01,66.4222567853094
432,2014-10-27,66.84,67.34,66.31,1490821.0,67.03,66.89354865893256
434,2014-10-29,68.21,68.81,67.52,2054404.0,67.93,68.20722075889753
435,2014-10-30,67.23,68.61,67.23,1896316.0,68.57,68.48311226087297
436,2014-10-31,69.89,70.25,69.27,2949402.0,70.12,69.70122705485204
436,2014-10-31,69.89,70.07,69.59,1318652.0,70.05,69.84928097420573
438,2014-11-04,69.95,71.1,69.75,2995992.0,71.07,70.80327362107849
439,2014-11-05,71.53,72.09,71.37,1705551.0,71.55,71.92994496330094
443,2014-11-11,71.81,72.0,71.4,1876089.0,71.7,71.67313410274743
445,2014-11-13,71.65,72.08,71.3,2560802.0,71.72,71.75394564966969
446,2014-11-14,71.7,72.0,71.35,2470527.0,71.42,71.6906346626443
452,2014-11-24,71.52,71.55,70.73,1821157.0,71.225,70.93655526359022
453,2014-11-25,71.2,72.52,71.2,2842637.0,72.0,72.37140561972521
456,2014-12-01,73.64,73.64,72.8901,1576865.0,73.18,73.07085558631653
458,2014-12-03,73.64,73.64,72.8901,1576865.0,73.18,73.07085558631653
459,2014-12-04,73.09,73.23,72.4,1428212.0,73.03,72.69856008541022
461,2014-12-08,72.4,72.78,71.6,1639677.0,72.05,72.12767250813866
464,2014-12-11,70.1,71.14,69.66,5176598.0,69.74,70.59275062802925
465,2014-12-12,74.17,77.56,73.71,12613681.0,76.02,76.51250848451335
466,2014-12-15,75.66,76.13,72.84,9696667.0,73.04,73.59084353932693
467,2014-12-16,72.87,73.55,72.81,1378365.0,73.39,73.46866991609703
467,2014-12-16,72.87,73.8,72.31,4057067.0,72.32,73.2052320234724
469,2014-12-18,75.41,75.69,75.095,2069782.0,75.15,75.42561519190826
471,2014-12-22,74.38,75.14,74.38,3815437.0,74.5,75.02144680875537
478,2015-01-02,72.7,73.2031,71.89,2356405.0,72.34,72.5069920590753
481,2015-01-07,70.77,71.29,70.42,2378276.0,71.11,70.95975633728077
482,2015-01-08,71.4,73.06,71.31,2624237.0,72.915,72.81015864606107
483,2015-01-09,72.89,73.13,71.63,1730255.0,71.84,72.12050740817246
484,2015-01-12,72.13,72.83,71.91,1769531.0,72.26,72.605200109621
487,2015-01-15,71.71,72.36,71.06,1798640.0,71.46,71.79405894695604
487,2015-01-15,71.71,71.75,70.16,2839158.0,70.29,70.49284835088335
489,2015-01-20,71.79,72.62,71.78,2165414.0,72.28,72.53724041959114
489,2015-01-20,71.79,71.99,70.58,1612038.0,71.49,71.02808341247797
492,2015-01-23,73.44,74.4,73.06,1851700.0,74.06,74.01722978478834
494,2015-01-27,71.71,72.36,71.06,1798640.0,71.46,71.79405894695604
494,2015-01-27,71.71,71.75,70.16,2839158.0,70.29,70.49284835088335
