,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,85.48,85.98,84.59,7538344.0,84.92,85.23356334636895
5,2013-02-15,84.24,84.7199,83.32,5622197.0,83.61,83.98659265583068
8,2013-02-21,84.59,85.32,84.15,4094108.0,85.13,84.93391213722127
10,2013-02-25,89.3,91.25,89.3,11421682.0,89.55,90.80051919433592
14,2013-03-01,91.16,92.76,90.51,4317624.0,92.58,91.99502756350704
15,2013-03-04,92.11,92.75,91.5,3186645.0,92.73,92.26345807061719
18,2013-03-07,93.43,93.88,92.82,2980007.0,92.95,93.44170519917745
27,2013-03-20,92.92,94.89,92.875,4157701.0,94.05,94.51994694970382
31,2013-03-26,97.29,98.76,97.07,3126921.0,98.66,98.38577110675286
34,2013-04-01,102.6199,103.9,101.7,4099647.0,102.31,102.99737684312115
39,2013-04-08,104.09,105.14,103.02,3133256.0,105.1,104.18851375617237
44,2013-04-15,111.31,111.44,108.2,4458620.0,108.48,109.06267642178159
45,2013-04-16,109.32,110.94,108.71,4627615.0,110.85,110.19234128924867
49,2013-04-22,112.01,113.97,110.83,4305513.0,113.42,112.69344428636929
52,2013-04-25,105.49,109.24,105.21,8119938.0,108.66,108.19130496253725
55,2013-04-30,106.66,106.66,103.85,5477146.0,104.21,104.53610228403123
58,2013-05-03,106.7,107.575,106.14,2620497.0,106.48,107.07810493374717
60,2013-05-07,105.0,105.56,104.1801,2957055.0,104.46,104.92630922216593
64,2013-05-13,106.18,107.5934,105.62,2545648.0,106.89,106.96996581602389
70,2013-05-21,102.45,104.68,102.45,3490307.0,104.24,104.29263528315873
75,2013-05-29,105.81,105.95,104.15,2909869.0,104.39,104.74930862869542
82,2013-06-07,98.77,100.26,98.32,3576248.0,98.81,99.6904641420221
85,2013-06-12,98.97,99.5,95.97,2579573.0,96.37,97.14937796678264
92,2013-06-21,97.08,99.12,95.06,6937989.0,98.282,97.11710292205906
103,2013-07-09,98.89,99.68,98.07,2085595.0,98.33,99.00761434328047
108,2013-07-16,104.27,104.9,103.54,1895640.0,104.05,104.33893354742247
113,2013-07-23,109.21,109.21,106.44,2560503.0,106.62,107.16575617996507
122,2013-08-05,108.9,108.97,107.26,1839747.0,107.43,107.81885365605073
124,2013-08-07,104.59,113.3,103.31,9916754.0,112.4,110.24883989867035
136,2013-08-23,106.18,107.5934,105.62,2545648.0,106.89,106.96996581602389
140,2013-08-29,108.75,111.5,108.5,2739601.0,108.86,110.80140276152531
141,2013-08-30,109.23,109.825,108.02,2655006.0,108.94,108.87706605429315
142,2013-09-03,110.53,111.985,110.01,3309803.0,111.01,111.36965567562211
152,2013-09-17,117.3,117.3,115.33,3146011.0,115.73,115.87949999309372
156,2013-09-23,115.89,116.5,115.03,2518765.0,115.05,115.82713523514933
159,2013-09-26,113.63,114.08,112.55,3529373.0,112.85,113.25413810176714
161,2013-09-30,112.08,113.27,111.5,3043788.0,111.925,112.67398815605182
161,2013-09-30,112.08,113.84,111.96,2805121.0,113.49,113.47795560018065
183,2013-10-30,118.32,118.73,115.94,3703890.0,116.4,116.87685508896733
184,2013-10-31,117.11,117.645,115.89,2648578.0,116.14,116.70150815193054
186,2013-11-04,118.73,119.7,116.89,2248741.0,117.28,118.16688267388938
187,2013-11-05,116.33,116.87,114.8501,3299323.0,115.14,115.70822881181567
192,2013-11-12,112.17,112.95,111.45,2413459.0,112.71,112.35064530661006
194,2013-11-14,114.02,116.76,113.62,4040823.0,115.41,115.92165308034225
198,2013-11-20,115.36,116.7,114.89,2269296.0,115.56,116.16779469559866
198,2013-11-20,115.36,115.52,114.39,1533955.0,115.49,114.88317958101503
202,2013-11-26,114.07,114.73,113.54,2737683.0,113.67,114.30421957121273
204,2013-11-29,114.19,114.45,113.68,1828333.0,114.08,114.15023725468355
211,2013-12-10,113.12,114.25,113.12,3462568.0,114.1,114.12176235554507
224,2013-12-30,115.36,116.7,114.89,2269296.0,115.56,116.16779469559866
224,2013-12-30,115.36,115.52,114.39,1533955.0,115.49,114.88317958101503
231,2014-01-09,116.54,118.96,116.22,3401883.0,118.89,118.27122754255825
233,2014-01-13,118.32,118.73,115.94,3703890.0,116.4,116.87685508896733
236,2014-01-16,118.82,118.83,117.02,2559230.0,117.82,117.55155033057896
240,2014-01-23,123.0,124.22,121.6,3534823.0,123.6,122.95455427247137
247,2014-02-03,119.68,120.4997,116.47,5046431.0,116.75,117.86719964471962
249,2014-02-05,115.43,116.94,114.57,4332194.0,115.07,116.02326003854373
251,2014-02-07,116.44,119.04,115.81,2839710.0,118.9,118.07157836314992
252,2014-02-10,119.68,120.4997,116.47,5046431.0,116.75,117.86719964471962
254,2014-02-12,120.93,122.535,120.8703,2187545.0,122.21,122.26573678191856
263,2014-02-26,123.9,124.23,121.74,3895729.0,121.86,122.56603718545776
268,2014-03-05,126.18,127.15,125.389,2478251.0,126.19,126.44451207306477
269,2014-03-06,126.69,127.42,124.12,3067544.0,124.19,125.34838114591562
270,2014-03-07,125.31,125.9,120.26,7124965.0,122.26,121.82440679151283
271,2014-03-10,122.26,126.1,122.25,3788733.0,125.4,125.31225142267083
283,2014-03-26,121.23,122.89,120.05,3843835.0,120.11,121.69008714623608
295,2014-04-11,113.27,116.09,111.9,7262698.0,111.94,114.40868085474145
298,2014-04-16,116.15,116.24,113.73,3451016.0,115.54,114.43585661726955
299,2014-04-17,115.61,117.19,115.02,3237732.0,115.46,116.48927558756627
302,2014-04-23,116.065,116.45,111.51,10966595.0,113.315,112.75474795004588
303,2014-04-24,114.11,114.5,111.79,6112321.0,113.72,112.66026210472063
308,2014-05-01,111.38,113.21,110.81,3643094.0,112.76,112.46008524217632
310,2014-05-05,111.39,113.34,110.86,2544453.0,113.18,112.61162404617491
311,2014-05-06,112.56,113.67,112.2,3760869.0,112.28,113.25571178870459
317,2014-05-14,111.14,112.48,110.52,2991454.0,112.07,111.81768138929058
319,2014-05-16,110.86,112.03,110.59,4193637.0,111.94,111.6661792112457
320,2014-05-19,111.24,112.47,110.92,3655495.0,112.08,112.06106131643703
322,2014-05-21,112.08,113.27,111.5,3043788.0,111.925,112.67398815605182
322,2014-05-21,112.08,113.84,111.96,2805121.0,113.49,113.47795560018065
328,2014-05-30,116.57,116.57,115.03,2251617.0,115.99,115.5061488690824
333,2014-06-06,118.82,118.83,117.02,2559230.0,117.82,117.55155033057896
341,2014-06-18,116.44,119.04,115.81,2839710.0,118.9,118.07157836314992
342,2014-06-19,118.12,118.12,117.18,2206257.0,117.85,117.53314888415359
349,2014-06-30,118.96,119.17,118.2,2422723.0,118.37,118.67243523172681
351,2014-07-02,120.08,121.22,120.0201,1447029.0,121.03,121.07358537890461
358,2014-07-14,120.84,120.86,118.81,2149725.0,118.98,119.4027702661528
359,2014-07-15,118.74,119.47,116.57,3963117.0,116.86,117.70323302466996
361,2014-07-17,116.73,117.17,115.21,2692241.0,115.39,116.01013042140072
364,2014-07-22,119.59,121.27,119.35,2806123.0,121.11,120.8297356129363
381,2014-08-14,125.2,132.52,124.8105,6408429.0,131.86,130.5596767916903
386,2014-08-21,132.96,133.0099,132.04,1774291.0,132.53,132.43054585121052
390,2014-08-27,137.94,138.57,136.69,2693200.0,137.83,137.57414070456548
393,2014-09-02,139.62,139.93,137.2,3290710.0,137.96,138.07036997504198
397,2014-09-08,138.0,139.36,137.66,2512882.0,139.27,138.91658481790571
402,2014-09-15,137.57,138.06,136.89,2175305.0,137.97,137.5589125619624
406,2014-09-19,142.99,144.46,142.29,6703386.0,144.01,143.63351090954075
408,2014-09-23,141.84,142.4,140.57,2320925.0,140.68,141.41009849032392
412,2014-09-29,139.96,141.5,139.33,2222410.0,140.07,140.78778721566582
416,2014-10-03,138.07,139.71,137.9,3429021.0,139.15,139.31985063866452
418,2014-10-07,137.14,137.54,135.98,2679781.0,136.03,136.67070369794683
420,2014-10-09,139.57,140.19,137.02,2750605.0,137.58,138.16244562892823
427,2014-10-20,133.28,137.55,133.01,6623760.0,137.51,136.40362606368376
431,2014-10-24,146.85,147.5,145.52,5318413.0,147.26,146.38993383633598
432,2014-10-27,146.7,148.469,146.11,4172467.0,148.2,147.70002754941862
434,2014-10-29,157.91,159.72,156.91,7074414.0,158.88,158.5645025449052
435,2014-10-30,158.64,161.58,158.16,3864487.0,161.58,160.6223302003733
436,2014-10-31,164.56,164.65,161.42,7973043.0,162.18,162.1865340323203
438,2014-11-04,160.69,161.99,159.17,3719005.0,160.41,160.59770627831105
443,2014-11-11,163.08,163.86,161.518,3015732.0,162.42,162.5689844667272
445,2014-11-13,162.11,162.35,159.58,3636942.0,160.85,160.40821902375546
445,2014-11-13,162.11,163.73,157.21,4410702.0,158.59,159.56477859401366
446,2014-11-14,161.1,161.28,156.615,4505723.0,157.68,157.78524242711399
452,2014-11-24,163.0,165.676,162.945,2193251.0,164.18,165.14537527659465
453,2014-11-25,164.06,164.41,160.7,3564899.0,162.24,161.78345050114595
458,2014-12-03,169.28,169.49,166.5,2372115.0,168.07,167.3759912015902
459,2014-12-04,167.54,168.76,166.45,3359866.0,166.55,167.73255726121883
