,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,35.38,35.69,35.0,2999864.0,35.4,35.3357916005414
5,2013-02-15,35.58,35.78,34.98,2531614.0,35.14,35.288960584452056
8,2013-02-21,34.47,34.675,32.96,6185262.0,33.67,33.47160901167906
10,2013-02-25,34.13,34.225,32.94,3063134.0,32.95,33.31180770460491
14,2013-03-01,33.92,34.09,33.261,3149992.0,33.7,33.5537962313235
15,2013-03-04,33.56,33.7,33.01,1700436.0,33.54,33.26534695774754
18,2013-03-07,34.69,35.13,34.4,3073743.0,34.97,34.817058323781765
25,2013-03-18,35.58,35.78,34.98,2531614.0,35.14,35.288960584452056
27,2013-03-20,35.68,36.08,35.35,2963569.0,35.93,35.746463020219196
31,2013-03-26,35.67,35.98,35.56,955539.0,35.79,35.84722119355801
34,2013-04-01,35.82,36.0,35.19,1850042.0,35.34,35.497961586527595
39,2013-04-08,34.25,34.67,33.97,1235607.0,34.66,34.38784850282693
44,2013-04-15,34.68,34.73,33.725,2463398.0,33.78,34.00525893233995
45,2013-04-16,34.08,34.6,33.856,2249023.0,34.58,34.329618785705094
49,2013-04-22,31.36,31.84,30.57,3639500.0,31.58,31.143441901713594
52,2013-04-25,32.81,33.19,32.53,2512560.0,32.63,32.90105206054678
55,2013-04-30,32.47,32.47,31.55,5251088.0,31.96,31.749613254581433
58,2013-05-03,32.16,32.39,31.851,4690029.0,31.88,32.08381543231481
60,2013-05-07,32.92,32.95,32.47,1609250.0,32.54,32.61037257955734
64,2013-05-13,33.83,34.13,33.59,1495190.0,33.62,33.89673087355259
70,2013-05-21,34.61,35.125,34.44,2073711.0,35.09,34.89746108562984
75,2013-05-29,34.37,34.7,34.15,2268226.0,34.43,34.46774823664487
82,2013-06-07,36.76,37.325,36.15,3073226.0,37.29,36.75330367498352
85,2013-06-12,36.66,36.68,35.72,2130615.0,35.98,35.97611160181508
92,2013-06-21,37.04,37.48,36.615,8004002.0,37.38,37.01495830679598
103,2013-07-09,37.72,37.9699,37.38,1385454.0,37.58,37.674527521734944
108,2013-07-16,38.16,39.14,38.16,3125367.0,38.87,38.94132101962555
113,2013-07-23,38.08,38.16,37.51,1650020.0,37.61,37.72368610252617
122,2013-08-05,37.22,37.4,36.96,1177324.0,37.02,37.178748041082
124,2013-08-07,36.97,37.31,36.68,1803533.0,37.29,37.0300502397437
140,2013-08-29,38.4,39.0,38.13,3595486.0,38.95,38.66762847068555
141,2013-08-30,38.96,38.99,38.29,2507278.0,38.51,38.480191332204114
142,2013-09-03,38.82,39.135,38.04,1735133.0,38.35,38.49934835829811
152,2013-09-17,39.75,40.36,39.5,3724705.0,40.12,40.03956003802563
156,2013-09-23,42.58,42.69,41.4875,2971146.0,41.87,41.849615845271124
159,2013-09-26,42.47,42.66,42.04,1687371.0,42.27,42.30755267729053
161,2013-09-30,42.1,43.29,41.97,3522878.0,43.08,42.9533028053727
170,2013-10-11,43.25,43.26,42.45,1108511.0,42.7,42.67438640884501
184,2013-10-31,45.0,45.61,44.9975,1739448.0,45.43,45.49529435878659
186,2013-11-04,45.09,45.3,44.6,1391063.0,45.04,44.903567505874236
187,2013-11-05,45.04,45.2,44.59,1248427.0,45.03,44.84390199849537
192,2013-11-12,44.56,45.18,44.31,1343817.0,45.13,44.88489189217832
194,2013-11-14,44.9,45.09,42.58,5965988.0,42.95,43.29716962685969
198,2013-11-20,43.25,43.26,42.45,1108511.0,42.7,42.67438640884501
202,2013-11-26,43.79,44.86,43.55,1871187.0,44.75,44.48275208275044
204,2013-11-29,44.99,45.09,44.66,1140085.0,44.73,44.83477083101532
211,2013-12-10,47.37,47.41,46.48,1599678.0,46.6,46.74837350558985
224,2013-12-30,52.79,52.85,52.19,1096180.0,52.7,52.40582771881573
231,2014-01-09,54.0,54.17,52.76,1233943.0,53.23,53.23191186649231
233,2014-01-13,53.62,53.775,52.39,1394366.0,52.64,52.84522959328432
240,2014-01-23,56.73,57.15,55.74,1555430.0,56.05,56.347377921894385
247,2014-02-03,54.8,55.17,52.96,1142148.0,53.26,53.75314997755106
249,2014-02-05,53.72,54.73,53.19,901716.0,53.98,54.16341347660813
251,2014-02-07,55.47,56.84,55.13,1706181.0,56.57,56.338644365659846
254,2014-02-12,58.2,59.8,58.2,2586358.0,58.94,59.49822547601565
262,2014-02-25,60.0,63.49,59.97,4912497.0,61.9,62.79046863354701
263,2014-02-26,60.0,63.49,59.97,4912497.0,61.9,62.79046863354701
268,2014-03-05,63.16,64.23,62.94,2465624.0,63.08,63.86714929944142
269,2014-03-06,63.29,63.91,63.05,1216218.0,63.64,63.629498431913056
270,2014-03-07,63.95,63.95,62.45,1513253.0,62.75,62.85168218924956
271,2014-03-10,62.93,63.42,62.47,1351902.0,62.8,62.99969183793892
283,2014-03-26,64.39,64.88,62.12,2841406.0,62.81,63.10814432232488
295,2014-04-11,59.27,59.96,58.46,2190305.0,58.53,59.23402245261187
298,2014-04-16,59.46,59.46,58.11,1791606.0,59.31,58.46798959969764
299,2014-04-17,59.34,61.66,58.92,1909201.0,60.89,60.92214708711106
302,2014-04-23,63.98,64.61,63.78,2698372.0,64.6,64.34138880223792
303,2014-04-24,65.43,65.48,63.54,2751882.0,65.38,64.07163998732452
308,2014-05-01,62.92,64.9,62.58,1886347.0,63.49,64.28571560167919
310,2014-05-05,63.87,64.45,63.02,1354010.0,64.25,63.72539154121883
311,2014-05-06,67.93,68.08,66.25,12780271.0,67.34,66.70064676336789
315,2014-05-12,67.93,68.08,66.25,12780271.0,67.34,66.70064676336789
317,2014-05-14,68.54,69.6,67.55,3024327.0,68.51,68.66633392147203
319,2014-05-16,68.09,68.93,67.32,5204415.0,68.48,68.17591752552931
320,2014-05-19,69.1,69.41,68.14,3778892.0,68.32,68.62982771531689
322,2014-05-21,67.52,68.44,67.37,1689579.0,68.41,68.1664129757647
328,2014-05-30,71.85,72.0,69.41,3893605.0,70.67,70.15680460350566
333,2014-06-06,72.28,72.35,71.24,1586605.0,71.63,71.58000808703997
342,2014-06-19,71.13,71.32,70.34,1273351.0,70.93,70.71525903912978
349,2014-06-30,70.92,72.07,70.92,1780153.0,72.07,71.86448623901151
351,2014-07-02,73.58,74.6,73.58,1608079.0,74.32,74.42132175248993
358,2014-07-14,74.57,74.8995,73.41,1224204.0,74.04,73.99735918214773
359,2014-07-15,74.01,74.38,72.69,1455611.0,73.42,73.34957097779986
361,2014-07-17,73.26,73.67,71.66,1781783.0,71.9,72.42172374245301
364,2014-07-22,75.58,76.44,75.3,2399734.0,75.39,76.07646250194065
367,2014-07-25,72.28,72.35,71.24,1586605.0,71.63,71.58000808703997
381,2014-08-14,72.68,74.23,72.68,1899670.0,73.84,73.94944379561207
384,2014-08-19,75.58,76.44,75.3,2399734.0,75.39,76.07646250194065
386,2014-08-21,76.13,76.64,75.75,1555035.0,76.27,76.27695399776994
390,2014-08-27,76.0,76.51,75.51,1345278.0,76.16,76.0679871527463
393,2014-09-02,82.97,85.14,82.3956,4160673.0,85.02,84.29913841901143
397,2014-09-08,88.07,89.67,87.52,2894863.0,88.185,88.96827830875432
402,2014-09-15,88.14,88.24,86.27,1599883.0,86.71,86.8566346573412
406,2014-09-19,90.13,90.88,88.9,4183446.0,89.1,89.82101456121424
408,2014-09-23,87.01,87.95,86.38,2082897.0,87.56,87.32026007821989
412,2014-09-29,86.41,87.31,86.07,982688.0,87.11,86.91341764746736
416,2014-10-03,83.62,84.45,83.05,2065002.0,83.47,83.8841128051615
418,2014-10-07,82.42,82.68,80.97,1526700.0,81.03,81.57591249479104
420,2014-10-09,82.92,83.3,80.58,1888592.0,80.6,81.51297807197352
427,2014-10-20,76.67,78.0599,75.8,1437463.0,77.99,77.17318250334979
431,2014-10-24,81.7,82.41,80.769,1126874.0,81.85,81.60947688407364
432,2014-10-27,81.51,81.9599,80.121,1497686.0,81.57,80.86558935814438
434,2014-10-29,84.57,85.14,83.56,1421444.0,84.88,84.30489224255352
435,2014-10-30,83.84,84.57,81.18,1997611.0,82.39,82.48088730991554
436,2014-10-31,85.11,87.92,84.5,2546268.0,86.25,86.95206451765083
438,2014-11-04,85.9,86.56,84.86,1828781.0,85.36,85.68205220444614
443,2014-11-11,85.84,86.286,85.38,792716.0,86.16,85.88705253469384
445,2014-11-13,87.07,88.37,86.53,1228141.0,87.445,87.74905604330405
446,2014-11-14,87.56,89.05,86.31,1295517.0,89.015,87.86914830785933
452,2014-11-24,90.55,91.35,90.38,1187619.0,91.14,91.09654953581278
453,2014-11-25,91.84,92.56,91.07,2592321.0,91.15,91.8638068080664
458,2014-12-03,93.03,95.51,93.03,3172741.0,95.13,95.04931006091535
459,2014-12-04,101.55,103.78,99.51,6200379.0,103.07,101.83005200996271
461,2014-12-08,104.0,104.17,99.6556,3484193.0,100.71,100.93193804376173
464,2014-12-11,100.08,102.8,99.85,1569199.0,100.55,102.14447119648308
465,2014-12-12,98.98,101.18,98.83,1320121.0,99.2,100.68245512624144
466,2014-12-15,99.97,100.85,97.24,1679198.0,98.21,98.68983036139414
467,2014-12-16,97.75,99.68,96.0101,2212026.0,97.33,98.04912173755162
471,2014-12-22,101.0,101.6,100.0,1592383.0,101.41,100.7699869210759
478,2015-01-02,100.93,102.2081,99.13,1350045.0,100.09,100.66425044791305
481,2015-01-07,97.05,99.39,96.53,3090685.0,98.85,98.57365262011803
482,2015-01-08,100.53,104.3,100.36,3334923.0,103.79,103.47480214164398
483,2015-01-09,104.47,105.8,102.58,2343240.0,104.895,104.17047198605151
484,2015-01-12,105.07,105.98,102.8201,1524274.0,104.79,104.17187621552941
487,2015-01-15,103.56,105.54,101.05,1837314.0,101.32,103.33729203604148
489,2015-01-20,103.69,105.2399,102.58,1284387.0,104.87,104.15641052631162
492,2015-01-23,105.03,107.5,104.2501,1508816.0,106.98,106.48723482969959
494,2015-01-27,105.07,105.98,102.8201,1524274.0,104.79,104.17187621552941
500,2015-02-04,102.93,105.28,102.45,1665825.0,104.8,104.50852743755893
501,2015-02-05,104.74,106.22,103.75,1658534.0,106.2,105.23435629489362
511,2015-02-20,111.43,112.16,110.46,1928643.0,112.06,111.3276103117202
513,2015-02-24,113.5,113.6,111.61,2321296.0,113.18,112.20200911234517
520,2015-03-05,129.36,131.54,128.78,2169454.0,130.57,130.72911752974628
523,2015-03-10,125.72,126.93,124.51,1768828.0,125.12,125.83749362541357
528,2015-03-17,128.81,129.6,127.5,1901689.0,129.1,128.5112343974957
529,2015-03-18,128.66,131.28,127.69,2125049.0,130.44,130.09979215076615
530,2015-03-19,130.5,132.9495,130.02,2446101.0,132.04,132.15973588608207
531,2015-03-20,133.43,134.18,132.2,5552219.0,133.29,133.11976868549237
533,2015-03-24,134.97,135.3673,132.88,2581919.0,133.12,133.77035960588415
535,2015-03-26,120.26,125.14,116.96,4506796.0,124.71,121.79192548416528
539,2015-04-01,126.66,126.96,123.61,2183046.0,125.63,124.67428081757782
549,2015-04-16,125.07,126.1599,124.8,1545578.0,125.33,125.78570820900583
554,2015-04-23,125.22,125.46,122.55,2805254.0,124.07,123.45873570177494
565,2015-05-08,123.2,124.93,122.73,1484612.0,123.33,124.28936234924322
567,2015-05-12,122.02,123.58,121.3,1026435.0,122.95,122.79099455674431
571,2015-05-18,127.95,130.4,127.28,1798419.0,130.18,129.4760984322573
574,2015-05-21,129.51,130.03,127.84,2130951.0,129.59,128.723423266858
578,2015-05-28,145.01,145.4725,136.0,24912338.0,142.38,138.518115415236
580,2015-06-01,148.24,150.5,145.15,8357903.0,146.62,147.76079337160155
581,2015-06-02,146.41,147.285,145.72,743630.0,146.32,146.65604800586172
581,2015-06-02,146.41,146.67,143.1401,4126385.0,144.16,144.2146071797299
587,2015-06-10,139.93,143.98,139.84,4261656.0,142.86,143.16414248528977
597,2015-06-24,142.06,142.22,139.83,2240180.0,139.97,140.56970885669173
609,2015-07-13,131.38,131.38,128.46,2530399.0,129.18,129.24368515160415
613,2015-07-17,134.96,135.0,131.96,2900008.0,133.66,132.79433838455904
616,2015-07-22,127.04,129.998,125.38,6134647.0,129.59,128.20196269362052
