,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,36.85,37.08,36.8,5318733.0,36.93,37.02764952226516
5,2013-02-15,36.69,36.83,36.48,7042218.0,36.58,36.66515264276115
7,2013-02-20,36.85,37.08,36.8,5318733.0,36.93,37.02764952226516
8,2013-02-21,36.61,36.78,36.51,7063247.0,36.69,36.68291124342211
10,2013-02-25,36.98,37.09,36.34,7779208.0,36.34,36.63796382500944
14,2013-03-01,36.89,37.25,36.785,9751514.0,37.15,37.0887114437798
15,2013-03-04,36.43,36.95,36.43,7199737.0,36.94,36.867832566787435
18,2013-03-07,37.78,37.81,37.51,7641963.0,37.53,37.60999321479488
27,2013-03-20,39.49,39.96,39.38,12524337.0,39.87,39.73605575526195
31,2013-03-26,40.3,40.74,40.15,6776559.0,40.68,40.56165202016627
34,2013-04-01,41.12,41.36,40.93,6613467.0,41.14,41.18268565011767
39,2013-04-08,40.52,40.74,40.14,7201589.0,40.73,40.4362598289343
44,2013-04-15,41.36,41.5,40.7,8976659.0,40.75,40.999451934368444
45,2013-04-16,41.08,41.1,40.56,9873677.0,41.06,40.69804620197173
49,2013-04-22,41.17,42.0,40.95,10883282.0,41.93,41.66701174721621
52,2013-04-25,40.82,40.91,40.03,13823970.0,40.22,40.27400038010685
55,2013-05-01,39.47,39.83,39.18,9960171.0,39.72,39.535419004407856
58,2013-05-06,40.12,40.16,39.85,5827165.0,40.02,39.972053718118154
60,2013-05-08,40.06,40.19,39.56,7668268.0,39.68,39.81648918573807
62,2013-05-10,40.06,40.19,39.56,7668268.0,39.68,39.81648918573807
64,2013-05-14,41.4554,42.32,40.95,16785247.0,42.21,41.72188361510267
70,2013-05-22,44.84,47.48,44.84,25343262.0,46.4,46.84361270495113
75,2013-05-30,46.98,47.83,46.83,9857608.0,47.02,47.53070179274709
82,2013-06-11,47.0,47.72,46.75,9303103.0,47.29,47.38040245206141
85,2013-06-14,47.25,47.49,46.77,7540671.0,46.8,47.08852326686281
92,2013-06-25,45.77,45.77,45.07,6948962.0,45.18,45.271382192328595
103,2013-07-11,45.5,46.14,45.38,8573715.0,46.03,45.91135805817719
108,2013-07-18,44.62,44.64,43.845,8159534.0,43.95,44.07895646346684
113,2013-07-25,43.83,45.45,43.5,13012729.0,43.93,44.89717630780377
122,2013-08-07,43.96,44.07,43.69,4710407.0,43.74,43.87141352297633
124,2013-08-09,43.79,44.1,43.49,4189131.0,43.69,43.860544342356874
136,2013-08-27,42.01,42.12,41.5475,5043668.0,41.72,41.798733699370175
140,2013-09-03,42.01,42.12,41.5475,5043668.0,41.72,41.798733699370175
141,2013-09-04,41.75,42.0,41.56,6946541.0,41.99,41.81481109918256
142,2013-09-05,41.92,41.92,41.32,6303869.0,41.72,41.50920852025502
