,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,97.46,97.5,97.04,1765300.0,97.13,97.20695710293518
5,2013-02-15,99.64,99.79,99.23,5200600.0,99.77,99.39609322751153
8,2013-02-21,100.09,100.55,99.67,6168500.0,100.17,100.09198017431171
10,2013-02-25,101.74,102.0,98.44,5836200.0,98.58,99.33688529121018
14,2013-03-01,101.45,102.25,100.44,4812800.0,102.05,101.34294162014763
15,2013-03-04,101.66,101.98,100.5,4314100.0,101.95,101.01530845851164
18,2013-03-07,103.25,103.58,103.03,2619400.0,103.41,103.39331313434207
27,2013-03-20,102.18,102.57,101.87,3284100.0,102.34,102.28824104344349
31,2013-03-26,102.89,103.84,102.46,3473900.0,103.82,103.40845321351271
34,2013-04-01,104.17,104.46,103.17,2416800.0,103.47,103.67827407107987
39,2013-04-08,104.54,105.29,103.62,2500000.0,105.26,104.52575170515404
44,2013-04-15,106.84,107.43,104.27,5594300.0,104.52,105.3120832792783
45,2013-04-16,105.29,107.49,105.15,4429800.0,107.16,107.14176726959855
49,2013-04-22,105.52,105.72,104.13,3108100.0,105.02,104.62464851750087
52,2013-04-25,107.02,108.04,106.82,3579400.0,107.47,107.77924695143825
55,2013-04-30,106.6,106.7,105.63,5047000.0,106.32,105.8839649071462
58,2013-05-03,108.26,109.2,108.23,4447700.0,108.64,109.05389007900035
60,2013-05-07,110.49,110.5,109.46,3679300.0,109.9,109.68710205283476
64,2013-05-13,111.83,112.34,111.41,2806600.0,111.74,111.98012414928826
70,2013-05-21,113.07,113.34,112.45,3614600.0,112.7,112.82424706243216
75,2013-05-29,111.66,113.46,111.41,4557200.0,113.03,113.06248510685805
77,2013-05-31,114.82,114.87,113.33,5138000.0,113.5,113.65635545133856
82,2013-06-07,113.89,115.55,113.53,4725500.0,115.31,115.07619441574751
85,2013-06-12,114.01,114.35,112.66,3941700.0,112.95,113.25253488349951
92,2013-06-21,112.63,113.13,111.25,7188700.0,112.38,111.89986674280661
103,2013-07-09,115.62,115.95,115.11,3385900.0,115.8,115.52183850999002
108,2013-07-16,117.46,117.98,117.03,2653800.0,117.2,117.61845095271839
113,2013-07-23,119.07,119.08,118.15,2844500.0,118.21,118.38053094599007
122,2013-08-05,119.1,119.14,117.88,2858100.0,118.23,118.20469391915069
124,2013-08-07,117.4,117.4,116.47,2767800.0,116.8,116.69515141225061
125,2013-08-08,117.4,117.4,116.47,2767800.0,116.8,116.69515141225061
140,2013-08-29,111.88,112.69,111.7,2655800.0,111.99,112.49306199125903
141,2013-08-30,112.25,112.48,110.72,3998100.0,111.22,111.25060130326527
142,2013-09-03,112.32,112.95,111.35,3340000.0,112.08,112.1372469146528
152,2013-09-17,115.16,115.92,115.02,4196100.0,115.39,115.71558058240721
156,2013-09-23,117.06,117.1,115.21,4477200.0,115.64,115.62820490297395
157,2013-09-24,115.77,115.93,115.03,3339600.0,115.32,115.34049325816417
