,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,57.94,57.94,57.53,19329629.0,57.59,57.629669064616536
5,2013-02-15,57.9,58.01,56.78,9695518.0,57.02,57.117642061501
7,2013-02-20,58.6,59.34,58.51,4744039.0,59.31,59.13673738176198
8,2013-02-21,57.56,58.16,57.09,7298826.0,58.11,57.686363942808406
10,2013-02-25,58.47,58.55,56.83,8409594.0,56.89,57.25961336421908
12,2013-02-27,57.56,58.16,57.09,7298826.0,58.11,57.686363942808406
13,2013-02-28,57.9,58.01,56.78,9695518.0,57.02,57.117642061501
14,2013-03-01,57.93,58.28,57.65,6732252.0,58.28,57.99445065350761
15,2013-03-04,58.14,58.19,57.25,5845181.0,57.62,57.480445838061094
16,2013-03-05,57.94,57.94,57.53,19329629.0,57.59,57.629669064616536
17,2013-03-06,57.93,58.28,57.65,6732252.0,58.28,57.99445065350761
18,2013-03-07,58.002,58.14,57.85,5328649.0,57.86,57.98627939486322
27,2013-03-20,60.0,60.54,59.63,8142013.0,60.44,60.16148065603566
31,2013-03-26,60.5,60.62,60.08,4516225.0,60.44,60.267341914212466
32,2013-03-27,60.2,60.7,60.02,4124336.0,60.48,60.46969408606278
34,2013-04-01,60.2,60.7,60.02,4124336.0,60.48,60.46969408606278
39,2013-04-08,58.6,59.34,58.51,4744039.0,59.31,59.13673738176198
44,2013-04-15,58.72,58.72,57.2,9772626.0,57.24,57.53828147655511
45,2013-04-16,58.01,58.01,56.883,9321865.0,57.44,57.12993106815574
49,2013-04-22,57.58,57.79,56.915,5465652.0,57.39,57.22642009462011
52,2013-04-25,58.37,58.77,57.72,6271337.0,58.37,58.19035456167541
55,2013-04-30,59.84,60.45,59.51,6208662.0,60.45,60.08771405211268
58,2013-05-03,61.41,61.97,61.25,6434510.0,61.92,61.75210375141741
60,2013-05-07,62.38,62.99,62.26,5933479.0,62.84,62.79680702325627
64,2013-05-13,62.11,62.33,61.75,12518462.0,62.0,62.023718185371
69,2013-05-20,63.3,65.45,63.3,8175137.0,63.61,65.10406465540825
70,2013-05-21,64.25,64.769,63.8,6543784.0,64.31,64.34118906380138
75,2013-05-29,62.49,63.01,62.2,6431668.0,62.78,62.70093145990425
82,2013-06-07,62.17,62.38,61.76,5081016.0,62.32,62.02577636736666
85,2013-06-12,62.27,62.27,60.793,5031353.0,60.88,61.12421610972792
92,2013-06-21,60.77,60.8,59.5514,8781148.0,60.36,59.85083796956443
101,2013-07-05,62.11,62.33,61.75,12518462.0,62.0,62.023718185371
103,2013-07-09,63.31,63.68,63.205,4831337.0,63.5,63.5385111818399
107,2013-07-15,64.79,65.0,64.1643,5358528.0,64.97,64.48633806164972
108,2013-07-16,65.24,65.4,64.71,16526358.0,64.95,64.98637969259718
109,2013-07-17,65.24,65.4,64.71,16526358.0,64.95,64.98637969259718
113,2013-07-23,65.97,66.24,65.92,4089608.0,66.12,66.16357088385328
122,2013-08-05,67.0,67.415,66.57,4002619.0,67.19,67.02338246336083
124,2013-08-07,66.93,66.97,66.285,4172355.0,66.52,66.47323043434244
134,2013-08-21,65.97,66.24,65.92,4089608.0,66.12,66.16357088385328
140,2013-08-29,66.51,66.55,65.9826,4382774.0,66.16,66.14344143303833
141,2013-08-30,66.28,66.54,66.12,4963254.0,66.3,66.38218440631255
142,2013-09-03,66.96,66.99,66.51,5541901.0,66.79,66.6479414442089
152,2013-09-17,69.31,69.92,69.26,3738794.0,69.7,69.79663346914609
156,2013-09-23,70.66,70.73,69.8,4680532.0,70.58,70.07280264078588
159,2013-09-26,70.34,70.44,69.89,3836833.0,70.23,70.09319471010306
160,2013-09-27,70.16,70.43,68.68,10716385.0,69.31,69.2677390795179
161,2013-09-30,69.69,69.92,69.3,4802084.0,69.51,69.59807686937233
175,2013-10-18,73.58,73.8,73.2,3832969.0,73.68,73.49661705162103
184,2013-10-31,73.66,74.48,73.28,5556627.0,73.33,74.08141355373226
185,2013-11-01,73.56,73.79,72.66,6118599.0,73.33,73.0857447997613
186,2013-11-04,73.37,73.51,72.84,3604456.0,73.33,73.10264231075689
187,2013-11-05,73.03,73.28,72.5,4592512.0,72.57,72.85521827014566
190,2013-11-08,72.49,72.93,72.09,4139521.0,72.25,72.57269200450347
192,2013-11-12,73.25,73.47,72.61,3125294.0,72.82,72.96338105942885
194,2013-11-14,73.58,73.8,73.2,3832969.0,73.68,73.49661705162103
198,2013-11-20,72.49,72.93,72.09,4139521.0,72.25,72.57269200450347
202,2013-11-26,72.82,73.51,72.49,4089777.0,72.93,73.16688635786525
204,2013-11-29,72.64,73.54,72.5,2434292.0,72.8,73.30674303452537
211,2013-12-10,70.2,70.63,69.81,4717946.0,70.31,70.27668294270367
220,2013-12-23,70.08,70.45,68.49,9510071.0,69.52,69.18424261152353
224,2013-12-30,70.47,70.64,69.87,3035409.0,69.91,70.16480267493861
225,2013-12-31,69.95,70.25,68.98,7882195.0,69.88,69.47289731325785
227,2014-01-03,70.08,70.45,68.49,9510071.0,69.52,69.18424261152353
228,2014-01-06,70.34,70.44,69.89,3836833.0,70.23,70.09319471010306
231,2014-01-09,69.81,69.929,69.13,4103311.0,69.46,69.3999810174142
233,2014-01-13,68.68,68.75,67.48,7277993.0,67.74,67.82803623342215
236,2014-01-16,68.05,68.59,67.6,4333849.0,67.85,68.16583989777561
240,2014-01-23,68.05,68.59,67.6,4333849.0,67.85,68.16583989777561
242,2014-01-27,66.28,66.54,66.12,4963254.0,66.3,66.38218440631255
245,2014-01-30,66.6,66.67,66.3,3998101.0,66.39,66.43426621387673
247,2014-02-03,65.1,65.39,63.77,7770333.0,63.86,64.32244004724024
249,2014-02-05,63.68,63.81,62.74,6528502.0,63.46,63.064786185494604
250,2014-02-06,63.68,63.81,62.74,6528502.0,63.46,63.064786185494604
251,2014-02-07,64.79,65.0,64.1643,5358528.0,64.97,64.48633806164972
254,2014-02-12,66.63,66.79,65.09,6965405.0,65.22,65.5840669764622
