,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,102.87,102.94,101.76,1457384.0,101.99,102.0855429490717
5,2013-02-15,101.79,103.13,101.03,4239570.0,102.17,102.25629755022126
8,2013-02-21,101.17,101.42,100.26,2730413.0,100.69,100.59930458531002
10,2013-02-25,101.64,102.13,100.06,1643973.0,100.09,100.97060138084646
14,2013-03-01,100.82,101.65,100.26,1790052.0,101.42,101.06487274915463
15,2013-03-04,101.26,103.46,101.16,1941972.0,103.43,103.07260598085344
18,2013-03-07,103.55,103.98,101.9,2603259.0,101.97,102.72313551766949
20,2013-03-11,103.55,103.98,101.9,2603259.0,101.97,102.72313551766949
27,2013-03-20,102.44,103.355,102.335,2316362.0,103.08,102.99982155834334
31,2013-03-26,105.69,106.01,105.44,1452685.0,105.97,105.64640638198696
34,2013-04-01,106.0,106.59,105.381,1005672.0,105.81,106.02444222671087
39,2013-04-08,106.45,107.09,105.87,1077521.0,107.04,106.5403586434786
44,2013-04-15,105.45,106.22,104.131,1818126.0,104.21,105.18744477008431
45,2013-04-16,104.73,105.79,104.55,2796434.0,105.55,105.35361583216546
49,2013-04-22,104.43,105.78,104.27,2048310.0,105.16,105.3873531559074
52,2013-04-25,108.35,109.34,107.8,1846809.0,109.13,108.74426178520137
55,2013-04-30,108.12,108.57,107.68,1561333.0,108.43,108.08070595921176
58,2013-05-03,109.93,110.41,109.01,1407584.0,109.75,109.64582318083171
60,2013-05-07,109.02,109.779,108.66,1617338.0,109.71,109.31845988517705
64,2013-05-13,109.69,110.325,109.6,1246524.0,110.01,110.0501793798147
65,2013-05-14,110.29,111.89,110.19,1387952.0,111.39,111.55636549593147
70,2013-05-21,112.48,113.96,112.21,1945999.0,113.48,113.49693536695389
73,2013-05-24,112.48,113.96,112.21,1945999.0,113.48,113.49693536695389
74,2013-05-28,115.1,115.32,114.16,1712718.0,114.52,114.53363642337746
75,2013-05-29,114.53,114.655,112.74,1833743.0,112.95,113.36784979711632
76,2013-05-30,114.28,114.47,112.46,1912278.0,112.49,113.1577682824966
76,2013-05-30,114.28,114.49,112.77,1945691.0,112.83,113.35656996309541
82,2013-06-07,111.24,111.95,110.17,2013338.0,110.58,111.04996812278173
85,2013-06-12,110.75,110.82,109.11,1320185.0,109.4,109.65707380797033
92,2013-06-21,108.39,109.58,107.9,3111406.0,108.65,108.93421809946406
103,2013-07-09,113.09,113.6,112.75,1360797.0,113.35,113.17484860301467
104,2013-07-10,113.48,114.99,113.33,1999296.0,114.79,114.59194069861425
108,2013-07-16,116.17,116.74,115.55,1295143.0,116.53,116.14956750870003
113,2013-07-23,118.37,119.15,118.29,1079585.0,119.1,118.87782748631335
122,2013-08-05,119.45,120.2,118.94,1336829.0,120.07,119.66082628494024
124,2013-08-07,119.15,119.52,118.46,1298486.0,119.34,118.89516632174065
140,2013-08-29,110.29,111.89,110.19,1387952.0,111.39,111.55636549593147
141,2013-08-30,111.74,112.19,111.15,1207686.0,111.87,111.63127630276446
142,2013-09-03,112.81,113.13,111.55,1204627.0,111.98,112.18380987298272
152,2013-09-17,117.3,118.52,117.0901,990922.0,117.91,118.1577769155184
156,2013-09-23,117.08,118.17,117.051,1762556.0,117.57,117.87349906083804
159,2013-09-26,115.89,116.48,115.24,1039095.0,116.4,115.88668622922485
161,2013-09-30,115.03,115.56,114.74,1830469.0,115.17,115.13350950299322
181,2013-10-28,116.2,119.1,114.05,5763123.0,118.51,117.23768832618593
184,2013-10-31,117.86,118.6,117.47,1588489.0,118.0,118.11770599101581
186,2013-11-04,120.0,120.4,119.26,1589212.0,120.34,119.72634982083449
187,2013-11-05,120.15,120.4299,119.1,1419737.0,120.13,119.59008040438819
192,2013-11-12,121.61,122.73,121.52,1587965.0,122.45,122.40340656389971
194,2013-11-14,123.39,124.06,122.85,1488015.0,123.74,123.49477530055171
198,2013-11-20,124.0,124.21,122.43,1135897.0,122.76,123.08266619653332
202,2013-11-26,125.21,126.12,125.04,1598019.0,125.18,125.75272069670636
204,2013-11-29,125.7,126.0325,125.14,725417.0,125.43,125.51503824478988
