,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,115.68,115.84,115.01,3766225.0,115.64,115.24696103735363
1,2013-02-11,115.68,116.04,115.3986,4855334.0,115.94,115.70984746406239
5,2013-02-15,115.5,115.7,114.03,6353002.0,114.96,114.55779468465167
8,2013-02-21,114.79,115.3,114.09,4793591.0,114.99,114.63954562281111
10,2013-02-25,116.5,117.73,116.5,7028942.0,117.03,117.49154194720161
10,2013-02-25,116.5,117.34,113.5,7522969.0,113.54,115.00504268570373
12,2013-02-27,114.71,115.15,114.35,5179876.0,114.85,114.75199145678855
14,2013-03-01,116.73,117.24,115.95,5570247.0,116.9,116.537224775014
15,2013-03-04,116.78,117.81,116.08,5047801.0,117.49,117.07190064630339
18,2013-03-07,118.62,118.89,118.21,4378682.0,118.56,118.48227322288011
27,2013-03-20,119.98,120.88,119.86,5945243.0,120.35,120.60273001788835
31,2013-03-26,120.74,121.13,120.32,4256690.0,120.98,120.69862802571551
34,2013-04-01,118.99,119.86,118.76,4324310.0,119.61,119.48326565868058
35,2013-04-02,119.84,119.85,118.26,6209880.0,118.39,118.66821825369334
39,2013-04-08,117.45,117.87,116.6535,4117581.0,117.81,117.15171826389283
44,2013-04-15,118.81,118.9,116.5,9767108.0,116.57,117.2244655425769
45,2013-04-16,117.34,117.5,116.21,6512810.0,117.01,116.61676764187749
49,2013-04-22,116.39,117.1,115.89,5436155.0,116.57,116.56379986561524
52,2013-04-25,119.07,120.0,118.3,5602853.0,118.51,119.24110532954404
55,2013-04-30,121.05,122.01,120.12,6909280.0,122.01,121.15347918020339
58,2013-05-03,122.69,123.91,122.46,6384394.0,123.49,123.5129806363264
60,2013-05-07,123.35,123.72,122.54,4412731.0,123.04,123.01858841936979
64,2013-05-13,122.9,123.1,122.17,16870017.0,122.85,122.65669011672122
70,2013-05-21,124.84,124.92,124.14,5185910.0,124.3,124.36038485366112
70,2013-05-21,124.84,126.2,124.7504,6700345.0,125.94,125.89087413225164
75,2013-05-29,126.07,126.73,124.81,6422169.0,125.49,125.68997408685985
76,2013-05-30,125.23,126.14,125.0514,3348496.0,125.98,125.79529491927165
78,2013-06-03,122.35,124.78,122.06,5445646.0,124.24,124.12565791308751
82,2013-06-07,121.22,121.97,120.14,6089552.0,121.7,121.02882108562362
85,2013-06-12,122.32,122.73,119.61,5489071.0,119.97,120.66147762292672
89,2013-06-18,121.03,121.25,119.625,6914166.0,120.0,120.17262144798198
92,2013-06-21,119.24,119.54,117.26,10692108.0,118.93,118.08210893383347
98,2013-07-01,118.35,120.17,116.39,10671453.0,119.95,118.47277494969889
103,2013-07-09,122.39,123.74,122.05,6252543.0,123.27,123.239436810449
105,2013-07-11,123.95,123.95,117.64,13182551.0,118.58,119.45878753281174
108,2013-07-16,124.71,125.24,123.55,4003750.0,124.12,124.2568101969504
113,2013-07-23,127.07,127.65,126.7,3763303.0,127.26,127.23176887737262
115,2013-07-25,126.14,126.78,125.76,4961548.0,126.42,126.3590407738092
122,2013-08-05,124.72,124.75,123.76,3733721.0,123.99,123.99028329480232
124,2013-08-07,123.03,123.92,122.8,3898494.0,123.33,123.54379494530893
133,2013-08-20,118.59,118.6,117.32,6658608.0,118.1,117.6454524041866
140,2013-08-29,121.15,121.5613,120.06,5488800.0,120.37,120.6603778368803
141,2013-08-30,120.52,120.8841,120.07,4696073.0,120.43,120.44091218108537
142,2013-09-03,121.34,121.48,120.0,4154285.0,120.55,120.42518250857704
152,2013-09-17,124.1,125.19,124.08,5458988.0,124.34,124.95676254224075
152,2013-09-17,124.1,124.44,123.02,5022701.0,123.49,123.55873748092611
155,2013-09-20,125.66,125.76,124.28,6380335.0,124.94,124.72428968092522
