,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,60.78,60.83,60.33,1867926.0,60.68,60.47772432367182
4,2013-02-14,60.78,60.83,60.33,1867926.0,60.68,60.47772432367182
5,2013-02-15,61.18,61.9,60.84,3662471.0,61.68,61.50488804491446
8,2013-02-21,60.71,61.2,60.59,2733441.0,60.99,61.03971165723073
10,2013-02-25,61.51,61.7,59.88,3214495.0,59.89,60.31687209097629
14,2013-03-01,61.25,61.76,60.95,2345743.0,61.57,61.449847819937276
15,2013-03-04,61.52,61.68,60.89,2018848.0,61.66,61.156245215836805
18,2013-03-07,61.9,62.0,61.41,2049542.0,61.42,61.60389132843349
27,2013-03-20,61.47,61.8,61.093,2893824.0,61.31,61.44948854611854
29,2013-03-22,61.28,61.58,59.91,2883866.0,59.91,60.400357592133545
31,2013-03-26,61.42,61.86,61.27,1791241.0,61.84,61.694410227270154
32,2013-03-27,61.47,61.8,61.093,2893824.0,61.31,61.44948854611854
34,2013-04-01,61.86,62.1,61.51,2189002.0,61.79,61.79597803624901
39,2013-04-08,60.53,60.898,60.39,1710010.0,60.77,60.75369888640404
44,2013-04-15,61.28,61.58,59.91,2883866.0,59.91,60.400357592133545
45,2013-04-16,60.24,60.98,60.07,2223588.0,60.96,60.74088091070588
49,2013-04-22,59.12,59.42,58.5,2384137.0,58.99,58.87552093835254
52,2013-04-25,60.05,60.915,59.83,2620719.0,60.44,60.60779996271217
55,2013-05-01,60.67,61.38,60.095,2868120.0,60.14,60.798307311841
58,2013-05-06,60.79,61.45,60.54,2079017.0,61.31,61.159231542179604
59,2013-05-07,61.51,61.7,59.88,3214495.0,59.89,60.31687209097629
60,2013-05-08,61.5,61.72,61.35,2077608.0,61.64,61.58859376872511
64,2013-05-14,61.73,62.075,61.6201,3878008.0,61.85,61.93485194560348
70,2013-05-22,63.83,64.04,62.48,2821350.0,62.76,62.894252160041944
75,2013-05-30,62.42,62.9,62.09,2098290.0,62.5,62.57313444913787
77,2013-06-03,61.86,62.1,61.51,2189002.0,61.79,61.79597803624901
82,2013-06-10,62.22,62.62,61.97,2490454.0,62.29,62.36929634411612
85,2013-06-13,62.01,62.68,61.17,2248300.0,62.48,61.890311414545245
86,2013-06-14,62.42,62.9,62.09,2098290.0,62.5,62.57313444913787
92,2013-06-24,61.64,62.29,61.23,3110574.0,61.66,61.854696203908546
103,2013-07-10,66.6,67.94,66.6,4703594.0,67.8,67.71466873922114
108,2013-07-17,68.28,68.63,68.14,3217950.0,68.41,68.474062060017
109,2013-07-18,68.0,68.13,67.385,2671325.0,67.63,67.61883214597822
110,2013-07-19,68.0,68.13,67.385,2671325.0,67.63,67.61883214597822
113,2013-07-24,68.0,68.13,67.385,2671325.0,67.63,67.61883214597822
122,2013-08-06,67.12,67.17,66.78,2010715.0,67.05,66.91095783893101
124,2013-08-08,67.8,67.98,67.23,2041171.0,67.33,67.50545388969644
140,2013-08-30,65.42,65.82,65.25,1532578.0,65.52,65.64905048200116
141,2013-09-03,66.28,66.6,65.6075,1693797.0,65.87,66.0189495121822
142,2013-09-04,65.69,67.14,65.69,2113374.0,67.01,66.92605213230132
152,2013-09-23,69.29,69.755,69.239,2158230.0,69.55,69.66709980018582
154,2013-09-25,69.64,70.05,69.43,2376167.0,69.87,69.83546488572287
156,2013-09-27,69.64,70.05,69.43,2376167.0,69.87,69.83546488572287
159,2013-10-02,68.57,69.16,68.38,2349955.0,69.13,68.9314538859245
161,2013-10-04,68.01,68.88,67.82,1965937.0,68.52,68.60799740631458
184,2013-11-06,72.9,73.6,72.71,1726488.0,72.98,73.36173877919093
186,2013-11-08,72.36,74.64,72.36,4666397.0,74.6,74.25704283159936
187,2013-11-11,74.6,74.77,74.06,1758462.0,74.36,74.32837135593574
192,2013-11-18,74.52,74.99,74.38,2821024.0,74.55,74.82072543058817
192,2013-11-18,74.52,75.77,74.51,3832983.0,75.13,75.56498904253615
193,2013-11-19,74.52,74.99,74.38,2821024.0,74.55,74.82072543058817
193,2013-11-19,74.52,75.77,74.51,3832983.0,75.13,75.56498904253615
194,2013-11-20,74.09,74.51,73.54,2213924.0,73.79,74.01176362195173
197,2013-11-25,75.0,75.48,74.23,4058891.0,74.79,74.76532282705229
198,2013-11-26,75.03,75.89,75.0,3621729.0,75.37,75.73739490076805
199,2013-11-27,75.72,76.19,75.25,3311213.0,75.97,75.73816852695393
202,2013-12-03,74.28,74.45,73.54,2363186.0,73.77,73.83308947013741
204,2013-12-05,73.24,74.05,73.04,1902351.0,73.64,73.78263763310258
211,2013-12-16,74.24,75.54,74.115,3493231.0,75.31,75.2337318935391
215,2013-12-20,78.4,78.78,78.07,1446262.0,78.22,78.48416137649099
218,2013-12-26,77.0,77.06,76.34,1976859.0,76.57,76.53468596526129
224,2014-01-06,76.95,77.21,75.8505,1955888.0,75.89,76.28154468086484
231,2014-01-15,78.33,78.37,77.69,2831206.0,78.21,77.85536308453231
233,2014-01-17,78.63,78.63,77.66,2638301.0,77.87,77.84731896615133
240,2014-01-29,74.52,74.99,74.38,2821024.0,74.55,74.82072543058817
240,2014-01-29,74.52,75.77,74.51,3832983.0,75.13,75.56498904253615
247,2014-02-07,74.29,75.29,73.85,3162765.0,75.12,74.77415901075804
249,2014-02-11,75.37,76.23,75.37,5383021.0,75.8,76.08199193128674
249,2014-02-11,75.37,75.88,75.125,2524403.0,75.39,75.61951262691036
