,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,389.5892,391.8915,387.2619,4330781.0,391.6012,389.79072096521423
5,2013-02-15,394.0937,397.0266,393.9285,5453980.0,396.8414,396.5046700300147
7,2013-02-20,403.0527,411.8314,402.9025,5545624.0,411.1628,409.92459011497897
8,2013-02-21,399.399,403.1277,396.0056,7008464.0,398.1628,399.9370375831345
10,2013-02-25,401.5512,404.6092,395.6402,4602925.0,395.7804,399.5407267922536
14,2013-03-01,399.2989,403.9736,398.4731,4346304.0,403.4981,402.48781920293527
15,2013-03-04,403.0527,411.8314,402.9025,5545624.0,411.1628,409.92459011497897
18,2013-03-07,417.447,418.7283,415.2048,4101301.0,416.7143,416.96372039254453
27,2013-03-20,408.8234,409.1638,406.1257,2924120.0,407.7614,407.2255892401737
31,2013-03-26,407.1567,407.4069,404.2989,2381243.0,406.6162,405.3473992156584
34,2013-04-01,397.9025,401.5261,397.0216,3610549.0,400.9956,400.2275219527462
39,2013-04-08,389.7644,390.1648,384.5842,5658378.0,387.8124,386.3272344102097
44,2013-04-15,393.368,398.8985,388.8985,4900346.0,391.356,394.36276573564226
45,2013-04-16,393.6883,398.398,392.352,3480468.0,397.0817,396.4726495890362
49,2013-04-22,400.7003,402.381,387.8875,5760454.0,400.4571,392.27246811676457
52,2013-04-25,408.5331,408.6432,404.2188,3980422.0,404.9545,405.5250396173308
55,2013-04-30,409.9095,414.2338,409.2488,4608663.0,412.6973,412.98091714358446
58,2013-05-03,418.8985,423.8234,418.418,5019702.0,423.2829,422.58860690960915
60,2013-05-07,431.9365,432.3669,425.7603,3914058.0,429.0436,427.7368624399151
64,2013-05-13,439.8844,441.6762,437.1272,2893167.0,439.2038,439.3742964451008
70,2013-05-21,454.464,456.2858,449.2538,3961409.0,453.9385,452.10266078277317
75,2013-05-29,438.2929,439.434,432.5771,4022272.0,434.5892,435.0032519293883
82,2013-06-07,435.6452,440.44,433.0927,5342795.0,440.3049,437.6415184933741
85,2013-06-12,443.1727,443.443,435.2598,4405093.0,436.426,437.51801914876944
92,2013-06-21,444.6142,445.3849,436.9715,7956472.0,440.9055,439.6561498795702
103,2013-07-09,455.9555,456.9315,449.439,3923293.0,453.0726,451.9297423546221
108,2013-07-16,464.0286,464.449,457.4069,3961942.0,460.2638,459.5086444654187
113,2013-07-23,455.8053,456.9565,450.2348,4086567.0,452.3519,452.6579446751122
118,2013-07-30,443.1727,443.443,435.2598,4405093.0,436.426,437.51801914876944
122,2013-08-05,453.1477,453.2153,450.0496,2616825.0,452.9525,451.0683082700796
124,2013-08-07,447.9675,449.6742,444.9895,2756731.0,445.7703,447.2246658842617
140,2013-08-29,424.9595,430.6202,424.7193,2739876.0,428.1427,429.33624416104965
141,2013-08-30,428.3079,429.449,423.2028,3719495.0,423.8734,425.47684799710305
142,2013-09-03,427.6072,433.5281,427.402,4091181.0,430.6202,432.2511561547142
152,2013-09-17,444.1487,444.6417,440.9405,2516547.0,443.4981,442.29328160972324
156,2013-09-23,448.5231,451.2458,443.0426,3551333.0,443.6932,446.6154371117739
159,2013-09-26,439.5892,441.8164,437.9375,2517297.0,439.5241,440.2639925814201
161,2013-09-30,434.9745,440.8604,434.5892,3443163.0,438.393,439.439912039702
184,2013-10-31,514.9795,521.2827,512.497,3276793.0,515.8053,518.2010602445961
186,2013-11-04,516.2658,516.7012,511.526,2276094.0,513.5661,513.2383193915654
187,2013-11-05,510.6852,516.3408,509.2187,2360615.0,511.2708,514.1794965263516
192,2013-11-12,504.3539,509.2888,503.0025,2435485.0,506.3959,507.38667205938793
194,2013-11-14,517.477,520.3949,515.6902,2334603.0,518.1326,518.6492234172687
198,2013-11-20,515.49,517.1967,510.6902,1929141.0,511.6662,513.3694437690679
202,2013-11-26,524.8243,531.2808,521.989,4569794.0,529.7342,527.9343376269459
204,2013-11-29,531.6111,533.8433,530.2547,2383163.0,530.3248,532.6166720254054
211,2013-12-10,538.6131,546.7012,538.3628,3708515.0,542.8723,544.9756130326172
224,2013-12-30,560.7302,560.8102,555.0645,2470947.0,555.2847,556.7617326491047
231,2014-01-09,572.2917,572.6821,563.3428,4166963.0,565.6851,566.0497306999563
233,2014-01-13,563.7982,574.0284,559.1436,4846384.0,562.0515,568.3979270774687
240,2014-01-23,580.58,581.8262,577.7622,3899387.0,580.63,579.7900752301395
247,2014-02-03,590.1896,591.4519,566.5685,9142062.0,567.2817,573.2839946481405
249,2014-02-05,572.2617,575.9604,564.574,4796442.0,572.1716,569.5366458445751
251,2014-02-07,584.3988,589.5389,580.8608,5369247.0,589.3087,586.0472837800899
254,2014-02-12,595.0945,595.595,591.2807,3447898.0,593.9383,592.9611639351051
263,2014-02-26,612.612,615.0544,607.4869,3963644.0,610.6951,610.9596391789275
268,2014-03-05,608.1325,612.1515,606.3087,2469910.0,609.7391,610.2135694635848
269,2014-03-06,611.7511,613.6856,609.9093,2536645.0,610.4148,612.2418637766245
270,2014-03-07,614.0134,614.1061,606.3247,3027992.0,608.0024,608.5442921948124
271,2014-03-10,608.4528,609.4263,602.6471,2428458.0,606.3908,605.1032742543595
283,2014-03-26,581.586,586.3708,566.3157,5154891.0,566.551,573.7677826771685
295,2014-04-11,537.94,547.59,533.4,3175460.0,537.76,542.1123330384314
298,2014-04-16,557.7,564.0,553.1,4588541.0,563.9,559.3454435060387
299,2014-04-17,556.32,557.0,539.4,5616862.0,543.34,544.0805795551225
302,2014-04-23,543.67,544.8,528.1277,1959330.0,537.51,532.7305334998684
303,2014-04-24,541.69,542.5,531.0,2069559.0,534.44,534.3086432301742
308,2014-05-01,534.25,539.91,532.86,2004375.0,538.53,537.8226612051228
310,2014-05-05,530.24,535.72,527.58,1228797.0,535.33,532.654505527992
311,2014-05-06,533.41,534.548,522.2601,1835318.0,522.57,525.9016267879338
317,2014-05-14,541.82,541.82,533.11,1281148.0,534.41,535.3515659826932
318,2014-05-15,533.14,536.746,525.03,1694832.0,526.1,529.8809647656961
319,2014-05-16,529.6,530.84,523.57,1907733.0,528.3,526.1764983801511
320,2014-05-19,528.88,539.35,525.66,1977885.0,538.83,534.6636269232787
322,2014-05-21,542.9,549.75,542.11,1564854.0,549.7,547.8422410693408
328,2014-05-30,571.64,572.58,565.79,1871737.0,571.65,568.1742400671656
333,2014-06-06,568.16,568.7999,559.58,1740934.0,566.03,562.3209828792304
342,2014-06-19,561.15,565.0,556.6679,2630539.0,564.99,560.9748639944687
349,2014-06-30,586.76,587.71,583.29,1479411.0,584.67,585.1705612016541
351,2014-07-02,592.26,594.15,589.11,1197005.0,590.78,591.63230206334
