,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,75.28,75.5,75.05,5696686.0,75.41,75.36032439007805
3,2013-02-13,75.79,76.77,75.73,9528387.0,76.7,76.60510401235463
5,2013-02-15,75.72,76.16,75.51,10528944.0,76.16,75.87757215651008
8,2013-02-21,76.47,77.02,76.38,9465651.0,76.87,76.82936491969087
8,2013-02-21,76.47,76.66,75.57,10603590.0,75.57,76.02029453136709
10,2013-02-25,76.47,77.02,76.38,9465651.0,76.87,76.82936491969087
10,2013-02-25,76.47,76.66,75.57,10603590.0,75.57,76.02029453136709
14,2013-03-01,75.79,76.77,75.73,9528387.0,76.7,76.60510401235463
15,2013-03-04,76.73,77.28,76.73,12628151.0,77.2,77.03170512966327
18,2013-03-07,77.62,77.96,77.59,7996489.0,77.75,77.83526933692806
27,2013-03-20,79.18,79.61,79.17,7975120.0,79.45,79.48842893346877
31,2013-03-26,79.93,80.8815,79.85,12682754.0,80.85,80.58032708048566
34,2013-04-01,81.39,81.965,81.28,7378460.0,81.93,81.80213824133692
39,2013-04-08,81.27,81.39,80.31,15827395.0,81.11,80.52301790644962
44,2013-04-15,82.72,83.09,81.71,12368612.0,81.71,82.30496283986994
45,2013-04-16,82.33,83.54,82.07,12619019.0,83.44,83.14159546773823
49,2013-04-22,84.59,84.93,84.195,6975292.0,84.83,84.61348064958972
52,2013-04-25,84.54,85.44,84.34,8689408.0,85.22,85.1778315020899
55,2013-04-30,85.39,85.7,84.89,12081848.0,85.23,85.1621999748416
58,2013-05-03,85.58,85.99,85.45,9212094.0,85.75,85.73005644249457
60,2013-05-07,84.87,85.57,84.63,9062990.0,85.53,85.26985866471135
64,2013-05-13,85.56,86.07,85.44,6631430.0,85.85,85.89973467575169
70,2013-05-21,87.94,88.64,87.79,10099587.0,88.59,88.33335890615011
75,2013-05-29,87.08,87.16,85.14,11871743.0,85.65,85.89340478329704
82,2013-06-07,84.96,85.18,84.4,8908732.0,84.91,84.7144219460105
85,2013-06-12,85.18,85.5,83.7,8413194.0,83.74,84.5904804270573
92,2013-06-21,83.0,84.32,82.5,20718487.0,83.2,83.5406150262533
103,2013-07-09,88.65,89.08,88.36,9349609.0,88.88,88.71758357701529
108,2013-07-16,91.04,91.66,90.13,11410317.0,90.4,90.91085230762882
113,2013-07-23,92.39,92.855,92.11,8467834.0,92.42,92.50408942966358
122,2013-08-05,94.05,94.3,93.43,7192420.0,93.8,93.8054296723715
124,2013-08-07,93.6,94.03,93.47,9060926.0,93.66,93.72724535546456
140,2013-08-29,86.41,87.14,85.99,5768849.0,86.57,86.84650125695259
141,2013-08-30,86.78,86.78,85.85,7471522.0,86.41,86.15986201653462
142,2013-09-03,86.89,87.3,86.03,7590512.0,86.42,86.71868742856508
151,2013-09-16,89.43,89.75,88.81,7376343.0,89.09,89.27863505834156
152,2013-09-17,89.05,89.22,88.58,6292099.0,89.06,88.85764993600698
156,2013-09-23,89.43,89.75,88.81,7376343.0,89.09,89.27863505834156
159,2013-09-26,87.28,87.7032,86.72,6400181.0,87.07,87.30804665349794
161,2013-09-30,86.33,86.95,86.15,7962314.0,86.69,86.7047370432593
183,2013-10-30,93.27,93.3,92.38,6843672.0,92.59,92.68168596968422
184,2013-10-31,92.85,93.35,92.32,7773908.0,92.61,92.89410063920705
186,2013-11-04,93.46,93.5,92.43,6862530.0,93.03,92.8100718789768
187,2013-11-05,92.54,92.95,92.28,5357054.0,92.81,92.706589590205
189,2013-11-07,93.19,93.65,92.82,7718786.0,92.89,93.27310597906504
192,2013-11-12,93.98,94.09,93.0,7643136.0,93.56,93.39842504094679
194,2013-11-14,93.4,94.14,93.4,7045742.0,93.92,93.97420627584422
198,2013-11-20,94.94,95.38,94.09,7952774.0,94.73,94.74448160587656
198,2013-11-20,94.94,95.47,94.66,7085659.0,95.15,95.1493281417063
202,2013-11-26,95.58,95.87,94.97,7267610.0,95.06,95.3696688771424
204,2013-11-29,95.23,95.5,94.43,4106795.0,94.66,95.00735857244729
209,2013-12-06,93.6,94.03,93.47,9060926.0,93.66,93.72724535546456
211,2013-12-10,94.58,94.79,93.96,7576606.0,94.14,94.27916135916784
224,2013-12-30,92.16,92.3,91.73,4370142.0,92.3,91.9999068373352
231,2014-01-09,94.94,95.38,94.09,7952774.0,94.73,94.74448160587656
231,2014-01-09,94.94,95.47,94.66,7085659.0,95.15,95.1493281417063
233,2014-01-13,94.37,94.99,94.06,9594869.0,94.5,94.57928416855003
240,2014-01-23,93.74,93.8,92.41,9322328.0,92.74,92.87996420373292
247,2014-02-03,88.75,88.78,86.61,13950813.0,86.78,87.33579041579075
249,2014-02-05,86.49,87.67,86.48,10678430.0,87.28,87.4332685236495
251,2014-02-07,88.92,90.04,88.61,9526254.0,90.04,89.6741952179699
254,2014-02-12,92.95,92.99,91.95,7699343.0,92.42,92.2913784961314
263,2014-02-26,91.11,91.54,90.77,6334213.0,91.11,91.23426370091907
268,2014-03-05,93.27,93.3,92.38,6843672.0,92.59,92.68168596968422
269,2014-03-06,93.19,93.65,92.82,7718786.0,92.89,93.27310597906504
270,2014-03-07,93.37,93.48,92.6901,6792275.0,93.32,92.96950207524867
271,2014-03-10,93.17,93.49,92.79,4880978.0,93.45,93.19616698953826
283,2014-03-26,97.51,98.47,97.05,11215165.0,97.05,97.92041339837925
285,2014-03-28,97.51,98.47,97.05,11215165.0,97.05,97.92041339837925
295,2014-04-11,96.2,97.199,96.05,8711166.0,96.87,96.89329858251196
298,2014-04-16,99.57,99.71,98.07,11308070.0,98.75,98.6080445805253
299,2014-04-17,98.69,99.65,98.69,9153584.0,98.96,99.3895245437699
302,2014-04-23,100.24,100.56,99.92,5880223.0,100.22,100.22188164363972
302,2014-04-23,100.24,100.37,99.55,6154027.0,99.96,99.83410422604629
303,2014-04-24,100.24,100.56,99.92,5880223.0,100.22,100.22188164363972
303,2014-04-24,100.24,100.37,99.55,6154027.0,99.96,99.83410422604629
308,2014-05-01,100.77,101.03,99.93,6590499.0,100.53,100.40450647084249
310,2014-05-05,99.29,100.17,99.04,5438240.0,100.0,99.89801931013761
311,2014-05-06,100.02,100.02,99.51,5795969.0,99.51,99.58435258099568
317,2014-05-14,100.95,101.1,100.77,4187810.0,100.87,100.87841006064983
319,2014-05-16,100.57,100.89,100.14,6517090.0,100.58,100.47447689640614
320,2014-05-19,100.22,100.93,100.125,6997400.0,100.64,100.67673906179016
322,2014-05-21,100.6,101.2,100.53,5302472.0,101.14,101.00897205305472
324,2014-05-23,101.04,101.955,100.91,6863107.0,101.69,101.68772974043591
328,2014-05-30,100.7,101.54,100.55,5972931.0,101.46,101.29171786592717
330,2014-06-03,101.91,102.54,101.78,6554213.0,102.47,102.27166014842933
333,2014-06-06,103.25,103.33,102.8386,4625104.0,103.18,102.9634128004897
334,2014-06-09,103.07,104.24,103.035,7044535.0,104.07,104.00744827900874
337,2014-06-12,103.18,103.47,102.925,4062986.0,103.22,103.2043208614331
341,2014-06-18,101.91,102.54,101.78,6554213.0,102.47,102.27166014842933
342,2014-06-19,102.93,103.87,102.81,5481511.0,103.81,103.64110414685273
345,2014-06-24,104.63,104.86,101.79,10677257.0,102.08,103.07900969236015
346,2014-06-25,104.23,105.19,104.13,6856127.0,105.13,104.91976305401406
349,2014-06-30,105.62,106.0,104.52,6944226.0,104.62,105.20641428664523
351,2014-07-02,105.7,105.97,105.295,3764939.0,105.86,105.62327423378363
355,2014-07-09,106.0,106.9196,105.49,6973521.0,106.74,106.42897432189949
358,2014-07-14,105.38,105.49,105.11,7786696.0,105.38,105.080909725324
359,2014-07-15,105.23,105.47,102.77,14224802.0,103.28,103.76235204804418
361,2014-07-17,101.9,102.1,100.26,11226538.0,100.37,100.91782690310716
364,2014-07-22,101.91,102.54,101.78,6554213.0,102.47,102.27166014842933
366,2014-07-24,102.34,102.92,100.85,8321937.0,101.58,101.91082034693302
368,2014-07-28,101.89,102.05,101.5,5239445.0,102.02,101.6842332666047
373,2014-08-04,99.99,100.44,99.51,8735743.0,99.53,99.93458066521256
381,2014-08-14,101.89,102.05,101.5,5239445.0,102.02,101.6842332666047
386,2014-08-21,103.33,104.42,103.33,8357633.0,104.19,104.1598004614899
388,2014-08-25,103.65,104.38,102.01,10168633.0,104.14,103.23184742347394
390,2014-08-27,103.6,103.72,102.91,4786441.0,103.22,103.20751378639628
393,2014-09-02,103.3,103.7097,103.02,4644820.0,103.36,103.41458885615636
397,2014-09-08,104.42,104.58,103.83,4900319.0,104.05,104.10981679790851
402,2014-09-15,104.59,104.91,104.35,4525564.0,104.72,104.62919009444627
406,2014-09-19,107.89,108.37,107.62,13033621.0,107.99,107.78550209110648
406,2014-09-19,107.89,108.73,107.34,9349214.0,108.62,108.13044334040637
408,2014-09-23,107.77,108.1,107.19,8108322.0,107.46,107.51556896503894
412,2014-09-29,106.38,106.65,106.04,6581602.0,106.54,106.2416462546666
413,2014-09-30,106.5,106.5,104.75,7364760.0,104.94,105.35469914669855
416,2014-10-03,104.23,105.19,104.13,6856127.0,105.13,104.91976305401406
418,2014-10-07,104.46,104.46,102.34,8409384.0,102.39,103.10831429867272
420,2014-10-09,104.63,104.86,101.79,10677257.0,102.08,103.07900969236015
427,2014-10-20,98.83,99.2,98.32,7991982.0,99.2,98.70869261829039
431,2014-10-24,102.95,103.29,102.2056,5973242.0,103.13,102.72064912750676
432,2014-10-27,103.07,104.24,103.035,7044535.0,104.07,104.00744827900874
434,2014-10-29,105.0,105.56,104.86,8188368.0,105.56,105.21446633451772
435,2014-10-30,105.17,107.05,104.91,9068343.0,107.04,106.64181075821276
436,2014-10-31,107.94,108.18,107.26,10803709.0,107.78,107.45647653375397
438,2014-11-04,107.89,108.37,107.62,13033621.0,107.99,107.78550209110648
438,2014-11-04,107.89,108.73,107.34,9349214.0,108.62,108.13044334040637
439,2014-11-05,109.05,109.49,108.5,4859955.0,109.07,109.0190264832313
441,2014-11-07,109.0,110.24,108.75,8412327.0,109.6,109.8219690420289
441,2014-11-07,109.0,109.62,108.63,7822916.0,109.27,109.14827690844457
443,2014-11-11,108.88,109.4,108.55,6229047.0,108.91,108.99798239275499
445,2014-11-13,109.05,109.49,108.5,4859955.0,109.07,109.0190264832313
446,2014-11-14,108.92,109.06,108.01,5650746.0,108.16,108.37828355214253
452,2014-11-24,107.92,108.23,106.64,9097994.0,106.88,107.26224434029946
453,2014-11-25,106.98,107.19,106.7,7367894.0,106.7,106.78172666116417
456,2014-12-01,107.89,108.37,107.62,13033621.0,107.99,107.78550209110648
456,2014-12-01,107.89,108.73,107.34,9349214.0,108.62,108.13044334040637
458,2014-12-03,108.54,108.99,107.65,8957411.0,107.72,108.22105038950373
459,2014-12-04,108.09,108.3,107.38,6813598.0,107.56,107.68757812556227
461,2014-12-08,108.42,108.88,108.1405,6500735.0,108.52,108.49611748413179
464,2014-12-11,105.85,107.305,105.36,7114640.0,106.72,106.83154753242287
465,2014-12-12,106.65,106.87,104.39,8334704.0,104.43,105.44193700375577
466,2014-12-15,104.77,105.06,103.63,12110559.0,103.96,104.08443354986768
467,2014-12-16,103.48,105.21,102.5,10212440.0,102.76,104.41194317770695
469,2014-12-18,105.62,106.0,104.52,6944226.0,104.62,105.20641428664523
471,2014-12-22,105.69,106.83,105.67,8124539.0,106.74,106.5541126855275
478,2015-01-02,105.05,105.55,104.13,5756961.0,104.52,104.89031341698539
481,2015-01-07,103.91,105.83,103.81,7931714.0,105.56,105.54660325275952
482,2015-01-08,106.06,106.49,105.75,9925854.0,106.39,105.99483723691904
483,2015-01-09,106.5,106.5,104.75,7364760.0,104.94,105.35469914669855
