,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,48.51,48.9,48.38,13934328.0,48.66,48.71025927662117
3,2013-02-13,49.35,49.46,48.57,20015681.0,48.88,48.87020577021582
5,2013-02-15,49.35,49.46,48.57,20015681.0,48.88,48.87020577021582
7,2013-02-20,49.35,49.46,48.57,20015681.0,48.88,48.87020577021582
8,2013-02-21,48.41,48.45,47.83,24436578.0,48.25,47.922067853089615
9,2013-02-22,48.63,48.7,46.98,43189814.0,47.57,47.424056031011034
10,2013-02-25,49.1,49.2,47.65,32749013.0,47.7,48.133299709903255
14,2013-03-01,48.6,49.42,48.37,25923412.0,48.91,49.051154849484455
15,2013-03-04,48.73,49.14,48.33,17695571.0,49.1,48.77081333333481
18,2013-03-07,50.05,50.86,50.01,24214447.0,50.63,50.60150352684408
19,2013-03-08,50.59,51.18,50.45,13576095.0,50.7,50.97927158626851
27,2013-03-20,49.57,49.64,49.04,19333424.0,49.12,49.18594154436431
29,2013-03-22,48.63,48.7,46.98,43189814.0,47.57,47.424056031011034
31,2013-03-26,48.74,48.97,48.32,16418285.0,48.64,48.60496154267898
34,2013-04-01,47.55,47.99,47.49,17446998.0,47.83,47.80349322074827
39,2013-04-08,47.88,48.59,47.59,18671974.0,48.58,48.2686651851731
40,2013-04-09,48.74,48.97,48.32,16418285.0,48.64,48.60496154267898
44,2013-04-15,48.39,49.34,47.9,31473365.0,47.93,48.779246933674166
45,2013-04-16,48.43,48.52,47.59,23865338.0,48.49,47.86311335742397
49,2013-04-22,47.4,47.49,46.87,15196130.0,47.35,47.08693951274335
52,2013-04-25,49.02,49.63,48.8899,19058652.0,49.0,49.3836606763803
55,2013-04-30,48.96,49.25,48.72,13783014.0,49.01,49.00395355669928
58,2013-05-03,48.63,48.7,46.98,43189814.0,47.57,47.424056031011034
60,2013-05-07,48.57,49.39,48.26,24278832.0,49.14,48.99690774229343
64,2013-05-13,48.84,49.7,48.61,23978264.0,49.67,49.35003168945896
70,2013-05-21,52.53,53.67,52.45,37117109.0,53.02,53.24547029434927
75,2013-05-29,54.09,54.96,53.91,20482608.0,54.67,54.65162289606119
82,2013-06-07,53.77,54.48,53.41,21691275.0,54.27,54.068496862126565
83,2013-06-10,54.64,54.7,54.3,10334933.0,54.36,54.417614991125376
85,2013-06-12,53.9,54.1,52.9649,18476181.0,53.18,53.42767074844969
85,2013-06-12,53.9,53.91,52.5,44334661.0,53.07,52.73152702010809
87,2013-06-14,54.04,54.06,53.32,25327415.0,53.34,53.42885934746779
91,2013-06-20,53.08,53.91,53.06,12068854.0,53.83,53.775481994680916
92,2013-06-21,52.96,52.98,51.69,44414895.0,51.96,51.871465479791105
95,2013-06-26,52.65,52.71,51.54,23685276.0,51.54,51.89929252346062
103,2013-07-09,55.07,55.17,54.19,20510215.0,54.89,54.501349257005906
108,2013-07-16,54.9,55.41,54.78,19224290.0,55.01,55.14516569029084
113,2013-07-23,56.72,56.89,56.475,10577746.0,56.67,56.64536162884446
119,2013-07-31,55.58,55.88,55.31,11991312.0,55.57,55.61128094865342
122,2013-08-05,56.33,56.58,56.01,9376068.0,56.1,56.30992505240934
124,2013-08-07,55.06,55.47,54.78,12802323.0,55.3,55.188930741721144
127,2013-08-12,54.04,54.06,53.32,25327415.0,53.34,53.42885934746779
140,2013-08-29,50.59,51.18,50.45,13576095.0,50.7,50.97927158626851
141,2013-08-30,50.82,50.83,50.29,15863245.0,50.53,50.40740828257044
142,2013-09-03,51.25,51.72,50.83,15277678.0,51.13,51.35527002717368
152,2013-09-17,53.19,53.32,52.875,13115991.0,53.09,53.02689320681183
156,2013-09-23,52.08,52.38,51.39,28175999.0,51.46,51.740448466206225
159,2013-09-26,51.93,52.56,51.54,22299201.0,51.89,52.13441248441246
161,2013-09-30,51.73,52.09,51.44,21300299.0,51.69,51.72919595106607
170,2013-10-11,52.96,52.98,51.69,44414895.0,51.96,51.871465479791105
175,2013-10-18,54.26,54.5,53.7,17617552.0,54.4,54.02877010007461
184,2013-10-31,52.65,52.71,51.54,23685276.0,51.54,51.89929252346062
186,2013-11-04,52.74,52.76,51.9965,18891494.0,52.04,52.18824391805567
187,2013-11-05,51.85,52.13,51.66,14530654.0,51.95,51.890972211838104
192,2013-11-12,53.93,54.08,53.6,15964269.0,53.97,53.74669657314367
194,2013-11-14,54.26,54.5,53.7,17617552.0,54.4,54.02877010007461
198,2013-11-20,56.43,56.44,55.77,17688310.0,56.1,55.90964550691391
201,2013-11-25,57.5,58.17,57.075,15658190.0,57.82,57.77310498468106
202,2013-11-26,57.63,57.96,57.17,16267215.0,57.17,57.540722432403044
203,2013-11-27,57.58,57.85,57.2,7128768.0,57.22,57.567147270160795
204,2013-11-29,57.58,57.85,57.2,7128768.0,57.22,57.567147270160795
211,2013-12-10,56.49,57.07,56.35,14543743.0,56.7,56.836526632232086
213,2013-12-12,56.05,56.61,55.755,15220526.0,56.2,56.2912526205272
224,2013-12-30,58.14,58.2651,57.71,8815823.0,57.95,57.9378685269556
231,2014-01-09,58.98,59.0,58.33,13248583.0,58.76,58.51075641221979
233,2014-01-13,58.51,59.0854,58.4,19430068.0,58.9,58.8091641741566
233,2014-01-13,58.51,58.67,57.53,20773435.0,57.7,57.93318519135236
235,2014-01-15,57.73,57.97,56.51,22818919.0,57.01,57.09040318479532
240,2014-01-23,57.09,57.1,56.21,26243452.0,56.47,56.364956086353935
245,2014-01-30,56.07,56.26,55.61,15368188.0,56.19,55.85707858762941
246,2014-01-31,55.5,55.92,54.2,28572189.0,54.31,54.94689233218761
247,2014-02-03,55.5,55.92,54.2,28572189.0,54.31,54.94689233218761
249,2014-02-05,55.1,55.45,54.58,19499578.0,55.21,54.975940838309135
251,2014-02-07,56.65,56.93,56.255,25065229.0,56.62,56.4575705528309
252,2014-02-10,56.77,57.0,56.7,8275920.0,56.98,56.86898068735207
254,2014-02-12,57.34,57.71,57.16,13447621.0,57.52,57.46543581841892
263,2014-02-26,57.37,57.795,55.015,31543220.0,57.41,56.23852219956875
263,2014-02-26,57.37,57.38,56.223,23674645.0,56.75,56.53238770474537
268,2014-03-05,57.48,58.29,57.36,17762232.0,58.16,58.028082647544856
269,2014-03-06,58.51,59.0854,58.4,19430068.0,58.9,58.8091641741566
269,2014-03-06,58.51,58.67,57.53,20773435.0,57.7,57.93318519135236
270,2014-03-07,59.35,59.8,59.07,18615141.0,59.4,59.44197678125158
271,2014-03-10,59.14,59.48,58.865,16965386.0,59.2,59.14323270924495
274,2014-03-13,58.0,58.775,58.0,13757981.0,58.74,58.614743236168245
280,2014-03-21,60.96,61.62,60.81,12115506.0,61.54,61.388570326683805
283,2014-03-26,61.24,61.4,59.89,22745202.0,59.9,60.44097356574141
294,2014-04-10,59.35,59.8,59.07,18615141.0,59.4,59.44197678125158
295,2014-04-11,55.18,56.05,54.55,47248387.0,55.3,55.228189428173124
298,2014-04-16,55.0,55.35,54.69,27050795.0,55.26,54.90686047518284
299,2014-04-17,55.34,55.57,55.013,17955801.0,55.22,55.21162461734211
302,2014-04-23,55.8,56.12,55.5607,11381029.0,56.05,55.87245975254944
303,2014-04-24,56.07,56.26,55.61,15368188.0,56.19,55.85707858762941
306,2014-04-29,55.73,56.61,54.5,42458146.0,54.99,55.52530824754404
308,2014-05-01,55.92,56.19,55.5,12744643.0,55.72,55.834857688344265
310,2014-05-05,53.88,54.74,53.7,25237392.0,54.22,54.38337556029483
311,2014-05-06,54.04,54.06,53.32,25327415.0,53.34,53.42885934746779
317,2014-05-14,54.64,54.7,54.3,10334933.0,54.36,54.417614991125376
319,2014-05-16,53.42,53.51,52.97,19993160.0,53.31,53.075443289713725
320,2014-05-19,53.08,53.91,53.06,12068854.0,53.83,53.775481994680916
322,2014-05-21,54.05,54.6,53.98,13210922.0,54.12,54.42614540396534
328,2014-05-30,55.58,55.88,55.31,11991312.0,55.57,55.61128094865342
329,2014-06-02,55.65,57.57,55.17,37011352.0,57.49,56.921956962591665
333,2014-06-06,56.76,57.13,56.65,15399844.0,56.97,56.903693559207476
333,2014-06-06,56.76,59.2,56.67,23958079.0,59.2,58.8803311543456
336,2014-06-11,57.48,58.29,57.36,17762232.0,58.16,58.028082647544856
342,2014-06-19,57.69,57.69,57.21,11624383.0,57.3,57.3105611523903
343,2014-06-20,57.69,57.69,57.21,11624383.0,57.3,57.3105611523903
347,2014-06-26,57.34,57.71,57.16,13447621.0,57.52,57.46543581841892
349,2014-06-30,57.44,57.78,57.38,11549859.0,57.62,57.61691668610814
351,2014-07-02,57.27,57.475,56.82,19199260.0,56.97,57.03290818811137
356,2014-07-10,55.06,55.47,54.78,12802323.0,55.3,55.188930741721144
358,2014-07-14,56.53,56.84,56.2,14011991.0,56.29,56.51563429894478
359,2014-07-15,57.95,58.69,57.76,36219126.0,58.27,58.19987007401876
360,2014-07-16,58.51,59.0854,58.4,19430068.0,58.9,58.8091641741566
360,2014-07-16,58.51,58.67,57.53,20773435.0,57.7,57.93318519135236
361,2014-07-17,58.56,58.86,57.76,17015955.0,57.86,58.25384102682171
364,2014-07-22,58.42,58.8,58.37,10376795.0,58.67,58.65012278768559
364,2014-07-22,58.42,59.86,58.11,20709745.0,58.43,59.46111931702968
368,2014-07-28,58.94,59.68,58.92,14709756.0,59.39,59.49619124705169
374,2014-08-05,56.43,56.44,55.77,17688310.0,56.1,55.90964550691391
380,2014-08-13,56.69,56.92,55.535,28267601.0,56.54,56.021798521777434
381,2014-08-14,56.77,57.0,56.7,8275920.0,56.98,56.86898068735207
383,2014-08-18,56.86,57.04,56.46,11293901.0,56.77,56.70721624800909
386,2014-08-21,57.66,58.77,57.6,12745499.0,58.5,58.58803217005645
388,2014-08-25,58.98,59.0,58.33,13248583.0,58.76,58.51075641221979
390,2014-08-27,59.85,59.95,59.53,11410860.0,59.59,59.646390463773464
391,2014-08-28,59.25,60.385,59.05,18321078.0,60.3,60.0667078713683
393,2014-09-02,59.46,59.79,58.87,14039559.0,59.54,59.319458222216504
393,2014-09-02,59.46,59.71,59.15,8678222.0,59.67,59.44019989984783
393,2014-09-02,59.46,59.675,56.91,28808129.0,57.34,58.03944180456641
396,2014-09-05,59.62,59.78,58.76,16715852.0,59.29,59.14285681181079
397,2014-09-08,59.84,60.22,59.74,8090047.0,59.89,60.062412285556945
402,2014-09-15,59.78,59.99,59.45,10685630.0,59.94,59.68817444545941
406,2014-09-19,61.74,61.85,60.98,18740479.0,61.11,61.23580124929385
408,2014-09-23,60.82,61.4,60.77,14335620.0,60.94,61.198457004237554
411,2014-09-26,60.33,60.33,58.89,19191404.0,59.08,59.36586914654234
412,2014-09-29,60.03,60.5,59.73,10694938.0,60.33,60.21070289774323
414,2014-10-01,60.24,60.37,59.42,15295771.0,60.25,59.766033055052645
416,2014-10-03,59.25,60.385,59.05,18321078.0,60.3,60.0667078713683
418,2014-10-07,59.92,59.92,59.185,14542010.0,59.27,59.36996053897807
420,2014-10-09,60.33,60.33,58.89,19191404.0,59.08,59.36586914654234
423,2014-10-14,56.69,56.92,55.535,28267601.0,56.54,56.021798521777434
426,2014-10-17,55.73,56.61,54.5,42458146.0,54.99,55.52530824754404
427,2014-10-20,56.1,56.7472,56.07,10808475.0,56.63,56.61020396570352
431,2014-10-24,58.0,58.775,58.0,13757981.0,58.74,58.614743236168245
432,2014-10-27,58.45,58.79,58.25,11087209.0,58.64,58.55541574907339
434,2014-10-29,59.62,59.78,58.76,16715852.0,59.29,59.14285681181079
435,2014-10-30,58.94,59.68,58.92,14709756.0,59.39,59.49619124705169
436,2014-10-31,60.12,60.54,59.87,18351059.0,60.48,60.19745774790563
438,2014-11-04,60.24,60.37,59.42,15295771.0,60.25,59.766033055052645
443,2014-11-11,61.71,61.89,61.29,12539830.0,61.37,61.51524372417033
445,2014-11-13,60.5,60.63,59.99,12240366.0,60.23,60.21685991702661
446,2014-11-14,60.25,61.25,60.08,22937701.0,60.82,60.896639105013016
446,2014-11-14,60.25,60.62,60.18,6803396.0,60.28,60.48970479963681
449,2014-11-19,60.45,60.6,59.1,23357694.0,59.55,59.637773660586745
452,2014-11-24,60.7,61.305,60.7,8335037.0,60.96,61.191591788205386
453,2014-11-25,61.16,61.16,59.95,14802617.0,60.3,60.35691252003753
458,2014-12-03,60.96,61.62,60.81,12115506.0,61.54,61.388570326683805
459,2014-12-04,61.1,61.57,60.84,11542085.0,61.38,61.28848914563911
461,2014-12-08,62.6,63.16,62.26,15535482.0,62.67,62.78940096605039
463,2014-12-10,62.16,62.33,61.61,17073371.0,61.94,61.839524252720814
464,2014-12-11,61.17,62.06,61.11,16886249.0,61.14,61.82329068543027
465,2014-12-12,60.53,61.22,59.96,17405430.0,60.04,60.718223141978854
466,2014-12-15,60.74,60.81,58.79,19209927.0,59.16,59.57992284221085
467,2014-12-16,58.42,58.8,58.37,10376795.0,58.67,58.65012278768559
467,2014-12-16,58.42,59.86,58.11,20709745.0,58.43,59.46111931702968
471,2014-12-22,62.16,62.33,61.61,17073371.0,61.94,61.839524252720814
478,2015-01-02,62.62,62.96,62.07,12599991.0,62.49,62.51271682934349
481,2015-01-07,59.89,59.89,58.665,23843244.0,59.07,58.9906491976988
482,2015-01-08,59.97,60.9,59.97,16971056.0,60.39,60.69777860336496
483,2015-01-09,60.72,60.79,59.29,15396195.0,59.34,59.8682317570589
487,2015-01-15,55.73,56.61,54.5,42458146.0,54.99,55.52530824754404
489,2015-01-20,56.04,56.39,55.4232,23477689.0,55.71,55.821155228554616
