,date,open,high,low,volume,Actual,Predicted
0,2013-02-08,38.85,38.92,38.4,10633637.0,38.51,38.55418986557125
1,2013-02-11,38.71,38.83,38.41,12159872.0,38.61,38.574605418242015
5,2013-02-15,36.94,37.42,36.54,25216274.0,37.42,37.02109634588634
8,2013-02-21,37.62,37.7899,37.43,14134937.0,37.71,37.614579989141994
10,2013-02-25,38.56,38.72,37.72,15879793.0,37.72,38.0281893266539
10,2013-02-25,38.56,38.61,38.36,17074233.0,38.55,38.45129448161714
13,2013-02-28,38.47,38.47,38.1,14215731.0,38.1,38.184551168018864
14,2013-03-01,38.49,38.79,38.49,13727254.0,38.7,38.73834891755691
15,2013-03-04,38.6,38.82,38.45,9934233.0,38.82,38.662873674666564
18,2013-03-07,39.04,39.19,38.84,15104896.0,39.12,39.00932625583228
27,2013-03-20,39.4,39.92,39.36,19251066.0,39.87,39.793489733783524
31,2013-03-26,40.13,40.7,40.13,13666691.0,40.69,40.59131884643196
33,2013-03-28,40.38,40.6,40.22,32177836.0,40.53,40.44412755935401
34,2013-04-01,40.39,40.4899,40.17,8202005.0,40.45,40.29800254016035
35,2013-04-02,40.43,40.72,40.25,18547111.0,40.72,40.526783324855096
37,2013-04-04,40.27,40.48,40.11,8641107.0,40.19,40.31398801016011
39,2013-04-08,40.06,40.87,39.77,22758248.0,40.86,40.48631611750662
40,2013-04-09,40.81,41.59,40.59,15528630.0,40.9,41.26340007609696
42,2013-04-11,41.13,41.18,40.56,23378508.0,40.57,40.726166884645096
43,2013-04-12,40.91,40.985,40.47,13485734.0,40.47,40.624844002372875
44,2013-04-15,40.85,40.9943,40.05,16013468.0,40.09,40.33452196637171
45,2013-04-16,41.4,42.48,41.25,32144987.0,42.37,42.1562358353711
45,2013-04-16,41.4,41.57,41.17,11254885.0,41.48,41.35613761856048
46,2013-04-17,42.14,42.44,42.09,11190862.0,42.35,42.3422117620281
46,2013-04-17,42.14,42.44,42.0,9290808.0,42.19,42.269475427761165
47,2013-04-18,42.48,42.565,42.07,9150070.0,42.34,42.22232986884575
49,2013-04-22,42.52,42.85,42.4,10544599.0,42.72,42.68947269325333
51,2013-04-24,42.64,42.88,42.43,16484713.0,42.54,42.66893412122604
52,2013-04-25,42.26,42.54,42.08,10197008.0,42.35,42.34195874931275
52,2013-04-25,42.26,42.4,41.8,9921091.0,42.14,42.00701782048698
53,2013-04-26,42.18,42.32,41.81,9693096.0,42.16,41.99874904741419
53,2013-04-26,42.18,42.72,42.06,16622840.0,42.57,42.5205138858403
54,2013-04-29,42.24,42.5,41.93,12505160.0,42.16,42.203623754310726
55,2013-04-30,42.15,42.39,41.88,13444898.0,42.33,42.13018025218059
56,2013-05-01,42.15,42.39,41.88,13444898.0,42.33,42.13018025218059
58,2013-05-03,42.17,42.42,41.96,11740133.0,42.24,42.20506032245364
58,2013-05-03,42.17,42.7,41.9,17254432.0,42.65,42.38331664164466
58,2013-05-03,42.17,42.57,41.79,16854282.0,41.85,42.19179470531786
60,2013-05-07,42.21,42.39,42.06,11503322.0,42.17,42.236910470233035
60,2013-05-07,42.21,42.71,42.15,13785220.0,42.7,42.56493065251219
60,2013-05-07,42.21,42.5,42.06,14375702.0,42.32,42.326098800379675
61,2013-05-08,42.54,42.64,42.15,15274036.0,42.39,42.313353020632995
64,2013-05-13,42.14,42.44,42.09,11190862.0,42.35,42.3422117620281
64,2013-05-13,42.14,42.44,42.0,9290808.0,42.19,42.269475427761165
65,2013-05-14,42.18,42.32,41.81,9693096.0,42.16,41.99874904741419
65,2013-05-14,42.18,42.72,42.06,16622840.0,42.57,42.5205138858403
70,2013-05-21,42.48,42.565,42.07,9150070.0,42.34,42.22232986884575
72,2013-05-23,41.93,42.15,41.83,9983505.0,42.02,42.0282372313009
73,2013-05-24,41.54,41.87,41.53,13275256.0,41.79,41.79991625058953
75,2013-05-29,42.34,42.4268,41.31,16986535.0,41.4,41.59383320787083
75,2013-05-29,42.34,42.34,41.78,13682703.0,41.84,41.897565247615496
76,2013-05-30,41.49,41.49,41.25,11511687.0,41.32,41.30266516251005
77,2013-05-31,40.65,40.93,40.55,10164164.0,40.76,40.79789701763147
78,2013-06-03,39.95,40.0,39.52,14074835.0,39.73,39.65449792987452
80,2013-06-05,41.4,42.48,41.25,32144987.0,42.37,42.1562358353711
80,2013-06-05,41.4,41.57,41.17,11254885.0,41.48,41.35613761856048
81,2013-06-06,40.55,41.28,40.5,22214839.0,41.2,41.10290774092684
81,2013-06-06,40.55,40.88,40.5,8607297.0,40.87,40.77693150087181
82,2013-06-07,41.2,41.3,40.8801,9395168.0,41.14,41.027973882676264
82,2013-06-07,41.2,41.7299,40.98,14458918.0,41.41,41.452946923404234
85,2013-06-12,40.79,40.94,40.28,11611090.0,40.39,40.50801178788061
85,2013-06-12,40.79,40.8,40.26,15385753.0,40.78,40.38244525695709
85,2013-06-12,40.79,40.81,40.23,14300701.0,40.68,40.36593479983768
86,2013-06-13,40.31,40.33,40.06,9305078.0,40.15,40.13108308715856
87,2013-06-14,40.38,40.6,40.22,32177836.0,40.53,40.44412755935401
88,2013-06-17,40.54,40.925,40.49,10446099.0,40.91,40.81174993459097
89,2013-06-18,40.7,40.81,40.56,12072454.0,40.73,40.68142911975779
89,2013-06-18,40.7,40.89,40.46,11401621.0,40.7,40.66513574538399
89,2013-06-18,40.7,40.905,40.56,17222528.0,40.76,40.75985236922801
91,2013-06-20,40.27,40.48,40.11,8641107.0,40.19,40.31398801016011
92,2013-06-21,39.63,39.97,39.3,21941299.0,39.76,39.64993212769657
96,2013-06-27,40.65,40.93,40.55,10164164.0,40.76,40.79789701763147
