,date,open,high,low,volume,Actual,Predicted
1,2014-01-03,130.0,128.58999633789062,128.8000030517578,107.84690856933594,128.8300018310547,128.77590991314975
1,2014-01-03,130.0,129.36000061035156,129.5,108.55846405029297,129.67999267578125,129.07813781715043
5,2014-01-09,131.22000122070312,130.52999877929688,131.0,109.66345977783203,131.0,130.10731832954502
6,2014-01-10,132.5500030517578,130.97000122070312,131.0,110.9107894897461,132.49000549316406,131.41220025808883
9,2014-01-15,133.32000732421875,131.6199951171875,131.97000122070312,111.27073669433594,132.9199981689453,131.94946307113744
10,2014-01-16,132.91000366210938,132.1300048828125,132.32000732421875,110.97774505615234,132.57000732421875,131.86091374495504
14,2014-01-23,133.19000244140625,131.0399932861328,131.88999938964844,109.89786529541016,131.27999877929688,131.3327751317741
15,2014-01-24,130.47999572753906,126.94999694824219,130.47999572753906,106.28984832763672,126.97000122070312,126.9011415599099
17,2014-01-28,126.58999633789062,125.44999694824219,125.94999694824219,105.22669219970703,125.69999694824219,125.39596141005241
18,2014-01-29,129.47999572753906,125.0,126.5,106.5912094116211,127.33000183105469,126.79069708647556
19,2014-01-30,127.26000213623047,125.25,126.88999938964844,105.05088806152344,125.48999786376953,125.20358941299857
26,2014-02-10,128.0800018310547,127.0,127.91999816894531,109.68592834472656,127.73999786376953,127.00887517499064
27,2014-02-11,128.69000244140625,127.19999694824219,127.69000244140625,107.51203155517578,128.42999267578125,127.42229586264972
29,2014-02-13,129.7899932861328,128.38999938964844,128.97000122070312,108.68598175048828,128.55999755859375,128.50332487430072
30,2014-02-14,130.5,129.0500030517578,129.35000610351562,108.66726684570312,129.80999755859375,129.25418586864785
31,2014-02-18,130.36000061035156,129.4499969482422,130.1999969482422,108.5919418334961,129.72000122070312,129.0389658413073
34,2014-02-21,128.8699951171875,127.76000213623047,128.25999450683594,107.21067810058594,128.07000732421875,127.63954779863667
37,2014-02-26,130.0,128.58999633789062,128.8000030517578,107.84690856933594,128.8300018310547,128.77590991314975
37,2014-02-26,130.0,129.36000061035156,129.5,108.55846405029297,129.67999267578125,129.07813781715043
38,2014-02-27,130.0,128.58999633789062,128.8000030517578,107.84690856933594,128.8300018310547,128.77590991314975
38,2014-02-27,130.0,129.36000061035156,129.5,108.55846405029297,129.67999267578125,129.07813781715043
39,2014-02-28,131.14999389648438,129.8000030517578,129.9600067138672,109.13607788085938,130.3699951171875,129.97387876864832
47,2014-03-12,135.24000549316406,130.66000366210938,131.2899932861328,111.1189193725586,132.0800018310547,132.78341600845312
48,2014-03-13,132.67999267578125,131.6999969482422,132.27999877929688,111.09368133544922,132.0500030517578,131.43088906720624
53,2014-03-20,132.6999969482422,132.02000427246094,132.19000244140625,111.48064422607422,132.50999450683594,131.76318961936326
53,2014-03-20,132.6999969482422,130.39999389648438,132.55999755859375,110.26078033447266,131.05999755859375,130.26631540051022
54,2014-03-21,134.00999450683594,132.22999572753906,133.55999755859375,111.82559967041016,132.9199981689453,132.1275949528718
55,2014-03-24,133.77999877929688,131.49000549316406,133.4499969482422,110.84127044677734,131.75,131.3861192246462
57,2014-03-26,131.77999877929688,129.6300048828125,131.5399932861328,109.08297729492188,129.66000366210938,129.48177137692502
58,2014-03-27,129.88999938964844,128.64999389648438,129.67999267578125,108.35944366455078,128.8000030517578,128.37934282345924
61,2014-04-01,132.6999969482422,132.02000427246094,132.19000244140625,111.48064422607422,132.50999450683594,131.76318961936326
61,2014-04-01,132.6999969482422,130.39999389648438,132.55999755859375,110.26078033447266,131.05999755859375,130.26631540051022
64,2014-04-04,132.25,129.38999938964844,132.0500030517578,108.91472625732422,129.4600067138672,129.34115770888073
66,2014-04-08,128.97999572753906,127.2699966430664,127.5,107.86309814453125,128.2100067138672,127.78815069939732
67,2014-04-09,130.5,129.0500030517578,129.35000610351562,108.66726684570312,129.80999755859375,129.25418586864785
69,2014-04-11,128.94000244140625,127.66000366210938,128.30999755859375,109.21485137939453,127.9000015258789,127.80201569907176
