,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,94.75,95.31,94.6,3557598.0,95.17,95.01913847237692
5,2013-02-15,93.81,94.31,93.21,5095513.0,93.9,93.74906662781659
8,2013-02-21,93.44,94.45,93.3,4425256.0,94.14,94.10790475384944
10,2013-02-25,95.38,96.78,95.26,9028181.0,96.14,96.31671291815013
10,2013-02-25,95.38,97.18,95.27,7793438.0,96.21,96.70947128751394
14,2013-03-01,95.68,95.82,94.96,3824220.0,95.68,95.2484762711626
15,2013-03-04,95.6,95.67,94.87,4637656.0,95.07,95.08345891829377
18,2013-03-07,96.64,97.16,96.64,4566416.0,97.09,96.9312468668765
20,2013-03-11,98.46,99.84,98.07,7549944.0,99.36,99.25377267061941
22,2013-03-13,98.74,99.1,98.07,4485137.0,98.24,98.51603111752004
27,2013-03-20,98.59,98.9,98.59,3515922.0,98.77,98.70791231966398
31,2013-03-26,98.35,98.665,98.26,4433952.0,98.5,98.40523400751354
32,2013-03-27,98.19,99.15,97.79,7543054.0,98.23,98.59819843352727
34,2013-04-01,99.41,99.68,98.85,3156140.0,99.05,99.18995917255279
39,2013-04-08,101.08,101.5,100.85,4163570.0,101.5,101.15353878616709
44,2013-04-15,103.14,103.44,102.13,5643000.0,102.15,102.6431784973511
45,2013-04-16,102.4,103.05,102.02,3199279.0,103.04,102.61635486383179
49,2013-04-22,99.35,99.99,99.01,4179128.0,99.13,99.56580053357078
49,2013-04-22,99.35,99.66,98.38,5609009.0,99.32,98.89246945019302
52,2013-04-25,101.27,101.63,100.85,3529087.0,100.94,101.19718565299354
52,2013-04-25,101.27,101.48,100.5,4270525.0,100.74,100.85438876431874
55,2013-04-30,102.27,102.36,101.56,4204779.0,102.14,101.77782089411458
58,2013-05-03,102.92,103.34,102.55,4100598.0,102.92,102.91429855804347
60,2013-05-07,102.09,102.52,101.79,4304394.0,102.29,102.12936592453966
64,2013-05-13,100.02,100.7,99.8,3154049.0,100.38,100.35700714905695
70,2013-05-21,101.65,102.62,101.42,4079810.0,102.14,102.22269036790503
74,2013-05-28,101.06,101.295,100.8,3075103.0,100.95,100.9711198201179
75,2013-05-29,100.64,100.64,98.28,8770665.0,99.05,99.07318222639273
