,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,12.47,12.635,12.35,10207599.0,12.51,12.488521122977602
1,2013-02-11,12.47,12.47,12.195,8166419.0,12.43,12.221378320140309
3,2013-02-13,12.44,12.51,12.39,5813496.0,12.5,12.436526258466529
5,2013-02-15,12.7,12.79,12.45,18346464.0,12.731,12.54036371083527
8,2013-02-21,12.36,12.5,12.26,14510133.0,12.29,12.36834839455135
10,2013-02-25,12.55,12.65,12.28,16111033.0,12.3,12.384874143975477
13,2013-02-28,12.56,12.7,12.46,6139119.0,12.59,12.577112906914111
14,2013-03-01,12.57,12.75,12.455,9734824.0,12.71,12.606315887979422
15,2013-03-04,12.62,12.775,12.52,8841914.0,12.655,12.647613263021821
18,2013-03-07,12.86,12.99,12.6871,7869650.0,12.76,12.808345662449788
25,2013-03-18,12.56,12.7,12.46,6139119.0,12.59,12.577112906914111
26,2013-03-19,12.56,12.7,12.46,6139119.0,12.59,12.577112906914111
27,2013-03-20,12.59,12.66,12.475,8514701.0,12.62,12.531602631663782
28,2013-03-21,12.55,12.65,12.28,16111033.0,12.3,12.384874143975477
30,2013-03-25,12.55,12.65,12.28,16111033.0,12.3,12.384874143975477
31,2013-03-26,12.44,12.51,12.39,5813496.0,12.5,12.436526258466529
33,2013-03-28,12.62,12.775,12.52,8841914.0,12.655,12.647613263021821
34,2013-04-01,12.8,12.8,12.32,11070635.0,12.41,12.383495812636763
39,2013-04-08,12.47,12.635,12.35,10207599.0,12.51,12.488521122977602
39,2013-04-08,12.47,12.47,12.195,8166419.0,12.43,12.221378320140309
40,2013-04-09,12.44,12.51,12.39,5813496.0,12.5,12.436526258466529
44,2013-04-15,13.05,13.09,12.74,10760467.0,12.82,12.806537053227414
45,2013-04-16,12.94,13.05,12.87,11721027.0,12.96,12.950332718428808
46,2013-04-17,12.86,12.99,12.6871,7869650.0,12.76,12.808345662449788
49,2013-04-22,12.56,12.7,12.46,6139119.0,12.59,12.577112906914111
50,2013-04-23,12.7,12.79,12.45,18346464.0,12.731,12.54036371083527
52,2013-04-25,13.43,13.5,13.31,8830561.0,13.47,13.36888557855947
54,2013-04-29,13.43,13.5,13.31,8830561.0,13.47,13.36888557855947
55,2013-04-30,13.6,13.77,13.51,6917579.0,13.77,13.652616195704642
58,2013-05-03,13.9,13.97,13.82,7346592.0,13.87,13.873603162579219
60,2013-05-07,13.83,13.86,13.52,11201659.0,13.65,13.578892308140315
63,2013-05-10,14.2,14.3275,14.16,3934067.0,14.241,14.260086132576722
64,2013-05-13,14.44,14.5301,14.38,8376206.0,14.44,14.447321421939225
64,2013-05-13,14.44,14.5,14.18,7245247.0,14.24,14.260609899703338
65,2013-05-14,14.41,14.41,14.14,6169787.0,14.21,14.171199368941181
70,2013-05-21,14.85,14.98,14.675,8944627.0,14.92,14.799455252083586
75,2013-05-29,14.44,14.5301,14.38,8376206.0,14.44,14.447321421939225
75,2013-05-29,14.44,14.5,14.18,7245247.0,14.24,14.260609899703338
82,2013-06-07,14.35,14.54,14.29,6864547.0,14.445,14.445818971072342
83,2013-06-10,14.41,14.41,14.14,6169787.0,14.21,14.171199368941181
85,2013-06-12,14.24,14.355,13.97,7814620.0,14.05,14.099557563936898
90,2013-06-19,14.53,14.75,14.52,6110689.0,14.6,14.693493973973773
91,2013-06-20,14.72,14.88,14.645,4629714.0,14.83,14.780483395796558
92,2013-06-21,14.52,14.57,14.18,17856555.0,14.415,14.256793027488056
103,2013-07-09,14.2,14.3275,14.16,3934067.0,14.241,14.260086132576722
