,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,26.89,27.23,26.89,26301872.0,27.14,27.146271621894684
5,2013-02-15,27.15,27.43,27.12,29582324.0,27.29,27.332693703214908
8,2013-02-21,27.41,27.54,27.23,24520676.0,27.41,27.380848845489492
10,2013-02-25,27.21,27.35,26.84,35540546.0,26.84,27.06594161182566
11,2013-02-26,26.89,27.23,26.89,26301872.0,27.14,27.146271621894684
14,2013-03-01,27.18,27.45,27.15,29066820.0,27.39,27.354613269682144
15,2013-03-04,27.31,27.7,27.26,24930067.0,27.69,27.579059349395305
18,2013-03-07,28.18,28.38,28.12,27694715.0,28.27,28.274443522006244
27,2013-03-20,28.17,28.4,28.11,30696743.0,28.29,28.28672827088901
28,2013-03-21,28.17,28.4,28.11,30696743.0,28.29,28.28672827088901
29,2013-03-22,28.12,28.48,28.07,22075825.0,28.1,28.363135562323723
31,2013-03-26,28.26,28.79,28.17,19994969.0,28.73,28.62606379238739
31,2013-03-26,28.26,28.66,28.23,31844831.0,28.6,28.537609599331493
33,2013-03-28,28.66,28.84,28.57,21992700.0,28.64,28.723919184560835
34,2013-04-01,28.75,28.84,28.68,19286147.0,28.84,28.751642018861272
34,2013-04-01,28.75,29.37,28.67,33548645.0,29.37,29.181532519309396
39,2013-04-08,28.98,29.17,28.64,25957429.0,29.16,28.899147278493235
40,2013-04-09,29.03,29.12,28.79,24686621.0,28.79,28.92414283677985
44,2013-04-15,30.61,30.9,30.51,36554638.0,30.58,30.73716864441506
44,2013-04-15,30.61,30.99,30.45,46915105.0,30.45,30.766990847142498
45,2013-04-16,30.54,30.99,30.48,31458844.0,30.94,30.83302813865538
45,2013-04-16,30.54,30.7,30.39,14799396.0,30.69,30.551258695748423
49,2013-04-22,31.08,31.58,30.94,41507996.0,31.15,31.354967080784906
49,2013-04-22,31.08,31.12,30.605,20581507.0,30.93,30.788506920766018
49,2013-04-22,31.08,31.1,30.76,26092840.0,30.93,30.856836238789455
