,date,open,high,low,volume,Actual,Predicted
1,2013-02-11,34.18,34.19,33.66,8274909.0,33.69,33.77622777491258
5,2013-02-15,33.83,33.86,33.395,6519025.0,33.585,33.518335397891924
8,2013-02-21,32.99,33.0,32.19,11420231.0,32.48,32.32848977320912
10,2013-02-25,34.2,34.45,33.705,13942680.0,33.73,33.99708554929309
14,2013-03-01,34.13,34.57,33.83,9336814.0,34.52,34.24801197273454
15,2013-03-04,34.44,34.57,34.11,7424740.0,34.56,34.29959992504181
18,2013-03-07,35.19,35.25,35.06,8422986.0,35.2,35.180016206068345
21,2013-03-12,35.5,35.53,34.655,8378599.0,34.79,34.818405110308916
23,2013-03-14,35.5,35.53,34.655,8378599.0,34.79,34.818405110308916
27,2013-03-20,34.92,35.15,34.81,7555902.0,35.06,35.05536025948169
31,2013-03-26,34.74,35.11,34.62,7249152.0,35.095,34.970954551635785
34,2013-04-01,35.26,35.56,34.86,11066864.0,35.01,35.18384878768216
35,2013-04-02,34.79,35.06,34.4,14860265.0,34.95,34.698345646391175
36,2013-04-03,34.74,35.11,34.62,7249152.0,35.095,34.970954551635785
39,2013-04-08,34.29,35.08,34.26,8662703.0,35.07,34.91622385689889
44,2013-04-15,35.58,35.88,35.27,9516967.0,35.27,35.58674186204897
45,2013-04-16,35.43,35.86,35.16,9339434.0,35.735,35.57029462548186
49,2013-04-22,34.31,35.6,34.06,10698307.0,34.81,35.11046393722315
52,2013-04-25,36.16,36.26,35.93,11218597.0,36.11,36.090122087004325
53,2013-04-26,35.58,35.88,35.27,9516967.0,35.27,35.58674186204897
54,2013-04-29,35.98,36.25,35.661,5828175.0,36.18,35.95801378004316
55,2013-04-30,35.95,36.24,35.755,7430688.0,36.21,36.05512358979333
58,2013-05-03,36.94,37.2,36.87,11805384.0,37.01,37.13676763547729
60,2013-05-07,37.11,37.15,36.86,5786093.0,37.04,36.9805262958975
61,2013-05-08,36.92,37.03,36.54,9398617.0,36.54,36.72335296428593
64,2013-05-13,36.92,37.03,36.54,9398617.0,36.54,36.72335296428593
70,2013-05-21,36.7,36.8,36.51,6648748.0,36.6,36.66895588342198
75,2013-05-29,36.04,36.29,35.87,7809561.0,36.09,36.13791569567303
82,2013-06-07,35.98,36.25,35.661,5828175.0,36.18,35.95801378004316
84,2013-06-11,36.0,36.41,35.96,6284900.0,36.24,36.33637683122743
85,2013-06-12,35.5,35.53,34.655,8378599.0,34.79,34.818405110308916
92,2013-06-21,34.79,35.06,34.4,14860265.0,34.95,34.698345646391175
103,2013-07-09,36.0,36.41,35.96,6284900.0,36.24,36.33637683122743
108,2013-07-16,37.89,37.95,37.62,5192470.0,37.82,37.75903936872906
110,2013-07-18,37.89,37.95,37.62,5192470.0,37.82,37.75903936872906
113,2013-07-23,38.65,39.74,38.58,21689727.0,38.93,39.46907079724027
117,2013-07-29,38.62,39.091,38.48,4466824.0,38.64,38.916870335088966
122,2013-08-05,39.72,39.9,39.66,4514344.0,39.86,39.873571539342144
124,2013-08-07,39.55,39.89,39.49,4515462.0,39.65,39.823165990282746
126,2013-08-09,39.55,39.89,39.49,4515462.0,39.65,39.823165990282746
135,2013-08-22,38.62,39.091,38.48,4466824.0,38.64,38.916870335088966
140,2013-08-29,38.38,38.82,38.26,3192425.0,38.61,38.671746303222946
141,2013-08-30,38.64,38.65,38.06,4377337.0,38.2,38.19156668102003
142,2013-09-03,38.62,39.091,38.48,4466824.0,38.64,38.916870335088966
