,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,34.29,34.58,34.25,34.46,6688100,ABT,36.99479333333328
4,2013-02-14,34.28,34.75,34.28,34.7,8561425,ABT,37.50654555555568
9,2013-02-22,34.18,34.55,34.01,34.55,7902855,ABT,37.67780174603173
10,2013-02-25,34.6,34.84,34.25,34.27,8704574,ABT,37.31543125661369
13,2013-02-28,34.31,34.36,33.79,33.79,16558242,ABT,36.86593333333326
17,2013-03-06,34.67,34.7,34.15,34.27,6412073,ABT,37.31543125661369
20,2013-03-11,34.59,34.95,34.515,34.93,4903332,ABT,36.68763591269831
22,2013-03-13,34.89,35.03,34.71,35.01,4442357,ABT,37.182471984127076
23,2013-03-14,35.03,35.14,34.93,35.14,6813007,ABT,36.37569166666674
24,2013-03-15,34.92,35.09,34.13,34.14,13707177,ABT,37.10913166666669
25,2013-03-18,33.94,34.01,33.44,33.46,8840151,ABT,37.99443333333323
26,2013-03-19,33.515,33.74,33.27,33.54,7540527,ABT,38.26383333333328
30,2013-03-25,33.76,34.08,33.57,33.8,7022156,ABT,36.632666666666566
34,2013-04-01,35.18,35.31,34.95,35.31,6029815,ABT,34.517219999999966
38,2013-04-05,36.37,36.55,36.19,36.31,8250136,ABT,35.77128833333338
40,2013-04-09,36.56,36.75,36.4001,36.66,5443615,ABT,37.68082000000015
42,2013-04-11,37.02,37.55,37.0,37.27,6812186,ABT,37.11233111111107
46,2013-04-17,36.84,37.48,36.46,37.28,14361736,ABT,37.045997777777764
50,2013-04-23,37.11,37.34,36.86,37.21,5291519,ABT,36.59055500000008
50,2013-04-23,37.11,37.34,36.86,37.21,5291519,ABT,36.59055500000008
51,2013-04-24,37.27,37.35,36.39,36.52,5434101,ABT,38.10321547619049
53,2013-04-26,36.36,36.7,36.25,36.46,6131987,ABT,36.69848944444454
54,2013-04-29,36.49,36.79,36.4,36.73,3111731,ABT,38.83456666666691
58,2013-05-03,37.25,37.25,36.61,36.8,5364335,ABT,34.10503333333336
59,2013-05-06,36.75,36.78,35.8,35.85,8603284,ABT,37.32882023809514
60,2013-05-07,35.74,36.08,35.58,36.06,8347699,ABT,35.55256666666677
61,2013-05-08,36.01,36.29,35.88,36.29,6767387,ABT,38.350899523809495
63,2013-05-10,36.25,36.41,35.96,36.17,6667104,ABT,35.981550000000034
70,2013-05-21,37.85,38.0,37.57,37.72,6987371,ABT,42.020300000000084
70,2013-05-21,37.85,38.0,37.57,37.72,6987371,ABT,42.020300000000084
70,2013-05-21,37.85,38.0,37.57,37.72,6987371,ABT,42.020300000000084
71,2013-05-22,37.76,38.77,37.6043,37.72,9983014,ABT,42.020300000000084
71,2013-05-22,37.76,38.77,37.6043,37.72,9983014,ABT,42.020300000000084
71,2013-05-22,37.76,38.77,37.6043,37.72,9983014,ABT,42.020300000000084
74,2013-05-28,37.98,38.64,37.951,38.56,8425009,ABT,39.14100928571426
75,2013-05-29,38.26,38.46,37.33,37.72,8678424,ABT,42.020300000000084
75,2013-05-29,38.26,38.46,37.33,37.72,8678424,ABT,42.020300000000084
75,2013-05-29,38.26,38.46,37.33,37.72,8678424,ABT,42.020300000000084
78,2013-06-03,36.63,37.18,36.13,37.16,10556110,ABT,36.055933333333385
79,2013-06-04,37.06,37.21,36.525,36.8,6066365,ABT,34.10503333333336
83,2013-06-10,37.47,37.58,37.09,37.49,5030038,ABT,39.06562333333334
94,2013-06-25,35.28,35.38,34.87,35.11,6007880,ABT,36.6215916666667
95,2013-06-26,35.41,35.79,35.14,35.6,6877769,ABT,36.22359999999997
97,2013-06-28,35.3,35.82,34.87,34.88,20378218,ABT,37.35037202380957
97,2013-06-28,35.3,35.82,34.87,34.88,20378218,ABT,37.35037202380957
98,2013-07-01,34.97,35.47,34.9,35.03,6347902,ABT,37.20506476190486
