,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,38.9,39.15,38.67,38.81,2490936,ADBE,44.46557333333323
4,2013-02-14,38.7,38.92,38.301,38.61,4929645,ADBE,43.615400000000086
9,2013-02-22,38.54,38.87,38.37,38.55,2835481,ADBE,43.612733333333416
13,2013-02-28,39.54,39.935,39.29,39.31,3637596,ADBE,44.86846666666687
17,2013-03-06,41.47,41.77,41.13,41.29,2835525,ADBE,43.541408333333266
20,2013-03-11,41.12,41.54,40.96,41.48,4632354,ADBE,43.47992690476192
23,2013-03-14,41.82,41.93,41.44,41.62,2762856,ADBE,44.027923571428694
24,2013-03-15,41.45,41.79,41.32,41.38,5424159,ADBE,43.544041666666594
25,2013-03-18,41.08,41.48,40.21,41.06,3311229,ADBE,43.53420833333326
26,2013-03-19,41.1,41.37,40.49,40.75,4715656,ADBE,42.990491666666784
34,2013-04-01,43.36,43.78,43.23,43.38,3397904,ADBE,47.765566666666786
34,2013-04-01,43.36,43.78,43.23,43.38,3397904,ADBE,47.765566666666786
38,2013-04-05,43.42,43.86,43.21,43.38,4307719,ADBE,47.765566666666786
38,2013-04-05,43.42,43.86,43.21,43.38,4307719,ADBE,47.765566666666786
40,2013-04-09,43.71,44.26,43.34,44.17,2529305,ADBE,45.86556666666657
42,2013-04-11,45.04,45.53,44.8,45.21,5896264,ADBE,48.467579444444375
46,2013-04-17,44.86,45.17,44.51,44.9,3421158,ADBE,48.050833333333266
51,2013-04-24,44.91,45.05,44.52,44.67,2223455,ADBE,47.17178333333327
53,2013-04-26,44.84,45.18,44.78,44.91,2300068,ADBE,48.077605555555486
54,2013-04-29,44.89,45.59,44.82,45.06,3553107,ADBE,51.63868388888891
58,2013-05-03,46.0,47.17,45.82,47.01,4226406,ADBE,56.04577999999988
60,2013-05-07,46.46,46.68,45.29,45.602,6862931,ADBE,55.633366666666504
61,2013-05-08,45.51,45.64,45.1601,45.32,3318807,ADBE,50.34186666666658
63,2013-05-10,44.12,44.2,43.75,44.02,4571120,ADBE,47.301600000000015
63,2013-05-10,44.12,44.2,43.75,44.02,4571120,ADBE,47.301600000000015
70,2013-05-21,44.21,44.48,43.89,44.02,1828187,ADBE,47.301600000000015
