,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,261.53,269.96,260.3,269.47,5292996,AMZN,283.04043333333374
4,2013-02-14,267.37,270.65,265.4,269.24,3462780,AMZN,289.000453333334
9,2013-02-22,266.62,267.11,261.61,265.42,3123402,AMZN,274.6322000000005
13,2013-02-28,261.81,267.0,260.63,264.27,2667199,AMZN,295.8151000000014
14,2013-03-01,263.27,266.6,261.04,265.74,2956724,AMZN,270.68769999999995
17,2013-03-06,275.76,276.489,271.832,273.79,2050452,AMZN,277.90100000000024
20,2013-03-11,273.43,273.99,270.4,271.24,1904465,AMZN,299.31480666666715
23,2013-03-14,269.67,270.0,263.53,265.74,5226150,AMZN,270.68769999999995
24,2013-03-15,264.98,267.26,260.05,261.82,4865572,AMZN,283.49296666666737
25,2013-03-18,259.3,261.49,257.12,257.89,2719833,AMZN,277.3538999999997
26,2013-03-19,258.4,259.5,252.62,256.41,3738396,AMZN,283.1827666666681
34,2013-04-01,266.98,267.4,261.01,261.61,2524725,AMZN,284.6205666666658
38,2013-04-05,255.72,256.18,253.67,255.48,2557357,AMZN,294.26030000000105
40,2013-04-09,258.85,262.61,257.0,261.14,2156507,AMZN,284.6205666666658
42,2013-04-11,264.74,270.97,264.74,269.85,3090466,AMZN,287.1690333333336
46,2013-04-17,270.8,270.85,264.25,267.4,3135091,AMZN,285.3639666666675
51,2013-04-24,269.5,271.47,266.81,268.78,1851390,AMZN,296.8613666666674
53,2013-04-26,269.97,272.02,252.81,254.81,14029220,AMZN,298.3438000000006
54,2013-04-29,254.9,257.01,249.15,249.74,7110750,AMZN,306.76876666666624
58,2013-05-03,256.14,259.25,254.7,258.05,3513934,AMZN,275.5213000000002
60,2013-05-07,256.31,259.74,252.9101,257.73,3133399,AMZN,277.3538999999997
61,2013-05-08,256.87,260.295,255.334,258.68,2676986,AMZN,267.8679666666682
63,2013-05-10,260.88,263.65,260.21,263.63,3144719,AMZN,297.27966666666805
70,2013-05-21,268.74,270.77,267.66,268.86,1740956,AMZN,296.4287666666673
71,2013-05-22,267.39,267.59,260.8,262.96,3331960,AMZN,269.33100000000144
75,2013-05-29,265.46,268.25,264.844,265.53,1903390,AMZN,276.96286666666737
83,2013-06-10,276.68,282.47,275.24,281.07,3084405,AMZN,358.15623333333457
94,2013-06-25,272.3,273.47,269.0,272.088,2449510,AMZN,297.55898000000155
95,2013-06-26,273.98,277.98,273.5001,277.57,3029016,AMZN,306.9403666666673
97,2013-06-28,276.19,279.83,276.19,277.69,3193262,AMZN,306.9403666666673
98,2013-07-01,279.0,283.29,277.16,282.1,2888140,AMZN,320.84120000000024
99,2013-07-02,281.04,286.58,280.59,283.73,3238108,AMZN,326.24913999999876
101,2013-07-05,285.0,286.3799,282.07,285.88,1985323,AMZN,362.1620666666675
108,2013-07-16,307.3,309.39,305.5119,306.87,2660120,AMZN,356.4551666666673
109,2013-07-17,306.97,308.8,305.69,308.69,2029681,AMZN,328.1498333333338
110,2013-07-18,306.27,306.3408,301.87,304.11,3060805,AMZN,345.18843333333297
113,2013-07-23,303.16,305.06,300.56,301.06,1999344,AMZN,353.0270499999997
123,2013-08-06,300.51,301.36,297.52,300.75,1848951,AMZN,366.69233333333307
125,2013-08-08,298.52,298.52,292.5501,295.74,2343430,AMZN,372.6122333333351
128,2013-08-13,295.88,296.37,290.67,293.97,2349902,AMZN,371.7455999999994
130,2013-08-15,288.79,289.3,285.15,286.47,2261393,AMZN,363.9714266666681
132,2013-08-19,285.19,289.56,283.48,285.57,2477429,AMZN,362.1620666666675
134,2013-08-21,285.09,288.5,283.83,284.57,1815346,AMZN,345.3533266666652
140,2013-08-29,281.45,285.98,280.0,283.98,1566414,AMZN,326.1430066666655
141,2013-08-30,284.59,284.87,280.0,280.98,1534706,AMZN,358.04710000000125
146,2013-09-09,297.22,299.96,296.6,299.71,1643573,AMZN,340.8583666666656
151,2013-09-16,299.82,301.0,295.26,296.06,1818071,AMZN,378.78430000000185
153,2013-09-18,304.06,312.74,302.91,312.034,2946338,AMZN,361.6339088888901
164,2013-10-03,320.39,322.92,313.02,314.76,2674841,AMZN,299.9729333333337
166,2013-10-07,315.24,315.3399,309.74,310.03,2084585,AMZN,342.23069999999825
168,2013-10-09,303.42,303.4978,296.5025,298.23,3247549,AMZN,377.01191666666506
170,2013-10-11,304.77,310.93,303.84,310.889,2163093,AMZN,385.02506666666477
171,2013-10-14,309.22,311.645,307.0,310.7,1939092,AMZN,392.80276666666464
172,2013-10-15,309.87,310.79,305.26,306.4,2261554,AMZN,325.36496666666784
179,2013-10-24,329.63,332.6499,326.75,332.21,5884655,AMZN,355.8010999999991
186,2013-11-04,360.12,361.0,354.4,358.74,1940496,AMZN,306.97853333333313
