,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,36.49,36.53,36.03,36.12,11953431,BMY,45.957166666666495
4,2013-02-14,36.06,36.7,36.04,36.58,7408473,BMY,43.406487142857195
5,2013-02-15,36.69,36.83,36.48,36.58,7042218,BMY,43.406487142857195
9,2013-02-22,36.71,36.97,36.71,36.9,5027741,BMY,41.63378333333348
13,2013-02-28,37.07,37.15,36.75,36.97,9328804,BMY,44.40701746031761
17,2013-03-06,37.61,37.85,37.49,37.76,7229606,BMY,46.2919000000001
20,2013-03-11,37.29,37.66,37.26,37.52,6715191,BMY,46.603483333333315
23,2013-03-14,38.5,38.61,38.13,38.48,12371833,BMY,47.17040000000021
24,2013-03-15,38.47,38.98,38.26,38.96,13220684,BMY,47.08796666666685
25,2013-03-18,38.44,39.13,38.41,38.88,9022814,BMY,47.08796666666685
26,2013-03-19,38.935,39.41,38.85,39.34,9644108,BMY,45.33976666666663
34,2013-04-01,41.12,41.36,40.93,41.14,6613467,BMY,44.460290000000114
38,2013-04-05,40.22,40.76,40.05,40.61,6491957,BMY,44.69039166666669
40,2013-04-09,40.7,41.0,40.67,40.83,8661257,BMY,44.727568333333274
42,2013-04-11,41.27,41.455,41.06,41.3,6928514,BMY,45.55866444444444
46,2013-04-17,40.88,41.11,40.53,40.81,8612596,BMY,44.727568333333274
51,2013-04-24,42.26,42.28,41.39,41.45,6816737,BMY,48.22201666666688
53,2013-04-29,40.13,40.28,39.81,39.91,6719881,BMY,45.69376666666681
54,2013-04-30,39.83,39.83,39.18,39.72,11858215,BMY,44.42033333333345
55,2013-05-01,39.47,39.83,39.18,39.72,9960171,BMY,44.42033333333345
58,2013-05-06,40.12,40.16,39.85,40.02,5827165,BMY,43.99413333333341
59,2013-05-07,40.18,40.2,39.65,40.02,8143393,BMY,43.99413333333341
60,2013-05-08,40.06,40.19,39.56,39.68,7668268,BMY,45.32106666666662
61,2013-05-09,39.71,40.0,39.32,39.93,7654539,BMY,45.69376666666681
63,2013-05-13,40.4,40.96,40.26,40.94,7301069,BMY,45.02828666666654
70,2013-05-22,44.84,47.48,44.84,46.4,25343262,BMY,45.299500000000215
71,2013-05-23,46.18,47.22,45.87,47.0,11910573,BMY,45.9577299999999
73,2013-05-28,47.63,48.83,47.45,47.68,15042452,BMY,45.730449999999976
75,2013-05-30,46.98,47.83,46.83,47.02,9857608,BMY,45.9577299999999
75,2013-05-30,46.98,47.83,46.83,47.02,9857608,BMY,45.9577299999999
80,2013-06-06,46.38,47.29,45.92,47.0,12445848,BMY,45.9577299999999
83,2013-06-12,47.59,47.93,46.56,46.57,8841540,BMY,52.4932666666668
94,2013-06-27,46.57,46.85,46.17,46.3,5902089,BMY,52.18190000000017
95,2013-06-28,46.01,46.53,44.68,44.69,16341705,BMY,48.2561666666667
97,2013-07-02,44.42,44.9,43.87,43.99,10522699,BMY,48.07444444444464
98,2013-07-03,43.95,43.95,42.96,43.32,7266494,BMY,49.801417777777836
99,2013-07-05,43.74,44.2501,43.41,44.18,5466739,BMY,51.06353333333321
101,2013-07-09,44.28,44.685,44.14,44.54,6100908,BMY,47.26740000000005
108,2013-07-18,44.62,44.64,43.845,43.95,8159534,BMY,47.8717222222222
109,2013-07-19,43.99,44.34,43.53,44.19,9122642,BMY,49.6224666666668
110,2013-07-22,44.26,45.0,44.14,45.0,7308474,BMY,46.795999999999886
113,2013-07-25,43.83,45.45,43.5,43.93,13012729,BMY,47.81891666666665
118,2013-08-01,43.7,44.23,43.46,43.99,7702997,BMY,48.07444444444464
123,2013-08-08,44.02,44.19,43.39,44.0,5931461,BMY,48.07444444444464
125,2013-08-12,43.39,43.45,43.01,43.11,6177653,BMY,49.470055555555675
128,2013-08-15,42.56,42.62,41.71,41.98,7261505,BMY,46.842066666666774
130,2013-08-19,41.49,42.23,41.46,41.95,6968497,BMY,46.754600000000025
132,2013-08-21,41.5,41.72,41.22,41.32,6792964,BMY,45.84855611111127
134,2013-08-23,41.76,42.34,41.67,42.24,6673939,BMY,45.74188666666668
140,2013-09-03,42.01,42.12,41.5475,41.72,5043668,BMY,51.55224666666651
141,2013-09-04,41.75,42.0,41.56,41.99,6946541,BMY,50.37806666666684
142,2013-09-05,41.92,41.92,41.32,41.72,6303869,BMY,51.55224666666651
