,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,115.43,115.84,114.914,115.53,4110925,CVX,122.95322222222285
4,2013-02-14,115.16,116.26,115.065,115.71,5226317,CVX,116.45830444444412
9,2013-02-22,115.51,116.23,114.82,115.96,5207526,CVX,108.59722666666637
9,2013-02-22,115.51,116.23,114.82,115.96,5207526,CVX,108.59722666666637
13,2013-02-28,116.57,117.89,116.35,117.15,5957734,CVX,109.82566666666673
17,2013-03-06,118.3,118.78,118.03,118.47,5362377,CVX,115.2377299999997
20,2013-03-11,118.63,118.8,118.1,118.73,4528418,CVX,125.1938047222221
21,2013-03-12,118.88,119.3,118.16,118.25,4625682,CVX,117.9731666666667
23,2013-03-14,118.73,120.26,118.6,120.0,7476841,CVX,114.11633333333288
24,2013-03-15,119.59,119.92,118.91,119.68,10223474,CVX,119.00040000000006
25,2013-03-18,118.78,119.9,118.7,119.13,4828671,CVX,127.69603277777767
26,2013-03-19,119.39,119.81,118.65,119.46,5244192,CVX,120.0891666666666
34,2013-04-01,118.99,119.86,118.76,119.61,4324310,CVX,119.210033333333
38,2013-04-05,116.64,117.645,116.17,117.52,5030210,CVX,122.72353333333315
40,2013-04-09,117.99,118.87,117.63,118.64,4850425,CVX,130.23046666666633
42,2013-04-11,119.96,121.15,119.52,120.95,6092289,CVX,117.42766666666702
46,2013-04-17,116.4,116.4,114.12,114.81,8291195,CVX,121.91137952380944
51,2013-04-24,118.04,118.68,117.98,118.28,4558995,CVX,119.92804666666677
53,2013-04-26,119.0,120.41,118.68,120.04,6012549,CVX,112.89249999999956
54,2013-04-29,120.44,121.6,120.04,121.32,5159181,CVX,123.80240000000003
58,2013-05-03,122.69,123.91,122.46,123.49,6384394,CVX,121.67746666666618
58,2013-05-03,122.69,123.91,122.46,123.49,6384394,CVX,121.67746666666618
60,2013-05-07,123.35,123.72,122.54,123.04,4412731,CVX,122.1596099206349
61,2013-05-08,122.98,123.6,122.85,123.36,4479755,CVX,123.55956666666684
63,2013-05-10,123.38,123.71,122.115,123.23,10581824,CVX,118.1244666666668
70,2013-05-21,124.84,126.2,124.7504,125.94,6700345,CVX,120.04529999999998
71,2013-05-22,125.91,126.98,124.6,124.93,9350983,CVX,119.506466666667
75,2013-05-29,126.07,126.73,124.81,125.49,6422169,CVX,124.88754460317463
83,2013-06-10,122.94,122.98,121.8,122.69,5585597,CVX,112.13019999999963
94,2013-06-25,117.75,117.8675,116.916,117.45,5984762,CVX,125.0608333333332
95,2013-06-26,118.34,118.54,117.0,118.15,4820679,CVX,129.29286666666673
95,2013-06-26,118.34,118.54,117.0,118.15,4820679,CVX,129.29286666666673
97,2013-06-28,118.79,119.56,118.14,118.34,6506517,CVX,121.17844666666682
98,2013-07-01,118.35,120.01,118.0,119.08,5053222,CVX,124.76020499999981
99,2013-07-02,119.09,120.33,118.59,119.15,4912060,CVX,125.80771305555538
100,2013-07-03,119.12,119.3,118.61,119.08,3041951,CVX,124.76020499999981
101,2013-07-05,119.69,120.86,119.1,120.51,4387824,CVX,123.098353333333
108,2013-07-16,124.71,125.24,123.55,124.12,4003750,CVX,115.85845794973545
109,2013-07-17,124.65,125.0038,124.29,124.35,3636723,CVX,120.80466666666655
110,2013-07-18,124.68,125.65,124.644,125.47,4323983,CVX,119.50637111111166
113,2013-07-23,127.07,127.65,126.7,127.26,3763303,CVX,122.3778000000002
123,2013-08-06,123.97,124.16,123.01,123.14,4677656,CVX,123.94085388888864
125,2013-08-08,123.88,124.21,121.91,123.07,5639181,CVX,122.20157658730156
126,2013-08-09,123.12,123.12,121.68,122.5,5739368,CVX,121.48862999999969
128,2013-08-13,121.93,123.23,121.4,122.5,4461029,CVX,121.48862999999969
130,2013-08-15,120.68,121.005,120.0,120.25,4247808,CVX,123.75066111111099
132,2013-08-19,119.69,119.9999,118.52,118.66,4308928,CVX,130.38433333333305
134,2013-08-21,118.38,118.5,117.22,117.7,5650157,CVX,112.11069999999995
140,2013-08-29,121.15,121.5613,120.06,120.37,5488800,CVX,121.48843333333389
141,2013-08-30,120.52,120.8841,120.07,120.43,4696073,CVX,123.01603333333364
142,2013-09-03,121.34,121.48,120.0,120.55,4154285,CVX,121.6442399999997
146,2013-09-09,121.21,122.47,121.21,122.22,4482018,CVX,124.7381333333332
151,2013-09-16,124.98,125.19,123.98,124.08,4285618,CVX,119.68254166666702
153,2013-09-18,124.36,126.43,123.82,125.82,6296897,CVX,120.10400000000011
159,2013-09-26,124.1,124.44,123.02,123.49,5022701,CVX,121.67746666666618
159,2013-09-26,124.1,124.44,123.02,123.49,5022701,CVX,121.67746666666618
162,2013-10-01,121.27,121.74,120.84,121.32,4702265,CVX,123.80240000000003
164,2013-10-03,120.62,120.6575,117.9333,118.25,10206049,CVX,117.9731666666667
166,2013-10-07,117.43,118.5,117.21,117.87,5677372,CVX,107.76980499999966
168,2013-10-09,116.55,116.8,115.318,116.13,8861950,CVX,108.77309999999963
170,2013-10-11,116.57,117.71,115.93,117.67,6535790,CVX,110.49046396825402
170,2013-10-11,116.57,117.71,115.93,117.67,6535790,CVX,110.49046396825402
171,2013-10-14,117.33,118.75,116.32,118.58,4789343,CVX,122.29519999999945
171,2013-10-14,117.33,118.75,116.32,118.58,4789343,CVX,122.29519999999945
171,2013-10-14,117.33,118.75,116.32,118.58,4789343,CVX,122.29519999999945
172,2013-10-15,118.56,119.07,117.77,118.15,6414735,CVX,129.29286666666673
172,2013-10-15,118.56,119.07,117.77,118.15,6414735,CVX,129.29286666666673
179,2013-10-24,120.67,121.0,119.9118,120.56,4188934,CVX,121.6442399999997
179,2013-10-24,120.67,121.0,119.9118,120.56,4188934,CVX,121.6442399999997
186,2013-11-04,118.59,118.6,117.32,118.1,6658608,CVX,112.32266666666692
189,2013-11-07,121.6,121.88,119.42,119.91,10131280,CVX,116.81350000000025
192,2013-11-12,121.03,121.25,119.625,120.0,6914166,CVX,114.11633333333288
196,2013-11-18,120.705,120.89,120.07,120.56,4788683,CVX,121.6442399999997
196,2013-11-18,120.705,120.89,120.07,120.56,4788683,CVX,121.6442399999997
199,2013-11-21,122.36,123.6,122.36,123.46,4885180,CVX,122.3605666666663
204,2013-11-29,122.83,123.304,122.0,122.44,3721043,CVX,117.97423222222183
205,2013-12-02,122.87,123.06,122.05,122.34,5384437,CVX,126.17808666666664
206,2013-12-03,122.31,122.9,121.8675,122.52,5411762,CVX,117.60682777777755
207,2013-12-04,122.1,122.83,121.19,121.77,4392118,CVX,120.52590000000004
215,2013-12-16,120.46,120.7,119.81,120.22,7306898,CVX,116.6075999999997
216,2013-12-17,120.12,120.23,118.25,118.74,6829683,CVX,122.35200472222209
220,2013-12-23,123.41,123.59,122.63,122.8,4062871,CVX,123.27977999999986
222,2013-12-26,123.6,124.99,123.55,124.81,3415856,CVX,108.43485666666685
224,2013-12-30,124.79,125.21,123.9,124.23,4688452,CVX,118.71809666666658
227,2014-01-03,124.6,124.89,123.86,124.35,3506119,CVX,120.80466666666655
228,2014-01-06,124.59,124.8,123.52,124.02,4254928,CVX,118.054655555556
230,2014-01-08,124.44,124.46,122.75,123.29,8286511,CVX,119.88246666666666
231,2014-01-09,123.42,123.42,122.02,123.29,5646335,CVX,119.88246666666666
239,2014-01-22,120.51,120.76,119.97,120.43,4977592,CVX,123.01603333333364
244,2014-01-29,116.14,116.89,115.71,116.0,5524394,CVX,108.59722666666637
252,2014-02-10,112.47,112.47,111.08,111.69,9251748,CVX,106.76823333333375
253,2014-02-11,112.03,113.87,111.95,113.58,6880829,CVX,112.28768809523844
259,2014-02-20,113.51,115.33,113.1,114.6,8408726,CVX,116.40131055555551
262,2014-02-25,114.37,115.435,114.24,114.97,5976339,CVX,119.35899797619064
263,2014-02-26,114.82,115.86,114.4,115.51,6114023,CVX,122.76352222222285
264,2014-02-27,115.66,115.82,114.56,115.69,4923905,CVX,123.43350444444444
270,2014-03-07,115.07,115.95,114.64,115.08,5055612,CVX,109.88029999999992
271,2014-03-10,115.45,115.94,114.12,115.84,6203531,CVX,123.59544166666616
278,2014-03-19,115.88,116.74,114.66,115.2,5569641,CVX,116.17631666666699
279,2014-03-20,114.85,116.08,114.3207,115.51,5280578,CVX,122.76352222222285
280,2014-03-21,116.29,118.0,115.58,115.63,14894127,CVX,123.00710888888932
283,2014-03-26,117.8,118.28,117.36,117.71,5972009,CVX,119.71276666666704
284,2014-03-27,117.75,117.99,116.83,117.67,5224576,CVX,110.49046396825402
284,2014-03-27,117.75,117.99,116.83,117.67,5224576,CVX,110.49046396825402
285,2014-03-28,118.13,118.55,117.7,118.5,5875099,CVX,126.86027444444431
289,2014-04-03,119.78,119.79,118.885,119.04,4448768,CVX,124.44714825396824
305,2014-04-28,124.26,126.06,124.25,125.73,7687848,CVX,118.3187388888891
306,2014-04-29,125.92,127.27,125.76,125.97,6666828,CVX,120.25943333333332
308,2014-05-01,125.66,125.76,124.28,124.94,6380335,CVX,117.41126666666683
316,2014-05-13,125.57,125.99,124.97,125.85,4415213,CVX,120.28890000000021
318,2014-05-15,125.17,125.5,123.55,123.81,5942941,CVX,114.02393333333333
321,2014-05-20,122.95,123.1,122.24,122.5,4044716,CVX,121.48862999999969
325,2014-05-27,123.76,123.99,122.75,122.84,4287468,CVX,123.2942200000005
326,2014-05-28,122.9,123.31,122.52,122.52,4705743,CVX,117.60682777777755
334,2014-06-09,124.01,124.643,123.88,124.37,3660777,CVX,120.79789999999986
336,2014-06-11,125.13,125.47,124.62,125.18,4570851,CVX,115.87013333333276
338,2014-06-13,125.94,127.26,125.9,127.26,5578790,CVX,122.3778000000002
339,2014-06-16,127.15,128.805,127.14,128.54,7074254,CVX,117.93803333333344
344,2014-06-23,132.52,133.57,132.42,132.98,11010250,CVX,114.07673333333337
350,2014-07-01,130.94,131.42,130.4599,130.54,4001310,CVX,120.9470000000004
351,2014-07-02,130.53,130.92,129.99,130.23,5137137,CVX,119.02846666666623
355,2014-07-09,130.27,131.69,129.99,131.39,5203960,CVX,123.55763333333319
361,2014-07-17,130.64,131.5,129.88,130.08,4961188,CVX,118.21789999999967
363,2014-07-21,130.11,131.34,130.01,131.29,3719336,CVX,123.35813333333321
367,2014-07-25,134.58,134.61,133.06,133.57,3706926,CVX,112.16620000000034
372,2014-08-01,127.76,128.96,126.36,127.9,7377853,CVX,116.17959388888875
374,2014-08-05,127.81,127.81,124.58,124.96,8072084,CVX,111.01170000000027
375,2014-08-06,124.9,126.97,124.8,125.73,5137980,CVX,118.3187388888891
379,2014-08-12,127.14,127.28,126.26,127.09,4944155,CVX,116.88353333333342
385,2014-08-20,127.25,127.6,126.78,127.49,3230292,CVX,117.34736666666703
396,2014-09-05,127.15,127.44,126.16,127.4,5038730,CVX,122.59906666666694
398,2014-09-09,124.49,125.79,124.26,125.18,6729901,CVX,115.87013333333276
399,2014-09-10,124.46,124.7399,123.01,124.28,10949804,CVX,127.02468000000037
403,2014-09-16,124.06,125.68,123.61,124.96,6592111,CVX,111.01170000000027
407,2014-09-22,124.6,124.92,123.47,123.49,5850510,CVX,121.67746666666618
407,2014-09-22,124.6,124.92,123.47,123.49,5850510,CVX,121.67746666666618
408,2014-09-23,123.53,123.9799,122.86,123.06,5620724,CVX,122.21854325396824
409,2014-09-24,123.07,123.07,120.85,122.4,8009122,CVX,120.04510888888869
412,2014-09-29,120.72,120.74,119.14,120.55,6794683,CVX,121.6442399999997
415,2014-10-02,117.39,117.8999,116.13,117.11,8171219,CVX,113.95300833333351
416,2014-10-03,118.16,118.16,116.4,117.71,6298350,CVX,119.71276666666704
418,2014-10-07,117.47,118.43,116.0,116.02,7309332,CVX,108.59722666666637
426,2014-10-17,111.78,112.74,110.73,111.8,10897892,CVX,114.11159999999974
451,2014-11-21,118.79,118.91,117.73,118.58,7361563,CVX,122.29519999999945
451,2014-11-21,118.79,118.91,117.73,118.58,7361563,CVX,122.29519999999945
451,2014-11-21,118.79,118.91,117.73,118.58,7361563,CVX,122.29519999999945
452,2014-11-24,118.13,118.58,117.15,117.59,5807601,CVX,119.97765591269841
455,2014-11-28,111.59,111.69,108.43,108.87,11935566,CVX,105.36446666666686
456,2014-12-01,109.38,112.49,108.68,111.73,13400104,CVX,107.14863333333358
457,2014-12-02,111.27,114.56,110.893,114.02,8548700,CVX,108.74576666666673
459,2014-12-04,113.08,113.08,111.01,112.28,8242715,CVX,107.4075222222223
473,2014-12-24,113.66,114.1382,112.07,113.47,4538653,CVX,125.9136649999996
474,2014-12-26,113.93,114.3499,112.8151,113.25,4380437,CVX,110.74486000000014
474,2014-12-26,113.93,114.3499,112.8151,113.25,4380437,CVX,110.74486000000014
478,2015-01-02,111.63,113.0,110.85,112.58,5907276,CVX,121.43669999999982
482,2015-01-08,109.19,110.44,108.6,110.41,8650761,CVX,108.60904666666694
484,2015-01-12,107.47,107.47,105.56,105.88,8912332,CVX,104.59028798941816
489,2015-01-20,104.56,106.58,103.81,106.47,10406775,CVX,114.0094983333333
492,2015-01-23,108.22,108.75,106.73,106.85,7984439,CVX,111.1176804040401
493,2015-01-26,107.22,109.35,106.32,108.88,7670519,CVX,105.28166666666687
498,2015-02-02,103.98,106.13,102.97,106.06,11537611,CVX,102.66063333333362
500,2015-02-04,108.49,109.28,107.392,108.35,10176015,CVX,110.74175547619059
503,2015-02-09,109.84,111.5,109.65,110.43,6402999,CVX,108.60904666666694
506,2015-02-12,110.28,111.05,109.82,110.86,6618029,CVX,110.63869492063462
507,2015-02-13,111.35,112.84,111.1,112.78,7494358,CVX,123.1126666666661
508,2015-02-17,112.31,112.93,111.52,112.4,7097331,CVX,120.19450000000029
509,2015-02-18,111.25,111.65,110.37,110.44,6920274,CVX,108.5609133333336
510,2015-02-19,108.2,109.58,107.24,108.35,9721100,CVX,110.74175547619059
511,2015-02-20,108.43,108.87,107.5,108.6,7610626,CVX,106.85836666666708
518,2015-03-03,105.88,106.215,104.8097,105.16,6901215,CVX,105.54946111111099
519,2015-03-04,105.64,105.64,104.44,105.16,5784901,CVX,105.54946111111099
525,2015-03-12,104.22,104.51,102.3,102.42,5900575,CVX,111.99451666666641
530,2015-03-19,105.1,105.4,104.65,104.75,7841872,CVX,109.56830000000053
531,2015-03-20,105.29,107.26,105.11,107.03,14064856,CVX,103.85026666666651
534,2015-03-25,104.66,106.195,104.33,105.67,9169445,CVX,103.47191428571452
540,2015-04-02,104.45,105.6799,104.08,105.28,5123901,CVX,94.94176611111128
