,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,55.08,55.3,54.665,54.96,5701775,DIS,66.4664666666665
4,2013-02-14,54.92,55.17,54.71,54.88,8564486,DIS,66.44213333333316
9,2013-02-22,54.39,54.58,53.93,54.25,7604629,DIS,66.18210000000005
13,2013-02-28,54.54,55.04,54.39,54.59,6605615,DIS,66.2711999999999
17,2013-03-06,56.53,56.84,56.25,56.36,5572562,DIS,63.8980333333331
20,2013-03-11,57.39,57.75,57.34,57.66,7155409,DIS,63.32049999999986
23,2013-03-14,57.35,57.82,57.27,57.75,5915351,DIS,63.32049999999986
24,2013-03-15,57.5,57.78,57.34,57.58,13796440,DIS,63.32049999999986
25,2013-03-18,57.08,57.19,56.75,56.83,5125876,DIS,63.12940000000003
26,2013-03-19,56.83,57.05,55.76,56.31,8883930,DIS,64.20369999999997
28,2013-03-21,56.74,56.85,56.16,56.31,5168737,DIS,64.20369999999997
34,2013-04-01,56.89,57.14,56.15,56.69,6728034,DIS,62.89056666666654
38,2013-04-05,56.89,57.73,56.37,57.7,7042202,DIS,63.32049999999986
40,2013-04-09,58.72,59.24,58.52,59.14,8864758,DIS,64.53929999999991
42,2013-04-11,60.11,60.67,60.02,60.55,9241626,DIS,66.21686666666653
43,2013-04-12,60.29,60.73,60.27,60.55,8533853,DIS,66.21686666666653
46,2013-04-17,60.35,60.685,60.02,60.68,11531693,DIS,68.3315666666665
51,2013-04-24,62.71,62.9,61.59,61.94,7335400,DIS,67.2726333333333
53,2013-04-26,62.06,62.285,61.55,61.87,7038566,DIS,68.0845666666666
54,2013-04-29,62.82,63.25,62.59,63.0,7205960,DIS,61.47059999999987
56,2013-05-01,62.88,63.5006,62.8,63.21,7468820,DIS,63.490933333333196
58,2013-05-03,64.1801,64.85,63.875,64.8,9196237,DIS,70.87416666666672
60,2013-05-07,65.44,66.09,64.77,66.07,14407218,DIS,67.21133333333304
61,2013-05-08,66.0,66.0,64.56,65.99,17802902,DIS,67.40893333333314
63,2013-05-10,66.69,67.43,66.34,67.2,8653958,DIS,71.49540126984124
70,2013-05-21,66.35,66.4,65.71,65.83,7359058,DIS,67.59910000000008
71,2013-05-22,65.76,66.7101,65.265,65.57,8144063,DIS,73.05415222222223
75,2013-05-29,66.37,66.48,65.74,66.26,6954404,DIS,71.18756666666685
83,2013-06-10,64.91,64.97,63.7,63.83,6729481,DIS,61.8309931481481
94,2013-06-25,62.88,63.1,62.5,62.57,6777687,DIS,66.36536666666657
95,2013-06-26,62.95,63.46,62.75,63.21,5721661,DIS,63.490933333333196
