,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,390.4551,393.0677,390.375,391.8214,2393946,GOOGL,440.3141446666663
4,2013-02-14,390.2549,394.7644,389.2739,394.3039,3466971,GOOGL,449.99764599999986
9,2013-02-22,400.0296,401.0256,397.2969,400.2549,4103315,GOOGL,446.97488733333324
13,2013-02-28,400.9506,403.8985,400.9155,401.0006,4526218,GOOGL,457.403115333332
17,2013-03-06,420.933,422.422,414.8194,416.1057,5739956,GOOGL,432.242788000002
20,2013-03-11,416.2608,420.2699,416.1658,417.8274,3186118,GOOGL,433.6795170000016
23,2013-03-14,413.9085,413.9085,409.1037,411.1808,3298723,GOOGL,437.9793303333349
24,2013-03-15,409.6592,410.5602,407.0767,407.5582,6191734,GOOGL,438.57486999999975
25,2013-03-18,402.9025,406.7864,401.1357,404.2989,3672831,GOOGL,455.6973666666656
26,2013-03-19,406.0256,410.0346,403.6282,406.0657,4191219,GOOGL,445.60756166666647
34,2013-04-01,397.9025,401.5261,397.0216,400.9956,3610549,GOOGL,457.403115333332
38,2013-04-05,393.423,393.8885,388.5882,391.9165,6860927,GOOGL,439.9337659999996
40,2013-04-09,388.1377,392.2669,386.9416,389.2138,4310166,GOOGL,441.17410366666763
42,2013-04-11,396.8364,396.9466,392.422,395.5902,4053279,GOOGL,447.5247123333323
46,2013-04-17,393.7684,395.8179,389.4391,391.6713,4069487,GOOGL,440.3141446666663
51,2013-04-24,404.4591,409.409,404.404,407.1337,3654448,GOOGL,439.00627299999724
53,2013-04-26,404.2038,404.2739,398.6883,401.1107,4970304,GOOGL,447.3739099999976
54,2013-04-29,402.0266,411.7613,401.9015,409.9395,4595912,GOOGL,440.58970766666823
58,2013-05-03,418.8985,423.8234,418.418,423.2829,5019702,GOOGL,512.8879320000001
60,2013-05-07,431.9365,432.3669,425.7603,429.0436,3914058,GOOGL,480.0577186666667
61,2013-05-08,428.9285,437.3769,426.8815,437.2518,4930476,GOOGL,496.9076076666653
63,2013-05-10,438.0927,440.7103,436.5161,440.5551,3791566,GOOGL,447.283532666669
70,2013-05-21,454.464,456.2858,449.2538,453.9385,3961409,GOOGL,486.0255173333356
71,2013-05-22,451.7313,455.1097,443.8834,445.1547,5116072,GOOGL,544.3698403333344
75,2013-05-29,438.2929,439.434,432.5771,434.5892,4022272,GOOGL,525.5111306666681
83,2013-06-10,441.491,445.9455,440.4851,445.5551,4670835,GOOGL,515.4577233333325
94,2013-06-25,439.0686,440.2798,432.6873,433.5331,5101271,GOOGL,504.14692166666714
95,2013-06-26,437.3119,439.439,435.7203,437.2618,3658997,GOOGL,496.9076076666653
97,2013-06-28,437.8875,441.3609,437.5326,440.6252,4693361,GOOGL,444.19498533333257
98,2013-07-01,443.6682,446.486,442.9425,444.3839,3443061,GOOGL,540.4349910000004
99,2013-07-02,445.5451,445.9455,439.0736,441.5962,3779117,GOOGL,477.48489200000176
101,2013-07-05,445.45,448.1527,444.1137,447.1917,3400260,GOOGL,529.0191579999987
108,2013-07-16,464.0286,464.449,457.4069,460.2638,3961942,GOOGL,436.4229583333326
109,2013-07-17,460.9605,463.8934,458.6082,459.7343,3008727,GOOGL,438.3573686666663
110,2013-07-18,459.9545,460.46,452.0466,455.7953,7211592,GOOGL,443.75788766666676
113,2013-07-23,455.8053,456.9565,450.2348,452.3519,4086567,GOOGL,468.6706073333329
123,2013-08-06,452.7973,455.3094,448.3129,448.7333,3009141,GOOGL,476.64035033333414
125,2013-08-08,448.1927,448.3679,443.0901,446.7763,2973117,GOOGL,528.3367086666656
128,2013-08-13,443.8584,444.6943,438.5381,441.0656,2837087,GOOGL,443.0238306666682
130,2013-08-15,432.6522,432.8925,429.429,430.2598,3737686,GOOGL,437.2075519999977
132,2013-08-19,429.2839,436.436,429.1537,433.2578,3618232,GOOGL,505.72442699999954
134,2013-08-21,435.7603,438.893,433.6832,435.0997,3511155,GOOGL,471.6638559999994
140,2013-08-29,424.9595,430.6202,424.7193,428.1427,2739876,GOOGL,506.8880703333343
141,2013-08-30,428.3079,429.449,423.2028,423.8734,3719495,GOOGL,516.0142546666667
146,2013-09-09,442.3069,445.3199,441.6512,444.471,2466701,GOOGL,542.3962176666671
151,2013-09-16,448.5481,448.9485,442.8774,444.3239,2679542,GOOGL,516.1494886666679
153,2013-09-18,443.6182,452.437,441.9766,452.1117,3866699,GOOGL,503.84261100000276
164,2013-10-03,444.444,447.4971,436.486,438.483,4232991,GOOGL,541.1116540000004
166,2013-10-07,434.1587,437.432,432.4871,433.3029,2585249,GOOGL,505.7763789999995
168,2013-10-09,428.5681,431.7563,421.9115,428.3579,5297349,GOOGL,506.21459733333427
170,2013-10-11,433.448,437.1767,433.0827,436.431,2815009,GOOGL,468.8985833333335
171,2013-10-14,433.7633,438.5631,433.1277,438.4931,2484861,GOOGL,541.1116540000004
172,2013-10-15,438.3179,443.2578,437.437,441.446,3186368,GOOGL,477.83044433333504
179,2013-10-24,516.4509,520.8053,512.9124,513.2878,4182126,GOOGL,575.5498586666657
186,2013-11-04,516.2658,516.7012,511.526,513.5661,2276094,GOOGL,575.4998586666658
189,2013-11-07,511.8163,512.477,504.3238,504.479,3356785,GOOGL,550.019870333333
196,2013-11-18,518.3929,524.8944,515.1358,516.2908,3516981,GOOGL,585.4905759999984
199,2013-11-21,514.0135,519.6742,513.513,517.552,2182811,GOOGL,592.1447153333355
204,2013-11-29,531.6111,533.8433,530.2547,530.3248,2383163,GOOGL,566.7524056666658
205,2013-12-02,532.2868,533.7082,525.9054,527.7672,2747720,GOOGL,568.0776403333349
207,2013-12-04,526.2107,532.522,525.525,529.6191,2381896,GOOGL,593.4841493333306
216,2013-12-17,536.9464,540.9204,534.7242,535.4649,3076757,GOOGL,605.4318946666656
220,2013-12-23,554.4739,558.4578,553.1126,558.1075,3443417,GOOGL,546.7662166666669
222,2013-12-26,557.562,560.0595,554.8993,559.2887,2674340,GOOGL,564.9998766666663
224,2013-12-30,560.7302,560.8102,555.0645,555.2847,2470947,GOOGL,616.4049466666664
228,2014-01-06,557.0615,559.9894,553.7732,559.2187,3538026,GOOGL,556.7779433333328
231,2014-01-09,572.2917,572.6821,563.3428,565.6851,4166963,GOOGL,558.133500000001
244,2014-01-29,560.1196,561.4359,550.2597,554.0135,4818464,GOOGL,652.7797333333325
252,2014-02-10,586.4859,591.7912,585.0945,587.0515,3887391,GOOGL,567.1871999999993
253,2014-02-11,590.6751,596.529,586.6911,595.6851,4101524,GOOGL,558.9244999999986
259,2014-02-20,602.1716,604.0459,600.7101,602.6571,3400388,GOOGL,538.9727666666662
262,2014-02-25,608.578,612.8623,605.8169,610.61,2885475,GOOGL,583.7238333333311
263,2014-02-26,612.612,615.0544,607.4869,610.6951,3963644,GOOGL,583.7238333333311
