,date,open,high,low,close,volume,Name,Predicted
1,2013-02-11,70.42,70.46,69.92,70.09,2322699,HON,78.10761666666647
3,2013-02-13,70.42,70.78,69.89,70.18,2583907,HON,78.75161666666656
4,2013-02-14,70.0,70.3776,69.78,70.09,2883638,HON,78.10761666666647
9,2013-02-22,70.0,70.24,69.54,69.89,3615133,HON,80.24145000000003
13,2013-02-28,70.39,70.8708,70.1,70.1,3685989,HON,78.10761666666647
17,2013-03-06,70.82,71.41,70.8,71.27,3522668,HON,81.30898666666629
20,2013-03-11,73.36,73.935,72.95,73.86,3393193,HON,79.45090000000032
23,2013-03-14,74.18,74.28,73.42,73.81,4592217,HON,78.98836666666688
24,2013-03-15,73.57,73.86,73.33,73.46,5981397,HON,81.03953333333327
25,2013-03-18,72.72,74.27,72.55,73.89,4260347,HON,79.93500000000029
26,2013-03-19,74.07,74.37,73.43,74.03,4256986,HON,81.50136666666658
27,2013-03-20,74.37,74.87,74.37,74.7,3636074,HON,79.5721350000002
34,2013-04-01,75.2,75.28,74.1,74.33,3952290,HON,80.96033333333318
38,2013-04-05,72.69,73.16,72.43,72.98,4332281,HON,81.99236666666658
40,2013-04-09,73.64,73.72,73.18,73.54,2926797,HON,80.78739999999989
42,2013-04-11,74.44,74.86,74.2,74.7,3177842,HON,79.5721350000002
46,2013-04-17,72.74,72.74,71.42,71.89,3962663,HON,79.92283333333297
51,2013-04-24,74.97,75.17,74.63,74.83,3761498,HON,80.30085166666686
53,2013-04-26,74.54,74.68,73.68,73.9,3330846,HON,79.93500000000029
54,2013-04-29,74.02,74.11,73.45,73.8,3001832,HON,78.98836666666688
55,2013-04-30,73.97,73.98,73.0,73.54,2918422,HON,80.78739999999989
58,2013-05-03,74.7101,75.7,74.7101,75.24,3215875,HON,79.82690833333324
60,2013-05-07,76.2,77.05,76.13,76.9,2921351,HON,82.07590000000026
61,2013-05-08,76.7,77.55,76.58,77.48,3018360,HON,81.48776666666653
63,2013-05-10,77.75,78.08,77.23,77.74,2311988,HON,81.26343333333352
70,2013-05-21,80.5,80.874,79.91,80.15,3178336,HON,83.78400000000006
71,2013-05-22,80.16,80.84,79.31,79.59,4136349,HON,84.23269999999965
75,2013-05-29,79.18,79.68,78.54,78.8,3285942,HON,80.79013333333339
79,2013-06-04,78.7,79.23,77.38,77.74,3455353,HON,81.26343333333352
83,2013-06-10,79.24,79.31,78.29,78.68,2351061,HON,83.01813333333365
94,2013-06-25,77.46,77.99,77.17,77.65,2424491,HON,81.2004999999998
95,2013-06-26,78.5,79.865,78.44,79.75,3634666,HON,81.78943333333365
97,2013-06-28,80.0,80.2,79.3,79.34,3479797,HON,82.98276666666679
98,2013-07-01,79.86,81.09,79.86,80.32,2146517,HON,83.89970000000007
99,2013-07-02,79.24,79.839,77.63,77.88,8984251,HON,83.55760000000014
101,2013-07-05,79.04,80.08,79.04,80.06,2102741,HON,83.70980000000009
101,2013-07-05,79.04,80.08,79.04,80.06,2102741,HON,83.70980000000009
