,date,open,high,low,close,volume,Name,Predicted
2,2013-02-12,48.8,49.31,48.6,49.14,16387566,JPM,50.76501666666684
3,2013-02-13,49.35,49.45,48.5,48.68,21635732,JPM,50.3328666666667
3,2013-02-13,49.35,49.45,48.5,48.68,21635732,JPM,50.3328666666667
4,2013-02-14,48.4,49.2899,48.37,49.22,18017634,JPM,53.40038333333332
5,2013-02-15,49.35,49.46,48.57,48.88,20015681,JPM,52.11869166666656
9,2013-02-22,48.63,48.91,48.41,48.91,23583917,JPM,53.9182083333334
13,2013-02-28,49.16,49.55,48.75,48.92,24697669,JPM,53.93147500000007
13,2013-02-28,49.16,49.55,48.75,48.92,24697669,JPM,53.93147500000007
14,2013-03-01,48.6,49.42,48.37,48.91,25923412,JPM,53.9182083333334
17,2013-03-06,49.88,50.19,49.62,50.03,19608589,JPM,54.32006666666695
20,2013-03-11,50.23,50.77,49.91,50.48,19469357,JPM,56.800699999999885
23,2013-03-14,50.25,51.0,50.19,51.0,26328301,JPM,54.1202333333334
24,2013-03-15,49.97,50.29,49.15,50.02,60891100,JPM,54.32006666666695
25,2013-03-18,49.19,49.66,48.95,49.51,28002016,JPM,54.38701666666688
26,2013-03-19,49.65,49.99,48.68,49.2,24365996,JPM,52.79698333333333
34,2013-04-01,47.55,47.99,47.49,47.83,17446998,JPM,52.97366666666644
38,2013-04-05,46.79,48.04,46.75,47.91,22962528,JPM,54.91583333333321
40,2013-04-09,48.74,48.9612,48.46,48.68,19970531,JPM,50.3328666666667
40,2013-04-09,48.74,48.9612,48.46,48.68,19970531,JPM,50.3328666666667
42,2013-04-11,49.21,49.6,48.83,49.31,22553382,JPM,53.20998333333349
46,2013-04-17,48.11,48.18,46.38,46.79,43466672,JPM,53.65673333333315
51,2013-04-24,48.32,48.92,48.16,48.72,16459285,JPM,52.70886666666681
53,2013-04-26,48.86,49.09,48.61,48.88,13928463,JPM,52.11869166666656
54,2013-04-29,49.08,49.1,48.65,48.92,13497061,JPM,53.93147500000007
54,2013-04-29,49.08,49.1,48.65,48.92,13497061,JPM,53.93147500000007
58,2013-05-03,48.63,48.7,46.98,47.57,43189814,JPM,53.09676666666655
60,2013-05-07,48.57,49.39,48.26,49.14,24278832,JPM,50.76501666666684
61,2013-05-08,49.22,49.99,49.11,49.76,23537050,JPM,54.95729999999995
63,2013-05-10,49.05,49.23,48.64,48.96,16198406,JPM,55.97339722222218
70,2013-05-21,52.53,53.67,52.45,53.02,37117109,JPM,53.872466666666675
71,2013-05-22,53.43,54.96,53.29,53.63,46951089,JPM,56.362066666666905
75,2013-05-29,54.09,54.96,53.91,54.67,20482608,JPM,54.67553333333297
83,2013-06-10,54.64,54.84,54.02,54.36,16007507,JPM,57.0811865873016
91,2013-06-20,53.08,53.18,52.27,52.48,31862273,JPM,54.427166666666515
94,2013-06-25,51.51,52.5645,51.51,52.08,20899419,JPM,57.15921111111105
95,2013-06-26,52.65,52.8,51.878,52.5,19331616,JPM,55.48536666666659
97,2013-06-28,53.12,53.13,52.58,52.79,18262487,JPM,55.70906111111109
98,2013-07-01,53.22,53.63,52.43,52.49,23513028,JPM,54.427166666666515
99,2013-07-02,52.57,53.53,52.12,52.8,23939764,JPM,55.70906111111109
101,2013-07-05,53.36,54.0,53.11,53.99,17070738,JPM,57.136933333333545
104,2013-07-10,54.77,55.15,54.44,54.83,16931388,JPM,53.27261666666674
105,2013-07-11,55.84,55.87,54.55,55.14,21295126,JPM,53.99006000000002
108,2013-07-16,54.9,55.41,54.78,55.01,19224290,JPM,60.473733333333534
109,2013-07-17,55.05,55.58,54.84,55.27,19166250,JPM,57.583611111111495
110,2013-07-18,55.51,56.53,55.49,56.37,24562658,JPM,60.239133333333136
113,2013-07-23,56.72,56.89,56.475,56.67,10577746,JPM,59.79643666666663
120,2013-08-01,56.36,56.78,56.2,56.54,15978711,JPM,53.33600000000013
122,2013-08-05,56.33,56.58,56.01,56.1,9376068,JPM,56.024091666666706
123,2013-08-06,55.99,56.1,55.31,55.49,10588567,JPM,60.87290000000013
123,2013-08-06,55.99,56.1,55.31,55.49,10588567,JPM,60.87290000000013
125,2013-08-08,55.42,55.73,54.125,54.83,18587125,JPM,53.27261666666674
128,2013-08-13,54.22,54.7,53.6,54.29,15080341,JPM,58.0177322222221
130,2013-08-15,53.52,53.68,52.89,53.29,16923071,JPM,54.91823333333353
131,2013-08-16,53.07,53.78,53.07,53.29,17138998,JPM,54.91823333333353
132,2013-08-19,52.89,52.95,51.8,51.83,22763937,JPM,56.49166111111094
132,2013-08-19,52.89,52.95,51.8,51.83,22763937,JPM,56.49166111111094
134,2013-08-21,51.92,52.215,51.28,51.63,17136315,JPM,57.64616666666657
140,2013-08-29,50.59,51.18,50.45,50.7,13576095,JPM,55.244466666666604
141,2013-08-30,50.82,50.83,50.29,50.53,15863245,JPM,56.800699999999885
146,2013-09-09,52.78,53.19,52.52,52.86,19933888,JPM,55.70906111111109
151,2013-09-16,53.45,53.49,52.975,53.14,17124952,JPM,53.2067666666666
153,2013-09-18,52.69,53.87,52.56,53.41,20869912,JPM,53.37846666666667
155,2013-09-20,52.95,53.47,52.8,52.8,30777400,JPM,55.70906111111109
164,2013-10-03,52.0,52.2,51.5,51.94,18613060,JPM,54.79461666666658
166,2013-10-07,52.29,52.36,51.83,51.83,16154446,JPM,56.49166111111094
166,2013-10-07,52.29,52.36,51.83,51.83,16154446,JPM,56.49166111111094
168,2013-10-09,51.17,51.34,50.25,50.75,24700280,JPM,55.705266666666574
170,2013-10-11,52.96,53.35,52.16,52.51,32491160,JPM,56.277466666666584
171,2013-10-14,51.94,52.84,51.76,52.71,18875642,JPM,55.56897777777784
172,2013-10-15,52.91,53.04,52.18,52.31,17514035,JPM,55.2835877777778
179,2013-10-24,52.84,52.89,52.11,52.48,17743618,JPM,54.427166666666515
185,2013-11-01,51.45,52.705,51.3,52.51,25794975,JPM,56.277466666666584
186,2013-11-04,52.74,52.76,51.9965,52.04,18891494,JPM,57.15921111111105
189,2013-11-07,52.13,52.34,51.58,51.65,17334532,JPM,57.64616666666657
196,2013-11-18,55.49,56.0,55.3,55.74,22318779,JPM,55.72313333333335
198,2013-11-20,56.43,56.44,55.77,56.1,17688310,JPM,56.024091666666706
199,2013-11-21,56.28,57.4,56.28,57.22,22843587,JPM,59.37303777777762
199,2013-11-21,56.28,57.4,56.28,57.22,22843587,JPM,59.37303777777762
204,2013-11-29,57.58,57.85,57.2,57.22,7128768,JPM,59.37303777777762
204,2013-11-29,57.58,57.85,57.2,57.22,7128768,JPM,59.37303777777762
205,2013-12-02,57.1,57.75,56.9,56.98,12465770,JPM,61.17122055555541
207,2013-12-04,56.44,57.47,56.21,57.19,20287248,JPM,57.98217444444451
209,2013-12-06,56.57,56.76,55.62,56.06,18661169,JPM,58.39929333333328
216,2013-12-17,56.66,56.66,55.66,55.72,18338501,JPM,56.88893333333319
216,2013-12-17,56.66,56.66,55.66,55.72,18338501,JPM,56.88893333333319
220,2013-12-23,57.97,58.39,57.8,58.24,13990627,JPM,60.32788333333315
220,2013-12-23,57.97,58.39,57.8,58.24,13990627,JPM,60.32788333333315
222,2013-12-26,58.35,58.46,57.92,58.2,6677090,JPM,59.69871388888894
