,date,open,high,low,close,Adj Close,volume,DATE,Predicted
2,2014-01-06,130.14999389648438,129.22000122070312,130.0,129.49000549316406,1160100.0,108.3993911743164,2014-01-06,130.10040064493816
4,2014-01-08,131.0,129.3800048828125,130.0399932861328,130.92999267578125,1262500.0,109.60485076904297,2014-01-08,143.43355503317596
4,2014-01-08,131.0,129.3800048828125,130.0399932861328,130.92999267578125,1262500.0,109.60485076904297,2014-01-08,143.43355503317596
7,2014-01-13,132.85000610351562,130.66000366210938,131.6199951171875,130.8000030517578,1246000.0,109.49601745605469,2014-01-13,132.32686940511067
8,2014-01-14,132.10000610351562,130.4499969482422,131.00999450683594,131.86000061035156,709600.0,110.38337707519531,2014-01-14,130.1495189183553
9,2014-01-15,133.32000732421875,131.6199951171875,131.97000122070312,132.9199981689453,924700.0,111.27072143554688,2014-01-15,135.16485594092475
9,2014-01-15,133.32000732421875,131.6199951171875,131.97000122070312,132.9199981689453,924700.0,111.27072143554688,2014-01-15,135.16485594092475
12,2014-01-21,134.22999572753906,132.22000122070312,133.41000366210938,133.2100067138672,771600.0,111.51351928710938,2014-01-21,127.22483266194662
12,2014-01-21,134.22999572753906,132.22000122070312,133.41000366210938,133.2100067138672,771600.0,111.51351928710938,2014-01-21,127.22483266194662
13,2014-01-22,133.58999633789062,132.72000122070312,133.50999450683594,133.2100067138672,717800.0,111.51351928710938,2014-01-22,127.22483266194662
13,2014-01-22,133.58999633789062,132.72000122070312,133.50999450683594,133.2100067138672,717800.0,111.51351928710938,2014-01-22,127.22483266194662
17,2014-01-28,126.58999633789062,125.44999694824219,125.94999694824219,125.69999694824219,1915200.0,105.22669982910156,2014-01-28,124.29899706522623
19,2014-01-30,127.26000213623047,125.25,126.88999938964844,125.48999786376953,1806800.0,105.0508804321289,2014-01-30,126.70656644185384
20,2014-01-31,125.66000366210938,123.61000061035156,123.93000030517578,124.72000122070312,1794200.0,104.40630340576172,2014-01-31,116.24603563944498
24,2014-02-06,124.31999969482422,122.27999877929688,122.70999908447266,124.27999877929688,1342400.0,104.03797912597656,2014-02-06,122.29150098164877
25,2014-02-07,127.16999816894531,124.51000213623047,125.08999633789062,127.05999755859375,1688800.0,106.36518096923828,2014-02-07,124.18953366597493
28,2014-02-12,129.1999969482422,127.88999938964844,128.66000366210938,128.0800018310547,1013500.0,107.21904754638672,2014-02-12,129.0721703503926
33,2014-02-20,128.57000732421875,127.2699966430664,128.3000030517578,128.07000732421875,1101900.0,107.21067810058594,2014-02-20,129.0721703503926
34,2014-02-21,128.8699951171875,127.76000213623047,128.25999450683594,128.07000732421875,1415300.0,107.21067810058594,2014-02-21,129.0721703503926
36,2014-02-25,129.25999450683594,127.19999694824219,127.6500015258789,128.8000030517578,1007000.0,107.8218002319336,2014-02-25,132.3691665903727
36,2014-02-25,129.25999450683594,127.19999694824219,127.6500015258789,128.8000030517578,1007000.0,107.8218002319336,2014-02-25,132.3691665903727
37,2014-02-26,130.0,128.58999633789062,128.8000030517578,128.8300018310547,1222800.0,107.8469009399414,2014-02-26,132.39629992167156
43,2014-03-06,130.97999572753906,129.4600067138672,130.0,130.8300018310547,901200.0,110.06729888916016,2014-03-06,136.14586926778156
43,2014-03-06,130.97999572753906,129.4600067138672,130.0,130.8300018310547,901200.0,110.06729888916016,2014-03-06,136.14586926778156
46,2014-03-11,132.16000366210938,131.27999877929688,131.52999877929688,131.58999633789062,1297900.0,110.70665740966797,2014-03-11,128.23965908050536
46,2014-03-11,132.16000366210938,131.27999877929688,131.52999877929688,131.58999633789062,1297900.0,110.70665740966797,2014-03-11,128.23965908050536
51,2014-03-18,132.9600067138672,131.80999755859375,132.6699981689453,132.83999633789062,1162100.0,111.75829315185547,2014-03-18,132.86413226996527
52,2014-03-19,134.80999755859375,132.0399932861328,133.1999969482422,132.66000366210938,1629800.0,111.60688781738281,2014-03-19,128.8444955858503
54,2014-03-21,134.00999450683594,132.22999572753906,133.55999755859375,132.9199981689453,2424800.0,111.82557678222656,2014-03-21,135.16485594092475
