,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,53.4,53.45,53.26,53.44,4384918,LLY,57.478800000000135
4,2013-02-14,53.22,53.58,53.18,53.5,4278087,LLY,53.17429999999994
9,2013-02-22,54.07,54.27,53.53,54.27,5519169,LLY,55.72466111111128
13,2013-02-28,54.68,54.98,54.58,54.66,5885735,LLY,53.412466666666724
13,2013-02-28,54.68,54.98,54.58,54.66,5885735,LLY,53.412466666666724
17,2013-03-06,55.58,55.67,54.92,55.08,6788180,LLY,52.57854500000014
20,2013-03-11,55.06,55.24,54.79,55.07,4766122,LLY,52.71207166666663
20,2013-03-11,55.06,55.24,54.79,55.07,4766122,LLY,52.71207166666663
21,2013-03-12,55.06,55.43,54.95,55.08,3872663,LLY,52.57854500000014
23,2013-03-14,55.46,55.65,54.81,55.07,5361792,LLY,52.71207166666663
23,2013-03-14,55.46,55.65,54.81,55.07,5361792,LLY,52.71207166666663
24,2013-03-15,54.68,55.13,54.39,55.13,10663577,LLY,58.84544111111125
25,2013-03-18,54.63,54.95,54.54,54.66,3926482,LLY,53.412466666666724
25,2013-03-18,54.63,54.95,54.54,54.66,3926482,LLY,53.412466666666724
26,2013-03-19,54.83,54.96,54.5,54.79,3338211,LLY,54.568400000000004
28,2013-03-21,55.04,55.29,54.88,55.08,2702413,LLY,52.57854500000014
34,2013-04-01,56.67,56.8,56.22,56.61,3668590,LLY,50.97973333333364
38,2013-04-05,56.45,56.61,56.22,56.48,3001799,LLY,50.877733333333445
40,2013-04-09,56.96,57.23,56.58,56.74,4145132,LLY,52.55496666666673
42,2013-04-11,57.65,58.26,57.58,58.0,4048003,LLY,58.37589999999987
46,2013-04-17,56.98,57.63,56.735,57.47,4147392,LLY,52.27403333333361
51,2013-04-24,57.91,58.33,56.02,56.05,6678466,LLY,54.06559166666638
53,2013-04-26,56.45,56.75,56.28,56.46,3457577,LLY,50.70979999999984
54,2013-04-29,56.59,56.63,55.79,56.01,4808077,LLY,54.06559166666638
58,2013-05-03,55.19,55.19,54.58,54.99,3407609,LLY,53.71427500000013
60,2013-05-07,54.52,54.59,53.85,54.17,6320165,LLY,53.44899071428568
61,2013-05-08,54.23,54.78,54.16,54.52,5428971,LLY,52.89750000000014
63,2013-05-10,53.97,54.82,53.88,54.82,15279341,LLY,54.5706
70,2013-05-21,55.07,55.43,54.66,55.14,4221928,LLY,58.86510777777791
71,2013-05-22,55.26,56.06,54.6601,54.92,4570047,LLY,54.33370000000015
75,2013-05-29,54.24,54.36,53.44,53.75,4201657,LLY,54.608766666666526
83,2013-06-10,52.7,52.83,52.15,52.64,4212568,LLY,53.1728000000002
94,2013-06-25,49.54,49.54,48.91,49.22,4041632,LLY,57.55490000000014
94,2013-06-25,49.54,49.54,48.91,49.22,4041632,LLY,57.55490000000014
95,2013-06-26,49.66,49.9,49.22,49.79,6077996,LLY,57.087766666666816
97,2013-06-28,49.62,49.8599,49.05,49.12,8255873,LLY,52.62480000000008
98,2013-07-01,49.35,50.31,49.27,50.16,6987350,LLY,55.05689166666656
99,2013-07-02,50.08,50.93,50.07,50.5,5846483,LLY,52.58879603174584
101,2013-07-05,50.59,50.82,49.97,50.58,2700356,LLY,51.136389444444646
106,2013-07-12,51.63,51.63,51.1,51.45,4067372,LLY,48.628669999999794
108,2013-07-16,51.55,51.79,50.8,51.0,4031894,LLY,55.85146666666674
109,2013-07-17,51.2,51.24,50.6132,50.67,4038340,LLY,54.422797777777795
110,2013-07-18,50.63,50.67,49.83,49.92,6040210,LLY,55.3708666666667
113,2013-07-23,50.77,51.06,50.56,50.99,3926336,LLY,55.85146666666674
113,2013-07-23,50.77,51.06,50.56,50.99,3926336,LLY,55.85146666666674
118,2013-07-30,53.8,53.98,53.21,53.32,3594244,LLY,54.26479027777769
120,2013-08-01,53.43,53.675,53.11,53.5,3297254,LLY,53.17429999999994
123,2013-08-06,53.9,54.19,53.23,53.32,4177252,LLY,54.26479027777769
125,2013-08-08,53.88,53.919,53.22,53.57,17504418,LLY,51.52753333333322
128,2013-08-13,56.0,56.5,54.73,54.96,14253313,LLY,53.54909722222235
130,2013-08-15,53.76,53.93,53.2684,53.39,4508953,LLY,55.62342222222235
132,2013-08-19,52.71,53.15,52.68,52.79,3372719,LLY,51.16535015872991
134,2013-08-21,52.73,52.93,52.32,52.42,3969637,LLY,51.01843333333324
140,2013-08-29,51.26,51.74,51.1,51.45,2305040,LLY,48.628669999999794
141,2013-08-30,51.46,51.62,51.17,51.4,3237341,LLY,49.94959999999989
146,2013-09-09,52.41,52.575,52.0899,52.54,2324450,LLY,50.30680000000009
151,2013-09-16,53.77,53.84,53.43,53.64,2670166,LLY,51.564966666666606
153,2013-09-18,53.87,54.25,53.22,54.16,3332469,LLY,53.27472999999981
160,2013-09-27,50.68,50.8152,50.07,50.5,5866551,LLY,52.58879603174584
162,2013-10-01,50.41,50.69,50.24,50.67,3978061,LLY,54.422797777777795
164,2013-10-03,50.25,50.29,48.5,48.8,15006534,LLY,52.79163333333318
166,2013-10-07,48.17,48.21,47.56,47.65,7826143,LLY,51.35326666666679
168,2013-10-09,48.09,48.26,47.53,47.96,6924998,LLY,51.35326666666679
170,2013-10-11,48.63,49.09,48.51,48.88,6571365,LLY,52.81896666666652
