,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,27.01,27.19,26.83,27.0,23903919,PFE,28.804966666666783
4,2013-02-14,26.91,27.14,26.81,27.06,24209871,PFE,29.048866666666743
9,2013-02-22,27.48,27.5,27.13,27.38,29726833,PFE,29.0244107142858
13,2013-02-28,27.37,27.639,27.36,27.37,30099312,PFE,29.0244107142858
17,2013-03-06,28.1,28.21,27.93,28.12,27121255,PFE,28.855338888888966
20,2013-03-11,28.16,28.31,28.1,28.25,25495432,PFE,29.368504603174653
22,2013-03-13,27.93,28.08,27.8,28.02,24738350,PFE,30.28265555555555
23,2013-03-14,28.04,28.11,27.88,28.11,27788247,PFE,28.697967857142867
24,2013-03-15,27.84,28.06,27.755,28.02,63159497,PFE,30.28265555555555
25,2013-03-18,27.74,28.24,27.74,28.04,29322421,PFE,30.039733333333285
26,2013-03-19,28.1,28.23,27.9,27.99,27108658,PFE,31.62630000000004
26,2013-03-19,28.1,28.23,27.9,27.99,27108658,PFE,31.62630000000004
27,2013-03-20,28.17,28.4,28.11,28.29,30696743,PFE,30.199951666666774
28,2013-03-21,28.17,28.32,28.025,28.11,23583170,PFE,28.697967857142867
33,2013-03-28,28.66,28.9,28.62,28.86,27941527,PFE,28.582293333333364
34,2013-04-01,28.75,28.84,28.68,28.84,19286147,PFE,30.20024055555553
36,2013-04-03,29.23,29.34,28.88,29.03,34534604,PFE,30.670756884319406
37,2013-04-04,29.18,29.44,29.04,29.16,30533785,PFE,28.248163769841284
38,2013-04-05,28.96,29.2,28.92,29.1,30439811,PFE,30.084151931216955
39,2013-04-08,28.98,29.17,28.64,29.16,25957429,PFE,28.248163769841284
40,2013-04-09,29.03,29.35,28.95,29.11,27543690,PFE,30.715632539682556
42,2013-04-11,29.93,30.82,29.92,30.64,54657376,PFE,32.02258047619056
44,2013-04-15,30.61,30.99,30.45,30.45,46915105,PFE,30.117570555555467
46,2013-04-17,30.8,30.94,30.525,30.87,32243571,PFE,31.119528253968262
47,2013-04-18,30.85,30.94,30.48,30.59,31787672,PFE,31.75329976190474
49,2013-04-22,31.08,31.1,30.76,30.93,26092840,PFE,29.675563174603248
51,2013-04-24,31.08,31.13,30.56,30.6,31516314,PFE,31.276626706349163
53,2013-04-26,29.23,30.17,28.79,30.09,54022530,PFE,31.009756190476153
54,2013-04-29,30.12,30.58,29.93,30.43,27728883,PFE,33.12154288359787
57,2013-05-02,29.03,29.33,28.99,29.27,31860861,PFE,29.646657559523835
58,2013-05-03,29.53,29.63,28.7,28.96,43823118,PFE,29.728576666666815
59,2013-05-06,28.93,28.93,28.7,28.72,33108388,PFE,29.6278999999999
59,2013-05-06,28.93,28.93,28.7,28.72,33108388,PFE,29.6278999999999
60,2013-05-07,28.89,29.18,28.83,29.03,30954131,PFE,30.670756884319406
61,2013-05-08,28.89,29.02,28.58,28.73,30748326,PFE,29.939900000000026
63,2013-05-10,28.59,28.8,28.57,28.72,33069718,PFE,29.6278999999999
63,2013-05-10,28.59,28.8,28.57,28.72,33069718,PFE,29.6278999999999
68,2013-05-17,29.21,29.37,28.83,28.96,37639072,PFE,29.728576666666815
70,2013-05-21,28.71,28.83,28.31,28.78,44106364,PFE,29.775059523809468
71,2013-05-22,29.55,30.04,29.21,29.3,83672231,PFE,30.139031944444415
72,2013-05-23,29.08,29.33,28.85,29.11,51706133,PFE,30.715632539682556
73,2013-05-24,28.86,29.11,28.68,29.04,35080613,PFE,31.7310965740741
75,2013-05-29,28.86,28.9,28.1,28.28,48860657,PFE,31.433475634920615
76,2013-05-30,28.37,28.45,28.11,28.25,43117321,PFE,29.368504603174653
81,2013-06-06,27.48,28.15,27.39,28.11,82473323,PFE,28.697967857142867
83,2013-06-10,28.38,28.59,28.27,28.37,66492012,PFE,31.27914857142852
88,2013-06-17,29.4,29.4,28.9,29.16,152087575,PFE,28.248163769841284
90,2013-06-19,29.37,29.81,28.9,29.1,121043136,PFE,30.084151931216955
92,2013-06-21,28.86,29.11,28.46,28.46,222101847,PFE,30.793456507936558
94,2013-06-25,28.08,28.15,27.58,27.99,118338161,PFE,31.62630000000004
94,2013-06-25,28.08,28.15,27.58,27.99,118338161,PFE,31.62630000000004
95,2013-06-26,28.08,28.36,27.85,28.1,85893518,PFE,28.693801190476194
95,2013-06-26,28.08,28.36,27.85,28.1,85893518,PFE,28.693801190476194
97,2013-06-28,28.54,28.72,28.005,28.01,123046162,PFE,31.242544444444466
98,2013-07-01,27.97,28.3,27.71,27.78,67767056,PFE,28.64560396825396
99,2013-07-02,27.72,27.92,27.42,27.7,61299403,PFE,31.257411269841214
101,2013-07-05,28.05,28.1,27.78,27.97,36588888,PFE,30.984744444444452
105,2013-07-11,28.84,28.9,28.61,28.77,35929438,PFE,29.78405952380948
107,2013-07-15,28.79,28.89,28.525,28.79,28127823,PFE,28.813216666666577
108,2013-07-16,28.84,28.955,28.615,28.68,34854756,PFE,30.497441666666674
108,2013-07-16,28.84,28.955,28.615,28.68,34854756,PFE,30.497441666666674
109,2013-07-17,28.79,28.94,28.64,28.68,26058865,PFE,30.497441666666674
109,2013-07-17,28.79,28.94,28.64,28.68,26058865,PFE,30.497441666666674
110,2013-07-18,28.67,28.79,28.46,28.49,31656589,PFE,31.14770555555549
112,2013-07-22,29.0,29.41,29.0,29.35,28776191,PFE,30.968011111111075
112,2013-07-22,29.0,29.41,29.0,29.35,28776191,PFE,30.968011111111075
113,2013-07-23,29.38,29.53,29.315,29.42,27277895,PFE,29.62819209401721
117,2013-07-29,29.4,29.91,29.3,29.54,46577119,PFE,31.1061666666667
118,2013-07-30,29.89,30.428,29.64,29.67,44128717,PFE,31.517605396825438
120,2013-08-01,29.43,29.45,28.98,29.11,31700015,PFE,30.715632539682556
123,2013-08-06,29.24,29.42,29.18,29.34,24740970,PFE,30.968011111111075
123,2013-08-06,29.24,29.42,29.18,29.34,24740970,PFE,30.968011111111075
125,2013-08-08,29.215,29.3,29.02,29.13,22531861,PFE,31.168566613756624
128,2013-08-13,29.25,29.41,29.1,29.27,20028468,PFE,29.646657559523835
129,2013-08-14,29.22,29.44,29.0,29.03,23936587,PFE,30.670756884319406
130,2013-08-15,28.94,29.09,28.76,28.8,27240050,PFE,29.64537000000002
131,2013-08-16,28.66,28.68,28.29,28.37,28273643,PFE,31.27914857142852
132,2013-08-19,28.27,28.49,28.23,28.46,26833064,PFE,30.793456507936558
134,2013-08-21,28.5,28.58,28.22,28.24,23225418,PFE,29.977813730158886
137,2013-08-26,28.33,28.37,28.02,28.02,20060347,PFE,30.28265555555555
139,2013-08-28,27.95,28.49,27.81,28.21,29224555,PFE,30.88451388888891
140,2013-08-29,28.12,28.48,28.07,28.1,22075825,PFE,28.693801190476194
140,2013-08-29,28.12,28.48,28.07,28.1,22075825,PFE,28.693801190476194
141,2013-08-30,28.05,28.4,28.01,28.21,29782347,PFE,30.88451388888891
142,2013-09-03,28.38,28.45,27.86,28.01,23685173,PFE,31.242544444444466
143,2013-09-04,28.19,28.54,28.07,28.37,25402628,PFE,31.27914857142852
145,2013-09-06,28.28,28.54,28.07,28.28,22281437,PFE,31.433475634920615
146,2013-09-09,28.235,28.36,28.1,28.3,21989034,PFE,31.690752777777924
151,2013-09-16,28.74,28.85,28.6,28.71,23113508,PFE,30.20635333333345
153,2013-09-18,28.73,29.27,28.65,29.04,30336346,PFE,31.7310965740741
154,2013-09-19,29.035,29.15,28.65,28.84,33651865,PFE,30.20024055555553
156,2013-09-23,28.77,29.04,28.7,28.8,24879516,PFE,29.64537000000002
157,2013-09-24,28.73,28.94,28.61,28.71,18763247,PFE,30.20635333333345
158,2013-09-25,28.69,28.88,28.49,28.49,26197075,PFE,31.14770555555549
162,2013-10-01,28.58,28.948,28.52,28.89,23506453,PFE,30.367600000000046
164,2013-10-03,29.02,29.02,28.69,28.77,22687210,PFE,29.78405952380948
