,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,76.01,76.58,75.98,76.56,7113744,PG,80.00827083333337
4,2013-02-14,76.3,76.97,76.25,76.78,10049220,PG,79.60646666666678
9,2013-02-22,77.05,77.19,76.753,76.99,8433393,PG,79.6610638888886
9,2013-02-22,77.05,77.19,76.753,76.99,8433393,PG,79.6610638888886
13,2013-02-28,76.66,76.91,76.17,76.18,10472126,PG,81.8659209523808
17,2013-03-06,77.01,77.45,76.81,77.2,7196031,PG,80.05436388888877
19,2013-03-08,77.01,77.2,76.46,77.18,7257183,PG,77.9417916666666
20,2013-03-11,77.02,77.39,76.9,77.35,6621712,PG,81.7875333333331
23,2013-03-14,76.87,77.475,76.83,77.39,8083421,PG,77.7963333333333
24,2013-03-15,77.08,77.38,76.34,76.34,15250593,PG,79.56863833333351
25,2013-03-18,75.9,76.55,75.8,76.16,7081774,PG,81.8691209523808
26,2013-03-19,76.14,77.18,76.11,77.11,9296208,PG,81.2293579365083
31,2013-03-26,77.02,77.5,76.891,77.4,5387106,PG,76.18872222222227
34,2013-04-01,76.85,77.85,76.73,77.7,7268049,PG,79.48594722222248
36,2013-04-03,78.88,79.08,77.84,78.12,8427549,PG,77.67502939153414
36,2013-04-03,78.88,79.08,77.84,78.12,8427549,PG,77.67502939153414
38,2013-04-05,77.88,78.395,77.83,78.23,6565480,PG,77.59841904761912
40,2013-04-09,78.82,78.89,78.07,78.26,6760554,PG,83.15649523809537
42,2013-04-11,79.37,80.13,79.33,79.67,11832445,PG,80.62293333333291
43,2013-04-12,79.51,80.66,79.47,80.08,9383865,PG,74.94808611111092
44,2013-04-15,79.79,80.84,79.6,79.65,10877312,PG,80.87606666666642
44,2013-04-15,79.79,80.84,79.6,79.65,10877312,PG,80.87606666666642
45,2013-04-16,79.83,80.21,79.37,80.1,9366412,PG,81.65053047619068
45,2013-04-16,79.83,80.21,79.37,80.1,9366412,PG,81.65053047619068
46,2013-04-17,79.98,80.14,78.85,79.06,10964702,PG,82.97281555555531
48,2013-04-19,80.37,81.7,80.2,81.43,13147597,PG,78.60883968253968
51,2013-04-24,79.49,79.61,76.93,77.12,25706666,PG,83.32883333333353
53,2013-04-26,76.72,77.22,76.58,77.1,8769151,PG,79.61068357142891
54,2013-04-29,77.56,77.98,77.23,77.68,6622787,PG,78.87025833333327
56,2013-05-01,76.83,77.77,76.72,76.99,8388710,PG,79.6610638888886
56,2013-05-01,76.83,77.77,76.72,76.99,8388710,PG,79.6610638888886
58,2013-05-03,78.1,78.46,77.66,78.19,7884967,PG,80.98646666666673
58,2013-05-03,78.1,78.46,77.66,78.19,7884967,PG,80.98646666666673
60,2013-05-07,77.98,78.2,77.27,77.94,9574192,PG,82.88935751322727
61,2013-05-08,77.9,78.51,77.23,78.44,12067285,PG,79.53962777777797
61,2013-05-08,77.9,78.51,77.23,78.44,12067285,PG,79.53962777777797
63,2013-05-10,78.41,78.79,78.23,78.76,6163414,PG,77.19636666666655
70,2013-05-21,79.17,79.22,78.22,78.8,7377650,PG,80.29260000000015
71,2013-05-22,78.84,79.68,78.62,78.82,8873152,PG,80.10029999999978
75,2013-05-29,80.16,80.25,78.87,78.9,9992413,PG,73.22084222222202
75,2013-05-29,80.16,80.25,78.87,78.9,9992413,PG,73.22084222222202
83,2013-06-10,77.69,78.22,77.26,78.07,8967455,PG,80.3536133333336
84,2013-06-11,77.68,78.75,77.45,78.12,6781138,PG,77.67502939153414
84,2013-06-11,77.68,78.75,77.45,78.12,6781138,PG,77.67502939153414
85,2013-06-12,78.64,78.89,77.48,77.6,7834172,PG,77.66993333333345
87,2013-06-14,78.49,78.79,77.67,78.03,6825874,PG,79.03453555555589
94,2013-06-25,77.1,77.24,76.29,76.69,7911690,PG,78.85390476190501
95,2013-06-26,77.23,77.59,77.02,77.4,7329439,PG,76.18872222222227
97,2013-06-28,77.62,77.94,76.9,76.99,9868254,PG,79.6610638888886
97,2013-06-28,77.62,77.94,76.9,76.99,9868254,PG,79.6610638888886
98,2013-07-01,77.02,78.45,77.0,78.02,6699595,PG,79.03453555555589
99,2013-07-02,77.95,78.61,77.71,78.44,10228897,PG,79.53962777777797
99,2013-07-02,77.95,78.61,77.71,78.44,10228897,PG,79.53962777777797
101,2013-07-05,78.89,79.02,77.78,78.34,7265770,PG,78.52375999999967
102,2013-07-08,78.54,79.0799,78.5,78.76,11153691,PG,77.19636666666655
108,2013-07-16,81.32,81.37,80.91,80.97,11208513,PG,84.01858222222202
108,2013-07-16,81.32,81.37,80.91,80.97,11208513,PG,84.01858222222202
109,2013-07-17,80.49,80.85,80.01,80.09,7645591,PG,78.4360833333333
109,2013-07-17,80.49,80.85,80.01,80.09,7645591,PG,78.4360833333333
110,2013-07-18,80.03,80.75,80.03,80.3,5525915,PG,80.9760666666665
112,2013-07-22,81.23,81.45,80.9,81.22,4813662,PG,79.92983055555543
113,2013-07-23,81.22,81.401,80.78,80.95,4311045,PG,82.30174875661378
117,2013-07-29,80.1,80.45,80.05,80.09,4389416,PG,78.4360833333333
117,2013-07-29,80.1,80.45,80.05,80.09,4389416,PG,78.4360833333333
119,2013-07-31,80.44,81.41,80.16,80.3,11862951,PG,80.9760666666665
123,2013-08-06,81.3,81.97,81.3,81.74,6212547,PG,80.6846
125,2013-08-08,82.11,82.4,81.51,82.17,6208233,PG,79.62988067460334
127,2013-08-12,81.23,81.73,81.04,81.62,4922205,PG,81.50743333333348
128,2013-08-13,81.78,81.99,81.33,81.66,4936360,PG,80.94424888888882
130,2013-08-15,80.96,81.08,80.165,80.48,7415297,PG,77.25693111111106
132,2013-08-19,79.64,80.09,79.42,79.59,5948362,PG,82.83203333333356
134,2013-08-21,79.5,80.12,79.0453,79.38,7390855,PG,75.71210629629628
140,2013-08-29,76.76,77.84,76.42,77.31,5961184,PG,81.69106666666664
141,2013-08-30,77.53,78.07,73.61,77.89,9039485,PG,81.5922966666662
146,2013-09-09,77.37,78.2,77.37,78.16,6089257,PG,80.07486666666625
149,2013-09-12,78.4,78.8,78.17,78.26,6944863,PG,83.15649523809537
151,2013-09-16,79.72,80.21,79.71,80.16,7557605,PG,83.53208888888933
153,2013-09-18,79.06,80.48,78.53,80.295,10372103,PG,80.66884222222212
156,2013-09-23,79.2,79.58,78.67,79.28,6305070,PG,81.53490055555558
157,2013-09-24,78.965,79.48,78.59,78.62,7525464,PG,83.59184277777784
162,2013-10-01,75.52,76.5,75.44,76.16,8080992,PG,81.8691209523808
164,2013-10-03,75.89,76.14,75.2,75.84,9251589,PG,82.18923333333302
166,2013-10-07,75.66,76.1,75.48,75.65,6373266,PG,82.29229333333325
168,2013-10-09,76.58,77.16,76.1,76.95,8470729,PG,80.19694888888873
169,2013-10-10,77.41,77.92,77.15,77.89,10122110,PG,81.5922966666662
170,2013-10-11,78.0,78.49,77.805,78.48,6082105,PG,80.17459666666694
171,2013-10-14,78.01,78.795,77.93,78.74,6326138,PG,77.42589999999996
172,2013-10-15,78.38,78.61,77.44,77.6,11192629,PG,77.66993333333345
173,2013-10-16,77.35,78.49,77.26,78.34,6538524,PG,78.52375999999967
175,2013-10-18,79.39,79.57,78.78,79.41,7940526,PG,77.35615083333346
178,2013-10-23,80.34,81.245,80.25,80.91,8960693,PG,81.43535148148158
179,2013-10-24,80.77,80.95,80.25,80.61,7412349,PG,79.876832222222
186,2013-11-04,81.46,81.73,80.91,81.33,5460057,PG,82.77140000000023
187,2013-11-05,81.13,81.74,80.85,81.43,4955703,PG,78.60883968253968
188,2013-11-06,81.64,83.1,81.33,82.81,9518391,PG,78.11633444444449
189,2013-11-07,82.91,83.1,82.11,82.32,10087888,PG,82.68652722222241
196,2013-11-18,84.79,84.94,84.18,84.57,8507338,PG,91.22276666666674
199,2013-11-21,84.84,84.89,84.51,84.67,7289111,PG,88.76548269841241
203,2013-11-27,84.88,84.89,84.02,84.28,4905048,PG,79.09668333333344
204,2013-11-29,84.77,85.21,84.15,84.22,4954483,PG,89.17409555555538
205,2013-12-02,84.04,84.15,83.1,83.34,7497468,PG,85.10498666666665
207,2013-12-04,83.38,83.49,82.59,83.35,6807176,PG,85.41208888888886
210,2013-12-09,84.48,84.94,84.34,84.78,7395478,PG,80.0216000000001
215,2013-12-16,82.72,83.07,81.6,81.69,8849683,PG,78.33683333333306
216,2013-12-17,81.79,81.85,80.695,80.91,11416357,PG,81.43535148148158
220,2013-12-23,82.14,82.14,81.0099,81.31,8655988,PG,80.55376499999969
220,2013-12-23,82.14,82.14,81.0099,81.31,8655988,PG,80.55376499999969
221,2013-12-24,81.33,81.61,81.25,81.31,2899142,PG,80.55376499999969
221,2013-12-24,81.33,81.61,81.25,81.31,2899142,PG,80.55376499999969
222,2013-12-26,81.49,81.89,81.29,81.76,5347162,PG,82.07809999999968
223,2013-12-27,82.09,82.48,81.86,82.01,4006049,PG,80.50590277777773
224,2013-12-30,82.0,82.05,81.57,82.0,4145666,PG,80.5025694444444
224,2013-12-30,82.0,82.05,81.57,82.0,4145666,PG,80.5025694444444
225,2013-12-31,81.83,82.0,81.09,81.41,5766693,PG,79.9789093650792
226,2014-01-02,81.33,81.36,80.32,80.54,6985476,PG,81.34693888888866
228,2014-01-06,80.61,80.98,80.3,80.64,7209873,PG,81.27124722222199
229,2014-01-07,80.71,81.58,80.62,81.42,7158171,PG,79.96479722222197
231,2014-01-09,80.54,80.8,80.03,80.42,10839420,PG,78.22002285714281
231,2014-01-09,80.54,80.8,80.03,80.42,10839420,PG,78.22002285714281
232,2014-01-10,80.59,80.89,80.2,80.3,8452355,PG,80.9760666666665
244,2014-01-29,78.8,78.8,77.38,77.64,13443126,PG,78.36009999999993
251,2014-02-07,76.99,77.39,76.75,77.31,7301419,PG,81.69106666666664
