,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,90.43,91.47,90.43,90.99,3852738,PM,86.20190000000015
4,2013-02-14,90.86,90.9875,89.85,90.01,5268666,PM,97.32714785714288
4,2013-02-14,90.86,90.9875,89.85,90.01,5268666,PM,97.32714785714288
6,2013-02-19,90.37,91.4,90.09,91.31,4429200,PM,103.62013333333337
6,2013-02-19,90.37,91.4,90.09,91.31,4429200,PM,103.62013333333337
6,2013-02-19,90.37,91.4,90.09,91.31,4429200,PM,103.62013333333337
9,2013-02-22,93.22,93.478,92.63,93.42,4072364,PM,91.48040000000033
11,2013-02-26,92.03,92.59,91.16,91.6,5150455,PM,100.26467777777803
13,2013-02-28,91.68,92.25,91.38,91.75,6040023,PM,93.13496666666683
17,2013-03-06,92.34,92.63,91.41,91.6,4085869,PM,100.26467777777803
20,2013-03-11,90.9,91.55,90.82,91.21,3249363,PM,99.9375712962963
23,2013-03-14,90.93,91.595,90.8301,91.31,5079448,PM,103.62013333333337
23,2013-03-14,90.93,91.595,90.8301,91.31,5079448,PM,103.62013333333337
23,2013-03-14,90.93,91.595,90.8301,91.31,5079448,PM,103.62013333333337
24,2013-03-15,90.98,91.63,90.24,91.37,9915093,PM,83.30160000000043
25,2013-03-18,90.54,90.935,90.25,90.36,4503135,PM,86.4078333333331
26,2013-03-19,90.59,91.22,90.29,90.81,3719881,PM,103.63661666666701
34,2013-04-01,92.74,92.805,92.065,92.78,2947675,PM,88.87776666666619
38,2013-04-05,93.79,94.0,92.33,92.72,5034318,PM,87.16769999999968
40,2013-04-09,94.77,95.1,94.06,94.54,3295357,PM,95.24086666666636
42,2013-04-11,95.33,96.07,95.03,95.6,3718710,PM,90.58005333333365
43,2013-04-12,95.67,96.6,95.3,96.44,3945077,PM,96.04114111111122
46,2013-04-17,94.57,94.72,93.52,94.04,4344378,PM,88.00576666666628
51,2013-04-24,93.77,94.94,93.64,94.05,5209004,PM,88.00576666666628
53,2013-04-26,94.77,95.72,94.67,95.31,4369667,PM,88.31289999999967
54,2013-04-29,95.31,96.12,94.96,95.96,3802628,PM,108.67530000000039
58,2013-05-03,95.46,95.6,94.05,94.26,5658388,PM,89.03983333333332
60,2013-05-07,93.12,93.89,93.0,93.61,4977513,PM,91.85560000000015
61,2013-05-08,93.65,94.56,93.47,94.51,4237335,PM,92.81646666666651
63,2013-05-10,93.95,94.1,93.0,93.32,5358042,PM,89.82150000000031
64,2013-05-13,93.16,94.54,93.03,94.04,4749364,PM,88.00576666666628
70,2013-05-21,94.94,94.97,93.69,94.4,5203499,PM,88.1183333333337
71,2013-05-22,93.94,95.33,93.75,93.97,7011037,PM,87.92103333333296
75,2013-05-29,92.67,92.74,91.45,92.25,6788984,PM,95.67622194444392
83,2013-06-10,92.26,92.73,91.41,91.63,3888447,PM,97.35308333333363
94,2013-06-25,86.57,86.94,86.05,86.5,6388001,PM,83.74207111111062
94,2013-06-25,86.57,86.94,86.05,86.5,6388001,PM,83.74207111111062
95,2013-06-26,87.12,88.41,86.94,87.54,6448872,PM,83.90120000000049
96,2013-06-27,88.37,88.96,87.69,87.78,5277165,PM,87.24970058441558
97,2013-06-28,87.5,88.32,86.56,86.62,11125921,PM,93.91026666666619
98,2013-07-01,87.11,87.96,87.11,87.53,5338041,PM,85.96390000000036
99,2013-07-02,87.39,88.38,87.05,87.56,4775844,PM,83.47803333333376
101,2013-07-05,88.12,88.25,86.58,87.51,3039630,PM,85.94940000000038
108,2013-07-16,89.52,90.75,89.31,89.95,4933608,PM,93.6382299999997
108,2013-07-16,89.52,90.75,89.31,89.95,4933608,PM,93.6382299999997
109,2013-07-17,90.26,90.65,89.71,89.71,4355123,PM,88.47077249999971
110,2013-07-18,88.28,90.2,87.65,89.25,6149465,PM,88.64130277777791
112,2013-07-22,89.0,90.1,88.57,89.23,4327832,PM,86.86312444444457
113,2013-07-23,89.2,89.68,88.58,88.78,4164752,PM,93.3898000000004
120,2013-08-01,89.61,89.9,89.37,89.71,5262839,PM,88.47077249999971
123,2013-08-06,89.01,89.17,88.56,88.77,4230049,PM,93.16940000000044
125,2013-08-08,88.52,89.8,88.41,89.36,4193380,PM,93.85483333333369
128,2013-08-13,88.21,88.59,87.58,88.33,3035850,PM,87.91123333333364
128,2013-08-13,88.21,88.59,87.58,88.33,3035850,PM,87.91123333333364
129,2013-08-14,88.52,88.98,87.81,88.18,2942245,PM,89.5533777777781
129,2013-08-14,88.52,88.98,87.81,88.18,2942245,PM,89.5533777777781
130,2013-08-15,87.79,88.03,86.95,87.14,3630439,PM,82.57841833333296
132,2013-08-19,85.6,85.8,85.06,85.16,4447063,PM,85.29606666666639
133,2013-08-20,85.22,85.24,84.18,84.21,5963190,PM,88.71027777777778
133,2013-08-20,85.22,85.24,84.18,84.21,5963190,PM,88.71027777777778
134,2013-08-21,84.13,84.805,83.67,83.77,7091693,PM,84.18516666666697
140,2013-08-29,83.03,84.415,82.86,83.88,4510696,PM,86.35964333333372
141,2013-08-30,83.67,84.0,83.15,83.44,4385955,PM,79.92452888888862
142,2013-09-03,83.83,84.39,83.16,83.4,4725577,PM,84.05894162698397
145,2013-09-06,84.38,84.62,83.56,84.19,3574694,PM,84.63857587301607
146,2013-09-09,84.41,84.52,83.73,84.51,3966005,PM,83.47754444444429
150,2013-09-13,86.49,87.88,86.49,87.78,4455726,PM,87.24970058441558
151,2013-09-16,88.68,89.0799,87.735,87.85,4274231,PM,97.63021666666675
153,2013-09-18,88.31,90.22,87.83,89.95,5841498,PM,93.6382299999997
153,2013-09-18,88.31,90.22,87.83,89.95,5841498,PM,93.6382299999997
158,2013-09-25,87.4,87.6,86.56,86.91,3989976,PM,86.83185888888853
164,2013-10-03,87.54,87.95,86.8,87.49,3987739,PM,85.94940000000038
166,2013-10-07,86.63,87.26,86.47,86.58,3734438,PM,88.61296694444466
168,2013-10-09,86.08,86.42,84.16,84.16,7307327,PM,87.76254968253987
170,2013-10-11,86.29,86.71,84.71,85.03,5988443,PM,87.87008888888909
171,2013-10-14,84.69,87.05,84.66,86.69,4533862,PM,96.63016666666664
172,2013-10-15,86.56,86.56,85.3956,85.5,4978743,PM,81.35719999999985
175,2013-10-18,86.85,87.24,86.11,86.93,5654263,PM,83.23526222222222
177,2013-10-22,86.77,87.92,86.21,87.78,5247601,PM,87.24970058441558
179,2013-10-24,88.65,89.21,88.01,88.18,5099818,PM,89.5533777777781
179,2013-10-24,88.65,89.21,88.01,88.18,5099818,PM,89.5533777777781
182,2013-10-29,90.1,90.5,89.4,90.36,4294302,PM,86.4078333333331
186,2013-11-04,90.15,90.35,89.59,90.25,3589249,PM,106.24901936507935
189,2013-11-07,91.04,91.25,89.59,89.97,5184437,PM,95.77888119047589
196,2013-11-18,91.32,91.81,91.32,91.64,3463837,PM,92.42475277777785
199,2013-11-21,87.34,87.96,84.9,86.6,15638612,PM,86.06481333333352
199,2013-11-21,87.34,87.96,84.9,86.6,15638612,PM,86.06481333333352
201,2013-11-25,87.14,87.18,86.205,86.29,4688518,PM,82.77326547619056
203,2013-11-27,85.44,85.77,85.251,85.5,3626558,PM,81.35719999999985
204,2013-11-29,85.75,86.0099,85.3,85.54,2990376,PM,85.23348912698411
205,2013-12-02,85.33,85.7,85.0,85.07,3904350,PM,82.84789999999987
206,2013-12-03,84.85,85.76,84.85,85.76,5206577,PM,82.06393396825433
207,2013-12-04,85.32,86.04,85.01,85.91,4495606,PM,81.77483333333349
216,2013-12-17,84.71,84.86,84.32,84.65,5665413,PM,87.0816219047616
216,2013-12-17,84.71,84.86,84.32,84.65,5665413,PM,87.0816219047616
220,2013-12-23,84.84,85.39,84.33,85.25,4175382,PM,86.71677527777783
222,2013-12-26,85.48,86.14,85.43,86.01,2624011,PM,84.06096825396813
224,2013-12-30,86.57,86.885,85.84,86.6,3908321,PM,86.06481333333352
224,2013-12-30,86.57,86.885,85.84,86.6,3908321,PM,86.06481333333352
227,2014-01-03,86.25,86.5,85.51,85.53,3846961,PM,85.41470333333321
228,2014-01-06,85.55,85.57,84.55,84.93,5323966,PM,86.93611111111102
231,2014-01-09,83.25,83.63,82.61,83.31,6690090,PM,81.46570000000027
239,2014-01-22,83.92,84.41,83.45,84.19,3405841,PM,84.63857587301607
242,2014-01-27,81.63,81.86,80.77,80.78,5444275,PM,84.94262999999984
242,2014-01-27,81.63,81.86,80.77,80.78,5444275,PM,84.94262999999984
243,2014-01-28,80.89,81.01,80.51,80.81,5973530,PM,85.74000666666686
244,2014-01-29,80.47,80.47,78.33,79.44,10377658,PM,87.63930000000002
252,2014-02-10,79.95,80.0965,78.44,78.81,6532396,PM,88.83603333333357
253,2014-02-11,78.61,79.5,78.01,79.46,6015419,PM,87.63930000000002
253,2014-02-11,78.61,79.5,78.01,79.46,6015419,PM,87.63930000000002
259,2014-02-20,79.63,80.15,79.25,79.71,4546128,PM,82.32089999999977
262,2014-02-25,79.4,80.09,79.33,79.93,5363118,PM,86.5683999999999
263,2014-02-26,80.05,80.08,78.92,79.5,5278235,PM,87.7765000000004
264,2014-02-27,79.5,81.14,79.345,80.78,5978275,PM,84.94262999999984
264,2014-02-27,79.5,81.14,79.345,80.78,5978275,PM,84.94262999999984
267,2014-03-04,81.0,81.86,80.99,81.58,5595714,PM,85.65489444444418
270,2014-03-07,81.02,81.04,79.22,80.34,5384591,PM,86.44698888888898
278,2014-03-19,80.47,81.2,79.41,79.66,4961088,PM,82.10459999999988
280,2014-03-21,81.09,81.45,80.54,81.0,10868822,PM,85.49237499999988
281,2014-03-24,81.1201,81.19,80.305,80.42,5285754,PM,87.05602722222228
283,2014-03-26,80.18,81.0351,80.18,80.42,4872399,PM,87.05602722222228
284,2014-03-27,80.25,80.43,79.93,80.07,4652833,PM,82.72636666666699
285,2014-03-28,80.21,81.02,80.15,81.02,4106030,PM,85.2460583333332
285,2014-03-28,80.21,81.02,80.15,81.02,4106030,PM,85.2460583333332
289,2014-04-03,82.53,82.68,82.0,82.28,3643588,PM,79.60286666666713
293,2014-04-09,83.96,84.02,83.27,83.88,3845620,PM,86.35964333333372
299,2014-04-17,83.62,84.05,82.12,83.15,7858834,PM,84.45235000000004
305,2014-04-28,84.58,85.62,84.47,84.98,7171983,PM,86.99232444444448
305,2014-04-28,84.58,85.62,84.47,84.98,7171983,PM,86.99232444444448
306,2014-04-29,84.98,85.831,84.87,85.19,4488580,PM,86.19356666666668
306,2014-04-29,84.98,85.831,84.87,85.19,4488580,PM,86.19356666666668
