,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,74.79,75.35,74.6401,75.1,1537178,TMO,83.94166666666662
4,2013-02-14,74.82,75.03,74.48,74.88,2027388,TMO,83.72193333333321
9,2013-02-22,72.37,72.98,72.07,72.95,1369802,TMO,86.08883333333317
13,2013-02-28,74.42,74.89,73.77,73.8,2172655,TMO,85.64123333333299
17,2013-03-06,76.69,76.81,76.39,76.67,1402093,TMO,85.6064799999997
20,2013-03-11,76.94,77.22,76.57,77.22,1099994,TMO,87.21407333333359
23,2013-03-14,77.71,77.75,77.32,77.35,1739358,TMO,85.3844666666668
24,2013-03-15,76.77,77.425,76.37,77.15,2183434,TMO,87.20367333333357
25,2013-03-18,76.35,77.15,76.08,76.8,1615487,TMO,86.28024999999987
26,2013-03-19,77.2,77.65,76.82,77.41,2107072,TMO,85.30846666666682
34,2013-04-01,76.3,76.35,75.27,75.53,1589330,TMO,86.03380000000024
38,2013-04-05,76.01,77.3,75.45,77.16,2675164,TMO,87.20367333333357
40,2013-04-09,78.72,78.83,78.09,78.38,1722557,TMO,84.95363333333374
42,2013-04-11,81.72,81.96,79.86,79.91,4971370,TMO,87.9012000000005
46,2013-04-17,81.6,81.97,80.6,81.5,3789821,TMO,89.03950000000007
51,2013-04-24,81.39,82.1,80.9,81.2,4223284,TMO,87.41623333333311
53,2013-04-26,79.7,81.31,79.56,81.13,2812664,TMO,87.39443333333303
54,2013-04-29,81.24,81.25,80.58,80.76,1270491,TMO,90.28383333333333
58,2013-05-03,82.1,82.59,81.91,82.17,1686922,TMO,92.99156666666671
60,2013-05-07,82.44,83.95,82.02,83.91,2809167,TMO,91.64669999999961
61,2013-05-08,83.93,84.13,83.2,84.11,1780378,TMO,90.76459999999969
63,2013-05-10,84.01,84.5,83.26,84.46,2477478,TMO,91.26709999999999
70,2013-05-21,86.94,87.75,86.9,87.35,1840586,TMO,91.61500000000002
71,2013-05-22,87.41,88.08,85.79,86.28,2421921,TMO,91.6500333333335
75,2013-05-29,87.61,87.97,86.852,87.36,1821713,TMO,91.61500000000002
83,2013-06-10,84.95,86.01,84.75,85.8,3948088,TMO,91.22219999999946
84,2013-06-11,85.07,85.93,84.5,85.42,2417588,TMO,91.42186666666679
94,2013-06-25,82.91,83.38,82.48,83.13,1771227,TMO,92.847866666667
95,2013-06-26,83.77,84.21,83.01,83.4,1960296,TMO,92.21186666666644
97,2013-06-28,84.99,85.46,84.62,84.63,2610211,TMO,90.61043333333323
98,2013-07-01,85.03,87.49,84.94,86.35,2551241,TMO,91.6500333333335
99,2013-07-02,86.08,86.33,84.9001,84.99,2184608,TMO,92.34119999999967
