,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,57.01,57.37,56.75,57.23,4261103,UNH,63.74659999999994
4,2013-02-14,57.01,57.215,56.75,57.05,5173937,UNH,62.365033333333315
9,2013-02-22,55.4,55.41,54.25,54.47,8405327,UNH,63.49056666666657
13,2013-02-28,53.82,53.96,53.39,53.45,5872088,UNH,64.12583333333329
17,2013-03-06,53.56,53.94,53.35,53.61,5563059,UNH,63.4995666666667
20,2013-03-11,53.83,54.64,53.75,54.21,4009454,UNH,64.52983333333341
23,2013-03-14,54.58,54.81,54.06,54.73,5067591,UNH,62.96433333333319
23,2013-03-14,54.58,54.81,54.06,54.73,5067591,UNH,62.96433333333319
24,2013-03-15,54.63,54.9,54.42,54.73,7888596,UNH,62.96433333333319
24,2013-03-15,54.63,54.9,54.42,54.73,7888596,UNH,62.96433333333319
25,2013-03-18,54.3,55.47,54.28,55.0,5974187,UNH,64.1836333333333
26,2013-03-19,55.0,55.4,54.92,55.17,5470826,UNH,62.55976666666652
34,2013-04-01,57.16,59.36,57.0101,58.97,9005266,UNH,68.10133333333314
37,2013-04-04,61.75,62.5,61.49,62.03,7649987,UNH,68.38966666666647
38,2013-04-05,61.92,62.56,61.65,62.1,6838650,UNH,71.93143333333292
40,2013-04-09,62.09,62.57,61.95,62.18,4408291,UNH,71.95144999999965
42,2013-04-11,62.39,63.0,62.33,62.98,4739163,UNH,69.29493333333338
46,2013-04-17,62.39,63.15,61.96,62.03,8428959,UNH,68.38966666666647
51,2013-04-24,58.9,59.25,58.72,58.79,5882946,UNH,69.47506666666638
53,2013-04-26,59.26,60.1499,59.13,59.48,5803012,UNH,71.91673333333367
54,2013-04-29,59.95,60.49,59.81,60.01,4865669,UNH,68.8495999999999
57,2013-05-02,59.71,60.38,59.39,59.48,6070801,UNH,71.91673333333367
58,2013-05-03,59.79,60.03,58.87,58.92,5149453,UNH,67.8622666666664
60,2013-05-07,60.08,61.13,59.93,60.5,4830638,UNH,71.36339999999986
61,2013-05-08,60.32,62.77,60.31,62.51,10033928,UNH,71.97576666666681
63,2013-05-10,62.04,62.99,61.81,62.91,5015656,UNH,71.70623333333333
70,2013-05-21,62.57,63.03,62.45,62.87,3248961,UNH,71.70623333333333
71,2013-05-22,62.0,63.27,61.5301,62.28,6310378,UNH,71.5342039682539
75,2013-05-29,63.32,63.55,62.81,63.35,5009278,UNH,71.31955166666654
83,2013-06-10,62.58,63.9,62.57,63.68,5256504,UNH,74.75960277777784
94,2013-06-25,65.03,65.54,63.66,63.73,4962876,UNH,74.75960277777784
95,2013-06-26,64.03,65.06,64.02,64.78,4854856,UNH,72.93836666666716
97,2013-06-28,65.62,66.13,65.04,65.48,6870317,UNH,72.82843333333352
98,2013-07-01,65.89,66.36,65.52,65.63,3737190,UNH,74.02926666666687
99,2013-07-02,65.43,65.66,65.05,65.27,4484509,UNH,73.76413333333329
101,2013-07-05,65.96,66.19,65.27,66.17,2356427,UNH,72.39719999999988
108,2013-07-16,67.24,67.35,66.56,66.91,5459552,UNH,71.90124666666665
109,2013-07-17,67.01,67.44,65.92,66.23,8904554,UNH,72.39719999999988
110,2013-07-18,69.35,70.85,68.91,70.55,14085022,UNH,71.91239666666687
113,2013-07-23,72.21,72.74,71.8201,72.69,3934764,UNH,75.60936666666679
123,2013-08-06,73.18,73.37,72.53,73.24,3089540,UNH,74.30909388888912
125,2013-08-08,73.15,73.67,72.86,73.18,2171566,UNH,73.25020083333332
128,2013-08-13,72.43,73.39,72.31,73.35,2627394,UNH,77.02222833333339
130,2013-08-15,71.99,72.62,71.37,71.4,3402034,UNH,73.06933333333353
132,2013-08-19,71.53,72.2046,71.46,71.71,2794836,UNH,76.05086666666688
134,2013-08-21,72.18,72.34,71.47,71.85,3314236,UNH,71.23064444444402
140,2013-08-29,71.34,72.83,71.15,72.44,5243530,UNH,71.3576141269839
141,2013-08-30,72.46,72.81,71.49,71.74,4186242,UNH,74.8425666666667
143,2013-09-04,72.46,73.35,72.2,73.35,3333446,UNH,77.02222833333339
146,2013-09-09,74.11,74.55,73.78,74.25,2632130,UNH,73.99909999999981
150,2013-09-13,74.92,75.249,74.12,74.48,3420970,UNH,74.72160000000002
151,2013-09-16,75.09,75.88,74.97,75.12,4228744,UNH,79.04043333333341
153,2013-09-18,74.15,74.19,72.44,73.04,7725552,UNH,72.87606666666652
164,2013-10-03,72.5,72.98,72.26,72.52,5038326,UNH,76.6757999999998
166,2013-10-07,72.59,72.7,72.16,72.17,4786970,UNH,73.66659999999987
168,2013-10-09,71.71,71.88,71.175,71.38,4464075,UNH,73.75160000000014
170,2013-10-11,73.93,74.27,73.495,74.27,2935812,UNH,73.96433333333313
171,2013-10-14,73.86,74.81,73.52,74.72,2562179,UNH,76.01026666666668
172,2013-10-15,74.51,74.925,73.76,73.87,2922868,UNH,77.57439999999977
179,2013-10-24,68.01,68.39,67.18,67.61,6352512,UNH,72.36761396825408
186,2013-11-04,68.78,69.26,68.355,68.95,3698729,UNH,72.90350000000028
189,2013-11-07,70.9,70.98,69.66,69.76,4497253,UNH,71.78117666666692
196,2013-11-18,71.97,72.1,71.5,71.68,3264201,UNH,75.500666666667
199,2013-11-21,72.39,73.68,72.37,72.91,4368036,UNH,68.64840000000002
204,2013-11-29,74.59,74.93,74.23,74.48,2025591,UNH,74.72160000000002
205,2013-12-02,73.64,74.45,73.64,74.16,4276029,UNH,79.34253333333315
207,2013-12-04,73.02,74.41,72.54,73.65,5557013,UNH,76.98100000000008
216,2013-12-17,71.22,71.22,70.2,70.73,4281899,UNH,74.53706666666696
219,2013-12-20,72.63,73.73,72.62,73.35,7511469,UNH,77.02222833333339
220,2013-12-23,73.84,74.59,73.71,74.35,3271003,UNH,75.00386666666668
222,2013-12-26,74.44,74.97,74.28,74.85,2121027,UNH,79.35176666666688
224,2013-12-30,74.85,75.04,74.31,74.78,1983755,UNH,75.72220000000011
