,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,71.29,71.7,71.21,71.39,3969807,WMT,68.04029246031756
4,2013-02-14,71.1,71.23,70.755,70.82,6820952,WMT,71.76026666666638
9,2013-02-22,70.22,70.54,69.89,70.4,9169060,WMT,73.47981230158743
13,2013-02-28,71.59,71.88,70.78,70.78,18874853,WMT,73.23816666666683
13,2013-02-28,71.59,71.88,70.78,70.78,18874853,WMT,73.23816666666683
14,2013-03-01,70.78,71.9,70.78,71.74,8902516,WMT,75.3842944444443
17,2013-03-06,73.75,74.13,73.2515,73.38,7152681,WMT,69.30805555555563
20,2013-03-11,73.09,73.24,72.81,72.98,5149550,WMT,67.66682333333335
20,2013-03-11,73.09,73.24,72.81,72.98,5149550,WMT,67.66682333333335
23,2013-03-14,73.87,74.0,73.13,73.22,6353199,WMT,77.97423428571443
24,2013-03-15,73.01,73.5,72.435,72.5,17206161,WMT,67.48396666666665
25,2013-03-18,72.29,72.73,72.01,72.25,5771090,WMT,59.342199999999806
26,2013-03-19,72.42,72.87,72.19,72.45,5751083,WMT,70.55403333333325
32,2013-03-27,74.31,74.965,74.24,74.78,5970553,WMT,74.97821103174593
32,2013-03-27,74.31,74.965,74.24,74.78,5970553,WMT,74.97821103174593
32,2013-03-27,74.31,74.965,74.24,74.78,5970553,WMT,74.97821103174593
34,2013-04-01,75.0,75.93,74.9,75.43,8416097,WMT,76.2071311111112
38,2013-04-05,75.55,76.41,75.4325,76.39,5861325,WMT,86.87602222222192
40,2013-04-09,77.24,78.46,77.02,78.12,8652436,WMT,78.30039904761911
41,2013-04-10,78.28,78.38,77.37,77.37,8598933,WMT,76.36411999999982
42,2013-04-11,77.36,78.37,77.27,77.79,7127971,WMT,83.69795000000033
46,2013-04-17,78.53,79.07,78.11,78.51,7248636,WMT,82.89175642857155
50,2013-04-23,78.11,79.22,78.05,79.09,6654114,WMT,76.70337039682522
51,2013-04-24,79.23,79.5,77.92,78.03,8083545,WMT,80.82193654761913
53,2013-04-26,78.58,79.15,78.57,79.04,5923528,WMT,81.4820261904763
54,2013-04-29,79.08,79.25,78.15,78.39,6157808,WMT,83.27076825396855
54,2013-04-29,79.08,79.25,78.15,78.39,6157808,WMT,83.27076825396855
58,2013-05-03,78.92,79.34,78.9,79.25,5599388,WMT,75.56959623015908
59,2013-05-06,79.1,79.16,78.77,78.83,4807003,WMT,82.37563690476163
60,2013-05-07,79.1,79.143,78.77,78.83,6571101,WMT,82.37563690476163
61,2013-05-08,78.5599,78.66,77.78,78.25,8008719,WMT,82.34542222222242
63,2013-05-10,78.47,78.91,78.28,78.89,5831224,WMT,89.68049642857113
68,2013-05-17,78.3,78.589,77.4,77.87,10671373,WMT,75.87504261904787
68,2013-05-17,78.3,78.589,77.4,77.87,10671373,WMT,75.87504261904787
70,2013-05-21,77.62,78.18,77.25,77.39,7484386,WMT,76.7126044444446
71,2013-05-22,77.19,77.8,76.75,77.03,9029193,WMT,73.4826450000001
75,2013-05-29,77.05,77.05,76.06,76.23,5882206,WMT,82.24675416666672
75,2013-05-29,77.05,77.05,76.06,76.23,5882206,WMT,82.24675416666672
75,2013-05-29,77.05,77.05,76.06,76.23,5882206,WMT,82.24675416666672
83,2013-06-10,76.28,76.65,75.66,75.75,6731621,WMT,79.58662420634921
92,2013-06-21,73.52,74.2,73.255,73.51,14575716,WMT,73.71890000000025
92,2013-06-21,73.52,74.2,73.255,73.51,14575716,WMT,73.71890000000025
94,2013-06-25,74.27,74.75,73.84,74.37,7221540,WMT,78.43218273809521
94,2013-06-25,74.27,74.75,73.84,74.37,7221540,WMT,78.43218273809521
95,2013-06-26,74.62,75.18,74.54,75.01,5478746,WMT,74.76382555555534
97,2013-06-28,75.11,75.66,74.45,74.49,14553407,WMT,76.43199999999997
98,2013-07-01,74.99,75.275,74.1,74.59,6697677,WMT,74.54212500000028
99,2013-07-02,74.31,75.68,74.21,74.71,6728501,WMT,72.871025
101,2013-07-05,75.15,75.2599,74.41,75.21,5447435,WMT,84.44650000000034
103,2013-07-09,76.96,77.44,76.74,77.03,5273182,WMT,73.4826450000001
104,2013-07-10,76.96,77.5,76.45,76.77,5144615,WMT,74.66103144179877
107,2013-07-15,77.3,77.3,76.7,77.03,4887186,WMT,73.4826450000001
108,2013-07-16,76.98,77.45,76.9,77.37,4707504,WMT,76.36411999999982
109,2013-07-17,77.62,77.79,77.09,77.2,5351382,WMT,75.7367333333333
110,2013-07-18,77.22,77.55,77.01,77.34,4149818,WMT,82.64181250000003
112,2013-07-22,77.89,78.25,77.73,77.87,4158334,WMT,75.87504261904787
112,2013-07-22,77.89,78.25,77.73,77.87,4158334,WMT,75.87504261904787
113,2013-07-23,77.96,78.63,77.8,78.55,5254366,WMT,81.59715333333308
123,2013-08-06,78.56,78.57,77.56,77.87,6700869,WMT,75.87504261904787
123,2013-08-06,78.56,78.57,77.56,77.87,6700869,WMT,75.87504261904787
124,2013-08-07,77.16,77.63,76.62,77.37,5819994,WMT,76.36411999999982
125,2013-08-08,77.51,77.89,76.93,77.25,4474679,WMT,76.77105833333319
125,2013-08-08,77.51,77.89,76.93,77.25,4474679,WMT,76.77105833333319
127,2013-08-12,76.56,77.39,76.49,77.08,5787049,WMT,77.17693888888864
128,2013-08-13,77.17,77.25,76.22,76.86,6379970,WMT,77.41830000000014
130,2013-08-15,74.46,75.08,74.03,74.41,13219885,WMT,77.4920638888891
132,2013-08-19,73.88,73.93,73.21,73.58,5364944,WMT,76.57349999999995
134,2013-08-21,73.16,74.13,72.93,73.55,8077861,WMT,71.69700000000024
134,2013-08-21,73.16,74.13,72.93,73.55,8077861,WMT,71.69700000000024
136,2013-08-23,73.65,73.75,73.0301,73.44,5474969,WMT,78.71796666666681
139,2013-08-28,72.66,72.86,72.2701,72.38,5608550,WMT,77.88360555555569
139,2013-08-28,72.66,72.86,72.2701,72.38,5608550,WMT,77.88360555555569
140,2013-08-29,72.35,72.88,72.23,72.43,4088193,WMT,67.97793333333333
141,2013-08-30,72.64,73.07,72.58,72.98,6066164,WMT,67.66682333333335
141,2013-08-30,72.64,73.07,72.58,72.98,6066164,WMT,67.66682333333335
146,2013-09-09,72.85,73.65,72.7,73.51,5527030,WMT,73.71890000000025
146,2013-09-09,72.85,73.65,72.7,73.51,5527030,WMT,73.71890000000025
151,2013-09-16,74.9,75.19,74.69,74.78,4212240,WMT,74.97821103174593
151,2013-09-16,74.9,75.19,74.69,74.78,4212240,WMT,74.97821103174593
151,2013-09-16,74.9,75.19,74.69,74.78,4212240,WMT,74.97821103174593
153,2013-09-18,75.16,76.53,74.9,76.42,6919076,WMT,76.39769595238099
153,2013-09-18,75.16,76.53,74.9,76.42,6919076,WMT,76.39769595238099
156,2013-09-23,75.39,76.43,75.2,76.42,5604843,WMT,76.39769595238099
156,2013-09-23,75.39,76.43,75.2,76.42,5604843,WMT,76.39769595238099
157,2013-09-24,76.4,76.73,75.685,75.75,6715320,WMT,79.58662420634921
164,2013-10-03,73.53,73.53,72.95,73.16,7179614,WMT,63.60720158730187
166,2013-10-07,72.42,72.42,71.51,71.87,6884490,WMT,64.94500555555551
168,2013-10-09,72.83,73.34,72.57,73.0,6467427,WMT,72.22130666666666
168,2013-10-09,72.83,73.34,72.57,73.0,6467427,WMT,72.22130666666666
170,2013-10-11,74.61,74.83,73.83,74.82,6529172,WMT,74.5841624603178
171,2013-10-14,74.34,74.71,73.7499,74.68,5904038,WMT,77.55770499999996
172,2013-10-15,74.43,75.37,73.99,74.37,8981667,WMT,78.43218273809521
172,2013-10-15,74.43,75.37,73.99,74.37,8981667,WMT,78.43218273809521
173,2013-10-16,74.81,75.62,74.57,75.6,5849390,WMT,76.73998888888912
179,2013-10-24,76.03,76.51,75.82,76.42,5845389,WMT,76.39769595238099
179,2013-10-24,76.03,76.51,75.82,76.42,5845389,WMT,76.39769595238099
180,2013-10-25,76.37,76.76,75.78,76.08,6458843,WMT,75.92017499999966
186,2013-11-04,77.22,77.65,77.2,77.33,4704144,WMT,78.7951218650794
188,2013-11-06,77.64,78.28,77.3,78.16,4829209,WMT,75.61323333333317
189,2013-11-07,78.19,78.22,77.24,77.51,8347600,WMT,79.4591366666669
189,2013-11-07,78.19,78.22,77.24,77.51,8347600,WMT,79.4591366666669
195,2013-11-15,78.93,79.29,78.75,79.22,5917004,WMT,87.14235095238111
196,2013-11-18,79.23,79.32,78.91,79.22,5962661,WMT,87.14235095238111
197,2013-11-19,79.3,79.35,78.88,79.25,4455005,WMT,75.56959623015908
199,2013-11-21,78.74,79.2,78.55,78.86,3840986,WMT,89.4504722222218
200,2013-11-22,78.87,79.87,78.75,79.81,4818619,WMT,81.60346547619044
204,2013-11-29,81.17,81.35,80.82,81.01,3447212,WMT,72.38636666666693
205,2013-12-02,80.89,81.28,80.37,81.11,6178477,WMT,72.9830333333336
207,2013-12-04,80.64,81.37,79.91,80.22,7641631,WMT,77.88050000000018
212,2013-12-11,79.1,79.72,79.05,79.09,5998765,WMT,76.70337039682522
216,2013-12-17,77.74,77.89,77.22,77.25,5766928,WMT,76.77105833333319
216,2013-12-17,77.74,77.89,77.22,77.25,5766928,WMT,76.77105833333319
220,2013-12-23,77.73,77.99,77.37,77.87,4491918,WMT,75.87504261904787
220,2013-12-23,77.73,77.99,77.37,77.87,4491918,WMT,75.87504261904787
222,2013-12-26,78.06,78.52,77.97,78.39,2778189,WMT,83.27076825396855
222,2013-12-26,78.06,78.52,77.97,78.39,2778189,WMT,83.27076825396855
224,2013-12-30,78.61,78.88,78.43,78.63,3086473,WMT,89.15476666666633
226,2014-01-02,78.72,79.47,78.5,78.91,6911859,WMT,77.56308630952392
228,2014-01-06,78.86,78.91,77.79,78.21,7281948,WMT,76.57456666666693
231,2014-01-09,78.39,78.4,77.49,78.09,5925044,WMT,75.43575277777799
240,2014-01-23,74.84,75.12,74.47,74.96,6019150,WMT,77.9432507936509
244,2014-01-29,75.29,75.37,74.07,74.1,8440854,WMT,77.65943333333313
244,2014-01-29,75.29,75.37,74.07,74.1,8440854,WMT,77.65943333333313
246,2014-01-31,73.92,75.19,73.64,74.68,10665285,WMT,77.55770499999996
251,2014-02-07,73.05,73.8,72.5,73.75,7320252,WMT,75.13465222222199
252,2014-02-10,73.59,73.76,72.96,73.76,6236787,WMT,74.01229999999978
252,2014-02-10,73.59,73.76,72.96,73.76,6236787,WMT,74.01229999999978
253,2014-02-11,73.9,74.85,73.67,74.8,6712699,WMT,76.74713888888918
253,2014-02-11,73.9,74.85,73.67,74.8,6712699,WMT,76.74713888888918
254,2014-02-12,74.22,75.18,74.22,74.96,5372947,WMT,77.9432507936509
256,2014-02-14,75.4,75.985,75.1,75.79,4920591,WMT,79.51158333333302
257,2014-02-18,75.49,75.65,74.8647,75.33,5994299,WMT,78.01756666666685
259,2014-02-20,73.05,74.0,72.81,73.52,13103284,WMT,70.74890000000028
261,2014-02-24,73.24,73.815,73.14,73.35,7326672,WMT,73.6324433333331
262,2014-02-25,73.18,73.74,73.09,73.35,9500619,WMT,73.6324433333331
263,2014-02-26,73.94,75.1,73.79,74.78,9027834,WMT,74.97821103174593
263,2014-02-26,73.94,75.1,73.79,74.78,9027834,WMT,74.97821103174593
263,2014-02-26,73.94,75.1,73.79,74.78,9027834,WMT,74.97821103174593
264,2014-02-27,74.78,74.78,74.0901,74.56,5456591,WMT,69.10451666666691
268,2014-03-05,75.32,75.33,74.58,74.8,5526031,WMT,76.74713888888918
268,2014-03-05,75.32,75.33,74.58,74.8,5526031,WMT,76.74713888888918
270,2014-03-07,74.96,74.96,74.365,74.58,5054617,WMT,74.54212500000028
273,2014-03-12,74.845,75.75,74.82,75.53,8637988,WMT,78.88405285714254
276,2014-03-17,74.3,74.85,74.01,74.68,5783947,WMT,77.55770499999996
278,2014-03-19,74.56,75.11,74.02,74.38,5761073,WMT,78.61898007936527
280,2014-03-21,75.89,77.02,75.45,76.1,17180931,WMT,79.90294333333317
283,2014-03-26,77.08,77.525,76.23,76.23,7736520,WMT,82.24675416666672
283,2014-03-26,77.08,77.525,76.23,76.23,7736520,WMT,82.24675416666672
283,2014-03-26,77.08,77.525,76.23,76.23,7736520,WMT,82.24675416666672
284,2014-03-27,76.38,76.8199,76.04,76.14,5596634,WMT,82.02914222222209
285,2014-03-28,76.26,76.595,75.7701,76.01,5871101,WMT,84.15008452380924
285,2014-03-28,76.26,76.595,75.7701,76.01,5871101,WMT,84.15008452380924
287,2014-04-01,76.76,77.25,76.54,76.77,5770037,WMT,74.66103144179877
289,2014-04-03,77.2,77.55,77.0,77.46,6045985,WMT,75.71540000000005
295,2014-04-11,76.78,77.23,76.29,76.5,7978971,WMT,80.04446666666628
303,2014-04-24,78.17,78.47,77.7,78.31,4354918,WMT,79.0352506349209
305,2014-04-28,78.86,79.985,78.83,79.76,9598676,WMT,91.32652007936535
306,2014-04-29,79.84,79.87,79.57,79.67,4695718,WMT,93.70332666666616
308,2014-05-01,79.73,79.73,79.16,79.7,5098328,WMT,88.61864666666627
315,2014-05-12,78.95,79.23,78.65,79.15,5999823,WMT,76.10413666666663
316,2014-05-13,79.17,79.37,78.99,79.14,4363735,WMT,75.97692555555551
318,2014-05-15,76.28,77.44,76.25,76.83,13035789,WMT,80.5752690476191
319,2014-05-16,77.0,77.38,76.65,77.01,7244131,WMT,73.95357611111119
320,2014-05-19,77.11,77.13,76.5,76.61,6131274,WMT,76.24413333333327
325,2014-05-27,75.71,75.81,75.29,75.59,5379301,WMT,76.93486111111135
326,2014-05-28,75.38,75.94,75.34,75.53,5036879,WMT,78.88405285714254
328,2014-05-30,76.06,76.81,76.01,76.77,5974016,WMT,74.66103144179877
333,2014-06-06,77.46,77.59,77.07,77.21,4195073,WMT,75.8738666666666
334,2014-06-09,77.07,77.76,76.7,77.01,5552326,WMT,73.95357611111119
336,2014-06-11,76.55,76.74,76.05,76.16,4463301,WMT,78.43338250000002
338,2014-06-13,75.67,75.76,75.12,75.28,4981452,WMT,76.23940000000007
339,2014-06-16,75.11,75.48,75.02,75.34,3846878,WMT,76.67743333333321
342,2014-06-19,75.88,76.28,75.8,75.87,5255313,WMT,75.33358333333346
344,2014-06-23,75.56,75.94,75.3,75.79,4276034,WMT,79.51158333333302
345,2014-06-24,76.03,76.21,75.6849,75.97,5659196,WMT,75.92891666666667
346,2014-06-25,75.76,75.84,75.28,75.62,4318156,WMT,75.56341920634924
348,2014-06-27,74.8,75.38,74.67,75.34,13960847,WMT,76.67743333333321
350,2014-07-01,75.27,75.42,74.75,75.28,6604504,WMT,76.23940000000007
351,2014-07-02,75.26,75.9,75.25,75.62,4366772,WMT,75.56341920634924
352,2014-07-03,75.61,76.05,75.52,75.75,2873959,WMT,79.58662420634921
355,2014-07-09,76.77,77.33,76.62,77.21,6240126,WMT,75.8738666666666
360,2014-07-16,76.9,77.05,76.7,76.86,3743501,WMT,77.41830000000014
361,2014-07-17,76.58,77.05,76.44,76.61,4630252,WMT,76.24413333333327
363,2014-07-21,76.76,76.91,76.48,76.77,3457586,WMT,74.66103144179877
367,2014-07-25,76.19,76.36,75.8,75.97,3948442,WMT,75.92891666666667
370,2014-07-30,75.88,75.92,74.67,74.78,9985703,WMT,74.97821103174593
370,2014-07-30,75.88,75.92,74.67,74.78,9985703,WMT,74.97821103174593
370,2014-07-30,75.88,75.92,74.67,74.78,9985703,WMT,74.97821103174593
371,2014-07-31,73.99,74.25,73.54,73.58,9632692,WMT,76.57349999999995
372,2014-08-01,73.38,73.625,73.06,73.54,5402081,WMT,74.1481333333333
373,2014-08-04,73.38,73.625,73.06,73.54,5402181,WMT,74.1481333333333
374,2014-08-05,73.31,73.52,72.77,73.34,10580561,WMT,71.45984333333307
379,2014-08-12,74.31,74.44,74.01,74.22,3928584,WMT,75.42799055555555
383,2014-08-18,74.15,74.68,74.05,74.49,4015717,WMT,76.43199999999997
385,2014-08-20,74.83,75.05,74.51,74.96,4898266,WMT,77.9432507936509
393,2014-09-02,75.42,75.94,75.41,75.75,4532422,WMT,79.58662420634921
394,2014-09-03,75.95,76.33,75.88,76.01,4709373,WMT,84.15008452380924
394,2014-09-03,75.95,76.33,75.88,76.01,4709373,WMT,84.15008452380924
396,2014-09-05,76.52,77.73,76.48,77.51,7841819,WMT,79.4591366666669
396,2014-09-05,76.52,77.73,76.48,77.51,7841819,WMT,79.4591366666669
399,2014-09-10,76.79,77.08,76.37,76.51,6697057,WMT,79.68783333333312
400,2014-09-11,76.35,76.44,76.09,76.1,4985299,WMT,79.90294333333317
407,2014-09-22,76.79,76.86,76.25,76.31,4450704,WMT,79.67911222222206
408,2014-09-23,76.0,76.225,75.57,75.6,6717115,WMT,76.73998888888912
409,2014-09-24,75.73,77.31,75.7,77.08,8434589,WMT,77.17693888888864
412,2014-09-29,76.06,76.25,75.65,76.08,4959285,WMT,75.92017499999966
415,2014-10-02,76.21,76.91,75.96,76.23,4929134,WMT,82.24675416666672
415,2014-10-02,76.21,76.91,75.96,76.23,4929134,WMT,82.24675416666672
415,2014-10-02,76.21,76.91,75.96,76.23,4929134,WMT,82.24675416666672
418,2014-10-07,77.03,77.695,76.72,77.3,7059857,WMT,74.70628708994708
425,2014-10-16,73.23,74.0694,72.61,73.82,14346643,WMT,81.38324166666673
426,2014-10-17,74.18,74.5,73.03,74.1,11472069,WMT,77.65943333333313
426,2014-10-17,74.18,74.5,73.03,74.1,11472069,WMT,77.65943333333313
434,2014-10-29,76.55,76.64,75.97,76.39,5763263,WMT,86.87602222222192
