,date,open,high,low,close,volume,Name,Predicted
3,2013-02-13,88.46,88.77,88.24,88.67,8940627,XOM,87.31399111111078
3,2013-02-13,88.46,88.77,88.24,88.67,8940627,XOM,87.31399111111078
4,2013-02-14,88.34,88.81,88.06,88.52,13238873,XOM,89.05167129629645
9,2013-02-22,89.02,89.28,88.405,89.2,10260417,XOM,86.76890000000016
13,2013-02-28,89.67,89.81,89.03,89.55,14555948,XOM,87.68215833333329
14,2013-03-01,89.07,89.68,88.92,89.43,11302278,XOM,90.36408333333348
17,2013-03-06,89.6,89.95,89.05,89.56,13234515,XOM,90.01071666666645
20,2013-03-11,89.01,89.55,88.542,89.16,12454936,XOM,88.04178055555538
21,2013-03-12,89.45,89.91,89.01,89.16,11470283,XOM,88.04178055555538
23,2013-03-14,89.41,89.91,89.41,89.83,13776230,XOM,92.56392777777806
24,2013-03-15,89.2,89.61,88.79,89.37,29245811,XOM,84.63270000000031
25,2013-03-18,88.74,89.39,88.55,88.77,11553676,XOM,91.23400000000014
25,2013-03-18,88.74,89.39,88.55,88.77,11553676,XOM,91.23400000000014
26,2013-03-19,88.89,89.09,88.0201,88.58,11987730,XOM,87.99702666666676
30,2013-03-25,89.5,89.9,88.66,89.02,12900801,XOM,87.30707587301613
32,2013-03-27,89.56,90.735,89.47,90.58,12350788,XOM,92.29958199087935
34,2013-04-01,90.13,90.985,89.98,90.77,9415826,XOM,83.97547666666651
35,2013-04-02,90.59,90.92,90.28,90.58,9991850,XOM,92.29958199087935
38,2013-04-05,88.61,89.21,88.4,89.01,12771763,XOM,87.05838507936546
40,2013-04-09,88.69,89.34,88.59,88.77,10755077,XOM,91.23400000000014
40,2013-04-09,88.69,89.34,88.59,88.77,10755077,XOM,91.23400000000014
42,2013-04-11,88.95,89.27,88.23,89.22,14979817,XOM,87.08946666666697
43,2013-04-12,88.88,89.19,88.41,88.99,11506425,XOM,93.06884250000006
46,2013-04-17,86.21,86.38,85.02,86.08,17341652,XOM,97.35730972222197
51,2013-04-24,89.45,89.89,89.35,89.43,13028510,XOM,90.36408333333348
53,2013-04-26,87.81,88.28,87.6,88.0,10793280,XOM,96.7768111904763
54,2013-04-29,88.26,88.83,88.01,88.21,11095467,XOM,93.36731666666634
55,2013-04-30,88.26,88.99,87.76,88.99,14579439,XOM,93.06884250000006
58,2013-05-03,89.0,90.19,88.92,90.02,13036606,XOM,94.85430857142858
59,2013-05-06,90.25,90.88,89.93,90.58,10613407,XOM,92.29958199087935
60,2013-05-07,90.62,91.15,90.145,91.15,11087372,XOM,85.65115999999978
61,2013-05-08,91.05,91.85,91.03,91.7,13636985,XOM,86.9456666666668
63,2013-05-10,90.87,90.95,89.79,90.14,10975518,XOM,88.45781333333308
68,2013-05-17,91.07,91.88,90.53,91.76,12721960,XOM,88.83926666666677
70,2013-05-21,92.67,93.43,92.38,92.8,12520506,XOM,87.61327333333317
71,2013-05-22,92.83,93.5,91.81,92.19,19253745,XOM,95.02633341269869
75,2013-05-29,91.76,92.415,91.59,92.08,11563102,XOM,87.81356666666706
78,2013-06-03,90.53,91.51,90.48,91.46,14180043,XOM,88.43239999999997
83,2013-06-10,91.93,91.94,90.87,91.12,10372738,XOM,87.14800285714281
87,2013-06-14,91.16,91.3,90.295,90.58,12158390,XOM,92.29958199087935
94,2013-06-25,89.58,89.62,88.48,89.11,15791848,XOM,85.30466015872987
95,2013-06-26,89.42,89.97,88.73,89.8,14447123,XOM,96.97274833333314
95,2013-06-26,89.42,89.97,88.73,89.8,14447123,XOM,96.97274833333314
97,2013-06-28,89.85,90.75,89.56,90.35,22993046,XOM,81.98850833333336
98,2013-07-01,90.39,91.13,89.96,90.3,13182171,XOM,82.42306968253953
99,2013-07-02,90.37,91.1,90.12,90.64,12321151,XOM,88.18408229797953
101,2013-07-05,91.1,91.61,90.57,91.57,8918068,XOM,88.85377539682563
108,2013-07-16,93.19,93.47,92.77,93.3,11413454,XOM,85.22170000000033
108,2013-07-16,93.19,93.47,92.77,93.3,11413454,XOM,85.22170000000033
109,2013-07-17,93.56,93.74,93.14,93.46,9394282,XOM,96.24753333333305
110,2013-07-18,93.8,94.84,93.71,94.38,10554877,XOM,95.62960000000012
113,2013-07-23,94.86,95.49,94.84,95.2,7377506,XOM,88.16339999999961
114,2013-07-24,95.31,95.31,94.42,94.99,8220787,XOM,88.4572452380949
123,2013-08-06,91.33,91.91,91.28,91.47,11689190,XOM,87.61519999999999
125,2013-08-08,91.93,91.97,91.28,91.78,11529507,XOM,88.30926666666615
126,2013-08-09,91.2,91.36,90.4275,90.72,9467895,XOM,88.34695055555571
128,2013-08-13,89.85,89.92,89.14,89.4,10892654,XOM,84.69996666666707
130,2013-08-15,88.66,88.87,88.06,88.16,11273576,XOM,91.47983499999972
132,2013-08-19,87.82,87.87,86.78,86.92,11734413,XOM,83.0352688888891
132,2013-08-19,87.82,87.87,86.78,86.92,11734413,XOM,83.0352688888891
134,2013-08-21,86.95,87.35,86.39,86.42,12750076,XOM,84.5875499999998
138,2013-08-27,86.62,87.49,86.58,86.82,13960231,XOM,91.48637777777783
140,2013-08-29,88.63,88.63,87.23,87.27,11408105,XOM,88.04760000000037
141,2013-08-30,87.39,87.55,86.79,87.16,12480433,XOM,89.04091722222259
146,2013-09-09,87.34,88.195,87.31,88.04,9296991,XOM,86.10456448412731
151,2013-09-16,88.88,89.18,88.49,88.67,9438857,XOM,87.31399111111078
151,2013-09-16,88.88,89.18,88.49,88.67,9438857,XOM,87.31399111111078
153,2013-09-18,88.91,89.87,88.37,89.58,15134662,XOM,96.6545749999996
153,2013-09-18,88.91,89.87,88.37,89.58,15134662,XOM,96.6545749999996
163,2013-10-02,85.75,86.11,85.28,86.08,11841373,XOM,97.35730972222197
164,2013-10-03,86.04,86.05,85.34,85.5,13927068,XOM,88.31491666666642
166,2013-10-07,85.57,86.29,85.27,85.9,10985769,XOM,82.1572527777774
166,2013-10-07,85.57,86.29,85.27,85.9,10985769,XOM,82.1572527777774
168,2013-10-09,85.35,85.59,84.83,85.16,13556048,XOM,81.71094666666691
170,2013-10-11,85.9,86.95,85.5,86.95,12660963,XOM,82.93784444444466
171,2013-10-14,86.51,87.74,86.51,87.6,9740629,XOM,84.67580000000021
172,2013-10-15,87.47,87.5758,86.64,86.79,12017984,XOM,89.67416666666631
174,2013-10-17,87.13,87.5,87.01,87.48,10427493,XOM,93.31887214285707
174,2013-10-17,87.13,87.5,87.01,87.48,10427493,XOM,93.31887214285707
179,2013-10-24,87.98,88.73,87.97,88.42,12289301,XOM,93.3427465079365
186,2013-11-04,90.0,92.27,90.0,92.1,20592370,XOM,86.47480000000036
189,2013-11-07,92.64,92.98,91.76,91.96,16572148,XOM,88.27116666666632
191,2013-11-11,92.85,93.23,92.5,92.96,7925863,XOM,88.94545777777834
196,2013-11-18,95.98,96.0,95.06,95.45,14245128,XOM,94.26269000000038
199,2013-11-21,94.85,95.39,94.63,94.69,9128848,XOM,95.72326666666687
204,2013-11-29,93.65,94.22,93.3,93.48,6770498,XOM,96.4046999999996
205,2013-12-02,93.27,94.04,92.92,93.52,9310964,XOM,90.63800666666626
207,2013-12-04,94.19,94.9,93.92,94.67,13074695,XOM,92.45996666666643
210,2013-12-09,95.95,96.25,95.6,95.84,15519217,XOM,93.50961111111135
216,2013-12-17,97.02,97.13,96.03,96.75,14920924,XOM,102.6690383333331
220,2013-12-23,99.0,99.29,98.39,98.51,10131832,XOM,97.10861055555571
222,2013-12-26,99.42,101.03,99.38,100.9,9539504,XOM,99.76825722222243
224,2013-12-30,101.53,101.55,100.31,100.31,9008884,XOM,101.87990000000032
228,2014-01-06,99.94,100.14,98.8864,99.66,11849986,XOM,95.7272333333335
231,2014-01-09,100.2,100.39,99.03,99.76,11679041,XOM,97.15923333333336
244,2014-01-29,94.93,96.2,94.65,95.11,13194427,XOM,92.61001666666637
248,2014-02-04,90.37,90.64,89.39,90.02,17703260,XOM,94.85430857142858
249,2014-02-05,90.305,90.61,89.38,89.58,16395819,XOM,96.6545749999996
249,2014-02-05,90.305,90.61,89.38,89.58,16395819,XOM,96.6545749999996
250,2014-02-06,89.51,90.18,89.25,89.8,13650204,XOM,96.97274833333314
250,2014-02-06,89.51,90.18,89.25,89.8,13650204,XOM,96.97274833333314
251,2014-02-07,90.12,90.63,89.75,90.58,12632454,XOM,92.29958199087935
252,2014-02-10,90.45,90.53,89.36,89.52,12241464,XOM,89.46022833333346
253,2014-02-11,89.56,91.0,89.4,90.84,13426576,XOM,89.02825555555523
259,2014-02-20,93.85,95.77,93.75,95.37,14425193,XOM,92.15839999999955
262,2014-02-25,96.54,96.97,95.96,96.31,10664330,XOM,92.13920000000013
